rank,cp,ivs,maxlevel,stat-product,stats
1,1499,0 14 12,19,1946616,115.29 157.8 107
2,1498,0 11 14,19,1943058,115.29 156.05 108
3,1500,0 13 13,19,1939433,115.29 157.22 107
4,1496,0 13 12,19,1939433,115.29 157.22 107
5,1500,1 9 14,19,1938298,115.87 154.89 108
6,1500,0 10 15,19,1935808,115.29 155.47 108
7,1496,0 10 14,19,1935808,115.29 155.47 108
8,1497,0 15 11,19,1935539,115.29 158.38 106
9,1498,1 11 12,19,1934789,115.87 156.05 107
10,1497,0 12 13,19,1932250,115.29 156.63 107
11,1493,0 12 12,19,1932250,115.29 156.63 107
12,1496,3 15 15,18.5,1931226,115.49 156.28 107
13,1497,1 8 14,19,1931011,115.87 154.3 108
14,1499,1 13 11,19,1931011,115.87 157.22 106
15,1500,2 9 12,19,1930000,116.46 154.89 107
16,1497,0 9 15,19,1928557,115.29 154.89 108
17,1493,0 9 14,19,1928557,115.29 154.89 108
18,1494,0 14 11,19,1928423,115.29 157.8 106
19,1499,1 10 13,19,1927570,115.87 155.47 107
20,1495,1 10 12,19,1927570,115.87 155.47 107
21,1497,1 15 9,19,1926963,115.87 158.38 105
22,1498,4 13 15,18.5,1926564,116.06 155.13 107
23,1499,2 6 14,19,1926067,116.46 153.14 108
24,1500,5 14 13,18.5,1925111,116.64 155.71 106
25,1494,0 11 13,19,1925067,115.29 156.05 107
26,1490,0 11 12,19,1925067,115.29 156.05 107
27,1499,0 9 6,19.5,1924310,116.8 156.91 105
28,1493,3 14 15,18.5,1924126,115.49 155.71 107
29,1496,1 12 11,19,1923859,115.87 156.63 106
30,1499,1 7 15,19,1923724,115.87 153.72 108
31,1495,1 7 14,19,1923724,115.87 153.72 108
32,1500,0 14 3,19.5,1923139,116.8 159.86 103
33,1497,2 8 12,19,1922745,116.46 154.3 107
34,1499,4 15 14,18.5,1922696,116.06 156.28 106
35,1495,4 15 13,18.5,1922696,116.06 156.28 106
36,1499,2 13 9,19,1922406,116.46 157.22 105
37,1500,5 11 15,18.5,1921760,116.64 153.98 107
38,1489,2 15 15,18.5,1921618,114.91 156.28 107
39,1494,0 8 15,19,1921307,115.29 154.3 108
40,1490,0 8 14,19,1921307,115.29 154.3 108
