rank,cp,ivs,maxlevel,stat-product,stats
1,1499,0 13 15,33,1788369,125.21 112.46 127
2,1499,0 14 14,33,1786116,125.21 113.21 126
3,1497,0 15 15,32.5,1783681,124.71 113.51 126
4,1492,0 15 14,32.5,1783681,124.71 113.51 126
5,1500,0 15 13,33,1783675,125.21 113.96 125
6,1495,0 15 12,33,1783675,125.21 113.96 125
7,1498,0 15 10,33.5,1783442,125.71 114.41 124
8,1496,1 14 14,32.5,1782557,125.46 112.76 126
9,1499,1 14 12,33,1782551,125.96 113.21 125
10,1500,2 13 14,32.5,1781292,126.21 112.02 126
11,1497,1 15 13,32.5,1780121,125.46 113.51 125
12,1494,1 15 15,32,1780014,124.96 113.06 126
13,1500,1 15 11,33,1780001,125.96 113.96 124
14,1497,2 14 15,32,1778829,125.7 112.31 126
15,1500,0 11 15,33.5,1778522,125.71 111.4 127
16,1496,0 11 14,33.5,1778522,125.71 111.4 127
17,1499,0 11 12,34,1778405,126.2 111.84 126
18,1500,1 10 14,33.5,1777083,126.46 110.65 127
19,1494,0 12 15,33,1776446,125.21 111.71 127
20,1497,0 12 13,33.5,1776440,125.71 112.16 126
21,1498,2 15 14,32,1776398,125.7 113.06 125
22,1499,0 12 11,34,1776212,126.2 112.6 125
23,1497,1 11 15,33,1775090,125.96 110.96 127
24,1500,1 11 13,33.5,1775084,126.46 111.4 126
25,1494,0 13 14,33,1774287,125.21 112.46 126
26,1497,0 13 12,33.5,1774169,125.71 112.91 125
27,1500,0 13 10,34,1773828,126.2 113.35 124
28,1498,1 12 14,33,1773012,125.96 111.71 126
29,1498,3 15 12,32,1772614,126.44 113.06 124
30,1499,3 15 15,31.5,1772505,125.93 112.6 125
31,1495,3 15 14,31.5,1772505,125.93 112.6 125
32,1492,0 14 15,32.5,1771947,124.71 112.76 126
33,1495,0 14 13,33,1771940,125.21 113.21 125
34,1490,0 14 12,33,1771940,125.21 113.21 125
35,1498,0 14 11,33.5,1771709,125.71 113.66 124
36,1493,0 14 10,33.5,1771709,125.71 113.66 124
37,1499,0 7 14,34.5,1771533,126.69 109.24 128
38,1500,0 14 9,34,1771253,126.2 114.11 123
39,1496,0 14 8,34,1771253,126.2 114.11 123
40,1499,4 14 14,31.5,1771202,126.67 111.86 125
41,1496,1 13 15,32.5,1770752,125.46 112.02 126
42,1491,1 13 14,32.5,1770752,125.46 112.02 126
43,1499,1 13 13,33,1770746,125.96 112.46 125
44,1494,1 13 12,33,1770746,125.96 112.46 125
45,1498,0 14 6,34.5,1770572,126.69 114.55 122
46,1497,1 13 10,33.5,1770515,126.46 112.91 124
47,1500,1 13 8,34,1770059,126.96 113.35 123
48,1497,0 8 15,34,1770013,126.2 109.57 128
49,1500,0 8 13,34.5,1769899,126.69 110 127
50,1500,0 14 4,35,1769666,127.18 115 121
51,1499,2 12 15,32.5,1769417,126.21 111.27 126
52,1495,2 12 14,32.5,1769417,126.21 111.27 126
53,1498,2 12 12,33,1769411,126.71 111.71 125
54,1491,0 15 11,33,1769405,125.21 113.96 124
55,1493,0 15 9,33.5,1769060,125.71 114.41 123
56,1499,4 15 13,31.5,1768668,126.67 112.6 124
57,1496,0 15 7,34,1768487,126.2 114.86 122
58,1496,4 15 15,31,1768443,126.16 112.14 125
59,1492,1 14 13,32.5,1768410,125.46 112.76 125
60,1489,1 14 15,32,1768303,124.96 112.31 126
61,1498,0 9 14,34,1768297,126.2 110.33 127
62,1495,1 14 11,33,1768290,125.96 113.21 124
63,1500,0 9 12,34.5,1768073,126.69 110.76 126
64,1497,1 14 9,33.5,1767944,126.46 113.66 123
65,1499,3 11 14,32.5,1767941,126.95 110.52 126
66,1498,0 15 5,34.5,1767689,126.69 115.31 121
67,1500,1 14 7,34,1767373,126.96 114.11 122
68,1496,2 13 13,32.5,1767155,126.21 112.02 125
69,1499,5 14 15,31,1767082,126.9 111.4 125
70,1492,2 13 15,32,1767048,125.7 111.57 126
71,1499,2 13 11,33,1767035,126.71 112.46 124
72,1500,0 15 3,35,1766663,127.18 115.76 120
73,1495,0 10 15,33.5,1766505,125.71 110.65 127
74,1491,0 10 14,33.5,1766505,125.71 110.65 127
75,1498,0 10 13,34,1766389,126.2 111.09 126
76,1494,0 10 12,34,1766389,126.2 111.09 126
77,1496,0 10 10,34.5,1766055,126.69 111.52 125
78,1489,1 15 14,32,1765886,124.96 113.06 125
79,1492,1 15 12,32.5,1765880,125.46 113.51 124
80,1499,3 12 13,32.5,1765761,126.95 111.27 125
