rank,cp,ivs,maxlevel,stat-product,stats
1,1435,15 15 15,51,3249263,63.4 120.88 424
2,1434,15 15 14,51,3241599,63.4 120.88 423
3,1432,15 15 13,51,3233936,63.4 120.88 422
4,1430,15 14 15,51,3226541,63.4 120.03 424
5,1431,15 15 12,51,3226273,63.4 120.88 421
6,1429,15 14 14,51,3218931,63.4 120.03 423
7,1430,15 15 11,51,3218609,63.4 120.88 420
8,1428,15 15 10,51,3218609,63.4 120.88 420
9,1427,15 14 13,51,3211321,63.4 120.03 422
10,1427,15 15 9,51,3210946,63.4 120.88 419
11,1416,14 15 15,51,3205939,62.55 120.88 424
12,1425,15 13 15,51,3203818,63.4 119.19 424
13,1426,15 14 12,51,3203711,63.4 120.03 421
14,1425,15 15 8,51,3203283,63.4 120.88 418
15,1415,14 15 14,51,3198378,62.55 120.88 423
16,1424,15 13 14,51,3196262,63.4 119.19 423
17,1425,15 14 11,51,3196102,63.4 120.03 420
18,1423,15 14 10,51,3196102,63.4 120.03 420
19,1424,15 15 7,51,3195619,63.4 120.88 417
20,1413,14 15 13,51,3190817,62.55 120.88 422
21,1422,15 13 13,51,3188706,63.4 119.19 422
22,1422,15 14 9,51,3188492,63.4 120.03 419
23,1422,15 15 6,51,3187956,63.4 120.88 416
24,1411,14 14 15,51,3183520,62.55 120.03 424
25,1412,14 15 12,51,3183256,62.55 120.88 421
26,1421,15 13 12,51,3181150,63.4 119.19 421
27,1420,15 12 15,51,3181096,63.4 118.34 424
28,1420,15 14 8,51,3180882,63.4 120.03 418
29,1421,15 15 5,51,3180293,63.4 120.88 415
30,1420,15 15 4,51,3180293,63.4 120.88 415
31,1410,14 14 14,51,3176012,62.55 120.03 423
32,1411,14 15 11,51,3175695,62.55 120.88 420
33,1409,14 15 10,51,3175695,62.55 120.88 420
34,1419,15 12 14,51,3173594,63.4 118.34 423
35,1420,15 13 11,51,3173594,63.4 119.19 420
36,1418,15 13 10,51,3173594,63.4 119.19 420
37,1419,15 14 7,51,3173272,63.4 120.03 417
38,1418,15 15 3,51,3172629,63.4 120.88 414
39,1408,14 14 13,51,3168503,62.55 120.03 422
40,1408,14 15 9,51,3168133,62.55 120.88 419
41,1417,15 12 13,51,3166091,63.4 118.34 422
42,1417,15 13 9,51,3166038,63.4 119.19 419
43,1417,15 14 6,51,3165662,63.4 120.03 416
44,1417,15 15 2,51,3164966,63.4 120.88 413
45,1397,13 15 15,51,3162616,61.71 120.88 424
46,1406,14 13 15,51,3161101,62.55 119.19 424
47,1407,14 14 12,51,3160995,62.55 120.03 421
48,1406,14 15 8,51,3160572,62.55 120.88 418
49,1416,15 12 12,51,3158589,63.4 118.34 421
50,1415,15 13 8,51,3158481,63.4 119.19 418
51,1415,15 11 15,51,3158374,63.4 117.5 424
52,1416,15 14 5,51,3158053,63.4 120.03 415
53,1415,15 14 4,51,3158053,63.4 120.03 415
54,1415,15 15 1,51,3157302,63.4 120.88 412
55,1396,13 15 14,51,3155157,61.71 120.88 423
56,1405,14 13 14,51,3153645,62.55 119.19 423
57,1406,14 14 11,51,3153487,62.55 120.03 420
58,1404,14 14 10,51,3153487,62.55 120.03 420
59,1405,14 15 7,51,3153011,62.55 120.88 417
60,1415,15 12 11,51,3151086,63.4 118.34 420
61,1413,15 12 10,51,3151086,63.4 118.34 420
62,1414,15 11 14,51,3150925,63.4 117.5 423
63,1414,15 13 7,51,3150925,63.4 119.19 417
64,1413,15 14 3,51,3150443,63.4 120.03 414
65,1414,15 15 0,51,3149639,63.4 120.88 411
66,1394,13 15 13,51,3147698,61.71 120.88 422
67,1403,14 13 13,51,3146190,62.55 119.19 422
68,1403,14 14 9,51,3145979,62.55 120.03 419
69,1403,14 15 6,51,3145450,62.55 120.88 416
70,1412,15 12 9,51,3143583,63.4 118.34 419
71,1412,15 11 13,51,3143476,63.4 117.5 422
72,1412,15 13 6,51,3143369,63.4 119.19 416
73,1412,15 14 2,51,3142833,63.4 120.03 413
74,1392,13 14 15,51,3140500,61.71 120.03 424
75,1393,13 15 12,51,3140239,61.71 120.88 421
76,1402,14 13 12,51,3138735,62.55 119.19 421
77,1401,14 12 15,51,3138682,62.55 118.34 424
78,1401,14 14 8,51,3138470,62.55 120.03 418
79,1402,14 15 5,51,3137889,62.55 120.88 415
80,1401,14 15 4,51,3137889,62.55 120.88 415
81,1410,15 12 8,51,3136081,63.4 118.34 418
82,1411,15 11 12,51,3136027,63.4 117.5 421
83,1411,15 13 5,51,3135813,63.4 119.19 415
84,1410,15 13 4,51,3135813,63.4 119.19 415
85,1410,15 10 15,51,3135652,63.4 116.65 424
86,1410,15 14 1,51,3135223,63.4 120.03 412
87,1391,13 14 14,51,3133093,61.71 120.03 423
88,1391,13 15 11,51,3132780,61.71 120.88 420
89,1390,13 15 10,51,3132780,61.71 120.88 420
90,1400,14 12 14,51,3131279,62.55 118.34 423
91,1401,14 13 11,51,3131279,62.55 119.19 420
92,1399,14 13 10,51,3131279,62.55 119.19 420
93,1400,14 14 7,51,3130962,62.55 120.03 417
94,1399,14 15 3,51,3130327,62.55 120.88 414
95,1409,15 11 11,51,3128578,63.4 117.5 420
96,1408,15 11 10,51,3128578,63.4 117.5 420
97,1409,15 12 7,51,3128578,63.4 118.34 417
98,1409,15 10 14,51,3128257,63.4 116.65 423
99,1408,15 13 3,51,3128257,63.4 119.19 414
100,1409,15 14 0,51,3127614,63.4 120.03 411
101,1389,13 14 13,51,3125686,61.71 120.03 422
102,1389,13 15 9,51,3125321,61.71 120.88 419
103,1398,14 12 13,51,3123877,62.55 118.34 422
104,1398,14 13 9,51,3123824,62.55 119.19 419
105,1399,14 14 6,51,3123454,62.55 120.03 416
106,1398,14 15 2,51,3122766,62.55 120.88 413
107,1407,15 11 9,51,3121129,63.4 117.5 419
108,1407,15 12 6,51,3121076,63.4 118.34 416
109,1407,15 10 13,51,3120861,63.4 116.65 422
110,1407,15 13 2,51,3120701,63.4 119.19 413
111,1378,12 15 15,51,3119292,60.86 120.88 424
112,1387,13 13 15,51,3118383,61.71 119.19 424
113,1388,13 14 12,51,3118279,61.71 120.03 421
114,1387,13 15 8,51,3117862,61.71 120.88 418
115,1397,14 12 12,51,3116474,62.55 118.34 421
116,1396,14 13 8,51,3116368,62.55 119.19 418
117,1396,14 11 15,51,3116263,62.55 117.5 424
