rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 15 14,33.5,1626657,137.75 79.79 148
2,1499,0 14 13,34,1623993,138.29 79.35 148
3,1498,1 15 15,33,1622673,137.96 79.47 148
4,1495,0 14 15,33.5,1622198,137.75 79.04 149
5,1499,1 14 14,33.5,1620116,138.5 79.04 148
6,1499,0 13 15,34,1619395,138.29 78.59 149
7,1500,1 13 13,34,1617316,139.05 78.59 148
8,1498,0 15 11,34,1617305,138.29 80.1 146
9,1500,0 12 14,34.5,1616348,138.83 78.14 149
10,1498,3 15 14,32.5,1616303,138.9 79.16 147
11,1499,2 14 15,33,1616100,138.71 78.72 148
12,1494,0 15 13,33.5,1615666,137.75 79.79 147
13,1496,1 13 15,33.5,1615529,138.5 78.28 149
14,1499,1 15 9,34,1615004,139.05 80.1 145
15,1499,0 14 10,34.5,1614558,138.83 79.66 146
16,1490,0 15 15,33,1613854,137.21 79.47 148
17,1498,1 15 12,33.5,1613444,138.5 79.79 146
18,1495,1 15 11,33.5,1613444,138.5 79.79 146
19,1500,2 13 14,33.5,1613407,139.25 78.28 148
20,1500,0 11 13,35,1613058,139.37 77.68 149
21,1495,0 14 12,34,1613020,138.29 79.35 147
22,1500,1 12 15,34,1612588,139.05 77.84 149
23,1498,4 15 15,32,1611999,139.09 78.84 147
24,1494,1 15 14,33,1611709,137.96 79.47 147
25,1499,0 13 9,35,1611572,139.37 79.2 146
26,1496,0 11 15,34.5,1611398,138.83 77.38 150
27,1491,0 14 14,33.5,1611311,137.75 79.04 148
28,1499,2 15 10,33.5,1611101,139.25 79.79 145
29,1499,1 14 11,34,1610801,139.05 79.35 146
30,1499,0 13 12,34.5,1610134,138.83 78.9 147
31,1495,0 13 11,34.5,1610134,138.83 78.9 147
32,1499,4 14 14,32.5,1609663,139.65 78.41 147
33,1500,0 10 12,35.5,1609525,139.9 77.21 149
34,1498,2 15 13,33,1609445,138.71 79.47 146
35,1495,2 15 12,33,1609445,138.71 79.47 146
36,1500,3 13 15,33,1609361,139.46 77.98 148
37,1495,1 14 13,33.5,1609169,138.5 79.04 147
38,1498,0 15 5,35,1608813,139.37 80.73 143
39,1496,2 12 15,33.5,1608690,139.25 77.53 149
40,1495,0 13 14,34,1608526,138.29 78.59 148
41,1492,0 13 13,34,1608526,138.29 78.59 148
42,1500,2 14 9,34,1608463,139.8 79.35 145
43,1500,0 12 8,35.5,1608349,139.9 78.74 146
44,1500,0 10 15,35,1607964,139.37 76.92 150
45,1497,0 10 14,35,1607964,139.37 76.92 150
46,1500,1 13 10,34.5,1607920,139.59 78.9 146
47,1494,2 15 15,32.5,1607613,138.15 79.16 147
48,1490,2 15 14,32.5,1607613,138.15 79.16 147
49,1498,0 15 8,34.5,1607607,138.83 80.41 144
50,1494,0 15 7,34.5,1607607,138.83 80.41 144
51,1491,1 14 15,33,1607365,137.96 78.72 148
52,1499,3 15 11,33,1607061,139.46 79.47 145
53,1500,0 12 11,35,1607008,139.37 78.44 147
54,1499,2 14 12,33.5,1606908,139.25 79.04 146
55,1496,2 14 11,33.5,1606908,139.25 79.04 146
56,1496,1 13 12,34,1606388,139.05 78.59 147
57,1494,0 15 10,34,1606227,138.29 80.1 145
58,1490,0 15 9,34,1606227,138.29 80.1 145
59,1496,0 12 13,34.5,1605500,138.83 78.14 148
60,1499,5 14 15,32,1605330,139.83 78.1 147
61,1495,3 15 13,32.5,1605308,138.9 79.16 146
62,1495,2 14 14,33,1605181,138.71 78.72 147
63,1498,1 15 6,34.5,1605166,139.59 80.41 143
64,1500,1 12 9,35,1604798,140.13 78.44 146
65,1499,0 14 7,35,1604780,139.37 79.96 144
66,1492,1 13 14,33.5,1604686,138.5 78.28 148
67,1490,0 15 12,33.5,1604675,137.75 79.79 146
68,1500,3 14 10,33.5,1604529,140.01 79.04 145
69,1497,1 10 15,34.5,1604319,139.59 76.62 150
70,1500,2 13 11,34,1604131,139.8 78.59 146
71,1495,1 15 8,34,1603867,139.05 80.1 144
72,1492,0 12 15,34,1603824,138.29 77.84 149
73,1500,0 11 10,35.5,1603643,139.9 77.98 147
74,1495,0 14 9,34.5,1603499,138.83 79.66 145
75,1490,3 15 15,32,1603378,138.34 78.84 147
76,1500,1 12 12,34.5,1603366,139.59 78.14 147
77,1496,1 12 11,34.5,1603366,139.59 78.14 147
78,1499,4 15 12,32.5,1602884,139.65 79.16 145
79,1499,3 14 13,33,1602879,139.46 78.72 146
80,1496,3 14 12,33,1602879,139.46 78.72 146
81,1500,5 13 14,32.5,1602858,140.39 77.67 147
82,1496,2 13 13,33.5,1602506,139.25 78.28 147
83,1491,1 15 10,33.5,1602393,138.5 79.79 145
84,1499,1 14 5,35,1602344,140.13 79.96 143
85,1496,0 11 12,35,1602232,139.37 77.68 148
86,1491,0 14 11,34,1602047,138.29 79.35 146
87,1496,1 12 14,34,1601765,139.05 77.84 148
88,1492,1 12 13,34,1601765,139.05 77.84 148
89,1500,3 13 9,34,1601756,140.56 78.59 145
90,1499,0 13 6,35.5,1601718,139.9 79.51 144
91,1497,3 11 15,33.5,1601683,140.01 76.78 149
92,1500,1 11 8,35.5,1601437,140.67 77.98 146
93,1499,2 15 7,34,1601385,139.8 80.1 143
94,1499,1 14 8,34.5,1601142,139.59 79.66 144
95,1495,1 14 7,34.5,1601142,139.59 79.66 144
96,1495,3 14 15,32.5,1601055,138.9 78.41 147
97,1491,3 14 14,32.5,1601055,138.9 78.41 147
98,1494,4 15 14,32,1601033,139.09 78.84 146
99,1490,1 15 13,33,1600745,137.96 79.47 146
100,1497,1 9 14,35,1600743,140.13 76.16 150
101,1492,2 13 15,33,1600709,138.71 77.98 148
102,1492,0 11 14,34.5,1600655,138.83 77.38 149
103,1495,0 13 8,35,1600534,139.37 79.2 145
104,1498,7 15 15,31,1600492,140.18 78.2 146
