rank,cp,ivs,maxlevel,stat-product,stats
1,1150,15 15 15,51,1205644,109.04 92.14 120
2,1146,15 15 14,51,1205644,109.04 92.14 120
3,1141,14 15 15,51,1196298,108.2 92.14 120
4,1137,14 15 14,51,1196298,108.2 92.14 120
5,1142,15 15 13,51,1195597,109.04 92.14 119
6,1145,15 14 15,51,1194583,109.04 91.29 120
7,1141,15 14 14,51,1194583,109.04 91.29 120
8,1132,13 15 15,51,1186952,107.35 92.14 120
9,1128,13 15 14,51,1186952,107.35 92.14 120
10,1133,14 15 13,51,1186329,108.2 92.14 119
11,1138,15 15 12,51,1185550,109.04 92.14 118
12,1136,14 14 15,51,1185322,108.2 91.29 120
13,1132,14 14 14,51,1185322,108.2 91.29 120
14,1137,15 14 13,51,1184628,109.04 91.29 119
15,1140,15 13 15,51,1183522,109.04 90.45 120
16,1136,15 13 14,51,1183522,109.04 90.45 120
17,1124,12 15 15,51,1177606,106.51 92.14 120
18,1120,12 15 14,51,1177606,106.51 92.14 120
19,1124,13 15 13,51,1177060,107.35 92.14 119
20,1129,14 15 12,51,1176359,108.2 92.14 118
21,1127,13 14 15,51,1176062,107.35 91.29 120
22,1123,13 14 14,51,1176062,107.35 91.29 120
23,1134,15 15 11,51,1175503,109.04 92.14 117
24,1128,14 14 13,51,1175445,108.2 91.29 119
25,1133,15 14 12,51,1174673,109.04 91.29 118
26,1131,14 13 15,51,1174347,108.2 90.45 120
27,1127,14 13 14,51,1174347,108.2 90.45 120
28,1132,15 13 13,51,1173659,109.04 90.45 119
29,1134,15 12 15,51,1172461,109.04 89.6 120
30,1130,15 12 14,51,1172461,109.04 89.6 120
31,1115,11 15 15,51,1168259,105.66 92.14 120
32,1111,11 15 14,51,1168259,105.66 92.14 120
33,1116,12 15 13,51,1167792,106.51 92.14 119
34,1120,13 15 12,51,1167169,107.35 92.14 118
35,1118,12 14 15,51,1166802,106.51 91.29 120
36,1114,12 14 14,51,1166802,106.51 91.29 120
37,1125,14 15 11,51,1166390,108.2 92.14 117
38,1119,13 14 13,51,1166262,107.35 91.29 119
39,1124,14 14 12,51,1165567,108.2 91.29 118
40,1130,15 15 10,51,1165456,109.04 92.14 116
41,1122,13 13 15,51,1165173,107.35 90.45 120
42,1118,13 13 14,51,1165173,107.35 90.45 120
43,1129,15 14 11,51,1164718,109.04 91.29 117
44,1123,14 13 13,51,1164561,108.2 90.45 119
45,1128,15 13 12,51,1163796,109.04 90.45 118
46,1126,14 12 15,51,1163372,108.2 89.6 120
47,1122,14 12 14,51,1163372,108.2 89.6 120
48,1126,15 12 13,51,1162690,109.04 89.6 119
49,1129,15 11 15,51,1161400,109.04 88.76 120
50,1125,15 11 14,51,1161400,109.04 88.76 120
51,1106,10 15 15,51,1158913,104.82 92.14 120
52,1102,10 15 14,51,1158913,104.82 92.14 120
53,1107,11 15 13,51,1158524,105.66 92.14 119
54,1112,12 15 12,51,1157979,106.51 92.14 118
55,1109,11 14 15,51,1157541,105.66 91.29 120
56,1106,11 14 14,51,1157541,105.66 91.29 120
57,1116,13 15 11,51,1157278,107.35 92.14 117
58,1110,12 14 13,51,1157078,106.51 91.29 119
59,1115,13 14 12,51,1156461,107.35 91.29 118
60,1121,14 15 10,51,1156421,108.2 92.14 116
61,1113,12 13 15,51,1155998,106.51 90.45 120
62,1109,12 13 14,51,1155998,106.51 90.45 120
63,1120,14 14 11,51,1155689,108.2 91.29 117
64,1114,13 13 13,51,1155463,107.35 90.45 119
65,1126,15 15 9,51,1155409,109.04 92.14 115
66,1119,14 13 12,51,1154775,108.2 90.45 118
67,1125,15 14 10,51,1154763,109.04 91.29 116
68,1117,13 12 15,51,1154283,107.35 89.6 120
69,1113,13 12 14,51,1154283,107.35 89.6 120
70,1124,15 13 11,51,1153934,109.04 90.45 117
71,1118,14 12 13,51,1153677,108.2 89.6 119
72,1122,15 12 12,51,1152920,109.04 89.6 118
73,1120,14 11 15,51,1152397,108.2 88.76 120
74,1116,14 11 14,51,1152397,108.2 88.76 120
75,1121,15 11 13,51,1151722,109.04 88.76 119
76,1124,15 10 15,51,1150339,109.04 87.91 120
77,1120,15 10 14,51,1150339,109.04 87.91 120
78,1097,9 15 15,51,1149567,103.97 92.14 120
79,1093,9 15 14,51,1149567,103.97 92.14 120
80,1098,10 15 13,51,1149256,104.82 92.14 119
81,1103,11 15 12,51,1148788,105.66 92.14 118
82,1101,10 14 15,51,1148281,104.82 91.29 120
83,1097,10 14 14,51,1148281,104.82 91.29 120
84,1108,12 15 11,51,1148165,106.51 92.14 117
85,1102,11 14 13,51,1147895,105.66 91.29 119
86,1112,13 15 10,51,1147387,107.35 92.14 116
87,1107,12 14 12,51,1147355,106.51 91.29 118
88,1104,11 13 15,51,1146824,105.66 90.45 120
89,1100,11 13 14,51,1146824,105.66 90.45 120
90,1111,13 14 11,51,1146661,107.35 91.29 117
91,1117,14 15 9,51,1146452,108.2 92.14 115
92,1105,12 13 13,51,1146365,106.51 90.45 119
93,1116,14 14 10,51,1145812,108.2 91.29 116
94,1110,13 13 12,51,1145753,107.35 90.45 118
95,1122,15 15 8,51,1145362,109.04 92.14 114
96,1118,15 15 7,51,1145362,109.04 92.14 114
97,1108,12 12 15,51,1145194,106.51 89.6 120
98,1104,12 12 14,51,1145194,106.51 89.6 120
99,1115,14 13 11,51,1144989,108.2 90.45 117
100,1121,15 14 9,51,1144809,109.04 91.29 115
101,1109,13 12 13,51,1144664,107.35 89.6 119
102,1120,15 13 10,51,1144071,109.04 90.45 116
103,1114,14 12 12,51,1143983,108.2 89.6 118
104,1111,13 11 15,51,1143394,107.35 88.76 120
105,1108,13 11 14,51,1143394,107.35 88.76 120
106,1118,15 12 11,51,1143149,109.04 89.6 117
107,1112,14 11 13,51,1142794,108.2 88.76 119
108,1117,15 11 12,51,1142043,109.04 88.76 118
109,1115,14 10 15,51,1141422,108.2 87.91 120
110,1111,14 10 14,51,1141422,108.2 87.91 120
111,1116,15 10 13,51,1140753,109.04 87.91 119
112,1088,8 15 15,51,1140221,103.13 92.14 120
113,1084,8 15 14,51,1140221,103.13 92.14 120
114,1089,9 15 13,51,1139988,103.97 92.14 119
115,1094,10 15 12,51,1139598,104.82 92.14 118
116,1118,15 9 15,51,1139278,109.04 87.07 120
117,1114,15 9 14,51,1139278,109.04 87.07 120
118,1099,11 15 11,51,1139053,105.66 92.14 117
119,1092,9 14 15,51,1139021,103.97 91.29 120
120,1088,9 14 14,51,1139021,103.97 91.29 120
121,1093,10 14 13,51,1138712,104.82 91.29 119
122,1104,12 15 10,51,1138352,106.51 92.14 116
123,1098,11 14 12,51,1138249,105.66 91.29 118
124,1095,10 13 15,51,1137649,104.82 90.45 120
125,1092,10 13 14,51,1137649,104.82 90.45 120
126,1103,12 14 11,51,1137632,106.51 91.29 117
127,1108,13 15 9,51,1137495,107.35 92.14 115
