rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 15 14,51,1733541,129.33 85.38 157
2,1500,1 14 14,51,1727595,130.18 84.53 157
3,1494,0 14 15,51,1727309,129.33 84.53 158
4,1500,2 15 14,50,1724433,130.25 84.87 156
5,1494,1 15 15,50,1724290,129.41 84.87 157
6,1499,1 15 14,50.5,1724128,129.81 85.14 156
7,1494,0 15 15,50.5,1723913,128.97 85.14 157
8,1500,1 15 12,51,1722643,130.18 85.38 155
9,1494,0 15 13,51,1722499,129.33 85.38 156
10,1497,1 13 15,51,1721213,130.18 83.68 158
11,1496,2 14 15,50,1718304,130.25 84.03 157
12,1496,1 14 15,50.5,1718000,129.81 84.29 157
13,1496,1 14 13,51,1716591,130.18 84.53 156
14,1490,0 14 14,51,1716377,129.33 84.53 157
15,1495,3 15 15,49,1714966,130.31 84.37 156
16,1499,2 12 15,51,1714891,131.02 82.84 158
17,1495,2 15 15,49.5,1714863,129.88 84.63 156
18,1497,3 15 13,49.5,1714863,130.72 84.63 155
19,1496,2 15 13,50,1713379,130.25 84.87 155
20,1495,1 15 13,50.5,1713076,129.81 85.14 155
21,1497,2 15 11,50.5,1713076,130.66 85.14 154
22,1498,3 13 15,50,1712096,131.09 83.19 157
23,1498,2 13 15,50.5,1711864,130.66 83.45 157
24,1495,1 15 11,51,1711530,130.18 85.38 154
25,1490,0 15 12,51,1711457,129.33 85.38 155
26,1498,2 13 13,51,1710461,131.02 83.68 156
27,1493,1 13 14,51,1710319,130.18 83.68 157
28,1487,0 13 15,51,1710036,129.33 83.68 158
29,1497,4 14 15,49,1708870,131.14 83.53 156
30,1497,3 14 15,49.5,1708838,130.72 83.8 156
31,1499,4 14 13,49.5,1708768,131.56 83.8 155
32,1492,2 14 14,50,1707359,130.25 84.03 156
33,1498,3 14 13,50,1707359,131.09 84.03 155
34,1498,2 14 13,50.5,1707128,130.66 84.29 155
35,1493,2 14 12,50.5,1707128,130.66 84.29 155
36,1499,3 14 11,50.5,1707057,131.5 84.29 154
37,1500,4 12 15,50,1705666,131.93 82.35 157
38,1492,1 14 12,51,1705588,130.18 84.53 155
