rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 15 15,49,2040195,110.26 118.61 156
2,1496,0 15 14,49,2027117,110.26 118.61 155
3,1498,0 15 12,49.5,2026911,110.61 118.99 154
4,1495,0 14 15,49,2025828,110.26 117.78 156
5,1496,0 14 13,49.5,2025707,110.61 118.15 155
6,1499,0 13 15,49.5,2024316,110.61 117.32 156
7,1500,0 13 13,50,2022564,110.92 117.64 155
8,1498,0 12 14,50,2021073,110.92 116.8 156
9,1500,0 12 12,50.5,2020800,111.27 117.17 155
10,1497,0 11 15,50,2019395,110.92 115.96 157
11,1500,2 14 15,48,2018950,111.26 117.07 155
12,1494,1 15 15,48,2018095,110.43 117.9 155
13,1499,1 15 14,48.5,2018045,110.79 118.28 154
14,1495,1 15 13,48.5,2018045,110.79 118.28 154
15,1498,1 14 15,48.5,2016846,110.79 117.45 155
16,1499,1 15 12,49,2016120,111.09 118.61 153
17,1498,1 14 13,49,2015006,111.09 117.78 154
18,1500,1 14 11,49.5,2014717,111.45 118.15 153
19,1492,0 15 13,49,2014039,110.26 118.61 154
20,1500,0 9 14,51,2013882,111.58 114.96 157
21,1494,0 15 11,49.5,2013750,110.61 118.99 153
22,1497,1 13 14,49,2013707,111.09 116.94 155
23,1498,1 13 12,49.5,2013503,111.45 117.32 154
24,1491,0 14 14,49,2012842,110.26 117.78 155
25,1500,1 14 9,50,2012718,111.76 118.48 152
26,1492,0 14 12,49.5,2012637,110.61 118.15 154
27,1496,1 12 15,49,2012222,111.09 116.11 156
28,1497,1 12 13,49.5,2012102,111.45 116.48 155
29,1498,0 8 15,51,2011807,111.58 114.12 158
30,1498,0 15 10,50,2011752,110.92 119.32 152
31,1494,0 15 9,50,2011752,110.92 119.32 152
32,1495,0 13 14,49.5,2011340,110.61 117.32 155
33,1499,0 15 8,50.5,2011139,111.27 119.7 151
34,1500,3 15 13,47.5,2010811,111.78 117.58 153
35,1498,3 15 15,47,2010789,111.42 117.19 154
36,1497,0 14 11,50,2010727,110.92 118.48 153
37,1500,1 11 15,49.5,2010514,111.45 115.64 156
38,1498,0 14 9,50.5,2010201,111.27 118.86 152
39,1494,0 12 15,49.5,2009857,110.61 116.48 156
40,1498,3 14 14,47.5,2009701,111.78 116.75 154
41,1495,0 13 12,50,2009515,110.92 117.64 154
42,1497,0 13 10,50.5,2009075,111.27 118.01 153
43,1499,0 15 6,51,2008978,111.58 120.03 150
44,1497,2 15 15,47.5,2008961,110.95 117.58 154
45,1493,2 15 14,47.5,2008961,110.95 117.58 154
46,1500,1 11 13,50,2008774,111.76 115.96 155
47,1498,0 14 7,51,2008129,111.58 119.19 151
48,1494,0 12 13,50,2008117,110.92 116.8 155
49,1495,0 12 11,50.5,2007762,111.27 117.17 154
50,1497,0 13 8,51,2007092,111.58 118.34 152
51,1499,1 10 14,50,2007083,111.76 115.12 156
52,1497,2 15 13,48,2007033,111.26 117.9 153
53,1498,2 15 11,48.5,2006813,111.62 118.28 152
54,1500,1 10 12,50.5,2006812,112.11 115.48 155
55,1493,0 11 14,50,2006533,110.92 115.96 156
56,1498,0 11 13,50.5,2006261,111.27 116.33 155
57,1494,0 11 12,50.5,2006261,111.27 116.33 155
58,1496,2 14 14,48,2005925,111.26 117.07 154
59,1500,0 12 10,51,2005865,111.58 117.5 153
60,1497,2 14 12,48.5,2005790,111.62 117.45 153
61,1497,1 9 15,50,2005205,111.76 114.28 157
62,1500,3 12 15,48,2005166,112.09 115.41 155
63,1491,0 10 15,50,2004762,110.92 115.12 157
