rank,cp,ivs,maxlevel,stat-product,stats
1,1500,2 15 14,23,1928962,116.6 139.02 119
2,1499,0 9 15,23.5,1927207,116.56 136.64 121
3,1500,0 14 11,23.5,1923961,116.56 139.88 118
4,1497,0 12 12,23.5,1922300,116.56 138.58 119
5,1498,0 10 14,23.5,1920338,116.56 137.29 120
6,1497,2 14 14,23,1920073,116.6 138.38 119
7,1500,1 7 15,23.5,1919545,117.21 135.34 121
8,1496,1 15 15,23,1918363,115.96 139.02 119
9,1492,1 15 14,23,1918363,115.96 139.02 119
10,1500,1 14 9,23.5,1918255,117.21 139.88 117
11,1495,0 8 15,23.5,1918073,116.56 135.99 121
12,1500,0 15 10,23.5,1916488,116.56 140.53 117
13,1495,0 15 9,23.5,1916488,116.56 140.53 117
14,1497,0 13 11,23.5,1915054,116.56 139.23 118
15,1499,1 10 12,23.5,1914915,117.21 137.29 119
16,1498,0 11 13,23.5,1913318,116.56 137.93 119
17,1494,0 11 12,23.5,1913318,116.56 137.93 119
18,1500,1 8 14,23.5,1912789,117.21 135.99 120
19,1496,2 15 13,23,1912752,116.6 139.02 118
20,1498,3 12 14,23,1912746,117.24 137.1 119
21,1495,0 9 14,23.5,1911280,116.56 136.64 120
22,1497,2 13 15,23,1911183,116.6 137.74 119
23,1493,2 13 14,23,1911183,116.6 137.74 119
24,1500,1 15 8,23.5,1910664,117.21 140.53 116
25,1496,1 6 15,23.5,1910360,117.21 134.7 121
26,1493,1 14 15,23,1909523,115.96 138.38 119
27,1489,1 14 14,23,1909523,115.96 138.38 119
28,1497,1 13 9,23.5,1909374,117.21 139.23 117
29,1492,0 7 15,23.5,1908940,116.56 135.34 121
30,1499,0 6 10,24,1908168,117.8 136.12 119
31,1498,1 11 11,23.5,1907780,117.21 137.93 118
32,1488,0 15 15,23,1907764,115.32 139.02 119
33,1484,0 15 14,23,1907764,115.32 139.02 119
34,1496,0 14 10,23.5,1907656,116.56 139.88 117
35,1492,0 14 9,23.5,1907656,116.56 139.88 117
36,1500,2 8 12,23.5,1907329,117.86 135.99 119
37,1500,3 15 12,23,1906963,117.24 139.02 117
38,1496,3 15 11,23,1906963,117.24 139.02 117
