rank,cp,ivs,maxlevel,stat-product,stats
1,1497,0 14 11,24.5,1712310,130.92 113.73 115
2,1497,0 11 14,24.5,1711704,130.92 111.75 117
3,1500,1 13 11,24.5,1710952,131.58 113.07 115
4,1495,1 15 15,24,1710373,130.23 113.22 116
5,1500,1 10 14,24.5,1710169,131.58 111.08 117
6,1498,2 14 15,24,1709032,130.89 112.56 116
7,1497,0 15 10,24.5,1707289,130.92 114.39 114
8,1497,0 12 13,24.5,1707116,130.92 112.41 116
9,1500,1 14 10,24.5,1705993,131.58 113.73 114
10,1500,1 11 13,24.5,1705645,131.58 111.75 116
11,1498,2 15 14,24,1704149,130.89 113.22 115
12,1494,2 15 13,24,1704149,130.89 113.22 115
13,1497,3 14 13,24,1702770,131.54 112.56 115
14,1497,0 13 12,24.5,1702354,130.92 113.07 115
15,1493,0 13 11,24.5,1702354,130.92 113.07 115
16,1488,0 15 15,24,1701778,129.58 113.22 116
17,1496,0 10 15,24.5,1701575,130.92 111.08 117
18,1492,0 10 14,24.5,1701575,130.92 111.08 117
19,1500,4 13 13,24,1701293,132.2 111.91 115
20,1500,1 12 12,24.5,1700947,131.58 112.41 115
21,1496,1 12 11,24.5,1700947,131.58 112.41 115
22,1500,1 15 9,24.5,1700860,131.58 114.39 113
23,1496,1 15 8,24.5,1700860,131.58 114.39 113
24,1491,1 14 15,24,1700487,130.23 112.56 116
25,1500,1 9 15,24.5,1699990,131.58 110.42 117
26,1495,1 9 14,24.5,1699990,131.58 110.42 117
27,1499,2 14 8,24.5,1699526,132.24 113.73 113
28,1499,2 11 11,24.5,1699438,132.24 111.75 115
29,1494,2 13 15,24,1699096,130.89 111.91 116
30,1500,0 5 14,25,1699033,132.25 108.87 118
31,1498,2 8 14,24.5,1698302,132.24 109.76 117
32,1497,3 15 12,24,1697777,131.54 113.22 114
33,1497,3 12 15,24,1697605,131.54 111.25 116
34,1493,0 14 10,24.5,1697420,130.92 113.73 114
35,1492,0 11 13,24.5,1697074,130.92 111.75 116
36,1500,4 14 12,24,1696362,132.2 112.56 114
37,1496,1 13 10,24.5,1696074,131.58 113.07 114
38,1500,4 11 15,24,1696015,132.2 110.6 116
39,1491,1 15 14,24,1695629,130.23 113.22 115
40,1487,1 15 13,24,1695629,130.23 113.22 115
41,1496,1 10 13,24.5,1695552,131.58 111.08 116
42,1500,0 6 13,25,1694969,132.25 109.54 117
43,1499,2 12 10,24.5,1694629,132.24 112.41 114
44,1494,2 14 14,24,1694299,130.89 112.56 115
45,1490,2 14 13,24,1694299,130.89 112.56 115
46,1499,2 15 7,24.5,1694279,132.24 114.39 112
47,1499,2 9 13,24.5,1693929,132.24 110.42 116
48,1493,5 15 15,23.5,1693667,131.46 112.03 115
49,1497,3 13 14,24,1692871,131.54 111.91 115
50,1493,3 13 13,24,1692871,131.54 111.91 115
51,1493,0 12 12,24.5,1692399,130.92 112.41 115
52,1488,0 12 11,24.5,1692399,130.92 112.41 115
53,1493,0 15 9,24.5,1692313,130.92 114.39 113
54,1488,0 15 8,24.5,1692313,130.92 114.39 113
55,1496,6 14 15,23.5,1692172,132.11 111.38 115
56,1483,0 14 15,24,1691942,129.58 112.56 116
57,1497,0 10 8,25,1691789,132.25 112.21 114
58,1497,0 13 5,25,1691789,132.25 114.22 112
59,1492,0 9 15,24.5,1691447,130.92 110.42 117
60,1488,0 9 14,24.5,1691447,130.92 110.42 117
61,1500,4 12 14,24,1691344,132.2 111.25 115
62,1496,4 12 13,24,1691344,132.2 111.25 115
63,1496,4 15 10,24,1691257,132.2 113.22 113
64,1496,1 14 9,24.5,1691028,131.58 113.73 113
65,1492,1 14 8,24.5,1691028,131.58 113.73 113
66,1496,1 11 12,24.5,1690941,131.58 111.75 115
67,1491,1 11 11,24.5,1690941,131.58 111.75 115
68,1496,0 7 11,25,1690729,132.25 110.21 116
69,1486,1 13 15,24,1690600,130.23 111.91 116
70,1499,7 13 15,23.5,1690580,132.75 110.74 115
71,1500,1 12 5,25,1690390,132.92 113.55 112
72,1500,1 9 8,25,1690213,132.92 111.54 114
73,1495,1 8 15,24.5,1689810,131.58 109.76 117
74,1491,1 8 14,24.5,1689810,131.58 109.76 117
75,1499,5 14 10,24,1689805,132.85 112.56 113
76,1499,5 11 13,24,1689718,132.85 110.6 115
77,1499,2 13 9,24.5,1689645,132.24 113.07 113
78,1495,2 13 8,24.5,1689645,132.24 113.07 113
79,1499,1 15 2,25,1689502,132.92 115.55 110
80,1499,2 10 12,24.5,1689382,132.24 111.08 115
81,1495,2 10 11,24.5,1689382,132.24 111.08 115
82,1490,2 15 12,24,1689331,130.89 113.22 114
83,1490,2 12 15,24,1689159,130.89 111.25 116
84,1499,1 6 11,25,1688970,132.92 109.54 116
85,1500,0 4 15,25,1688609,132.25 108.21 118
86,1495,0 4 14,25,1688609,132.25 108.21 118
87,1498,3 12 8,24.5,1688163,132.91 112.41 113
88,1498,2 7 15,24.5,1688071,132.24 109.1 117
89,1494,2 7 14,24.5,1688071,132.24 109.1 117
90,1493,3 14 12,24,1687964,131.54 112.56 114
91,1498,3 9 11,24.5,1687723,132.91 110.42 115
92,1493,3 11 15,24,1687619,131.54 110.6 116
93,1488,0 13 10,24.5,1687551,130.92 113.07 114
94,1498,3 15 5,24.5,1687547,132.91 114.39 111
95,1497,6 15 14,23.5,1687210,132.11 112.03 114
96,1483,0 15 14,24,1687108,129.58 113.22 115
97,1479,0 15 13,24,1687108,129.58 113.22 115
98,1488,0 10 13,24.5,1687032,130.92 111.08 116
99,1497,0 11 7,25,1686931,132.25 112.88 113
100,1498,1 3 14,25,1686662,132.92 107.54 118
101,1496,4 13 12,24,1686499,132.2 111.91 114
102,1497,0 14 4,25,1686489,132.25 114.88 111
103,1496,0 8 10,25,1686313,132.25 110.88 115
104,1497,3 6 14,24.5,1686229,132.91 108.44 117
105,1492,1 12 10,24.5,1686156,131.58 112.41 114
106,1496,4 10 15,24,1685980,132.2 109.95 116
107,1500,4 8 11,24.5,1685963,133.57 109.76 115
108,1487,1 14 14,24,1685827,130.23 112.56 115
109,1482,1 14 13,24,1685827,130.23 112.56 115
110,1492,1 15 7,24.5,1685808,131.58 114.39 112
111,1500,7 14 14,23.5,1685680,132.75 111.38 114
112,1491,1 9 13,24.5,1685460,131.58 110.42 116
113,1500,1 10 7,25,1685419,132.92 112.21 113
114,1486,4 15 15,23.5,1685324,130.81 112.03 115
115,1500,1 13 4,25,1685152,132.92 114.22 111
116,1499,5 12 12,24,1684937,132.85 111.25 114
117,1495,2 11 10,24.5,1684661,132.24 111.75 114
118,1496,0 5 13,25,1684634,132.25 108.87 117
119,1499,1 7 10,25,1684620,132.92 110.21 115
120,1499,5 15 9,24,1684589,132.85 113.22 112
121,1500,0 6 6,25.5,1684547,133.57 110.63 114
122,1495,2 14 7,24.5,1684486,132.24 113.73 112
123,1490,2 13 14,24,1684448,130.89 111.91 115
124,1485,2 13 13,24,1684448,130.89 111.91 115
125,1500,4 5 14,24.5,1684285,133.57 107.78 117
126,1498,5 9 15,24,1684241,132.85 109.29 116
127,1489,5 14 15,23.5,1683877,131.46 111.38 115
128,1494,2 8 13,24.5,1683786,132.24 109.76 116
129,1498,10 15 15,23,1683681,133.26 110.83 114
130,1498,3 10 10,24.5,1683066,132.91 111.08 114
131,1498,3 13 7,24.5,1683066,132.91 113.07 112
132,1493,3 12 14,24,1682971,131.54 111.25 115
133,1489,3 12 13,24,1682971,131.54 111.25 115
134,1493,3 15 11,24,1682885,131.54 113.22 113
135,1489,3 15 10,24,1682885,131.54 113.22 113
136,1499,1 4 13,25,1682755,132.92 108.21 117
137,1499,0 3 9,25.5,1682745,133.57 108.61 116
138,1488,0 14 9,24.5,1682530,130.92 113.73 113
139,1484,0 14 8,24.5,1682530,130.92 113.73 113
140,1488,0 11 12,24.5,1682444,130.92 111.75 115
141,1484,0 11 11,24.5,1682444,130.92 111.75 115
142,1492,6 13 15,23.5,1682334,132.11 110.74 115
143,1479,0 13 15,24,1682105,129.58 111.91 116
144,1497,3 7 13,24.5,1682011,132.91 109.1 116
145,1500,11 14 15,23,1681997,133.9 110.19 114
146,1497,0 12 6,25,1681896,132.25 113.55 112
147,1492,0 12 5,25,1681896,132.25 113.55 112
148,1497,0 9 9,25,1681719,132.25 111.54 114
149,1492,0 9 8,25,1681719,132.25 111.54 114
150,1496,4 14 11,24,1681481,132.2 112.56 113
151,1492,4 14 10,24,1681481,132.2 112.56 113
152,1496,4 11 14,24,1681395,132.2 110.6 115
153,1492,4 11 13,24,1681395,132.2 110.6 115
154,1488,0 8 15,24.5,1681318,130.92 109.76 117
155,1483,0 8 14,24.5,1681318,130.92 109.76 117
156,1492,1 13 9,24.5,1681197,131.58 113.07 113
157,1487,1 13 8,24.5,1681197,131.58 113.07 113
158,1496,0 15 3,25,1681013,132.25 115.55 110
159,1492,0 15 2,25,1681013,132.25 115.55 110
160,1491,1 10 12,24.5,1680936,131.58 111.08 115
161,1487,1 10 11,24.5,1680936,131.58 111.08 115
162,1482,1 15 12,24,1680884,130.23 113.22 114
163,1482,1 12 15,24,1680714,130.23 111.25 116
164,1495,7 12 15,23.5,1680694,132.75 110.09 115
165,1500,7 15 13,23.5,1680608,132.75 112.03 113
166,1495,7 15 12,23.5,1680608,132.75 112.03 113
167,1496,0 6 12,25,1680483,132.25 109.54 116
168,1492,0 6 11,25,1680483,132.25 109.54 116
169,1500,1 11 6,25,1680447,132.92 112.88 112
170,1495,1 11 5,25,1680447,132.92 112.88 112
171,1500,0 10 2,25.5,1680222,133.57 113.33 111
172,1500,4 6 13,24.5,1680135,133.57 108.44 116
173,1500,1 8 9,25,1680092,132.92 110.88 114
174,1495,1 8 8,25,1680092,132.92 110.88 114
175,1499,5 13 11,24,1679981,132.85 111.91 113
176,1495,5 13 10,24,1679981,132.85 111.91 113
177,1500,0 7 5,25.5,1679952,133.57 111.31 113
178,1498,0 0 12,25.5,1679862,133.57 106.58 118
179,1495,2 12 9,24.5,1679764,132.24 112.41 113
180,1490,2 12 8,24.5,1679764,132.24 112.41 113
181,1500,1 14 3,25,1679737,132.92 114.88 110
182,1495,1 14 2,25,1679737,132.92 114.88 110
183,1499,5 10 14,24,1679720,132.85 109.95 115
184,1494,5 10 13,24,1679720,132.85 109.95 115
185,1491,1 7 15,24.5,1679630,131.58 109.1 117
186,1486,1 7 14,24.5,1679630,131.58 109.1 117
187,1486,2 14 12,24,1679566,130.89 112.56 114
188,1494,2 9 12,24.5,1679327,132.24 110.42 115
189,1490,2 9 11,24.5,1679327,132.24 110.42 115
190,1485,2 11 15,24,1679223,130.89 110.6 116
191,1495,2 15 6,24.5,1679152,132.24 114.39 111
192,1490,2 15 5,24.5,1679152,132.24 114.39 111
193,1498,8 14 12,23.5,1679044,133.4 111.38 113
194,1498,8 11 15,23.5,1678958,133.4 109.44 115
195,1489,5 15 14,23.5,1678939,131.46 112.03 114
196,1499,2 10 5,25,1678898,133.59 112.21 112
197,1499,1 5 12,25,1678671,132.92 108.87 116
198,1495,1 5 11,25,1678671,132.92 108.87 116
199,1499,0 4 8,25.5,1678600,133.57 109.28 115
200,1498,6 12 10,24,1678384,133.5 111.25 113
201,1498,2 7 8,25,1678362,133.59 110.21 114
202,1498,2 13 2,25,1678362,133.59 114.22 110
203,1498,3 11 9,24.5,1678232,132.91 111.75 113
204,1493,3 11 8,24.5,1678232,132.91 111.75 113
205,1495,0 3 15,25,1678186,132.25 107.54 118
206,1491,0 3 14,25,1678186,132.25 107.54 118
207,1489,3 13 12,24,1678150,131.54 111.91 114
208,1497,6 9 13,24,1677947,133.5 109.29 115
209,1494,2 6 15,24.5,1677840,132.24 108.44 117
210,1489,2 6 14,24.5,1677840,132.24 108.44 117
211,1498,3 14 6,24.5,1677793,132.91 113.73 111
212,1493,3 14 5,24.5,1677793,132.91 113.73 111
213,1498,6 15 7,24,1677772,133.5 113.22 111
214,1484,0 12 10,24.5,1677683,130.92 112.41 114
215,1488,3 10 15,24,1677633,131.54 109.95 116
216,1497,3 8 12,24.5,1677617,132.91 109.76 115
217,1493,3 8 11,24.5,1677617,132.91 109.76 115
218,1492,6 14 14,23.5,1677457,132.11 111.38 114
219,1479,0 14 14,24,1677356,129.58 112.56 115
220,1475,0 14 13,24,1677356,129.58 112.56 115
221,1484,0 15 7,24.5,1677336,130.92 114.39 112
222,1484,0 9 13,24.5,1676990,130.92 110.42 116
223,1479,3 15 15,23.5,1676981,130.16 112.03 115
224,1492,0 10 7,25,1676949,132.25 112.21 113
225,1498,2 4 11,25,1676756,133.59 108.21 116
226,1492,0 13 4,25,1676684,132.25 114.22 111
227,1492,4 12 12,24,1676636,132.2 111.25 114
228,1496,4 10 8,24.5,1676602,133.57 111.08 113
229,1496,4 13 5,24.5,1676337,133.57 113.07 111
230,1492,4 15 9,24,1676290,132.2 113.22 112
231,1487,1 11 10,24.5,1676237,131.58 111.75 114
232,1498,1 2 15,25,1676185,132.92 106.87 118
233,1494,1 2 14,25,1676185,132.92 106.87 118
234,1498,0 1 11,25.5,1676167,133.57 107.26 117
235,1492,0 7 10,25,1676154,132.25 110.21 115
236,1500,7 8 13,24,1676075,134.16 108.64 115
237,1487,1 14 7,24.5,1676063,131.58 113.73 112
238,1482,1 13 14,24,1676026,130.23 111.91 115
239,1478,1 13 13,24,1676026,130.23 111.91 115
240,1496,3 5 15,24.5,1675947,132.91 107.78 117
241,1492,3 5 14,24.5,1675947,132.91 107.78 117
242,1491,4 9 15,24,1675944,132.2 109.29 116
243,1495,7 13 14,23.5,1675880,132.75 110.74 114
244,1500,4 7 12,24.5,1675807,133.57 109.1 115
245,1496,4 7 11,24.5,1675807,133.57 109.1 115
246,1490,9 15 15,23,1675586,132.62 110.83 114
247,1482,4 14 15,23.5,1675582,130.81 111.38 115
