rank,cp,ivs,maxlevel,stat-product,stats
1,1498,1 15 15,27,1859892,120.78 130.5 118
2,1499,0 15 11,27.5,1851532,121.19 131.7 116
3,1499,2 13 15,27,1850681,121.48 129.11 118
4,1494,1 14 15,27,1849999,120.78 129.8 118
5,1490,0 15 15,27,1849203,120.09 130.5 118
6,1497,0 10 15,27.5,1848900,121.19 128.2 119
7,1500,0 13 13,27.5,1847627,121.19 130.3 117
8,1498,2 14 14,27,1844863,121.48 129.8 117
9,1494,1 15 14,27,1844130,120.78 130.5 117
10,1497,0 11 14,27.5,1843382,121.19 128.9 118
11,1500,1 13 11,27.5,1842424,121.89 130.3 116
12,1500,0 14 12,27.5,1841684,121.19 131 116
13,1495,0 14 11,27.5,1841684,121.19 131 116
14,1499,3 11 15,27,1841243,122.17 127.72 118
15,1495,2 12 15,27,1840731,121.48 128.42 118
16,1490,1 13 15,27,1840106,120.78 129.11 118
17,1486,0 14 15,27,1839367,120.09 129.8 118
18,1497,1 8 15,27.5,1839264,121.89 126.8 119
19,1498,2 15 13,27,1838876,121.48 130.5 116
20,1493,0 9 15,27.5,1838797,121.19 127.5 119
21,1496,0 12 13,27.5,1837693,121.19 129.6 117
22,1499,0 15 5,28,1836449,122.29 132.89 113
23,1499,1 14 10,27.5,1836361,121.89 131 115
24,1499,0 4 15,28,1836103,122.29 125.12 120
25,1498,0 7 12,28,1836103,122.29 127.24 118
26,1500,5 15 14,26.5,1835755,122.41 129.28 116
27,1495,0 15 10,27.5,1835571,121.19 131.7 115
28,1499,3 12 14,27,1835561,122.17 128.42 117
29,1494,2 13 14,27,1834997,121.48 129.11 117
30,1490,1 14 14,27,1834321,120.78 129.8 117
31,1497,1 9 14,27.5,1833884,121.89 127.5 118
32,1485,0 15 14,27,1833532,120.09 130.5 117
33,1498,3 15 11,27,1833441,122.17 130.5 115
34,1493,0 10 14,27.5,1833363,121.19 128.2 118
35,1500,2 11 11,27.5,1833087,122.6 128.9 116
36,1500,0 13 7,28,1832991,122.29 131.48 114
37,1500,1 12 12,27.5,1832518,121.89 129.6 116
38,1496,1 12 11,27.5,1832518,121.89 129.6 116
39,1496,0 13 12,27.5,1831835,121.19 130.3 116
40,1491,0 13 11,27.5,1831835,121.19 130.3 116
41,1500,4 9 15,27,1831577,122.86 126.33 118
42,1495,3 10 15,27,1831236,122.17 127.03 118
43,1499,0 5 14,28,1831089,122.29 125.83 119
44,1499,2 14 8,27.5,1830854,122.6 131 114
45,1491,2 11 15,27,1830781,121.48 127.72 118
46,1498,0 8 11,28,1830657,122.29 127.95 117
47,1486,1 12 15,27,1830213,120.78 128.42 118
48,1499,1 15 9,27.5,1830127,121.89 131.7 114
49,1494,1 15 8,27.5,1830127,121.89 131.7 114
50,1499,3 13 13,27,1829710,122.17 129.11 116
51,1482,0 13 15,27,1829530,120.09 129.11 118
52,1498,2 6 15,27.5,1829394,122.6 125.4 119
53,1497,0 11 8,28,1829187,122.29 130.07 115
54,1493,1 7 15,27.5,1829102,121.89 126.1 119
55,1494,2 14 13,27,1829095,121.48 129.8 116
56,1489,0 8 15,27.5,1828694,121.19 126.8 119
57,1489,1 15 13,27,1828368,120.78 130.5 116
58,1497,1 10 13,27.5,1828334,121.89 128.2 117
59,1492,0 11 13,27.5,1827760,121.19 128.9 117
60,1499,1 13 5,28,1827414,123 131.48 113
61,1500,2 12 10,27.5,1827161,122.6 129.6 115
62,1499,0 14 6,28,1826680,122.29 132.19 113
63,1495,0 14 5,28,1826680,122.29 132.19 113
64,1495,1 13 10,27.5,1826541,121.89 130.3 115
65,1500,6 13 14,26.5,1826429,123.1 127.91 116
66,1499,1 5 12,28,1826197,123 125.83 118
67,1499,4 10 14,27,1826034,122.86 127.03 117
68,1500,5 14 15,26.5,1825990,122.41 128.6 116
69,1496,5 14 14,26.5,1825990,122.41 128.6 116
70,1499,0 6 13,28,1825902,122.29 126.53 118
71,1494,0 6 12,28,1825902,122.29 126.53 118
72,1499,1 2 15,28,1825849,123 123.7 120
73,1491,0 14 10,27.5,1825807,121.19 131 115
74,1495,0 3 15,28,1825730,122.29 124.41 120
75,1495,3 11 14,27,1825639,122.17 127.72 117
76,1496,4 15 15,26.5,1825442,121.72 129.28 116
77,1492,4 15 14,26.5,1825442,121.72 129.28 116
78,1490,2 12 14,27,1825132,121.48 128.42 117
79,1498,0 9 10,28,1825038,122.29 128.65 116
80,1486,1 13 14,27,1824512,120.78 129.11 117
81,1498,2 15 7,27.5,1824499,122.6 131.7 113
82,1498,4 13 11,27,1824243,122.86 129.11 115
83,1497,2 7 14,27.5,1824156,122.6 126.1 118
84,1493,1 8 14,27.5,1823808,121.89 126.8 118
85,1481,0 14 14,27,1823779,120.09 129.8 117
86,1498,3 14 12,27,1823689,122.17 129.8 115
87,1494,3 14 11,27,1823689,122.17 129.8 115
88,1488,0 9 14,27.5,1823345,121.19 127.5 118
89,1496,0 12 7,28,1823136,122.29 130.77 114
90,1496,2 10 11,27.5,1823125,122.6 128.2 116
91,1494,2 15 12,27,1823024,121.48 130.5 115
92,1489,2 15 11,27,1823024,121.48 130.5 115
93,1496,1 11 12,27.5,1822613,121.89 128.9 116
94,1492,1 11 11,27.5,1822613,121.89 128.9 116
95,1492,0 12 12,27.5,1821986,121.19 129.6 116
96,1487,0 12 11,27.5,1821986,121.19 129.6 116
97,1499,0 1 12,28.5,1821911,123.38 124.09 119
98,1500,5 7 15,27,1821684,123.56 124.95 118
99,1499,3 12 8,27.5,1821623,123.3 129.6 114
100,1496,4 8 15,27,1821514,122.86 125.64 118
101,1491,3 9 15,27,1821229,122.17 126.33 118
102,1499,2 13 9,27.5,1821064,122.6 130.3 114
103,1495,2 13 8,27.5,1821064,122.6 130.3 114
104,1499,1 3 14,28,1820981,123 124.41 119
105,1499,1 14 4,28,1820981,123 132.19 112
106,1498,1 6 11,28,1820894,123 126.53 117
107,1487,2 10 15,27,1820831,121.48 127.03 118
108,1495,0 4 14,28,1820802,122.29 125.12 119
109,1494,0 7 11,28,1820543,122.29 127.24 117
110,1500,6 14 13,26.5,1820419,123.1 128.6 115
