rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 15 14,28.5,1726190,129.8 105.55 126
2,1498,0 15 8,29,1714659,130.93 106.47 123
3,1497,0 14 15,28.5,1714526,129.8 104.84 126
4,1493,0 14 14,28.5,1714526,129.8 104.84 126
5,1493,0 15 13,28.5,1712490,129.8 105.55 125
6,1500,1 13 15,28.5,1712219,130.51 104.12 126
7,1496,1 13 14,28.5,1712219,130.51 104.12 126
8,1497,0 9 15,29,1712022,130.93 102.15 128
9,1498,0 10 14,29,1710609,130.93 102.87 127
10,1497,1 14 13,28.5,1710265,130.51 104.84 125
11,1500,3 15 15,28,1710172,130.77 104.62 125
12,1496,3 15 14,28,1710172,130.77 104.62 125
13,1499,2 12 14,28.5,1709784,131.22 103.41 126
14,1500,1 8 15,29,1709306,131.65 101.44 128
15,1499,0 11 13,29,1709008,130.93 103.59 126
16,1497,1 15 12,28.5,1708124,130.51 105.55 124
17,1493,1 15 11,28.5,1708124,130.51 105.55 124
18,1500,2 13 13,28.5,1707912,131.22 104.12 125
19,1499,4 14 14,28,1707799,131.48 103.91 125
20,1500,0 12 12,29,1707218,130.93 104.31 125
21,1496,0 12 11,29,1707218,130.93 104.31 125
22,1500,2 14 12,28.5,1705854,131.22 104.84 124
23,1496,2 14 11,28.5,1705854,131.22 104.84 124
24,1500,4 15 13,28,1705661,131.48 104.62 124
25,1496,0 13 10,29,1705240,130.93 105.03 124
26,1499,1 11 11,29,1704760,131.65 103.59 125
27,1497,2 15 10,28.5,1703608,131.22 105.55 123
28,1499,3 13 11,28.5,1703457,131.94 104.12 124
29,1497,0 14 9,29,1703074,130.93 105.75 123
30,1493,0 14 8,29,1703074,130.93 105.75 123
31,1500,1 12 10,29,1702866,131.65 104.31 124
32,1492,0 13 15,28.5,1702863,129.8 104.12 126
33,1488,0 13 14,28.5,1702863,129.8 104.12 126
34,1500,0 8 11,29.5,1702261,132.05 102.31 126
35,1500,3 14 10,28.5,1701293,131.94 104.84 123
36,1492,2 15 15,28,1700928,130.07 104.62 125
37,1488,2 15 14,28,1700928,130.07 104.62 125
38,1488,0 14 13,28.5,1700919,129.8 104.84 125
39,1500,1 13 9,29,1700782,131.65 105.03 123
40,1496,1 13 8,29,1700782,131.65 105.03 123
41,1494,0 15 7,29,1700719,130.93 106.47 122
42,1495,1 12 15,28.5,1700492,130.51 103.41 126
43,1491,1 12 14,28.5,1700492,130.51 103.41 126
44,1492,0 8 15,29,1699966,130.93 101.44 128
45,1498,0 10 8,29.5,1699004,132.05 103.76 124
46,1489,0 15 12,28.5,1698790,129.8 105.55 124
47,1485,0 15 11,28.5,1698790,129.8 105.55 124
48,1493,0 9 14,29,1698647,130.93 102.15 127
49,1492,1 13 13,28.5,1698630,130.51 104.12 125
50,1495,3 14 15,28,1698617,130.77 103.91 125
51,1491,3 14 14,28,1698617,130.77 103.91 125
52,1497,1 14 7,29,1698509,131.65 105.75 122
53,1499,2 12 8,29,1698363,132.37 104.31 123
54,1498,2 11 15,28.5,1697993,131.22 102.7 126
55,1494,2 11 14,28.5,1697993,131.22 102.7 126
56,1495,1 7 15,29,1697183,131.65 100.72 128
57,1494,0 10 13,29,1697140,130.93 102.87 126
58,1499,0 11 7,29.5,1697087,132.05 104.48 123
59,1492,1 14 12,28.5,1696583,130.51 104.84 124
60,1488,1 14 11,28.5,1696583,130.51 104.84 124
61,1491,3 15 13,28,1696491,130.77 104.62 124
62,1495,2 12 13,28.5,1696214,131.22 103.41 125
63,1498,4 13 15,28,1696181,131.48 103.21 125
64,1494,4 13 14,28,1696181,131.48 103.21 125
65,1500,2 13 7,29,1696173,132.37 105.03 122
66,1497,1 15 6,29,1696047,131.65 106.47 121
67,1496,1 8 14,29,1695952,131.65 101.44 127
68,1495,0 11 12,29,1695444,130.93 103.59 125
69,1490,0 11 11,29,1695444,130.93 103.59 125
70,1496,3 10 14,28.5,1695365,131.94 101.98 126
71,1499,0 12 6,29.5,1694979,132.05 105.21 122
72,1497,1 9 13,29,1694531,131.65 102.15 126
73,1489,1 15 10,28.5,1694349,130.51 105.55 123
74,1497,2 6 15,29,1694269,132.37 100 128
75,1495,2 13 12,28.5,1694249,131.22 104.12 124
76,1491,2 13 11,28.5,1694249,131.22 104.12 124
77,1494,4 14 13,28,1694136,131.48 103.91 124
78,1500,4 15 7,28.5,1694123,132.65 105.55 121
79,1500,2 14 6,29,1693792,132.37 105.75 121
80,1497,3 11 13,28.5,1693671,131.94 102.7 125
81,1496,5 12 14,28,1693620,132.19 102.5 125
82,1491,0 12 10,29,1693561,130.93 104.31 124
83,1496,0 4 15,29.5,1693351,132.05 99.4 129
84,1497,6 15 15,27.5,1693209,131.7 103.68 124
85,1499,2 7 14,29,1693126,132.37 100.72 127
86,1498,1 10 12,29,1692921,131.65 102.87 125
87,1493,1 10 11,29,1692921,131.65 102.87 125
88,1500,0 13 5,29.5,1692680,132.05 105.93 121
89,1496,0 13 4,29.5,1692680,132.05 105.93 121
90,1499,4 9 14,28.5,1692609,132.65 101.27 126
91,1497,0 5 14,29.5,1692488,132.05 100.13 128
92,1492,2 14 10,28.5,1692097,131.22 104.84 123
93,1495,4 15 12,28,1691906,131.48 104.62 123
94,1500,2 8 13,29,1691793,132.37 101.44 126
95,1498,3 12 12,28.5,1691790,131.94 103.41 124
96,1494,3 12 11,28.5,1691790,131.94 103.41 124
97,1484,1 15 15,28,1691684,129.36 104.62 125
98,1480,1 15 14,28,1691684,129.36 104.62 125
99,1497,5 13 13,28,1691658,132.19 103.21 124
100,1492,0 13 9,29,1691488,130.93 105.03 123
101,1488,0 13 8,29,1691488,130.93 105.03 123
102,1498,0 6 13,29.5,1691434,132.05 100.86 127
103,1500,3 5 15,29,1691221,133.09 99.28 128
104,1497,2 15 4,29,1691221,132.37 106.47 120
105,1487,0 12 15,28.5,1691200,129.8 103.41 126
106,1482,0 12 14,28.5,1691200,129.8 103.41 126
107,1494,1 11 10,29,1691122,131.65 103.59 124
108,1500,4 10 13,28.5,1691001,132.65 101.98 125
109,1499,6 11 14,28,1690934,132.89 101.79 125
110,1500,7 14 15,27.5,1690714,132.4 102.98 124
111,1499,1 12 4,29.5,1690323,132.78 105.21 121
112,1496,2 9 11,29,1690269,132.37 102.15 125
113,1498,1 3 15,29.5,1690227,132.78 98.68 129
114,1499,0 7 12,29.5,1690189,132.05 101.58 126
115,1495,0 7 11,29.5,1690189,132.05 101.58 126
116,1496,0 14 3,29.5,1690189,132.05 106.66 120
117,1493,2 15 9,28.5,1689757,131.22 105.55 122
118,1495,3 13 10,28.5,1689719,131.94 104.12 123
119,1498,5 14 12,28,1689509,132.19 103.91 123
120,1500,1 4 14,29.5,1689456,132.78 99.4 128
121,1487,2 14 15,28,1689435,130.07 103.91 125
122,1483,2 14 14,28,1689435,130.07 103.91 125
123,1483,0 13 13,28.5,1689348,129.8 104.12 125
124,1488,0 14 7,29,1689228,130.93 105.75 122
125,1497,4 11 11,28.5,1689204,132.65 102.7 124
126,1495,1 12 9,29,1689133,131.65 104.31 123
127,1491,1 12 8,29,1689133,131.65 104.31 123
128,1500,6 12 13,28,1689056,132.89 102.5 124
129,1500,3 14 4,29,1688923,133.09 105.75 120
130,1490,1 11 15,28.5,1688764,130.51 102.7 126
131,1485,1 11 14,28.5,1688764,130.51 102.7 126
132,1496,0 8 10,29.5,1688751,132.05 102.31 125
133,1497,2 10 10,29,1688555,132.37 102.87 124
134,1496,7 15 13,27.5,1688488,132.4 103.68 123
135,1500,0 9 4,30,1688051,133.17 103.9 122
136,1499,1 13 3,29.5,1687914,132.78 105.93 120
137,1486,0 7 15,29,1687909,130.93 100.72 128
138,1497,0 15 2,29.5,1687506,132.05 107.39 119
139,1499,3 8 11,29,1687487,133.09 101.44 125
140,1496,3 14 9,28.5,1687461,131.94 104.84 122
141,1498,1 6 11,29.5,1687336,132.78 100.86 126
142,1483,2 15 13,28,1687321,130.07 104.62 124
143,1484,0 14 12,28.5,1687312,129.8 104.84 124
144,1480,0 14 11,28.5,1687312,129.8 104.84 124
145,1498,4 12 10,28.5,1687217,132.65 103.41 123
146,1499,5 15 11,28,1687173,132.19 104.62 122
147,1495,5 15 10,28,1687173,132.19 104.62 122
148,1497,0 9 9,29.5,1687123,132.05 103.03 124
149,1493,0 9 8,29.5,1687123,132.05 103.03 124
150,1490,3 13 15,28,1687062,130.77 103.21 125
151,1486,3 13 14,28,1687062,130.77 103.21 125
152,1486,1 12 13,28.5,1686996,130.51 103.41 125
153,1492,1 13 7,29,1686955,131.65 105.03 122
154,1489,0 15 6,29,1686779,130.93 106.47 121
155,1488,0 8 14,29,1686685,130.93 101.44 127
156,1498,2 11 9,29,1686650,132.37 103.59 123
157,1494,2 11 8,29,1686650,132.37 103.59 123
158,1500,5 10 11,28.5,1686492,133.36 101.98 124
159,1500,3 15 3,29,1686243,133.09 106.47 119
160,1493,2 10 15,28.5,1686201,131.22 101.98 126
161,1488,2 10 14,28.5,1686201,131.22 101.98 126
162,1499,1 7 10,29.5,1685988,132.78 101.58 125
163,1499,8 14 13,27.5,1685953,133.1 102.98 123
164,1500,3 9 10,29,1685860,133.09 102.15 124
165,1500,1 14 2,29.5,1685313,132.78 106.66 119
166,1493,0 10 7,29.5,1685302,132.05 103.76 123
167,1489,0 9 13,29,1685272,130.93 102.15 126
168,1481,0 15 10,28.5,1685090,129.8 105.55 123
169,1489,1 6 15,29,1685061,131.65 100 128
170,1487,1 13 12,28.5,1685041,130.51 104.12 124
171,1483,1 13 11,28.5,1685041,130.51 104.12 124
172,1499,4 13 9,28.5,1685041,132.65 104.12 122
173,1486,3 14 13,28,1685028,130.77 103.91 124
174,1496,3 15 8,28.5,1685015,131.94 105.55 121
175,1492,3 15 7,28.5,1685015,131.94 105.55 121
176,1499,0 0 15,30,1684738,133.17 97.32 130
177,1498,6 14 10,28,1684734,132.89 103.91 122
178,1492,1 14 6,29,1684587,131.65 105.75 121
179,1493,4 12 15,28,1684563,131.48 102.5 125
180,1488,4 12 14,28,1684563,131.48 102.5 125
181,1495,2 12 7,29,1684555,132.37 104.31 122
182,1489,2 11 13,28.5,1684516,131.22 102.7 125
183,1500,1 8 9,29.5,1684446,132.78 102.31 124
184,1495,1 8 8,29.5,1684446,132.78 102.31 124
185,1500,0 1 14,30,1684348,133.17 98.05 129
186,1489,5 15 15,27.5,1684203,131 103.68 124
187,1497,3 10 8,29,1684040,133.09 102.87 123
188,1490,1 7 14,29,1683924,131.65 100.72 127
189,1497,0 2 12,30,1683764,133.17 98.78 128
190,1490,0 10 12,29,1683670,130.93 102.87 125
191,1485,0 10 11,29,1683670,130.93 102.87 125
192,1500,8 15 12,27.5,1683621,133.1 103.68 122
193,1495,3 9 15,28.5,1683509,131.94 101.27 126
194,1491,3 9 14,28.5,1683509,131.94 101.27 126
195,1494,0 11 6,29.5,1683290,132.05 104.48 122
196,1498,0 3 11,30,1682984,133.17 99.51 127
197,1484,1 14 10,28.5,1682901,130.51 104.84 123
198,1487,3 15 12,28,1682810,130.77 104.62 123
199,1496,1 9 7,29.5,1682712,132.78 103.03 123
200,1499,4 14 8,28.5,1682676,132.65 104.84 121
201,1495,4 14 7,28.5,1682676,132.65 104.84 121
202,1490,2 12 12,28.5,1682645,131.22 103.41 124
203,1486,2 12 11,28.5,1682645,131.22 103.41 124
204,1489,4 13 13,28,1682612,131.48 103.21 124
205,1491,1 8 13,29,1682598,131.65 101.44 126
206,1500,1 15 1,29.5,1682519,132.78 107.39 118
207,1496,1 15 0,29.5,1682519,132.78 107.39 118
208,1476,0 15 15,28,1682440,128.65 104.62 125
209,1498,6 15 9,28,1682292,132.89 104.62 121
210,1495,2 13 6,29,1682270,132.37 105.03 121
211,1500,7 13 10,28,1682174,133.6 103.21 122
212,1492,2 5 15,29,1682080,132.37 99.28 128
213,1498,3 11 7,29,1682030,133.09 103.59 122
214,1493,1 15 5,29,1682030,131.65 106.47 120
215,1488,1 15 4,29,1682030,131.65 106.47 120
216,1500,0 4 10,30,1682010,133.17 100.24 126
217,1495,5 11 15,28,1681940,132.19 101.79 125
218,1491,5 11 14,28,1681940,132.19 101.79 125
219,1492,3 10 13,28.5,1681910,131.94 101.98 125
220,1486,0 11 10,29,1681881,130.93 103.59 124
221,1492,6 14 15,27.5,1681768,131.7 102.98 124
222,1498,2 7 8,29.5,1681639,133.51 101.58 124
223,1498,0 12 0,30,1681328,133.17 106.1 119
224,1500,4 9 8,29,1681303,133.81 102.15 123
225,1500,0 5 6,30.5,1681282,133.72 101.39 124
226,1495,0 12 5,29.5,1681086,132.05 105.21 121
227,1491,0 12 4,29.5,1681086,132.05 105.21 121
228,1492,1 9 12,29,1681083,131.65 102.15 125
229,1488,1 9 11,29,1681083,131.65 102.15 125
230,1493,2 6 14,29,1681032,132.37 100 127
231,1490,0 3 15,29.5,1680990,132.05 98.68 129
232,1496,0 5 8,30,1680840,133.17 100.97 125
233,1497,1 10 6,29.5,1680785,132.78 103.76 122
234,1498,4 8 15,28.5,1680690,132.65 100.56 126
235,1494,4 8 14,28.5,1680690,132.65 100.56 126
236,1487,2 13 10,28.5,1680586,131.22 104.12 123
237,1485,1 15 9,28.5,1680574,130.51 105.55 122
238,1500,1 1 12,30,1680474,133.9 98.05 128
239,1490,4 14 12,28,1680474,131.48 103.91 123
240,1499,2 14 0,29.5,1680283,133.51 106.66 118
241,1479,1 14 15,28,1680254,129.36 103.91 125
242,1475,1 14 14,28,1680254,129.36 103.91 125
243,1492,0 4 14,29.5,1680224,132.05 99.4 128
244,1498,5 13 7,28.5,1680215,133.36 104.12 121
245,1493,3 11 12,28.5,1680122,131.94 102.7 124
246,1489,3 11 11,28.5,1680122,131.94 102.7 124
247,1496,4 15 6,28.5,1680122,132.65 105.55 120
248,1492,5 12 13,28,1680071,132.19 102.5 124
249,1499,2 8 7,29.5,1679992,133.51 102.31 123
250,1487,0 12 9,29,1679903,130.93 104.31 123
251,1483,0 12 8,29,1679903,130.93 104.31 123
252,1498,3 12 6,29,1679828,133.09 104.31 121
253,1494,2 7 13,29,1679794,132.37 100.72 126
254,1496,2 14 5,29,1679794,132.37 105.75 120
255,1492,2 14 4,29,1679794,132.37 105.75 120
256,1493,6 15 14,27.5,1679554,131.7 103.68 123
