rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 15 9,21.5,1770346,126.98 113.35 123
2,1499,0 12 12,21.5,1769638,126.98 111.49 125
3,1495,1 15 15,21,1765852,126.1 112.02 125
4,1500,0 13 11,21.5,1765234,126.98 112.11 124
5,1498,2 14 15,21,1764728,126.72 111.41 125
6,1500,1 15 7,21.5,1764518,127.6 113.35 122
7,1498,0 10 14,21.5,1763975,126.98 110.25 126
8,1500,0 14 10,21.5,1760672,126.98 112.73 123
9,1496,0 14 9,21.5,1760672,126.98 112.73 123
10,1498,2 15 14,21,1760229,126.72 112.02 124
11,1495,2 15 13,21,1760229,126.72 112.02 124
12,1499,0 11 13,21.5,1759807,126.98 110.87 125
13,1495,0 11 12,21.5,1759807,126.98 110.87 125
14,1499,1 13 9,21.5,1759539,127.6 112.11 123
15,1498,3 14 13,21,1759067,127.33 111.41 124
16,1498,1 10 12,21.5,1758512,127.6 110.25 125
17,1487,0 15 15,21,1757280,125.49 112.02 125
18,1491,1 14 15,21,1756202,126.1 111.41 125
19,1497,0 15 8,21.5,1755953,126.98 113.35 122
20,1493,0 15 7,21.5,1755953,126.98 113.35 122
21,1496,0 12 11,21.5,1755481,126.98 111.49 124
22,1494,2 13 15,21,1755031,126.72 110.8 125
23,1500,1 14 8,21.5,1754876,127.6 112.73 122
24,1496,1 14 7,21.5,1754876,127.6 112.73 122
25,1498,3 15 12,21,1754468,127.33 112.02 123
26,1494,3 15 11,21,1754468,127.33 112.02 123
27,1499,1 11 11,21.5,1754244,127.6 110.87 124
28,1498,0 9 15,21.5,1754065,126.98 109.63 126
29,1494,0 9 14,21.5,1754065,126.98 109.63 126
30,1497,3 12 15,21,1753767,127.33 110.19 125
31,1499,2 13 7,21.5,1753706,128.22 112.11 122
32,1497,4 14 11,21,1753270,127.94 111.41 123
33,1497,1 8 14,21.5,1752663,127.6 109.02 126
34,1500,0 15 0,22,1752617,128.45 114.66 119
35,1500,4 11 15,21,1752408,127.94 109.58 125
36,1491,1 15 14,21,1751725,126.1 112.02 124
37,1487,1 15 13,21,1751725,126.1 112.02 124
38,1500,2 7 14,21.5,1751165,128.22 108.4 126
39,1496,0 13 10,21.5,1750998,126.98 112.11 123
40,1492,0 13 9,21.5,1750998,126.98 112.11 123
41,1494,2 14 14,21,1750610,126.72 111.41 124
42,1491,2 14 13,21,1750610,126.72 111.41 124
43,1496,1 15 6,21.5,1750055,127.6 113.35 121
44,1495,0 10 13,21.5,1749975,126.98 110.25 125
45,1491,0 10 12,21.5,1749975,126.98 110.25 125
46,1499,1 12 10,21.5,1749818,127.6 111.49 123
47,1495,1 12 9,21.5,1749818,127.6 111.49 123
48,1497,3 13 14,21,1749402,127.33 110.8 124
49,1494,3 13 13,21,1749402,127.33 110.8 124
50,1499,2 14 6,21.5,1748941,128.22 112.73 121
51,1498,1 9 13,21.5,1748633,127.6 109.63 125
52,1494,1 9 12,21.5,1748633,127.6 109.63 125
53,1498,4 15 10,21,1748571,127.94 112.02 122
54,1498,2 11 9,21.5,1748544,128.22 110.87 123
55,1500,4 12 14,21,1748101,127.94 110.19 124
56,1497,4 12 13,21,1748101,127.94 110.19 124
57,1500,0 13 2,22,1748029,128.45 113.41 120
58,1499,0 3 13,22,1747788,128.45 107.14 127
59,1499,0 10 5,22,1747707,128.45 111.53 122
60,1483,0 14 15,21,1747677,125.49 111.41 125
61,1497,2 8 12,21.5,1747194,128.22 109.02 125
62,1500,5 11 13,21,1746707,128.55 109.58 124
63,1486,1 13 15,21,1746553,126.1 110.8 125
64,1498,0 7 8,22,1746420,128.45 109.65 124
65,1493,0 14 8,21.5,1746357,126.98 112.73 122
66,1489,0 14 7,21.5,1746357,126.98 112.73 122
67,1491,2 15 12,21,1746033,126.72 112.02 123
68,1487,2 15 11,21,1746033,126.72 112.02 123
69,1491,0 11 11,21.5,1745728,126.98 110.87 124
70,1500,3 7 12,21.5,1745659,128.84 108.4 125
71,1498,7 15 14,20.5,1745619,128.22 110.68 123
72,1490,2 12 15,21,1745335,126.72 110.19 125
73,1496,1 13 8,21.5,1745234,127.6 112.11 122
74,1492,1 13 7,21.5,1745234,127.6 112.11 122
75,1494,3 14 12,21,1744881,127.33 111.41 123
