rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 13 13,19.5,1456564,153.96 95.56 99
2,1499,1 12 13,19.5,1453119,154.55 94.97 99
3,1497,0 11 15,19.5,1453113,153.96 94.38 100
4,1498,0 14 12,19.5,1450751,153.96 96.15 98
5,1499,1 15 10,19.5,1450293,154.55 96.74 97
6,1500,2 11 13,19.5,1449605,155.14 94.38 99
7,1498,1 10 15,19.5,1449564,154.55 93.79 100
8,1498,0 12 14,19.5,1447573,153.96 94.97 99
9,1493,0 12 13,19.5,1447573,153.96 94.97 99
10,1499,1 13 12,19.5,1447376,154.55 95.56 98
11,1500,2 14 10,19.5,1446951,155.14 96.15 97
12,1499,2 9 15,19.5,1445945,155.14 93.2 100
13,1498,0 15 11,19.5,1444757,153.96 96.74 97
14,1493,0 15 10,19.5,1444757,153.96 96.74 97
15,1499,1 11 14,19.5,1444093,154.55 94.38 99
16,1494,1 11 13,19.5,1444093,154.55 94.38 99
17,1500,4 15 15,19,1444035,154.3 95.49 98
18,1495,4 15 14,19,1444035,154.3 95.49 98
19,1493,0 10 15,19.5,1444031,153.96 93.79 100
20,1500,2 12 12,19.5,1443931,155.14 94.97 98
21,1500,3 8 15,19.5,1442256,155.73 92.61 100
22,1493,0 13 12,19.5,1441851,153.96 95.56 98
23,1499,1 14 11,19.5,1441450,154.55 96.15 97
24,1495,1 14 10,19.5,1441450,154.55 96.15 97
25,1500,2 15 9,19.5,1440820,155.14 96.74 96
26,1496,2 15 8,19.5,1440820,155.14 96.74 96
27,1496,5 14 14,19,1440646,154.89 94.91 98
28,1500,2 10 14,19.5,1440545,155.14 93.79 99
29,1495,2 10 13,19.5,1440545,155.14 93.79 99
30,1494,1 9 15,19.5,1440447,154.55 93.2 100
31,1498,6 15 12,19,1440087,155.47 95.49 97
32,1499,0 12 6,20,1439686,155.92 96.18 96
33,1494,3 15 15,19,1438586,153.72 95.49 98
34,1490,3 15 14,19,1438586,153.72 95.49 98
35,1493,0 11 14,19.5,1438582,153.96 94.38 99
36,1488,0 11 13,19.5,1438582,153.96 94.38 99
37,1498,0 7 11,20,1438569,155.92 93.19 99
38,1494,1 12 12,19.5,1438441,154.55 94.97 98
39,1500,2 13 11,19.5,1438074,155.14 95.56 97
40,1496,2 13 10,19.5,1438074,155.14 95.56 97
41,1497,3 14 8,19.5,1437479,155.73 96.15 96
42,1497,6 13 14,19,1437190,155.47 94.33 98
43,1496,3 9 13,19.5,1436928,155.73 93.2 99
44,1495,2 8 15,19.5,1436793,155.14 92.61 100
45,1499,7 14 12,19,1436667,156.05 94.91 97
46,1499,0 10 8,20,1436613,155.92 94.99 97
47,1500,1 11 6,20,1436226,156.52 95.58 96
48,1499,0 15 3,20,1435961,155.92 97.97 94
49,1493,0 14 11,19.5,1435948,153.96 96.15 97
50,1489,0 14 10,19.5,1435948,153.96 96.15 97
51,1500,8 15 10,19,1435917,156.63 95.49 96
52,1495,1 15 9,19.5,1435341,154.55 96.74 96
53,1490,1 15 8,19.5,1435341,154.55 96.74 96
54,1495,4 14 15,19,1435230,154.3 94.91 98
55,1491,4 14 14,19,1435230,154.3 94.91 98
56,1494,1 10 14,19.5,1435068,154.55 93.79 99
57,1490,1 10 13,19.5,1435068,154.55 93.79 99
58,1495,2 11 12,19.5,1434963,155.14 94.38 98
59,1488,0 9 15,19.5,1434949,153.96 93.2 100
60,1499,1 6 11,20,1434823,156.52 92.6 99
61,1496,5 15 13,19,1434694,154.89 95.49 97
62,1492,5 15 12,19,1434694,154.89 95.49 97
63,1497,3 12 10,19.5,1434632,155.73 94.97 97
64,1498,0 5 13,20,1434470,155.92 92 100
65,1498,4 13 8,19.5,1434072,156.32 95.56 96
66,1500,12 15 14,18.5,1433714,156.86 94.23 97
67,1498,7 12 14,19,1433668,156.05 93.75 98
68,1499,0 13 5,20,1433539,155.92 96.78 95
69,1497,4 8 13,19.5,1433242,156.32 92.61 99
70,1500,8 13 12,19,1433181,156.63 94.33 97
71,1499,0 8 10,20,1433166,155.92 93.79 98
72,1488,2 15 15,19,1433137,153.14 95.49 98
73,1484,2 15 14,19,1433137,153.14 95.49 98
74,1495,3 7 15,19.5,1433070,155.73 92.02 100
75,1500,1 9 8,20,1433047,156.52 94.39 97
76,1489,0 12 12,19.5,1432951,153.96 94.97 98
77,1500,1 14 3,20,1432673,156.52 97.38 94
78,1495,1 13 11,19.5,1432606,154.55 95.56 97
79,1490,1 13 10,19.5,1432606,154.55 95.56 97
80,1496,2 14 9,19.5,1432034,155.14 96.15 96
81,1491,2 14 8,19.5,1432034,155.14 96.15 96
82,1496,5 13 15,19,1431808,154.89 94.33 98
83,1492,5 13 14,19,1431808,154.89 94.33 98
84,1495,2 9 14,19.5,1431485,155.14 93.2 99
85,1491,2 9 13,19.5,1431485,155.14 93.2 99
