rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 12 14,24.5,2127153,105.8 111.08 181
2,1500,0 15 9,24.5,2117289,105.8 113.07 177
3,1497,0 15 8,24.5,2117289,105.8 113.07 177
4,1498,0 14 10,24.5,2116800,105.8 112.41 178
5,1499,0 13 12,24.5,2116170,105.8 111.75 179
6,1497,0 13 11,24.5,2116170,105.8 111.75 179
7,1498,0 12 13,24.5,2115401,105.8 111.08 180
8,1499,0 11 15,24.5,2114491,105.8 110.42 181
9,1496,0 11 14,24.5,2114491,105.8 110.42 181
10,1499,2 15 13,24,2111859,106.02 111.91 178
11,1496,2 15 12,24,2111859,106.02 111.91 178
12,1500,2 14 15,24,2111304,106.02 111.25 179
13,1497,2 14 14,24,2111304,106.02 111.25 179
14,1495,1 15 15,24,2110614,105.36 111.91 179
15,1492,1 15 14,24,2110614,105.36 111.91 179
16,1498,1 15 5,24.5,2106449,106.46 113.07 175
17,1500,5 15 15,23.5,2106144,106.85 110.74 178
18,1499,1 14 7,24.5,2106097,106.46 112.41 176
19,1500,0 7 11,25,2105975,106.87 108.87 181
20,1500,1 13 9,24.5,2105604,106.46 111.75 177
21,1498,1 13 8,24.5,2105604,106.46 111.75 177
22,1494,0 15 7,24.5,2105327,105.8 113.07 176
23,1499,1 12 10,24.5,2104971,106.46 111.08 178
24,1495,0 14 9,24.5,2104908,105.8 112.41 177
25,1493,0 14 8,24.5,2104908,105.8 112.41 177
26,1494,0 13 10,24.5,2104348,105.8 111.75 178
27,1500,1 11 12,24.5,2104196,106.46 110.42 179
28,1497,1 11 11,24.5,2104196,106.46 110.42 179
29,1495,0 12 12,24.5,2103648,105.8 111.08 179
30,1492,0 12 11,24.5,2103648,105.8 111.08 179
31,1498,1 10 13,24.5,2103281,106.46 109.76 180
32,1499,0 5 14,25,2103119,106.87 107.54 183
33,1493,0 11 13,24.5,2102809,105.8 110.42 180
34,1499,1 9 15,24.5,2102225,106.46 109.1 181
35,1496,1 9 14,24.5,2102225,106.46 109.1 181
36,1494,0 10 15,24.5,2101830,105.8 109.76 181
37,1491,0 10 14,24.5,2101830,105.8 109.76 181
38,1500,3 15 10,24,2101020,106.67 111.91 176
39,1497,3 15 9,24,2101020,106.67 111.91 176
40,1498,3 14 11,24,2100601,106.67 111.25 177
41,1499,3 13 13,24,2100042,106.67 110.6 178
42,1496,3 13 12,24,2100042,106.67 110.6 178
43,1493,2 15 11,24,2099995,106.02 111.91 177
44,1494,2 14 13,24,2099509,106.02 111.25 178
45,1491,2 14 12,24,2099509,106.02 111.25 178
46,1500,3 12 15,24,2099344,106.67 109.95 179
47,1497,3 12 14,24,2099344,106.67 109.95 179
48,1500,0 14 0,25,2099336,106.87 113.55 173
49,1499,0 13 1,25,2099051,106.87 112.88 174
50,1495,2 13 15,24,2098884,106.02 110.6 179
51,1493,2 13 14,24,2098884,106.02 110.6 179
52,1489,1 15 13,24,2098823,105.36 111.91 178
53,1487,1 15 12,24,2098823,105.36 111.91 178
54,1500,0 12 3,25,2098622,106.87 112.21 175
55,1490,1 14 15,24,2098271,105.36 111.25 179
56,1488,1 14 14,24,2098271,105.36 111.25 179
57,1498,0 11 4,25,2098051,106.87 111.54 176
58,1485,0 15 15,24,2097504,104.71 111.91 179
59,1483,0 15 14,24,2097504,104.71 111.91 179
60,1499,0 10 6,25,2097338,106.87 110.88 177
61,1497,0 10 5,25,2097338,106.87 110.88 177
62,1498,0 9 7,25,2096481,106.87 110.21 178
63,1499,0 8 9,25,2095482,106.87 109.54 179
64,1496,0 8 8,25,2095482,106.87 109.54 179
65,1499,2 15 2,24.5,2095309,107.12 113.07 173
66,1500,2 14 4,24.5,2095097,107.12 112.41 174
67,1498,2 13 5,24.5,2094743,107.12 111.75 175
68,1495,1 15 4,24.5,2094412,106.46 113.07 174
69,1497,0 7 10,25,2094340,106.87 108.87 180
70,1497,5 15 14,23.5,2094312,106.85 110.74 177
71,1500,2 12 7,24.5,2094247,107.12 111.08 176
72,1496,1 14 6,24.5,2094130,106.46 112.41 175
73,1494,1 14 5,24.5,2094130,106.46 112.41 175
74,1500,6 13 15,23.5,2094126,107.5 109.44 178
75,1496,5 14 15,23.5,2093828,106.85 110.09 178
76,1495,1 13 7,24.5,2093708,106.46 111.75 176
77,1498,2 11 8,24.5,2093609,107.12 110.42 177
78,1491,4 15 15,23.5,2093380,106.2 110.74 178
79,1491,0 15 6,24.5,2093365,105.8 113.07 175
