rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 14 15,23.5,1775344,126.28 108.15 130
2,1498,0 15 14,23.5,1772236,126.28 108.79 129
3,1499,1 15 12,23.5,1767516,126.93 108.79 128
4,1493,0 13 15,23.5,1764713,126.28 107.5 130
5,1496,1 12 15,23.5,1763077,126.93 106.85 130
6,1494,0 14 14,23.5,1761687,126.28 108.15 129
7,1499,2 11 15,23.5,1761333,127.57 106.2 130
8,1497,1 13 14,23.5,1760118,126.93 107.5 129
9,1499,0 9 13,24,1758842,127.61 106.02 130
10,1495,0 15 13,23.5,1758498,126.28 108.79 128
11,1491,0 15 12,23.5,1758498,126.28 108.79 128
12,1500,2 12 14,23.5,1758441,127.57 106.85 129
13,1499,0 14 7,24,1757338,127.61 109.29 126
14,1498,1 14 13,23.5,1756995,126.93 108.15 128
15,1494,1 14 12,23.5,1756995,126.93 108.15 128
16,1500,4 15 15,23,1756377,127.49 107.63 128
17,1497,4 15 14,23,1756377,127.49 107.63 128
18,1500,0 10 12,24,1756086,127.61 106.67 129
19,1497,2 13 12,23.5,1755385,127.57 107.5 128
20,1500,5 14 14,23,1754696,128.13 106.99 128
21,1489,0 12 15,23.5,1754082,126.28 106.85 130
22,1499,0 15 6,24,1753831,127.61 109.95 125
23,1495,1 15 11,23.5,1753707,126.93 108.79 127
24,1500,3 12 12,23.5,1753667,128.22 106.85 128
25,1497,0 11 10,24,1753163,127.61 107.33 128
26,1492,1 11 15,23.5,1752392,126.93 106.2 130
27,1498,2 14 11,23.5,1752163,127.57 108.15 127
28,1500,5 15 13,23,1751413,128.13 107.63 127
29,1500,1 10 10,24,1751408,128.27 106.67 128
30,1490,0 13 14,23.5,1751138,126.28 107.5 129
31,1495,2 10 15,23.5,1750593,127.57 105.56 130
32,1497,0 7 15,24,1750490,127.61 104.71 131
33,1498,0 12 9,24,1750072,127.61 107.98 127
34,1493,1 12 14,23.5,1749515,126.93 106.85 129
35,1499,2 15 10,23.5,1748776,127.57 108.79 126
36,1495,2 15 9,23.5,1748776,127.57 108.79 126
37,1499,1 15 4,24,1748722,128.27 109.95 124
38,1498,3 9 15,23.5,1748685,128.22 104.91 130
39,1500,1 6 15,24,1748470,128.27 104.06 131
40,1490,0 14 13,23.5,1748031,126.28 108.15 128
41,1487,0 14 12,23.5,1748031,126.28 108.15 128
42,1498,0 8 14,24,1747985,127.61 105.36 130
43,1494,0 8 13,24,1747985,127.61 105.36 130
44,1496,2 11 14,23.5,1747784,127.57 106.2 129
45,1493,3 15 15,23,1747551,126.85 107.63 128
46,1489,3 15 14,23,1747551,126.85 107.63 128
47,1498,3 14 9,23.5,1747190,128.22 108.15 126
48,1498,0 13 8,24,1746815,127.61 108.64 126
49,1494,0 13 7,24,1746815,127.61 108.64 126
50,1493,1 13 13,23.5,1746474,126.93 107.5 128
51,1490,1 13 12,23.5,1746474,126.93 107.5 128
52,1500,6 15 11,23,1746310,128.77 107.63 126
53,1497,1 7 13,24,1746036,128.27 104.71 130
54,1499,3 10 14,23.5,1745945,128.22 105.56 129
55,1496,4 14 15,23,1745923,127.49 106.99 128
56,1492,4 14 14,23,1745923,127.49 106.99 128
57,1495,0 9 12,24,1745312,127.61 106.02 129
58,1497,1 12 7,24,1745196,128.27 107.98 126
59,1497,2 12 13,23.5,1744810,127.57 106.85 128
60,1493,2 12 12,23.5,1744810,127.57 106.85 128
61,1487,0 15 11,23.5,1744760,126.28 108.79 127
62,1499,5 13 15,23,1744189,128.13 106.35 128
63,1495,5 13 14,23,1744189,128.13 106.35 128
64,1500,2 6 13,24,1743976,128.92 104.06 130
65,1499,3 15 8,23.5,1743703,128.22 108.79 125
66,1499,2 15 2,24,1743470,128.92 109.95 123
67,1484,0 11 15,23.5,1743451,126.28 106.2 130
68,1498,1 8 12,24,1743434,128.27 105.36 129
69,1495,0 14 6,24,1743391,127.61 109.29 125
70,1490,1 14 11,23.5,1743269,126.93 108.15 127
71,1500,3 11 13,23.5,1743039,128.22 106.2 128
72,1496,3 11 12,23.5,1743039,128.22 106.2 128
73,1493,4 15 13,23,1742656,127.49 107.63 127
74,1496,0 10 11,24,1742473,127.61 106.67 128
75,1492,0 10 10,24,1742473,127.61 106.67 128
76,1498,6 12 14,23,1742350,128.77 105.71 128
77,1498,1 13 6,24,1741839,128.27 108.64 125
78,1487,1 10 15,23.5,1741707,126.93 105.56 130
