rank,cp,ivs,maxlevel,stat-product,stats
1,1499,0 14 14,43,2366809,95.03 158.64 157
2,1499,0 15 15,42.5,2365733,94.76 159.01 157
3,1499,0 15 13,43,2363671,95.03 159.45 156
4,1499,0 13 15,43,2354795,95.03 157.84 157
5,1496,0 13 14,43,2354795,95.03 157.84 157
6,1497,1 15 14,42,2354194,95.24 158.46 156
7,1495,0 14 15,42.5,2353785,94.76 158.21 157
8,1498,0 14 11,43.5,2352726,95.35 159.19 155
9,1495,0 14 13,43,2351734,95.03 158.64 156
10,1495,0 15 14,42.5,2350665,94.76 159.01 156
11,1500,1 11 14,43,2350518,95.83 156.23 157
12,1499,0 9 14,44,2350347,95.62 155.58 158
13,1500,1 12 15,42.5,2349634,95.57 156.6 157
14,1498,0 10 15,43.5,2349567,95.35 155.96 158
15,1498,0 15 10,43.5,2349413,95.35 160 154
16,1495,0 15 12,43,2348520,95.03 159.45 155
17,1499,0 10 13,44,2347635,95.62 156.39 157
18,1500,0 15 6,44.5,2347589,95.94 160.98 152
19,1500,1 12 13,43,2347586,95.83 157.03 156
20,1498,0 15 8,44,2347093,95.62 160.44 153
21,1498,0 11 14,43.5,2346794,95.35 156.76 157
22,1500,1 13 14,42.5,2346640,95.57 157.4 156
23,1499,0 11 12,44,2344768,95.62 157.2 156
24,1500,1 13 12,43,2344499,95.83 157.84 155
25,1498,0 12 13,43.5,2343866,95.35 157.57 156
26,1500,1 14 13,42.5,2343494,95.57 158.21 155
27,1496,0 12 15,43,2342780,95.03 157.03 157
28,1492,0 12 14,43,2342780,95.03 157.03 157
29,1497,1 14 15,42,2342304,95.24 157.66 156
30,1493,1 14 14,42,2342304,95.24 157.66 156
31,1499,0 12 11,44,2341747,95.62 158.01 155
32,1493,1 15 15,41.5,2341261,94.97 158.02 156
33,1500,1 14 11,43,2341258,95.83 158.64 154
34,1498,0 13 12,43.5,2340784,95.35 158.38 155
35,1494,0 13 11,43.5,2340784,95.35 158.38 155
36,1500,1 15 12,42.5,2340194,95.57 159.01 154
