rank,cp,ivs,maxlevel,stat-product,stats
1,1352,15 15 15,51,1417997,128.49 86.22 128
2,1343,14 15 15,51,1408668,127.64 86.22 128
3,1347,15 15 14,51,1406919,128.49 86.22 127
4,1345,15 14 15,51,1404095,128.49 85.38 128
5,1334,13 15 15,51,1399339,126.8 86.22 128
6,1339,14 15 14,51,1397663,127.64 86.22 127
7,1343,15 15 13,51,1395841,128.49 86.22 126
8,1336,14 14 15,51,1394858,127.64 85.38 128
9,1341,15 14 14,51,1393126,128.49 85.38 127
10,1339,15 13 15,51,1390193,128.49 84.53 128
11,1325,12 15 15,51,1390010,125.95 86.22 128
12,1330,13 15 14,51,1388407,126.8 86.22 127
13,1334,14 15 13,51,1386658,127.64 86.22 126
14,1327,13 14 15,51,1385620,126.8 85.38 128
15,1338,15 15 12,51,1384763,128.49 86.22 125
16,1334,15 15 11,51,1384763,128.49 86.22 125
17,1332,14 14 14,51,1383960,127.64 85.38 127
18,1336,15 14 13,51,1382156,128.49 85.38 126
19,1330,14 13 15,51,1381047,127.64 84.53 128
20,1316,11 15 15,51,1380681,125.1 86.22 128
21,1334,15 13 14,51,1379332,128.49 84.53 127
22,1321,12 15 14,51,1379151,125.95 86.22 127
23,1325,13 15 13,51,1377474,126.8 86.22 126
24,1319,12 14 15,51,1376383,125.95 85.38 128
25,1332,15 12 15,51,1376291,128.49 83.68 128
26,1330,14 15 12,51,1375652,127.64 86.22 125
27,1325,14 15 11,51,1375652,127.64 86.22 125
28,1323,13 14 14,51,1374795,126.8 85.38 127
29,1329,15 15 10,51,1373685,128.49 86.22 124
30,1328,14 14 13,51,1373063,127.64 85.38 126
31,1321,13 13 15,51,1371901,126.8 84.53 128
32,1307,10 15 15,51,1371352,124.26 86.22 128
33,1332,15 14 12,51,1371187,128.49 85.38 125
34,1327,15 14 11,51,1371187,128.49 85.38 125
35,1325,14 13 14,51,1370258,127.64 84.53 127
36,1312,11 15 14,51,1369895,125.1 86.22 127
