rank,cp,ivs,maxlevel,stat-product,stats
1,1496,6 15 15,51,2315324,96.36 128.49 187
2,1499,7 15 12,51,2310653,97.21 128.49 185
3,1497,7 15 14,50.5,2310241,96.94 128.13 186
4,1496,7 14 15,50.5,2307381,96.94 127.29 187
5,1499,7 13 15,51,2304901,97.21 126.8 187
6,1492,6 15 14,51,2302942,96.36 128.49 186
7,1496,8 15 15,49.5,2302854,97.2 127.37 186
8,1499,8 14 15,50,2300470,97.47 126.89 186
9,1491,6 14 15,51,2300091,96.36 127.64 187
10,1500,8 13 14,50.5,2299667,97.78 126.44 186
11,1495,7 15 11,51,2298163,97.21 128.49 184
12,1494,7 15 13,50.5,2297820,96.94 128.13 185
13,1499,8 12 15,50.5,2296618,97.78 125.6 187
14,1491,7 15 15,50,2295742,96.63 127.73 186
15,1499,9 15 15,49,2295546,97.73 126.97 185
16,1497,7 14 13,51,2295452,97.21 127.64 185
17,1494,7 14 12,51,2295452,97.21 127.64 185
18,1492,7 14 14,50.5,2295042,96.94 127.29 186
19,1500,9 14 14,49.5,2295019,98.04 126.53 185
20,1483,5 15 15,51,2295014,95.52 128.49 187
21,1500,8 15 11,50.5,2292744,97.78 128.13 183
22,1496,7 13 14,51,2292576,97.21 126.8 186
23,1499,9 13 15,49.5,2292144,98.04 125.69 186
24,1497,8 15 13,50,2290805,97.47 127.73 184
25,1494,8 15 12,50,2290805,97.47 127.73 184
26,1489,6 15 13,51,2290561,96.36 128.49 185
27,1486,6 15 12,51,2290561,96.36 128.49 185
28,1492,8 15 14,49.5,2290473,97.2 127.37 185
29,1500,8 14 10,51,2290381,98.05 127.64 183
30,1498,8 14 12,50.5,2290106,97.78 127.29 184
31,1500,10 15 14,48.5,2289885,98.29 126.61 184
32,1494,7 12 15,51,2289535,97.21 125.95 187
33,1496,8 14 14,50,2288102,97.47 126.89 185
34,1488,6 14 14,51,2287791,96.36 127.64 186
35,1498,8 13 11,51,2287645,98.05 126.8 184
36,1497,8 13 13,50.5,2287304,97.78 126.44 185
37,1492,7 15 10,51,2285673,97.21 128.49 183
38,1500,9 15 10,50,2285438,98.32 127.73 182
39,1498,9 15 12,49.5,2285243,98.04 127.37 183
40,1494,8 13 15,50,2285235,97.47 126.05 186
41,1486,6 13 15,51,2284859,96.36 126.8 187
42,1500,8 12 13,51,2284744,98.05 125.95 185
43,1497,8 12 12,51,2284744,98.05 125.95 185
44,1495,8 12 14,50.5,2284336,97.78 125.6 186
45,1496,9 15 14,49,2283138,97.73 126.97 184
46,1490,7 14 11,51,2283044,97.21 127.64 184
47,1498,9 14 11,50,2282877,98.32 126.89 183
48,1479,5 15 14,51,2282741,95.52 128.49 186
49,1497,9 14 13,49.5,2282614,98.04 126.53 184
50,1499,8 11 14,51,2281678,98.05 125.1 186
51,1494,8 11 15,50.5,2281204,97.78 124.76 187
52,1494,9 14 15,49,2280444,97.73 126.13 185
53,1498,8 15 8,51,2280351,98.05 128.49 181
54,1492,7 13 13,51,2280250,97.21 126.8 185
55,1489,7 13 12,51,2280250,97.21 126.8 185
56,1496,8 15 10,50.5,2280215,97.78 128.13 182
57,1493,8 15 9,50.5,2280215,97.78 128.13 182
58,1500,9 13 13,50,2280151,98.32 126.05 184
59,1497,9 13 12,50,2280151,98.32 126.05 184
60,1478,5 14 15,51,2279915,95.52 127.64 187
61,1495,9 13 14,49.5,2279820,98.04 125.69 185
62,1497,8 10 15,51,2278445,98.05 124.26 187
63,1482,6 15 11,51,2278179,96.36 128.49 184
64,1496,8 14 9,51,2277865,98.05 127.64 182
65,1495,8 14 11,50.5,2277660,97.78 127.29 183
66,1498,10 15 11,49,2277623,98.57 126.97 182
67,1497,10 15 13,48.5,2277440,98.29 126.61 183
68,1491,7 12 14,51,2277292,97.21 125.95 186
69,1499,9 12 14,50,2277259,98.32 125.2 185
70,1494,9 12 15,49.5,2276863,98.04 124.86 186
71,1500,9 11 13,50.5,2276261,98.63 124.76 185
72,1492,8 14 13,50,2275733,97.47 126.89 184
73,1484,6 14 13,51,2275491,96.36 127.64 185
74,1481,6 14 12,51,2275491,96.36 127.64 185
75,1495,8 13 10,51,2275213,98.05 126.8 183
76,1494,10 15 15,48,2275168,97.98 126.21 184
77,1500,10 14 13,49,2275071,98.57 126.13 183
78,1493,8 13 12,50.5,2274940,97.78 126.44 184
79,1499,10 14 15,48.5,2274820,98.29 125.78 184
80,1495,10 14 14,48.5,2274820,98.29 125.78 184
81,1470,4 15 15,51,2274704,94.67 128.49 187
82,1499,9 15 7,50.5,2274599,98.63 128.13 180
83,1500,9 15 5,51,2274595,98.9 128.49 179
84,1497,9 11 15,50,2274203,98.32 124.36 186
85,1489,7 11 15,51,2274169,97.21 125.1 187
86,1499,9 10 12,51,2273508,98.9 124.26 185
87,1488,7 15 9,51,2273183,97.21 128.49 182
88,1498,9 10 14,50.5,2273102,98.63 123.91 186
89,1496,9 15 9,50,2272881,98.32 127.73 181
90,1495,9 15 11,49.5,2272755,98.04 127.37 182
91,1483,6 13 14,51,2272640,96.36 126.8 186
92,1493,8 12 11,51,2272394,98.05 125.95 184
93,1499,10 13 14,49,2272354,98.57 125.3 184
94,1499,9 14 6,51,2272254,98.9 127.64 180
95,1497,9 14 8,50.5,2272188,98.63 127.29 181
96,1500,10 12 13,49.5,2271632,98.88 124.86 184
97,1492,9 15 13,49,2270730,97.73 126.97 183
98,1487,7 14 10,51,2270636,97.21 127.64 183
99,1476,5 15 13,51,2270468,95.52 128.49 185
100,1473,5 15 12,51,2270468,95.52 128.49 185
101,1495,9 14 10,50,2270402,98.32 126.89 182
102,1493,9 14 12,49.5,2270208,98.04 126.53 183
103,1496,9 9 15,50.5,2269777,98.63 123.07 187
104,1481,6 12 15,51,2269626,96.36 125.95 187
105,1499,9 13 10,50.5,2269611,98.63 126.44 182
106,1496,9 13 9,50.5,2269611,98.63 126.44 182
107,1500,11 15 13,48,2269509,98.81 126.21 182
108,1497,10 12 15,49,2269472,98.57 124.46 185
