rank,cp,ivs,maxlevel,stat-product,stats
1,1497,0 13 14,25,1667026,134.25 95.51 130
2,1498,0 14 13,25,1665771,134.25 96.18 129
3,1500,0 15 12,25,1664336,134.25 96.85 128
4,1496,0 15 11,25,1664336,134.25 96.85 128
5,1499,1 12 14,25,1663604,134.92 94.85 130
6,1498,1 14 11,25,1661081,134.92 96.18 128
7,1496,2 15 15,24.5,1660140,134.23 95.88 129
8,1500,0 14 6,25.5,1659581,135.59 97.14 126
9,1499,1 15 10,25,1659549,134.92 96.85 127
10,1500,2 13 11,25,1657712,135.59 95.51 128
11,1498,3 14 15,24.5,1656812,134.89 95.22 129
12,1499,3 15 14,24.5,1655385,134.89 95.88 128
13,1495,3 15 13,24.5,1655385,134.89 95.88 128
14,1496,0 12 15,25,1655369,134.25 94.85 130
15,1492,0 12 14,25,1655369,134.25 94.85 130
16,1499,2 15 8,25,1654633,135.59 96.85 126
17,1493,0 13 13,25,1654203,134.25 95.51 129
18,1498,0 7 15,25.5,1654092,135.59 92.42 132
19,1500,0 8 14,25.5,1653544,135.59 93.09 131
20,1500,4 13 15,24.5,1653372,135.55 94.55 129
21,1494,0 14 12,25,1652858,134.25 96.18 128
22,1491,0 14 11,25,1652858,134.25 96.18 128
23,1498,0 9 12,25.5,1652812,135.59 93.77 130
24,1498,4 14 13,24.5,1652027,135.55 95.22 128
25,1488,1 15 15,24.5,1651962,133.57 95.88 129
26,1499,0 10 11,25.5,1651897,135.59 94.44 129
27,1498,1 11 15,25,1651889,134.92 94.18 130
28,1494,1 11 14,25,1651889,134.92 94.18 130
29,1492,0 15 10,25,1651333,134.25 96.85 127
30,1495,1 12 13,25,1650807,134.92 94.85 129
31,1497,0 11 9,25.5,1650800,135.59 95.12 128
32,1499,4 15 12,24.5,1650503,135.55 95.88 127
33,1500,1 6 15,25.5,1650188,136.27 91.74 132
34,1497,1 13 12,25,1649546,134.92 95.51 128
35,1493,1 13 11,25,1649546,134.92 95.51 128
36,1498,0 12 8,25.5,1649519,135.59 95.79 127
37,1500,1 8 12,25.5,1649085,136.27 93.09 130
38,1491,2 14 15,24.5,1648690,134.23 95.22 129
39,1500,5 13 13,24.5,1648557,136.21 94.55 128
40,1500,2 10 15,25,1648293,135.59 93.51 130
41,1496,2 10 14,25,1648293,135.59 93.51 130
42,1494,1 14 10,25,1648104,134.92 96.18 127
43,1499,0 13 7,25.5,1648056,135.59 96.47 126
44,1495,0 13 6,25.5,1648056,135.59 96.47 126
45,1497,2 11 13,25,1647297,135.59 94.18 129
46,1492,2 15 14,24.5,1647270,134.23 95.88 128
47,1488,2 15 13,24.5,1647270,134.23 95.88 128
48,1499,1 10 9,25.5,1647247,136.27 94.44 128
49,1495,1 15 9,25,1646482,134.92 96.85 126
50,1491,1 15 8,25,1646482,134.92 96.85 126
51,1496,0 14 5,25.5,1646409,135.59 97.14 125
52,1499,2 12 12,25,1646119,135.59 94.85 128
53,1495,2 12 11,25,1646119,135.59 94.85 128
54,1500,1 11 8,25.5,1646052,136.27 95.12 127
55,1498,5 15 10,24.5,1645495,136.21 95.88 126
56,1494,6 15 15,24,1645440,135.47 94.89 128
57,1493,3 13 15,24.5,1645306,134.89 94.55 129
58,1500,0 10 4,26,1645125,136.91 95.36 126
59,1496,2 13 10,25,1644761,135.59 95.51 127
60,1497,1 12 6,25.5,1644673,136.27 95.79 126
61,1498,3 9 14,25,1644581,136.26 92.84 130
62,1498,0 15 4,25.5,1644580,135.59 97.81 124
63,1494,0 15 3,25.5,1644580,135.59 97.81 124
64,1494,3 14 14,24.5,1643968,134.89 95.22 128
65,1490,3 14 13,24.5,1643968,134.89 95.22 128
66,1481,0 15 15,24.5,1643784,132.91 95.88 129
67,1490,0 11 15,25,1643711,134.25 94.18 130
68,1486,0 11 14,25,1643711,134.25 94.18 130
69,1499,3 10 13,25,1643671,136.26 93.51 129
70,1498,2 14 9,25,1643221,135.59 96.18 126
71,1494,2 14 8,25,1643221,135.59 96.18 126
72,1499,1 13 5,25.5,1643110,136.27 96.47 125
73,1488,0 12 13,25,1642635,134.25 94.85 129
74,1497,3 11 11,25,1642579,136.26 94.18 128
75,1492,3 15 12,24.5,1642452,134.89 95.88 127
76,1500,6 14 10,24.5,1642080,136.87 95.22 126
77,1493,0 6 15,25.5,1642019,135.59 91.74 132
78,1496,7 14 15,24,1641986,136.12 94.24 128
79,1495,4 12 15,24.5,1641809,135.55 93.89 129
80,1495,0 7 14,25.5,1641561,135.59 92.42 131
81,1495,2 15 7,25,1641501,135.59 96.85 125
82,1489,0 13 12,25,1641380,134.25 95.51 128
83,1485,0 13 11,25,1641380,134.25 95.51 128
84,1500,1 14 4,25.5,1641364,136.27 97.14 124
85,1496,1 14 3,25.5,1641364,136.27 97.14 124
86,1498,3 12 10,25,1641305,136.26 94.85 127
87,1500,2 11 6,25.5,1641175,136.94 95.12 126
88,1496,0 8 13,25.5,1640921,135.59 93.09 130
89,1492,0 8 12,25.5,1640921,135.59 93.09 130
90,1500,4 8 14,25,1640753,136.93 92.17 130
91,1483,1 14 15,24.5,1640569,133.57 95.22 129
92,1496,4 13 14,24.5,1640555,135.55 94.55 128
93,1492,4 13 13,24.5,1640555,135.55 94.55 128
94,1497,7 15 14,24,1640472,136.12 94.89 127
95,1500,0 13 0,26,1640369,136.91 97.41 123
96,1492,1 10 15,25,1640173,134.92 93.51 130
97,1489,1 10 14,25,1640173,134.92 93.51 130
98,1494,0 9 11,25.5,1640098,135.59 93.77 129
99,1487,0 14 10,25,1639945,134.25 96.18 127
100,1500,3 13 9,25,1639848,136.26 95.51 126
101,1496,3 13 8,25,1639848,136.26 95.51 126
102,1497,1 15 2,25.5,1639433,136.27 97.81 123
103,1490,1 11 13,25,1639182,134.92 94.18 129
104,1485,1 15 14,24.5,1639156,133.57 95.88 128
105,1481,1 15 13,24.5,1639156,133.57 95.88 128
106,1494,4 14 12,24.5,1639121,135.55 95.22 127
107,1495,0 10 10,25.5,1639092,135.59 94.44 128
108,1491,0 10 9,25.5,1639092,135.59 94.44 128
109,1499,4 10 11,25,1638924,136.93 93.51 128
110,1498,8 13 15,24,1638423,136.78 93.58 128
111,1488,0 15 9,25,1638331,134.25 96.85 126
112,1484,0 15 8,25,1638331,134.25 96.85 126
113,1497,3 14 7,25,1638210,136.26 96.18 125
114,1497,5 11 15,24.5,1638200,136.21 93.23 129
115,1495,1 5 15,25.5,1638054,136.27 91.07 132
116,1498,2 13 3,25.5,1638034,136.94 96.47 124
117,1491,1 12 12,25,1638010,134.92 94.85 128
118,1488,1 12 11,25,1638010,134.92 94.85 128
