rank,cp,ivs,maxlevel,stat-product,stats
1,1500,1 15 15,40,1823956,123.29 123.29 120
2,1499,0 14 14,41,1823503,123.27 123.27 120
3,1499,0 15 13,41,1819974,123.27 124.07 119
4,1500,0 15 11,41.5,1817404,123.71 124.5 118
5,1500,0 11 15,41.5,1815824,123.71 121.31 121
6,1496,0 14 15,40.5,1813503,122.93 122.93 120
7,1500,0 12 14,41.5,1812665,123.71 122.11 120
8,1495,1 14 15,40,1812264,123.29 122.5 120
9,1490,0 15 15,40,1812264,122.5 123.29 120
10,1500,2 13 15,40,1812114,124.08 121.71 120
11,1499,0 13 15,41,1811738,123.27 122.48 120
12,1495,0 13 14,41,1811738,123.27 122.48 120
13,1499,1 12 14,41,1811587,124.07 121.68 120
14,1499,0 11 13,42,1810765,124.05 121.65 120
15,1496,0 15 14,40.5,1809993,122.93 123.73 119
16,1500,0 13 13,41.5,1809308,123.71 122.91 119
17,1495,1 15 14,40,1808756,123.29 123.29 119
18,1500,2 14 14,40,1808682,124.08 122.5 119
19,1494,0 14 13,41,1808307,123.27 123.27 119
20,1499,1 13 13,41,1808232,124.07 122.48 119
21,1498,0 12 12,42,1807489,124.05 122.45 119
22,1499,2 15 15,39.5,1807354,123.63 122.85 119
23,1496,1 15 12,40.5,1806362,123.73 123.73 118
24,1500,2 14 12,40.5,1806288,124.52 122.93 118
25,1497,3 15 15,39,1805785,123.97 122.4 119
26,1500,0 14 12,41.5,1805754,123.71 123.71 118
27,1495,0 14 11,41.5,1805754,123.71 123.71 118
28,1500,1 13 11,41.5,1805678,124.5 122.91 118
29,1500,2 15 13,40,1805054,124.08 123.29 118
30,1499,0 7 15,42.5,1804979,124.48 118.86 122
31,1499,0 12 10,42.5,1804779,124.48 122.87 118
32,1499,1 14 12,41,1804680,124.07 123.27 118
33,1494,0 15 12,41,1804680,123.27 124.07 118
34,1498,0 13 11,42,1804014,124.05 123.25 118
35,1495,0 10 15,41.5,1803878,123.71 120.51 121
36,1498,3 15 13,39.5,1803581,124.42 122.85 118
37,1500,1 9 15,41.5,1803492,124.5 119.71 121
38,1500,2 15 11,40.5,1802535,124.52 123.73 117
39,1499,0 8 14,42.5,1802280,124.48 119.66 121
40,1499,1 14 10,41.5,1802002,124.5 123.71 117
41,1495,0 15 10,41.5,1802002,123.71 124.5 117
42,1499,0 9 15,42,1801830,124.05 120.05 121
43,1496,1 12 15,40.5,1801652,123.73 121.35 120
44,1498,0 13 9,42.5,1801180,124.48 123.67 117
45,1499,1 15 11,41,1800930,124.07 124.07 117
46,1495,0 11 14,41.5,1800817,123.71 121.31 120
47,1490,1 13 15,40,1800572,123.29 121.71 120
48,1500,1 10 14,41.5,1800511,124.5 120.51 120
49,1495,2 12 15,40,1800347,124.08 120.92 120
50,1498,0 14 10,42,1800341,124.05 124.05 117
51,1500,5 15 14,38.5,1800142,125.09 121.96 118
52,1495,0 12 15,41,1799974,123.27 121.68 120
53,1499,3 11 15,40,1799972,124.87 120.13 120
54,1499,1 11 15,41,1799746,124.07 120.89 120
55,1494,1 11 14,41,1799746,124.07 120.89 120
56,1499,0 9 13,42.5,1799381,124.48 120.46 120
57,1499,2 10 14,41,1799367,124.86 120.09 120
58,1499,0 10 14,42,1798852,124.05 120.85 120
59,1494,0 10 13,42,1798852,124.05 120.85 120
60,1498,1 9 13,42,1798468,124.85 120.05 120
61,1496,1 13 14,40.5,1798316,123.73 122.14 119
62,1499,1 15 9,41.5,1798127,124.5 124.5 116
63,1495,0 12 13,41.5,1797559,123.71 122.11 119
64,1498,0 14 8,42.5,1797382,124.48 124.48 116
65,1500,1 11 13,41.5,1797332,124.5 121.31 119
66,1490,1 14 14,40,1797161,123.29 122.5 119
67,1495,2 13 14,40,1797013,124.08 121.71 119
68,1498,2 15 9,41,1796983,124.86 124.07 116
69,1499,3 12 14,40,1796716,124.87 120.92 119
70,1494,1 12 13,41,1796490,124.07 121.68 119
71,1497,1 14 8,42,1796469,124.85 124.05 116
72,1498,0 15 9,42,1796469,124.05 124.85 116
73,1493,0 15 8,42,1796469,124.05 124.85 116
74,1499,0 10 12,42.5,1796282,124.48 121.27 119
75,1499,2 11 13,41,1796189,124.86 120.89 119
76,1494,2 14 15,39.5,1795768,123.63 122.06 119
77,1494,0 11 12,42,1795675,124.05 121.65 119
78,1499,3 13 15,39.5,1795547,124.42 121.27 119
79,1498,1 10 12,42,1795370,124.85 120.85 119
80,1496,1 14 13,40.5,1794783,123.73 122.93 118
81,1500,2 13 13,40.5,1794635,124.52 122.14 118
82,1495,2 13 12,40.5,1794635,124.52 122.14 118
83,1500,3 12 12,40.5,1794338,125.31 121.35 118
84,1497,0 9 11,43,1794259,124.82 120.8 119
85,1493,3 14 15,39,1794210,123.97 121.62 119
86,1495,0 13 12,41.5,1794104,123.71 122.91 118
87,1500,1 12 12,41.5,1793953,124.5 122.11 118
88,1495,1 12 11,41.5,1793953,124.5 122.11 118
89,1497,4 13 15,39,1793917,124.76 120.83 119
90,1499,2 11 11,41.5,1793653,125.3 121.31 118
91,1490,1 15 13,40,1793556,123.29 123.29 118
92,1495,2 14 13,40,1793483,124.08 122.5 118
93,1498,0 15 7,42.5,1793383,124.48 125.28 115
94,1499,3 13 13,40,1793262,124.87 121.71 118
95,1494,1 13 12,41,1793037,124.07 122.48 118
96,1499,0 11 11,42.5,1792983,124.48 122.07 118
97,1494,0 11 10,42.5,1792983,124.48 122.07 118
98,1499,2 12 12,41,1792813,124.86 121.68 118
99,1494,0 6 15,42.5,1792783,124.48 118.05 122
100,1498,1 10 10,42.5,1792679,125.28 121.27 118
101,1497,1 15 7,42,1792473,124.85 124.85 115
102,1493,0 12 11,42,1792300,124.05 122.45 118
103,1494,2 15 14,39.5,1792166,123.63 122.85 118
104,1498,1 5 15,42.5,1792075,125.28 117.25 122
105,1498,1 11 11,42,1792073,124.85 121.65 118
106,1498,3 14 14,39.5,1792019,124.42 122.06 118
107,1493,3 14 13,39.5,1792019,124.42 122.06 118
108,1496,0 14 6,43,1791746,124.82 124.82 115
109,1498,4 13 13,39.5,1791727,125.21 121.27 118
110,1495,1 8 15,41.5,1791469,124.5 118.92 121
111,1497,0 10 10,43,1791043,124.82 121.6 118
