rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 7 15,15.5,2017418,111.5 175.66 103
2,1499,0 10 13,15.5,2015776,111.5 177.24 102
3,1498,0 6 15,15.5,2011378,111.5 175.14 103
4,1497,0 9 13,15.5,2009795,111.5 176.72 102
5,1500,1 4 15,15.5,2008729,112.03 174.09 103
6,1499,0 12 12,15.5,2007860,111.5 178.29 101
7,1499,1 7 13,15.5,2007256,112.03 175.66 102
8,1498,0 15 10,15.5,2005573,111.5 179.87 100
9,1495,0 5 15,15.5,2005338,111.5 174.61 103
10,1498,0 8 14,15.5,2003813,111.5 176.19 102
11,1494,0 8 13,15.5,2003813,111.5 176.19 102
12,1498,1 3 15,15.5,2002660,112.03 173.56 103
13,1497,0 11 12,15.5,2001937,111.5 177.77 101
14,1497,1 6 13,15.5,2001246,112.03 175.14 102
15,1500,2 1 15,15.5,1999868,112.55 172.51 103
16,1500,0 14 11,15.5,1999708,111.5 179.35 100
17,1496,0 14 10,15.5,1999708,111.5 179.35 100
18,1500,1 9 12,15.5,1999478,112.03 176.72 101
19,1493,0 4 15,15.5,1999298,111.5 174.09 103
20,1500,2 4 13,15.5,1998565,112.55 174.09 102
21,1496,0 7 14,15.5,1997832,111.5 175.66 102
22,1492,0 7 13,15.5,1997832,111.5 175.66 102
23,1499,1 12 10,15.5,1997357,112.03 178.29 100
24,1497,4 15 15,15,1997302,111.76 176.95 101
25,1496,1 2 15,15.5,1996591,112.03 173.04 103
26,1495,0 10 12,15.5,1996014,111.5 177.24 101
27,1499,1 5 14,15.5,1995236,112.03 174.61 102
28,1495,1 5 13,15.5,1995236,112.03 174.61 102
29,1497,1 15 8,15.5,1994883,112.03 179.87 99
30,1499,5 13 15,15,1994815,112.27 175.91 101
31,1498,0 13 11,15.5,1993844,111.5 178.82 100
32,1494,0 13 10,15.5,1993844,111.5 178.82 100
33,1498,2 0 15,15.5,1993771,112.55 171.98 103
34,1498,1 8 12,15.5,1993527,112.03 176.19 101
35,1491,0 3 15,15.5,1993258,111.5 173.56 103
36,1497,2 3 13,15.5,1992528,112.55 173.56 102
37,1500,2 13 8,15.5,1992528,112.55 178.82 99
38,1494,0 6 14,15.5,1991850,111.5 175.14 102
39,1490,0 6 13,15.5,1991850,111.5 175.14 102
40,1500,1 11 11,15.5,1991465,112.03 177.77 100
41,1497,1 11 10,15.5,1991465,112.03 177.77 100
42,1494,4 14 15,15,1991462,111.76 176.43 101
43,1500,2 6 12,15.5,1990929,112.55 175.14 101
44,1493,1 1 15,15.5,1990523,112.03 172.51 103
45,1493,0 9 12,15.5,1990091,111.5 176.72 101
46,1500,6 14 13,15,1990002,112.79 176.43 100
47,1500,3 1 13,15.5,1989706,113.08 172.51 102
48,1496,1 4 14,15.5,1989226,112.03 174.09 102
49,1493,1 4 13,15.5,1989226,112.03 174.09 102
50,1499,1 14 9,15.5,1989050,112.03 179.35 99
51,1495,1 14 8,15.5,1989050,112.03 179.35 99
52,1499,2 9 10,15.5,1988976,112.55 176.72 100
53,1497,5 12 15,15,1988948,112.27 175.4 101
54,1490,3 15 15,15,1988056,111.24 176.95 101
55,1496,0 12 11,15.5,1987980,111.5 178.29 100
56,1492,0 12 10,15.5,1987980,111.5 178.29 100
57,1495,1 7 12,15.5,1987577,112.03 175.66 101
58,1489,0 2 15,15.5,1987218,111.5 173.04 103
59,1500,5 15 14,15,1986682,112.27 176.95 100
60,1496,5 15 13,15,1986682,112.27 176.95 100
61,1498,2 12 8,15.5,1986667,112.55 178.29 99
62,1499,2 2 14,15.5,1986490,112.55 173.04 102
63,1495,2 2 13,15.5,1986490,112.55 173.04 102
64,1499,6 10 15,15,1986325,112.79 174.36 101
65,1492,0 5 14,15.5,1985869,111.5 174.61 102
66,1488,0 5 13,15.5,1985869,111.5 174.61 102
67,1492,4 13 15,15,1985622,111.76 175.91 101
68,1498,1 10 11,15.5,1985573,112.03 177.24 100
69,1494,1 10 10,15.5,1985573,112.03 177.24 100
70,1494,0 15 9,15.5,1985517,111.5 179.87 99
71,1490,0 15 8,15.5,1985517,111.5 179.87 99
72,1498,2 5 12,15.5,1984950,112.55 174.61 101
73,1491,1 0 15,15.5,1984454,112.03 171.98 103
74,1500,3 10 8,15.5,1984175,113.08 177.24 99
75,1491,0 8 12,15.5,1984168,111.5 176.19 101
76,1498,6 13 13,15,1984166,112.79 175.91 100
77,1497,2 15 6,15.5,1984003,112.55 179.87 98
78,1497,3 0 13,15.5,1983640,113.08 171.98 102
79,1494,1 3 14,15.5,1983217,112.03 173.56 102
80,1490,1 3 13,15.5,1983217,112.03 173.56 102
81,1497,1 13 9,15.5,1983217,112.03 178.82 99
82,1493,1 13 8,15.5,1983217,112.03 178.82 99
83,1495,5 11 15,15,1983081,112.27 174.88 101
84,1497,2 8 10,15.5,1983056,112.55 176.19 100
85,1487,3 14 15,15,1982243,111.24 176.43 101
86,1500,3 3 12,15.5,1982213,113.08 173.56 101
87,1493,0 11 11,15.5,1982116,111.5 177.77 100
88,1490,0 11 10,15.5,1982116,111.5 177.77 100
89,1493,1 6 12,15.5,1981626,112.03 175.14 101
90,1499,3 13 6,15.5,1981618,113.08 178.82 98
91,1500,0 7 3,16,1981376,113.28 178.47 98
92,1486,0 1 15,15.5,1981177,111.5 172.51 103
93,1497,5 14 14,15,1980873,112.27 176.43 100
94,1494,5 14 13,15,1980873,112.27 176.43 100
95,1500,2 11 9,15.5,1980807,112.55 177.77 99
96,1496,2 11 8,15.5,1980807,112.55 177.77 99
97,1497,2 1 14,15.5,1980452,112.55 172.51 102
98,1493,2 1 13,15.5,1980452,112.55 172.51 102
99,1497,6 9 15,15,1980431,112.79 173.84 101
100,1499,3 6 10,15.5,1980428,113.08 175.14 100
101,1489,0 4 14,15.5,1979887,111.5 174.09 102
102,1486,0 4 13,15.5,1979887,111.5 174.09 102
103,1490,4 12 15,15,1979782,111.76 175.4 101
104,1492,0 14 9,15.5,1979711,111.5 179.35 99
105,1488,0 14 8,15.5,1979711,111.5 179.35 99
106,1496,1 9 11,15.5,1979681,112.03 176.72 100
107,1492,1 9 10,15.5,1979681,112.03 176.72 100
108,1500,0 0 7,16,1979439,113.28 174.73 100
109,1500,7 14 11,15,1979139,113.31 176.43 99
110,1496,2 4 12,15.5,1978972,112.55 174.09 101
111,1483,2 15 15,15,1978809,110.72 176.95 101
112,1499,0 10 1,16,1978773,113.28 180.08 97
113,1500,6 12 14,15,1978330,112.79 175.4 100
114,1496,6 12 13,15,1978330,112.79 175.4 100
115,1498,3 9 8,15.5,1978287,113.08 176.72 99
116,1488,0 7 12,15.5,1978245,111.5 175.66 101
117,1498,2 14 7,15.5,1978202,112.55 179.35 98
118,1494,2 14 6,15.5,1978202,112.55 179.35 98
119,1499,7 7 15,15,1977673,113.31 172.81 101
120,1499,0 3 5,16,1977623,113.28 176.34 99
121,1493,4 15 14,15,1977527,111.76 176.95 100
122,1489,4 15 13,15,1977527,111.76 176.95 100
123,1495,1 12 9,15.5,1977384,112.03 178.29 99
124,1491,1 12 8,15.5,1977384,112.03 178.29 99
125,1492,5 10 15,15,1977214,112.27 174.36 101
126,1492,1 2 14,15.5,1977207,112.03 173.04 102
127,1488,1 2 13,15.5,1977207,112.03 173.04 102
128,1499,2 7 11,15.5,1977137,112.55 175.66 100
129,1495,2 7 10,15.5,1977137,112.55 175.66 100
130,1485,3 13 15,15,1976430,111.24 175.91 101
131,1500,4 14 4,15.5,1976316,113.6 179.35 97
132,1491,0 10 11,15.5,1976251,111.5 177.24 100
133,1487,0 10 10,15.5,1976251,111.5 177.24 100
134,1498,3 2 12,15.5,1976206,113.08 173.04 101
135,1499,6 15 12,15,1975879,112.79 176.95 99
136,1495,6 15 11,15,1975879,112.79 176.95 99
137,1497,3 12 6,15.5,1975790,113.08 178.29 98
138,1499,7 10 13,15,1975680,113.31 174.36 100
139,1491,1 5 12,15.5,1975675,112.03 174.61 101
140,1498,0 6 3,16,1975444,113.28 177.94 98
141,1484,0 0 15,15.5,1975137,111.5 171.98 103
142,1495,5 13 14,15,1975064,112.27 175.91 100
143,1491,5 13 13,15,1975064,112.27 175.91 100
144,1497,2 10 9,15.5,1974946,112.55 177.24 99
145,1493,2 10 8,15.5,1974946,112.55 177.24 99
146,1493,1 15 7,15.5,1974732,112.03 179.87 98
147,1490,1 15 6,15.5,1974732,112.03 179.87 98
148,1495,6 8 15,15,1974537,112.79 173.33 101
