rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 13 15,38,2088886,107.49 147.22 132
2,1500,0 14 14,38,2084029,107.49 148 131
3,1500,1 14 14,37.5,2083703,107.87 147.45 131
4,1499,0 11 14,38.5,2081972,107.89 146.19 132
5,1497,0 15 15,37.5,2079600,107.1 148.23 131
6,1493,0 15 14,37.5,2079600,107.1 148.23 131
7,1497,1 15 15,37,2079160,107.47 147.68 131
8,1499,0 15 13,38,2079005,107.49 148.78 130
9,1495,0 15 12,38,2079005,107.49 148.78 130
10,1499,1 15 13,37.5,2078680,107.87 148.23 130
11,1496,0 12 15,38,2077833,107.49 146.44 132
12,1498,0 12 13,38.5,2077248,107.89 146.98 131
13,1500,0 12 11,39,2076432,108.28 147.51 130
14,1496,0 13 14,38,2073061,107.49 147.22 131
15,1500,1 13 15,37.5,2072736,107.87 146.68 131
16,1496,1 13 14,37.5,2072736,107.87 146.68 131
17,1498,0 13 12,38.5,2072356,107.89 147.76 130
18,1500,2 13 15,37,2072190,108.25 146.13 131
19,1498,1 13 12,38,2072143,108.27 147.22 130
20,1500,0 6 14,39.5,2071448,108.67 143.32 133
21,1500,0 13 10,39,2071420,108.28 148.3 129
22,1499,0 10 15,38.5,2070838,107.89 145.41 132
23,1495,0 10 14,38.5,2070838,107.89 145.41 132
24,1499,1 10 15,38,2070625,108.27 144.88 132
25,1497,0 10 12,39,2070145,108.28 145.94 131
26,1493,0 14 15,37.5,2068712,107.1 147.45 131
27,1493,1 14 15,37,2068274,107.47 146.91 131
28,1495,0 14 13,38,2068121,107.49 148 130
29,1491,0 14 12,38,2068121,107.49 148 130
30,1498,0 7 15,39,2067851,108.28 143.59 133
31,1495,1 14 13,37.5,2067797,107.87 147.45 130
32,1497,0 14 11,38.5,2067296,107.89 148.54 129
33,1499,2 14 14,37,2067252,108.25 146.91 130
34,1500,0 7 13,39.5,2067169,108.67 144.11 132
35,1497,1 14 11,38,2067083,108.27 148 129
36,1492,0 11 15,38,2066781,107.49 145.66 132
37,1499,3 14 14,36.5,2066487,108.61 146.36 130
38,1499,0 14 9,39,2066237,108.28 149.08 128
39,1494,0 11 13,38.5,2066199,107.89 146.19 131
40,1499,1 14 9,38.5,2066134,108.67 148.54 128
41,1499,1 11 14,38,2065987,108.27 145.66 131
42,1498,2 11 14,37.5,2065556,108.65 145.12 131
43,1496,0 11 11,39,2065387,108.28 146.73 130
44,1498,0 11 9,39.5,2064345,108.67 147.26 129
45,1498,0 8 14,39,2063518,108.28 144.37 132
46,1498,1 8 14,38.5,2063416,108.67 143.85 132
47,1492,1 15 14,37,2063288,107.47 147.68 130
48,1500,0 11 7,40,2063073,109.06 147.79 128
49,1490,0 15 11,38,2063013,107.49 148.78 129
50,1500,1 8 12,39,2062725,109.06 144.37 131
51,1500,0 8 12,39.5,2062719,108.67 144.9 131
52,1495,1 15 12,37.5,2062690,107.87 148.23 129
53,1496,2 15 15,36.5,2062630,107.84 147.13 130
54,1492,2 15 14,36.5,2062630,107.84 147.13 130
55,1499,2 15 13,37,2062147,108.25 147.68 129
56,1494,2 15 12,37,2062147,108.25 147.68 129
57,1492,0 12 14,38,2062092,107.49 146.44 131
58,1497,0 15 10,38.5,2062066,107.89 149.32 128
59,1492,0 15 9,38.5,2062066,107.89 149.32 128
60,1497,1 15 10,38,2061854,108.27 148.78 128
61,1496,1 12 15,37.5,2061769,107.87 145.9 131
62,1492,1 12 14,37.5,2061769,107.87 145.9 131
63,1496,3 15 15,36,2061751,108.2 146.57 130
64,1496,2 15 10,37.5,2061424,108.65 148.23 128
65,1494,0 12 12,38.5,2061391,107.89 146.98 130
66,1498,3 15 13,36.5,2061384,108.61 147.13 129
67,1496,2 12 15,37,2061226,108.25 145.36 131
68,1498,1 12 13,38,2061180,108.27 146.44 130
69,1494,1 12 12,38,2061180,108.27 146.44 130
70,1499,0 15 8,39,2060884,108.28 149.87 127
71,1494,0 15 7,39,2060884,108.28 149.87 127
72,1499,1 15 8,38.5,2060782,108.67 149.32 127
73,1500,3 15 11,37,2060776,109.02 147.68 128
74,1498,2 12 13,37.5,2060750,108.65 145.9 130
75,1496,0 12 10,39,2060460,108.28 147.51 129
76,1500,1 12 11,38.5,2060357,108.67 146.98 129
77,1496,0 5 14,39.5,2060066,108.67 142.53 133
78,1500,2 12 11,38,2060039,109.05 146.44 129
79,1495,0 9 15,38.5,2059705,107.89 144.63 132
80,1491,0 9 14,38.5,2059705,107.89 144.63 132
81,1495,1 9 15,38,2059493,108.27 144.1 132
82,1500,1 15 6,39,2059473,109.06 149.87 126
83,1500,0 15 6,39.5,2059467,108.67 150.41 126
84,1498,0 12 8,39.5,2059296,108.67 148.05 128
85,1497,0 9 13,39,2059015,108.28 145.16 131
86,1493,0 9 12,39,2059015,108.28 145.16 131
87,1497,1 9 13,38.5,2058913,108.67 144.63 131
88,1499,1 9 11,39,2058104,109.06 145.16 130
89,1499,0 9 11,39.5,2058098,108.67 145.68 130
