rank,cp,ivs,maxlevel,stat-product,stats
1,817,15 15 15,51,790129,84.53 81.99 114
2,814,15 15 14,51,783198,84.53 81.99 113
3,809,14 15 15,51,782228,83.68 81.99 114
4,813,15 14 15,51,781983,84.53 81.15 114
5,811,15 15 13,51,776267,84.53 81.99 112
6,806,14 15 14,51,775366,83.68 81.99 113
7,810,15 14 14,51,775124,84.53 81.15 113
8,801,13 15 15,51,774326,82.84 81.99 114
9,805,14 14 15,51,774164,83.68 81.15 114
10,809,15 13 15,51,773838,84.53 80.3 114
11,808,15 15 12,51,769336,84.53 81.99 111
12,803,14 15 13,51,768504,83.68 81.99 112
13,807,15 14 13,51,768264,84.53 81.15 112
14,798,13 15 14,51,767534,82.84 81.99 113
15,802,14 14 14,51,767373,83.68 81.15 113
16,806,15 13 14,51,767050,84.53 80.3 113
17,793,12 15 15,51,766425,81.99 81.99 114
18,797,13 14 15,51,766344,82.84 81.15 114
19,801,14 13 15,51,766099,83.68 80.3 114
20,804,15 12 15,51,765692,84.53 79.46 114
21,805,15 15 11,51,762405,84.53 81.99 110
22,800,14 15 12,51,761643,83.68 81.99 111
23,804,15 14 12,51,761405,84.53 81.15 111
24,795,13 15 13,51,760742,82.84 81.99 112
25,799,14 14 13,51,760582,83.68 81.15 112
26,803,15 13 13,51,760262,84.53 80.3 112
27,790,12 15 14,51,759702,81.99 81.99 113
28,794,13 14 14,51,759621,82.84 81.15 113
29,798,14 13 14,51,759379,83.68 80.3 113
30,801,15 12 14,51,758975,84.53 79.46 113
31,789,12 14 15,51,758524,81.99 81.15 114
32,784,11 15 15,51,758524,81.15 81.99 114
33,793,13 13 15,51,758361,82.84 80.3 114
34,796,14 12 15,51,758035,83.68 79.46 114
35,800,15 11 15,51,757546,84.53 78.61 114
36,802,15 15 10,51,755474,84.53 81.99 109
37,799,15 15 9,51,755474,84.53 81.99 109
38,797,14 15 11,51,754781,83.68 81.99 110
39,801,15 14 11,51,754545,84.53 81.15 110
40,792,13 15 12,51,753949,82.84 81.99 111
41,796,14 14 12,51,753791,83.68 81.15 111
