rank,cp,ivs,maxlevel,stat-product,stats
1,1492,0 15 15,29.5,1774282,125.52 87.79 161
2,1497,1 15 14,29.5,1773454,126.25 87.79 160
3,1500,0 15 10,30,1770739,126.58 88.54 158
4,1497,0 15 9,30,1770739,126.58 88.54 158
5,1499,0 12 15,30,1770554,126.58 86.34 162
6,1495,1 14 15,29.5,1769789,126.25 87.07 161
7,1500,2 14 14,29.5,1768905,126.98 87.07 160
8,1498,0 14 11,30,1767219,126.58 87.8 159
9,1500,0 13 10,30.5,1767090,127.11 87.43 159
10,1499,1 14 9,30,1766256,127.32 87.8 158
11,1498,0 10 15,30.5,1765876,127.11 85.23 163
12,1497,2 13 15,29.5,1765128,126.98 86.34 161
13,1498,0 13 13,30,1763514,126.58 87.07 160
14,1495,0 13 12,30,1763514,126.58 87.07 160
15,1497,0 12 11,30.5,1763261,127.11 86.7 160
16,1489,0 15 14,29.5,1763261,125.52 87.79 160
17,1499,0 15 6,30.5,1762887,127.11 88.9 156
18,1500,0 11 10,31,1762760,127.63 86.32 160
19,1500,1 13 11,30,1762623,127.32 87.07 159
20,1494,1 15 13,29.5,1762370,126.25 87.79 159
21,1500,1 15 4,30.5,1761711,127.84 88.9 155
22,1499,2 15 12,29.5,1761350,126.98 87.79 158
23,1496,2 15 11,29.5,1761350,126.98 87.79 158
24,1500,1 9 15,30.5,1760772,127.84 84.5 163
25,1499,3 12 15,29.5,1760296,127.7 85.62 161
26,1495,0 12 14,30,1759624,126.58 86.34 161
27,1486,0 14 15,29.5,1759618,125.52 87.07 161
28,1493,0 15 8,30,1759532,126.58 88.54 157
29,1500,0 14 8,30.5,1759525,127.11 88.17 157
30,1496,0 14 7,30.5,1759525,127.11 88.17 157
31,1499,0 13 6,31,1759276,127.63 87.79 157
32,1498,0 11 13,30.5,1759245,127.11 85.96 161
33,1500,1 12 13,30,1758803,127.32 86.34 160
34,1497,1 12 12,30,1758803,127.32 86.34 160
35,1491,1 14 14,29.5,1758797,126.25 87.07 160
36,1500,0 10 12,31,1758617,127.63 85.58 161
37,1499,1 15 7,30,1758430,127.32 88.54 156
38,1500,1 11 11,30.5,1758424,127.84 85.96 160
39,1496,2 14 13,29.5,1757849,126.98 87.07 159
40,1500,2 15 5,30,1757200,128.05 88.54 155
41,1498,3 14 11,29.5,1756775,127.7 87.07 158
42,1494,0 14 10,30,1756105,126.58 87.8 158
43,1491,0 14 9,30,1756105,126.58 87.8 158
44,1497,0 13 9,30.5,1755976,127.11 87.43 158
45,1499,0 12 8,31,1755604,127.63 87.06 158
46,1492,0 11 15,30,1755549,126.58 85.61 162
47,1496,1 14 8,30,1755077,127.32 87.8 157
48,1495,0 10 14,30.5,1755042,127.11 85.23 162
49,1488,1 13 15,29.5,1755041,126.25 86.34 161
50,1498,1 13 7,30.5,1754948,127.84 87.43 157
51,1497,1 11 14,30,1754797,127.32 85.61 161
52,1497,0 15 2,31,1754662,127.63 89.27 154
53,1499,0 14 1,31.5,1754418,128.16 88.89 154
54,1500,1 10 13,30.5,1754291,127.84 85.23 161
55,1497,0 9 13,31,1754285,127.63 84.84 162
56,1494,2 13 14,29.5,1754164,126.98 86.34 160
57,1499,2 11 12,30,1753920,128.05 85.61 160
58,1500,0 8 12,31.5,1753278,128.16 84.45 162
59,1499,3 13 13,29.5,1753162,127.7 86.34 159
60,1491,0 13 11,30,1752493,126.58 87.07 159
61,1492,3 15 15,29,1752406,126.61 87.05 159
62,1485,0 15 13,29.5,1752241,125.52 87.79 159
63,1494,0 12 10,30.5,1752240,127.11 86.7 159
64,1500,4 13 11,29.5,1752034,128.43 86.34 158
65,1496,0 11 9,31,1751743,127.63 86.32 159
66,1495,0 15 5,30.5,1751587,127.11 88.9 155
67,1492,0 15 4,30.5,1751587,127.11 88.9 155
68,1496,1 13 10,30,1751537,127.32 87.07 158
69,1493,1 13 9,30,1751537,127.32 87.07 158
70,1498,0 14 4,31,1751460,127.63 88.53 155
71,1499,1 12 9,30.5,1751285,127.84 86.7 158
72,1491,1 15 12,29.5,1751285,126.25 87.79 158
73,1487,1 15 11,29.5,1751285,126.25 87.79 158
74,1497,4 15 14,29,1751279,127.33 87.05 158
75,1494,4 15 13,29,1751279,127.33 87.05 158
76,1500,0 13 3,31.5,1751095,128.16 88.15 155
77,1499,0 10 8,31.5,1751000,128.16 85.93 159
78,1492,0 9 15,30.5,1750653,127.11 84.5 163
79,1494,1 10 15,30,1750605,127.32 84.88 162
80,1498,2 13 8,30,1750454,128.05 87.07 157
81,1497,1 15 3,30.5,1750345,127.84 88.9 154
82,1491,2 12 15,29.5,1750295,126.98 85.62 161
83,1500,7 15 15,28.5,1750249,128.37 86.29 158
84,1499,1 14 2,31,1750219,128.37 88.53 154
85,1492,2 15 10,29.5,1750203,126.98 87.79 157
86,1499,5 15 12,29,1750027,128.05 87.05 157
87,1497,1 9 14,30.5,1749970,127.84 84.5 162
88,1500,2 10 14,30,1749798,128.05 84.88 161
89,1498,0 8 15,31,1749765,127.63 84.11 163
90,1494,0 8 14,31,1749765,127.63 84.11 163
91,1496,3 12 14,29.5,1749363,127.7 85.62 160
92,1499,1 8 13,31,1749083,128.37 84.11 162
93,1497,3 15 9,29.5,1748992,127.7 87.79 156
94,1492,0 12 13,30,1748695,126.58 86.34 160
95,1488,0 12 12,30,1748695,126.58 86.34 160
96,1483,0 14 14,29.5,1748689,125.52 87.07 160
97,1500,0 7 14,31.5,1748627,128.16 83.71 163
98,1490,0 15 7,30,1748325,126.58 88.54 156
99,1494,0 11 12,30.5,1748318,127.11 85.96 160
100,1491,0 11 11,30.5,1748318,127.11 85.96 160
101,1493,0 14 6,30.5,1748318,127.11 88.17 156
102,1495,0 13 5,31,1748070,127.63 87.79 156
103,1494,1 12 11,30,1747811,127.32 86.34 159
104,1488,1 14 13,29.5,1747804,126.25 87.07 159
105,1495,4 14 15,29,1747798,127.33 86.33 159
