rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 8 15,25.5,2047227,109.96 155.15 120
2,1498,1 15 14,25,2046168,109.54 158.3 118
3,1499,0 13 11,25.5,2039438,109.96 158.53 117
4,1497,0 11 12,25.5,2039364,109.96 157.18 118
5,1497,0 15 9,25.5,2039216,109.96 159.88 116
6,1499,0 9 14,25.5,2038993,109.96 155.83 119
7,1497,0 7 15,25.5,2038326,109.96 154.48 120
8,1499,1 14 15,25,2037534,109.54 157.63 118
9,1495,1 14 14,25,2037534,109.54 157.63 118
10,1500,1 13 9,25.5,2034412,110.63 158.53 116
11,1500,1 9 12,25.5,2034263,110.63 155.83 118
12,1493,0 15 15,25,2033691,108.87 158.3 118
13,1489,0 15 14,25,2033691,108.87 158.3 118
14,1500,1 5 15,25.5,2032920,110.63 153.13 120
15,1498,2 12 14,25,2032585,110.21 156.3 118
16,1500,2 14 13,25,2032585,110.21 157.63 117
17,1496,0 12 11,25.5,2030760,109.96 157.85 117
18,1498,0 10 13,25.5,2030612,109.96 156.5 118
19,1494,0 10 12,25.5,2030612,109.96 156.5 118
20,1498,0 14 10,25.5,2030612,109.96 159.2 116
21,1494,0 14 9,25.5,2030612,109.96 159.2 116
22,1496,0 8 14,25.5,2030167,109.96 155.15 119
23,1494,0 6 15,25.5,2029425,109.96 153.8 120
24,1496,1 13 15,25,2028900,109.54 156.96 118
25,1492,1 13 14,25,2028900,109.54 156.96 118
26,1494,1 15 13,25,2028827,109.54 158.3 117
27,1500,3 10 14,25,2027426,110.88 154.96 118
28,1500,3 14 11,25,2027426,110.88 157.63 116
29,1500,0 11 6,26,2026496,111.03 158.71 115
30,1500,0 7 9,26,2026345,111.03 155.99 117
31,1499,1 10 11,25.5,2025755,110.63 156.5 117
32,1497,1 12 9,25.5,2025755,110.63 157.85 116
33,1497,1 8 12,25.5,2025457,110.63 155.15 118
34,1499,1 14 8,25.5,2025457,110.63 159.2 115
35,1500,0 15 3,26,2025437,111.03 161.44 113
36,1490,0 14 15,25,2025110,108.87 157.63 118
37,1486,0 14 14,25,2025110,108.87 157.63 118
38,1500,0 3 12,26,2024984,111.03 153.26 119
39,1499,1 6 14,25.5,2024860,110.63 153.8 119
40,1499,4 15 15,24.5,2024611,110.42 156.71 117
41,1495,4 15 14,24.5,2024611,110.42 156.71 117
42,1497,2 13 13,25,2023973,110.21 156.96 117
43,1496,1 4 15,25.5,2023964,110.63 152.46 120
44,1499,2 11 15,25,2023899,110.21 155.63 118
45,1494,2 11 14,25,2023899,110.21 155.63 118
46,1499,2 15 12,25,2023752,110.21 158.3 116
47,1494,2 15 11,25,2023752,110.21 158.3 116
48,1493,0 11 11,25.5,2022081,109.96 157.18 117
49,1495,0 13 10,25.5,2022007,109.96 158.53 116
50,1491,0 13 9,25.5,2022007,109.96 158.53 116
51,1495,0 9 13,25.5,2021859,109.96 155.83 118
52,1491,0 9 12,25.5,2021859,109.96 155.83 118
53,1493,0 15 8,25.5,2021636,109.96 159.88 115
54,1493,0 7 14,25.5,2021340,109.96 154.48 119
55,1499,2 10 9,25.5,2020688,111.31 156.5 116
56,1491,0 5 15,25.5,2020524,109.96 153.13 120
57,1493,1 12 15,25,2020267,109.54 156.3 118
58,1489,1 12 14,25,2020267,109.54 156.3 118
59,1491,1 14 13,25,2020267,109.54 157.63 117
60,1499,2 6 12,25.5,2020087,111.31 153.8 118
61,1499,2 14 6,25.5,2020087,111.31 159.2 114
62,1498,5 13 14,24.5,2019547,111.08 155.39 117
63,1500,5 15 13,24.5,2019326,111.08 156.71 116
64,1499,3 11 13,25,2018910,110.88 155.63 117
65,1497,3 13 11,25,2018836,110.88 156.96 116
66,1497,3 9 14,25,2018687,110.88 154.29 118
67,1499,3 15 10,25,2018465,110.88 158.3 115
68,1499,2 2 15,25.5,2018285,111.31 151.11 120
69,1499,0 8 8,26,2017799,111.03 156.67 116
70,1497,0 10 6,26,2017799,111.03 158.03 115
71,1497,0 6 9,26,2017496,111.03 155.31 117
72,1499,0 12 5,26,2017496,111.03 159.39 114
73,1498,1 11 10,25.5,2017098,110.63 157.18 116
74,1494,1 11 9,25.5,2017098,110.63 157.18 116
75,1496,1 9 11,25.5,2017023,110.63 155.83 117
76,1499,0 4 11,26,2016891,111.03 153.94 118
77,1496,0 14 3,26,2016891,111.03 160.75 113
78,1496,1 13 8,25.5,2016874,110.63 158.53 115
79,1498,1 7 13,25.5,2016650,110.63 154.48 118
80,1493,1 7 12,25.5,2016650,110.63 154.48 118
81,1487,0 13 15,25,2016529,108.87 156.96 118
82,1483,0 13 14,25,2016529,108.87 156.96 118
83,1485,0 15 13,25,2016456,108.87 158.3 117
84,1498,1 15 7,25.5,2016352,110.63 159.88 114
85,1493,1 15 6,25.5,2016352,110.63 159.88 114
86,1496,4 14 15,24.5,2016068,110.42 156.05 117
87,1492,4 14 14,24.5,2016068,110.42 156.05 117
88,1497,0 2 12,26,2015984,111.03 152.58 119
89,1495,1 5 14,25.5,2015979,110.63 153.13 119
90,1493,2 12 13,25,2015360,110.21 156.3 117
91,1495,2 10 15,25,2015213,110.21 154.96 118
92,1491,2 10 14,25,2015213,110.21 154.96 118
93,1495,2 14 12,25,2015213,110.21 157.63 116
94,1491,2 14 11,25,2015213,110.21 157.63 116
95,1493,1 3 15,25.5,2015008,110.63 151.78 120
96,1499,0 0 14,26,2014774,111.03 151.22 120
97,1500,6 11 14,24.5,2014278,111.75 154.06 117
98,1500,6 15 11,24.5,2013834,111.75 156.71 115
99,1500,4 11 11,25,2013712,111.54 155.63 116
100,1490,0 10 11,25.5,2013403,109.96 156.5 117
101,1492,0 12 10,25.5,2013403,109.96 157.85 116
102,1488,0 12 9,25.5,2013403,109.96 157.85 116
103,1499,4 7 14,25,2013265,111.54 152.96 118
104,1492,0 8 13,25.5,2013106,109.96 155.15 118
105,1488,0 8 12,25.5,2013106,109.96 155.15 118
106,1490,0 14 8,25.5,2013106,109.96 159.2 115
107,1499,4 15 8,25,2012967,111.54 158.3 114
108,1500,1 8 6,26,2012676,111.71 156.67 115
109,1490,0 6 14,25.5,2012513,109.96 153.8 119
110,1490,3 15 15,24.5,2012487,109.76 156.71 117
111,1486,3 15 14,24.5,2012487,109.76 156.71 117
112,1500,1 4 9,26,2012068,111.71 153.94 117
113,1499,1 12 3,26,2012068,111.71 159.39 113
114,1496,2 9 9,25.5,2011978,111.31 155.83 116
115,1498,2 11 8,25.5,2011903,111.31 157.18 115
116,1498,2 7 11,25.5,2011752,111.31 154.48 117
117,1487,1 13 13,25,2011706,109.54 156.96 117
118,1490,1 11 15,25,2011633,109.54 155.63 118
119,1485,1 11 14,25,2011633,109.54 155.63 118
120,1487,0 4 15,25.5,2011623,109.96 152.46 120
121,1500,2 13 7,25.5,2011527,111.31 158.53 114
122,1496,2 13 6,25.5,2011527,111.31 158.53 114
123,1490,1 15 12,25,2011487,109.54 158.3 116
124,1485,1 15 11,25,2011487,109.54 158.3 116
125,1500,2 5 13,25.5,2011227,111.31 153.13 118
126,1496,2 5 12,25.5,2011227,111.31 153.13 118
127,1499,5 12 15,24.5,2010953,111.08 154.73 117
128,1494,5 12 14,24.5,2010953,111.08 154.73 117
129,1498,2 15 5,25.5,2010851,111.31 159.88 113
130,1496,5 14 13,24.5,2010806,111.08 156.05 116
131,1498,2 3 14,25.5,2010401,111.31 151.78 119
132,1496,3 10 13,25,2010245,110.88 154.96 117
