rank,cp,ivs,maxlevel,stat-product,stats
1,1237,15 15 15,51,1524242,99.75 116.65 131
2,1233,15 15 14,51,1524242,99.75 116.65 131
3,1232,15 14 15,51,1513197,99.75 115.81 131
4,1228,15 14 14,51,1513197,99.75 115.81 131
5,1229,15 15 13,51,1512607,99.75 116.65 130
6,1226,14 15 15,51,1511325,98.9 116.65 131
7,1222,14 15 14,51,1511325,98.9 116.65 131
8,1228,15 13 15,51,1502152,99.75 114.96 131
9,1224,15 13 14,51,1502152,99.75 114.96 131
10,1224,15 14 13,51,1501646,99.75 115.81 130
11,1225,15 15 12,51,1500971,99.75 116.65 129
12,1222,14 14 15,51,1500373,98.9 115.81 131
13,1218,14 14 14,51,1500373,98.9 115.81 131
14,1218,14 15 13,51,1499788,98.9 116.65 130
15,1216,13 15 15,51,1498408,98.05 116.65 131
16,1212,13 15 14,51,1498408,98.05 116.65 131
17,1223,15 12 15,51,1491107,99.75 114.12 131
18,1219,15 12 14,51,1491107,99.75 114.12 131
19,1220,15 13 13,51,1490685,99.75 114.96 130
20,1220,15 14 12,51,1490095,99.75 115.81 129
21,1217,14 13 15,51,1489422,98.9 114.96 131
22,1213,14 13 14,51,1489422,98.9 114.96 131
23,1221,15 15 11,51,1489336,99.75 116.65 128
24,1214,14 14 13,51,1488920,98.9 115.81 130
25,1214,14 15 12,51,1488251,98.9 116.65 129
26,1211,13 14 15,51,1487550,98.05 115.81 131
27,1207,13 14 14,51,1487550,98.05 115.81 131
28,1208,13 15 13,51,1486969,98.05 116.65 130
29,1205,12 15 15,51,1485490,97.21 116.65 131
30,1201,12 15 14,51,1485490,97.21 116.65 131
31,1219,15 11 15,51,1480061,99.75 113.27 131
32,1215,15 11 14,51,1480061,99.75 113.27 131
33,1215,15 12 13,51,1479724,99.75 114.12 130
34,1216,15 13 12,51,1479218,99.75 114.96 129
35,1216,15 14 11,51,1478544,99.75 115.81 128
36,1213,14 12 15,51,1478470,98.9 114.12 131
37,1209,14 12 14,51,1478470,98.9 114.12 131
38,1209,14 13 13,51,1478052,98.9 114.96 130
39,1217,15 15 10,51,1477700,99.75 116.65 127
40,1210,14 14 12,51,1477467,98.9 115.81 129
41,1210,14 15 11,51,1476714,98.9 116.65 128
42,1207,13 13 15,51,1476692,98.05 114.96 131
43,1203,13 13 14,51,1476692,98.05 114.96 131
44,1203,13 14 13,51,1476194,98.05 115.81 130
45,1204,13 15 12,51,1475531,98.05 116.65 129
46,1201,12 14 15,51,1474726,97.21 115.81 131
47,1197,12 14 14,51,1474726,97.21 115.81 131
48,1197,12 15 13,51,1474151,97.21 116.65 130
49,1195,11 15 15,51,1472573,96.36 116.65 131
50,1191,11 15 14,51,1472573,96.36 116.65 131
51,1214,15 10 15,51,1469016,99.75 112.42 131
52,1210,15 10 14,51,1469016,99.75 112.42 131
53,1211,15 11 13,51,1468763,99.75 113.27 130
54,1211,15 12 12,51,1468342,99.75 114.12 129
55,1212,15 13 11,51,1467751,99.75 114.96 128
56,1208,14 11 15,51,1467518,98.9 113.27 131
57,1204,14 11 14,51,1467518,98.9 113.27 131
58,1205,14 12 13,51,1467184,98.9 114.12 130
59,1212,15 14 10,51,1466992,99.75 115.81 127
60,1205,14 13 12,51,1466682,98.9 114.96 129
61,1213,15 15 9,51,1466065,99.75 116.65 126
62,1206,14 14 11,51,1466014,98.9 115.81 128
63,1202,13 12 15,51,1465834,98.05 114.12 131
64,1198,13 12 14,51,1465834,98.05 114.12 131
65,1199,13 13 13,51,1465419,98.05 114.96 130
66,1206,14 15 10,51,1465178,98.9 116.65 127
67,1200,13 14 12,51,1464839,98.05 115.81 129
68,1200,13 15 11,51,1464093,98.05 116.65 128
69,1196,12 13 15,51,1463961,97.21 114.96 131
70,1193,12 13 14,51,1463961,97.21 114.96 131
71,1193,12 14 13,51,1463468,97.21 115.81 130
72,1194,12 15 12,51,1462811,97.21 116.65 129
73,1190,11 14 15,51,1461902,96.36 115.81 131
74,1187,11 14 14,51,1461902,96.36 115.81 131
75,1187,11 15 13,51,1461332,96.36 116.65 130
76,1184,10 15 15,51,1459656,95.52 116.65 131
77,1180,10 15 14,51,1459656,95.52 116.65 131
78,1209,15 9 15,51,1457971,99.75 111.58 131
79,1206,15 9 14,51,1457971,99.75 111.58 131
80,1206,15 10 13,51,1457802,99.75 112.42 130
81,1207,15 11 12,51,1457465,99.75 113.27 129
82,1207,15 12 11,51,1456959,99.75 114.12 128
83,1204,14 10 15,51,1456567,98.9 112.42 131
84,1200,14 10 14,51,1456567,98.9 112.42 131
85,1200,14 11 13,51,1456316,98.9 113.27 130
86,1208,15 13 10,51,1456284,99.75 114.96 127
87,1201,14 12 12,51,1455898,98.9 114.12 129
88,1208,15 14 9,51,1455441,99.75 115.81 126
89,1201,14 13 11,51,1455313,98.9 114.96 128
90,1198,13 11 15,51,1454975,98.05 113.27 131
91,1194,13 11 14,51,1454975,98.05 113.27 131
92,1195,13 12 13,51,1454644,98.05 114.12 130
93,1202,14 14 10,51,1454560,98.9 115.81 127
94,1209,15 15 8,51,1454430,99.75 116.65 125
95,1204,15 15 7,51,1454430,99.75 116.65 125
96,1195,13 13 12,51,1454147,98.05 114.96 129
97,1202,14 15 9,51,1453641,98.9 116.65 126
98,1196,13 14 11,51,1453484,98.05 115.81 128
99,1192,12 12 15,51,1453197,97.21 114.12 131
100,1188,12 12 14,51,1453197,97.21 114.12 131
101,1189,12 13 13,51,1452786,97.21 114.96 130
102,1196,13 15 10,51,1452655,98.05 116.65 127
103,1189,12 14 12,51,1452211,97.21 115.81 129
104,1190,12 15 11,51,1451471,97.21 116.65 128
105,1186,11 13 15,51,1451231,96.36 114.96 131
106,1182,11 13 14,51,1451231,96.36 114.96 131
107,1183,11 14 13,51,1450743,96.36 115.81 130
108,1183,11 15 12,51,1450091,96.36 116.65 129
109,1180,10 14 15,51,1449078,95.52 115.81 131
110,1176,10 14 14,51,1449078,95.52 115.81 131
111,1177,10 15 13,51,1448513,95.52 116.65 130
112,1205,15 8 15,51,1446926,99.75 110.73 131
113,1201,15 8 14,51,1446926,99.75 110.73 131
114,1202,15 9 13,51,1446841,99.75 111.58 130
115,1174,9 15 15,51,1446738,94.67 116.65 131
116,1170,9 15 14,51,1446738,94.67 116.65 131
117,1202,15 10 12,51,1446588,99.75 112.42 129
118,1203,15 11 11,51,1446167,99.75 113.27 128
119,1199,14 9 15,51,1445615,98.9 111.58 131
120,1195,14 9 14,51,1445615,98.9 111.58 131
121,1203,15 12 10,51,1445577,99.75 114.12 127
122,1196,14 10 13,51,1445448,98.9 112.42 130
123,1197,14 11 12,51,1445113,98.9 113.27 129
124,1204,15 13 9,51,1444818,99.75 114.96 126
125,1197,14 12 11,51,1444612,98.9 114.12 128
126,1193,13 10 15,51,1444117,98.05 112.42 131
127,1190,13 10 14,51,1444117,98.05 112.42 131
128,1198,14 13 10,51,1443943,98.9 114.96 127
129,1204,15 14 8,51,1443890,99.75 115.81 125
130,1200,15 14 7,51,1443890,99.75 115.81 125
131,1190,13 11 13,51,1443869,98.05 113.27 130
132,1191,13 12 12,51,1443454,98.05 114.12 129
133,1198,14 14 9,51,1443107,98.9 115.81 126
134,1191,13 13 11,51,1442874,98.05 114.96 128
135,1200,15 15 6,51,1442794,99.75 116.65 124
136,1188,12 11 15,51,1442433,97.21 113.27 131
137,1184,12 11 14,51,1442433,97.21 113.27 131
138,1192,13 14 10,51,1442128,98.05 115.81 127
139,1184,12 12 13,51,1442104,97.21 114.12 130
140,1198,14 15 8,51,1442104,98.9 116.65 125
141,1194,14 15 7,51,1442104,98.9 116.65 125
142,1185,12 13 12,51,1441611,97.21 114.96 129
143,1192,13 15 9,51,1441216,98.05 116.65 126
144,1185,12 14 11,51,1440953,97.21 115.81 128
145,1182,11 12 15,51,1440561,96.36 114.12 131
146,1178,11 12 14,51,1440561,96.36 114.12 131
147,1178,11 13 13,51,1440153,96.36 114.96 130
148,1186,12 15 10,51,1440132,97.21 116.65 127
149,1179,11 14 12,51,1439583,96.36 115.81 129
150,1179,11 15 11,51,1438850,96.36 116.65 128
151,1176,10 13 15,51,1438501,95.52 114.96 131
152,1172,10 13 14,51,1438501,95.52 114.96 131
153,1172,10 14 13,51,1438017,95.52 115.81 130
154,1173,10 15 12,51,1437371,95.52 116.65 129
155,1169,9 14 15,51,1436255,94.67 115.81 131
156,1166,9 14 14,51,1436255,94.67 115.81 131
157,1200,15 7 15,51,1435880,99.75 109.89 131
158,1196,15 7 14,51,1435880,99.75 109.89 131
159,1197,15 8 13,51,1435880,99.75 110.73 130
160,1198,15 9 12,51,1435712,99.75 111.58 129
161,1166,9 15 13,51,1435695,94.67 116.65 130
162,1198,15 10 11,51,1435374,99.75 112.42 128
163,1199,15 11 10,51,1434869,99.75 113.27 127
164,1195,14 8 15,51,1434663,98.9 110.73 131
165,1191,14 8 14,51,1434663,98.9 110.73 131
166,1191,14 9 13,51,1434580,98.9 111.58 130
167,1192,14 10 12,51,1434329,98.9 112.42 129
168,1199,15 12 9,51,1434194,99.75 114.12 126
169,1193,14 11 11,51,1433911,98.9 113.27 128
170,1163,8 15 15,51,1433821,93.83 116.65 131
171,1159,8 15 14,51,1433821,93.83 116.65 131
