rank,cp,ivs,maxlevel,stat-product,stats
1,1116,15 15 15,51,1390593,89.6 114.12 136
2,1113,15 15 14,51,1380368,89.6 114.12 135
3,1112,15 14 15,51,1380293,89.6 113.27 136
4,1106,14 15 15,51,1377474,88.76 114.12 136
5,1109,15 14 14,51,1370143,89.6 113.27 135
6,1109,15 15 13,51,1370143,89.6 114.12 134
7,1108,15 13 15,51,1369992,89.6 112.42 136
8,1102,14 15 14,51,1367346,88.76 114.12 135
9,1101,14 14 15,51,1367271,88.76 113.27 136
10,1095,13 15 15,51,1364356,87.91 114.12 136
11,1105,15 14 13,51,1359994,89.6 113.27 134
12,1104,15 13 14,51,1359918,89.6 112.42 135
13,1106,15 15 12,51,1359918,89.6 114.12 133
14,1104,15 12 15,51,1359691,89.6 111.58 136
15,1098,14 14 14,51,1357217,88.76 113.27 135
16,1099,14 15 13,51,1357217,88.76 114.12 134
17,1097,14 13 15,51,1357067,88.76 112.42 136
18,1092,13 15 14,51,1354324,87.91 114.12 135
19,1091,13 14 15,51,1354249,87.91 113.27 136
20,1085,12 15 15,51,1351237,87.07 114.12 136
21,1101,15 13 13,51,1349845,89.6 112.42 134
22,1102,15 14 12,51,1349845,89.6 113.27 133
23,1100,15 12 14,51,1349693,89.6 111.58 135
24,1102,15 15 11,51,1349693,89.6 114.12 132
25,1099,15 11 15,51,1349390,89.6 110.73 136
26,1095,14 14 13,51,1347164,88.76 113.27 134
27,1094,14 13 14,51,1347089,88.76 112.42 135
28,1095,14 15 12,51,1347089,88.76 114.12 133
29,1093,14 12 15,51,1346864,88.76 111.58 136
30,1088,13 14 14,51,1344292,87.91 113.27 135
31,1088,13 15 13,51,1344292,87.91 114.12 134
32,1087,13 13 15,51,1344143,87.91 112.42 136
33,1081,12 15 14,51,1341301,87.07 114.12 135
34,1080,12 14 15,51,1341228,87.07 113.27 136
35,1097,15 13 12,51,1339771,89.6 112.42 133
36,1097,15 12 13,51,1339696,89.6 111.58 134
37,1098,15 14 11,51,1339696,89.6 113.27 132
38,1096,15 11 14,51,1339469,89.6 110.73 135
39,1099,15 15 10,51,1339469,89.6 114.12 131
40,1095,15 15 9,51,1339469,89.6 114.12 131
41,1095,15 10 15,51,1339090,89.6 109.89 136
42,1074,11 15 15,51,1338118,86.22 114.12 136
43,1091,14 13 13,51,1337111,88.76 112.42 134
44,1091,14 14 12,51,1337111,88.76 113.27 133
45,1090,14 12 14,51,1336960,88.76 111.58 135
46,1092,14 15 11,51,1336960,88.76 114.12 132
47,1089,14 11 15,51,1336660,88.76 110.73 136
48,1084,13 14 13,51,1334334,87.91 113.27 134
49,1084,13 13 14,51,1334260,87.91 112.42 135
50,1085,13 15 12,51,1334260,87.91 114.12 133
51,1083,13 12 15,51,1334037,87.91 111.58 136
52,1077,12 14 14,51,1331366,87.07 113.27 135
53,1078,12 15 13,51,1331366,87.07 114.12 134
54,1076,12 13 15,51,1331219,87.07 112.42 136
55,1093,15 12 12,51,1329698,89.6 111.58 133
56,1094,15 13 11,51,1329698,89.6 112.42 132
57,1093,15 11 13,51,1329547,89.6 110.73 134
58,1095,15 14 10,51,1329547,89.6 113.27 131
59,1091,15 14 9,51,1329547,89.6 113.27 131
60,1092,15 10 14,51,1329244,89.6 109.89 135
61,1092,15 15 8,51,1329244,89.6 114.12 130
62,1091,15 9 15,51,1328789,89.6 109.04 136
63,1071,11 15 14,51,1328279,86.22 114.12 135
64,1070,11 14 15,51,1328206,86.22 113.27 136
65,1087,14 13 12,51,1327132,88.76 112.42 133
66,1086,14 12 13,51,1327057,88.76 111.58 134
67,1088,14 14 11,51,1327057,88.76 113.27 132
68,1086,14 11 14,51,1326832,88.76 110.73 135
69,1088,14 15 10,51,1326832,88.76 114.12 131
70,1085,14 15 9,51,1326832,88.76 114.12 131
71,1085,14 10 15,51,1326457,88.76 109.89 136
72,1063,10 15 15,51,1324999,85.38 114.12 136
73,1080,13 13 13,51,1324376,87.91 112.42 134
74,1081,13 14 12,51,1324376,87.91 113.27 133
75,1079,13 12 14,51,1324228,87.91 111.58 135
76,1081,13 15 11,51,1324228,87.91 114.12 132
77,1079,13 11 15,51,1323930,87.91 110.73 136
78,1074,12 14 13,51,1321504,87.07 113.27 134
79,1073,12 13 14,51,1321430,87.07 112.42 135
80,1074,12 15 12,51,1321430,87.07 114.12 133
81,1072,12 12 15,51,1321209,87.07 111.58 136
82,1090,15 12 11,51,1319700,89.6 111.58 132
83,1089,15 11 12,51,1319625,89.6 110.73 133
84,1090,15 13 10,51,1319625,89.6 112.42 131
85,1087,15 13 9,51,1319625,89.6 112.42 131
86,1088,15 10 13,51,1319397,89.6 109.89 134
87,1088,15 14 8,51,1319397,89.6 113.27 130
88,1088,15 9 14,51,1319019,89.6 109.04 135
89,1088,15 15 7,51,1319019,89.6 114.12 129
90,1087,15 8 15,51,1318488,89.6 108.2 136
91,1067,11 14 14,51,1318440,86.22 113.27 135
92,1067,11 15 13,51,1318440,86.22 114.12 134
93,1066,11 13 15,51,1318294,86.22 112.42 136
94,1083,14 12 12,51,1317154,88.76 111.58 133
95,1084,14 13 11,51,1317154,88.76 112.42 132
96,1082,14 11 13,51,1317004,88.76 110.73 134
97,1084,14 14 10,51,1317004,88.76 113.27 131
98,1081,14 14 9,51,1317004,88.76 113.27 131
99,1082,14 10 14,51,1316704,88.76 109.89 135
100,1081,14 15 8,51,1316704,88.76 114.12 130
101,1081,14 9 15,51,1316253,88.76 109.04 136
102,1060,10 15 14,51,1315257,85.38 114.12 135
103,1060,10 14 15,51,1315184,85.38 113.27 136
104,1077,13 13 12,51,1314493,87.91 112.42 133
105,1076,13 12 13,51,1314418,87.91 111.58 134
106,1077,13 14 11,51,1314418,87.91 113.27 132
107,1075,13 11 14,51,1314196,87.91 110.73 135
108,1078,13 15 10,51,1314196,87.91 114.12 131
109,1074,13 15 9,51,1314196,87.91 114.12 131
110,1075,13 10 15,51,1313824,87.91 109.89 136
111,1053,9 15 15,51,1311880,84.53 114.12 136
112,1070,12 13 13,51,1311642,87.07 112.42 134
113,1070,12 14 12,51,1311642,87.07 113.27 133
114,1069,12 12 14,51,1311495,87.07 111.58 135
115,1071,12 15 11,51,1311495,87.07 114.12 132
116,1068,12 11 15,51,1311200,87.07 110.73 136
117,1086,15 11 11,51,1309703,89.6 110.73 132
118,1086,15 12 10,51,1309703,89.6 111.58 131
119,1083,15 12 9,51,1309703,89.6 111.58 131
120,1085,15 10 12,51,1309551,89.6 109.89 133
121,1083,15 13 8,51,1309551,89.6 112.42 130
122,1084,15 9 13,51,1309248,89.6 109.04 134
123,1084,15 14 7,51,1309248,89.6 113.27 129
124,1083,15 8 14,51,1308794,89.6 108.2 135
125,1084,15 15 6,51,1308794,89.6 114.12 128
126,1063,11 14 13,51,1308674,86.22 113.27 134
127,1063,11 13 14,51,1308601,86.22 112.42 135
128,1064,11 15 12,51,1308601,86.22 114.12 133
129,1062,11 12 15,51,1308382,86.22 111.58 136
130,1083,15 7 15,51,1308188,89.6 107.35 136
131,1080,14 12 11,51,1307250,88.76 111.58 132
132,1079,14 11 12,51,1307175,88.76 110.73 133
133,1080,14 13 10,51,1307175,88.76 112.42 131
134,1077,14 13 9,51,1307175,88.76 112.42 131
135,1078,14 10 13,51,1306950,88.76 109.89 134
136,1077,14 14 8,51,1306950,88.76 113.27 130
137,1077,14 9 14,51,1306575,88.76 109.04 135
138,1078,14 15 7,51,1306575,88.76 114.12 129
139,1077,14 8 15,51,1306050,88.76 108.2 136
140,1056,10 14 14,51,1305514,85.38 113.27 135
141,1057,10 15 13,51,1305514,85.38 114.12 134
142,1056,10 13 15,51,1305370,85.38 112.42 136
143,1073,13 12 12,51,1304609,87.91 111.58 133
144,1073,13 13 11,51,1304609,87.91 112.42 132
145,1072,13 11 13,51,1304461,87.91 110.73 134
146,1074,13 14 10,51,1304461,87.91 113.27 131
147,1070,13 14 9,51,1304461,87.91 113.27 131
148,1071,13 10 14,51,1304163,87.91 109.89 135
149,1071,13 15 8,51,1304163,87.91 114.12 130
150,1070,13 9 15,51,1303718,87.91 109.04 136
151,1050,9 15 14,51,1302234,84.53 114.12 135
152,1049,9 14 15,51,1302163,84.53 113.27 136
153,1066,12 13 12,51,1301853,87.07 112.42 133
154,1066,12 12 13,51,1301780,87.07 111.58 134
155,1067,12 14 11,51,1301780,87.07 113.27 132
156,1065,12 11 14,51,1301559,87.07 110.73 135
157,1068,12 15 10,51,1301559,87.07 114.12 131
