rank,cp,ivs,maxlevel,stat-product,stats
1,1498,2 15 15,22,2056131,109.02 109.65 172
2,1499,0 12 14,22.5,2054947,108.99 108.99 173
3,1500,0 13 13,22.5,2054947,108.99 109.62 172
4,1498,0 13 12,22.5,2054947,108.99 109.62 172
5,1497,0 11 15,22.5,2054809,108.99 108.35 174
6,1499,0 14 11,22.5,2054809,108.99 110.25 171
7,1496,0 14 10,22.5,2054809,108.99 110.25 171
8,1498,0 15 9,22.5,2054532,108.99 110.89 170
9,1494,2 14 15,22,2044382,109.02 109.02 172
10,1498,3 13 15,22,2044314,109.65 108.4 172
11,1489,1 15 15,22,2044314,108.4 109.65 172
12,1500,3 14 14,22,2044177,109.65 109.02 171
13,1497,3 14 13,22,2044177,109.65 109.02 171
14,1495,2 15 14,22,2044177,109.02 109.65 171
15,1493,2 15 13,22,2044177,109.02 109.65 171
16,1498,3 15 12,22,2043902,109.65 109.65 170
17,1496,0 12 13,22.5,2043069,108.99 108.99 172
18,1493,0 12 12,22.5,2043069,108.99 108.99 172
19,1494,0 11 14,22.5,2042999,108.99 108.35 173
20,1500,1 11 13,22.5,2042999,109.62 108.35 172
21,1498,1 11 12,22.5,2042999,109.62 108.35 172
22,1499,1 12 11,22.5,2042999,109.62 108.99 171
23,1496,1 12 10,22.5,2042999,109.62 108.99 171
24,1495,0 13 11,22.5,2042999,108.99 109.62 171
25,1492,0 13 10,22.5,2042999,108.99 109.62 171
26,1499,1 10 14,22.5,2042861,109.62 107.72 173
27,1498,1 13 9,22.5,2042861,109.62 109.62 170
28,1493,0 10 15,22.5,2042792,108.99 107.72 174
29,1494,0 14 9,22.5,2042792,108.99 110.25 170
30,1497,1 9 15,22.5,2042583,109.62 107.09 174
31,1499,1 14 8,22.5,2042583,109.62 110.25 169
32,1497,1 14 7,22.5,2042583,109.62 110.25 169
33,1495,0 15 8,22.5,2042447,108.99 110.89 169
34,1492,0 15 7,22.5,2042447,108.99 110.89 169
35,1498,1 15 6,22.5,2042166,109.62 110.89 168
36,1499,0 9 7,23,2040125,110.19 108.27 171
37,1499,0 11 4,23,2040125,110.19 109.55 169
38,1500,0 8 9,23,2039913,110.19 107.63 172
39,1500,0 13 1,23,2039560,110.19 110.83 167
40,1500,0 6 12,23,2039066,110.19 106.35 174
41,1499,0 4 15,23,2037654,110.19 105.07 176
42,1489,2 13 15,22,2032633,109.02 108.4 172
43,1485,1 14 15,22,2032633,108.4 109.02 172
44,1494,3 12 15,22,2032497,109.65 107.77 172
45,1481,0 15 15,22,2032497,107.77 109.65 172
46,1491,2 14 14,22,2032496,109.02 109.02 171
47,1488,2 14 13,22,2032496,109.02 109.02 171
48,1495,3 13 14,22,2032429,109.65 108.4 171
49,1493,3 13 13,22,2032429,109.65 108.4 171
50,1487,1 15 14,22,2032429,108.4 109.65 171
51,1484,1 15 13,22,2032429,108.4 109.65 171
52,1498,4 11 15,22,2032227,110.28 107.14 172
53,1499,4 12 14,22,2032227,110.28 107.77 171
54,1497,4 12 13,22,2032227,110.28 107.77 171
55,1494,3 14 12,22,2032223,109.65 109.02 170
56,1490,2 15 12,22,2032223,109.02 109.65 170
57,1498,4 13 12,22,2032089,110.28 108.4 170
58,1496,3 15 11,22,2031879,109.65 109.65 169
59,1493,3 15 10,22,2031879,109.65 109.65 169
60,1500,4 14 11,22,2031813,110.28 109.02 169
61,1497,4 14 10,22,2031813,110.28 109.02 169
62,1498,6 15 15,21.5,2031679,110.25 108.4 170
63,1499,4 15 9,22,2031398,110.28 109.65 168
64,1492,0 11 13,22.5,2031190,108.99 108.35 172
65,1489,0 11 12,22.5,2031190,108.99 108.35 172
66,1490,0 12 11,22.5,2031190,108.99 108.99 171
67,1488,0 12 10,22.5,2031190,108.99 108.99 171
68,1495,1 11 11,22.5,2031122,109.62 108.35 171
69,1492,1 11 10,22.5,2031122,109.62 108.35 171
70,1490,0 10 14,22.5,2031052,108.99 107.72 173
71,1496,1 10 13,22.5,2031052,109.62 107.72 172
72,1493,1 10 12,22.5,2031052,109.62 107.72 172
73,1494,1 12 9,22.5,2031052,109.62 108.99 170
74,1489,0 13 9,22.5,2031052,108.99 109.62 170
75,1499,2 10 11,22.5,2030916,110.25 107.72 171
76,1496,2 10 10,22.5,2030916,110.25 107.72 171
77,1498,2 11 9,22.5,2030916,110.25 108.35 170
78,1494,1 9 14,22.5,2030844,109.62 107.09 173
79,1495,1 13 8,22.5,2030844,109.62 109.62 169
80,1492,1 13 7,22.5,2030844,109.62 109.62 169
81,1488,0 9 15,22.5,2030776,108.99 107.09 174
82,1500,2 9 13,22.5,2030776,110.25 107.09 172
83,1497,2 9 12,22.5,2030776,110.25 107.09 172
84,1499,2 12 8,22.5,2030776,110.25 108.99 169
85,1497,2 12 7,22.5,2030776,110.25 108.99 169
86,1491,0 14 8,22.5,2030776,108.99 110.25 169
87,1488,0 14 7,22.5,2030776,108.99 110.25 169
88,1500,3 9 10,22.5,2030572,110.89 107.09 171
89,1493,1 8 15,22.5,2030496,109.62 106.45 174
90,1498,2 8 14,22.5,2030496,110.25 106.45 173
91,1498,2 13 6,22.5,2030496,110.25 109.62 168
92,1494,1 14 6,22.5,2030496,109.62 110.25 168
93,1489,0 15 6,22.5,2030362,108.99 110.89 168
94,1497,2 7 15,22.5,2030077,110.25 105.82 174
95,1500,2 14 5,22.5,2030077,110.25 110.25 167
96,1497,2 14 4,22.5,2030077,110.25 110.25 167
97,1495,1 15 5,22.5,2030010,109.62 110.89 167
98,1493,1 15 4,22.5,2030010,109.62 110.89 167
99,1500,3 14 2,22.5,2029518,110.89 110.25 166
100,1498,2 15 3,22.5,2029518,110.25 110.89 166
101,1495,2 15 2,22.5,2029518,110.25 110.89 166
102,1496,0 9 6,23,2028195,110.19 108.27 170
103,1498,0 10 5,23,2028195,110.19 108.91 169
104,1495,0 10 4,23,2028195,110.19 108.91 169
105,1497,0 8 8,23,2028053,110.19 107.63 171
106,1495,0 8 7,23,2028053,110.19 107.63 171
107,1497,0 11 3,23,2028053,110.19 109.55 168
108,1499,1 9 4,23,2027987,110.83 108.27 169
109,1499,0 7 10,23,2027771,110.19 106.99 172
110,1496,0 7 9,23,2027771,110.19 106.99 172
111,1498,0 12 2,23,2027771,110.19 110.19 167
112,1495,0 12 1,23,2027771,110.19 110.19 167
113,1499,1 7 7,23,2027703,110.83 106.99 171
114,1500,1 11 1,23,2027703,110.83 109.55 167
115,1497,0 6 11,23,2027347,110.19 106.35 173
116,1500,1 6 9,23,2027347,110.83 106.35 172
117,1497,0 13 0,23,2027347,110.19 110.83 166
118,1498,0 5 13,23,2026783,110.19 105.71 174
119,1495,0 5 12,23,2026783,110.19 105.71 174
120,1499,1 4 12,23,2026211,110.83 105.07 174
121,1496,0 4 14,23,2026077,110.19 105.07 175
122,1500,1 3 14,23,2025430,110.83 104.43 175
123,1494,0 3 15,23,2025230,110.19 104.43 176
124,1498,1 2 15,23,2024507,110.83 103.79 176
125,1481,1 13 15,22,2020951,108.4 108.4 172
126,1485,2 12 15,22,2020883,109.02 107.77 172
127,1477,0 14 15,22,2020883,107.77 109.02 172
128,1487,2 13 14,22,2020815,109.02 108.4 171
129,1484,2 13 13,22,2020815,109.02 108.4 171
130,1482,1 14 14,22,2020815,108.4 109.02 171
131,1480,1 14 13,22,2020815,108.4 109.02 171
132,1489,3 11 15,22,2020681,109.65 107.14 172
133,1491,3 12 14,22,2020681,109.65 107.77 171
134,1488,3 12 13,22,2020681,109.65 107.77 171
135,1478,0 15 14,22,2020681,107.77 109.65 171
136,1475,0 15 13,22,2020681,107.77 109.65 171
137,1486,2 14 12,22,2020610,109.02 109.02 170
138,1490,3 13 12,22,2020543,109.65 108.4 170
139,1481,1 15 12,22,2020543,108.4 109.65 170
140,1495,4 11 14,22,2020412,110.28 107.14 171
141,1492,4 11 13,22,2020412,110.28 107.14 171
142,1493,4 10 15,22,2020343,110.28 106.52 172
143,1494,4 12 12,22,2020343,110.28 107.77 170
144,1491,3 14 11,22,2020268,109.65 109.02 169
145,1489,3 14 10,22,2020268,109.65 109.02 169
146,1487,2 15 11,22,2020268,109.02 109.65 169
147,1484,2 15 10,22,2020268,109.02 109.65 169
148,1489,5 15 15,21.5,2020265,109.63 108.4 170
149,1496,4 13 11,22,2020136,110.28 108.4 169
150,1493,4 13 10,22,2020136,110.28 108.4 169
151,1493,6 14 15,21.5,2020069,110.25 107.78 170
152,1499,5 10 14,22,2020009,110.9 106.52 171
153,1496,5 10 13,22,2020009,110.9 106.52 171
154,1498,5 11 12,22,2020009,110.9 107.14 170
155,1498,5 9 15,22,2019870,110.9 105.89 172
156,1500,5 12 11,22,2019870,110.9 107.77 169
157,1497,5 12 10,22,2019870,110.9 107.77 169
158,1490,3 15 9,22,2019856,109.65 109.65 168
159,1494,4 14 9,22,2019790,110.28 109.02 168
160,1497,7 13 15,21.5,2019743,110.87 107.16 170
161,1495,6 15 14,21.5,2019728,110.25 108.4 169
162,1492,6 15 13,21.5,2019728,110.25 108.4 169
163,1499,5 13 9,22,2019592,110.9 108.4 168
164,1500,6 9 13,22,2019472,111.53 105.89 171
