rank,cp,ivs,maxlevel,stat-product,stats
1,1496,15 15 15,50.5,1781858,125.6 85.98 165
2,1495,14 15 15,51,1779785,125.1 86.22 165
3,1497,15 14 15,51,1774243,125.95 85.38 165
4,1493,15 15 14,50.5,1771059,125.6 85.98 164
5,1497,15 15 13,51,1770091,125.95 86.22 163
6,1493,15 15 12,51,1770091,125.95 86.22 163
7,1491,14 15 14,51,1768998,125.1 86.22 164
8,1485,13 15 15,51,1767759,124.26 86.22 165
9,1494,15 14 14,51,1763490,125.95 85.38 164
10,1487,14 14 15,51,1762336,125.1 85.38 165
11,1489,15 15 11,51,1759232,125.95 86.22 162
12,1487,14 15 13,51,1758211,125.1 86.22 163
13,1483,14 15 12,51,1758211,125.1 86.22 163
14,1481,13 15 14,51,1757045,124.26 86.22 164
15,1490,15 13 15,51,1756677,125.95 84.53 165
16,1475,12 15 15,51,1755733,123.41 86.22 165
17,1490,15 14 13,51,1752737,125.95 85.38 163
18,1486,15 14 12,51,1752737,125.95 85.38 163
19,1484,14 14 14,51,1751655,125.1 85.38 164
20,1477,13 14 15,51,1750428,124.26 85.38 165
21,1486,15 15 10,51,1748372,125.95 86.22 161
22,1479,14 15 11,51,1747425,125.1 86.22 162
23,1477,13 15 13,51,1746332,124.26 86.22 163
24,1473,13 15 12,51,1746332,124.26 86.22 163
25,1486,15 13 14,51,1746030,125.95 84.53 164
26,1471,12 15 14,51,1745093,123.41 86.22 164
27,1480,14 13 15,51,1744887,125.1 84.53 165
28,1464,11 15 15,51,1743708,122.57 86.22 165
29,1482,15 14 11,51,1741984,125.95 85.38 162
30,1480,14 14 13,51,1740974,125.1 85.38 163
31,1476,14 14 12,51,1740974,125.1 85.38 163
32,1474,13 14 14,51,1739819,124.26 85.38 164
33,1483,15 12 15,51,1739110,125.95 83.68 165
34,1467,12 14 15,51,1738520,123.41 85.38 165
35,1482,15 15 9,51,1737513,125.95 86.22 160
36,1476,14 15 10,51,1736638,125.1 86.22 161
37,1469,13 15 11,51,1735618,124.26 86.22 162
38,1482,15 13 13,51,1735384,125.95 84.53 163
39,1479,15 13 12,51,1735384,125.95 84.53 163
40,1467,12 15 13,51,1734452,123.41 86.22 163
41,1463,12 15 12,51,1734452,123.41 86.22 163
42,1476,14 13 14,51,1734312,125.1 84.53 164
43,1461,11 15 14,51,1733140,122.57 86.22 164
44,1470,13 13 15,51,1733097,124.26 84.53 165
45,1454,10 15 15,51,1731682,121.72 86.22 165
46,1478,15 14 10,51,1731231,125.95 85.38 161
47,1472,14 14 11,51,1730293,125.1 85.38 162
48,1470,13 14 13,51,1729211,124.26 85.38 163
49,1466,13 14 12,51,1729211,124.26 85.38 163
50,1479,15 12 14,51,1728570,125.95 83.68 164
51,1464,12 14 14,51,1727984,123.41 85.38 164
52,1473,14 12 15,51,1727438,125.1 83.68 165
53,1478,15 15 8,51,1726653,125.95 86.22 159
54,1457,11 14 15,51,1726613,122.57 85.38 165
