rank,cp,ivs,maxlevel,stat-product,stats
1,1498,0 15 12,18,1742372,128.65 116.75 116
2,1498,0 13 14,18,1740330,128.65 115.62 117
3,1497,1 15 10,18,1734961,129.22 116.75 115
4,1500,2 14 10,18,1734111,129.79 116.18 115
5,1498,0 14 13,18,1733914,128.65 116.18 116
6,1494,0 14 12,18,1733914,128.65 116.18 116
7,1497,1 13 12,18,1733057,129.22 115.62 116
8,1500,2 12 12,18,1732125,129.79 115.05 116
9,1498,0 12 15,18,1731799,128.65 115.05 117
10,1494,0 12 14,18,1731799,128.65 115.05 117
11,1499,5 15 15,17.5,1731304,129.65 115.12 116
12,1497,1 11 14,18,1730860,129.22 114.48 117
13,1500,2 10 14,18,1729845,129.79 113.92 117
14,1500,2 15 9,18,1727418,129.79 116.75 114
15,1494,0 15 11,18,1727352,128.65 116.75 115
16,1491,0 15 10,18,1727352,128.65 116.75 115
17,1497,1 14 11,18,1726539,129.22 116.18 115
18,1493,1 14 10,18,1726539,129.22 116.18 115
19,1500,2 13 11,18,1725652,129.79 115.62 115
20,1496,2 13 10,18,1725652,129.79 115.62 115
21,1494,0 13 13,18,1725456,128.65 115.62 116
22,1491,0 13 12,18,1725456,128.65 115.62 116
23,1499,3 12 10,18,1724692,130.35 115.05 115
24,1497,1 12 13,18,1724562,129.22 115.05 116
25,1493,1 12 12,18,1724562,129.22 115.05 116
26,1493,4 15 15,17.5,1723842,129.09 115.12 116
27,1498,6 15 13,17.5,1723777,130.21 115.12 115
28,1500,2 11 13,18,1723593,129.79 114.48 116
29,1496,2 11 12,18,1723593,129.79 114.48 116
30,1494,0 11 15,18,1723268,128.65 114.48 117
31,1490,0 11 14,18,1723268,128.65 114.48 117
32,1496,5 14 15,17.5,1722900,129.65 114.56 116
33,1499,3 10 12,18,1722549,130.35 113.92 116
34,1497,1 10 15,18,1722291,129.22 113.92 117
35,1493,1 10 14,18,1722291,129.22 113.92 117
36,1498,6 13 15,17.5,1721886,130.21 114 116
37,1500,2 9 15,18,1721239,129.79 113.35 117
38,1496,2 9 14,18,1721239,129.79 113.35 117
39,1498,0 7 9,18.5,1721209,130.43 113.76 116
40,1498,0 14 2,18.5,1720609,130.43 117.79 112
41,1499,3 8 14,18,1720112,130.35 112.78 117
42,1493,1 15 9,18,1719874,129.22 116.75 114
43,1499,3 15 7,18,1719742,130.35 116.75 113
44,1498,0 12 4,18.5,1719035,130.43 116.64 113
45,1496,2 14 9,18,1719032,129.79 116.18 114
46,1491,0 14 11,18,1718966,128.65 116.18 115
47,1487,0 14 10,18,1718966,128.65 116.18 115
48,1498,0 5 11,18.5,1718511,130.43 112.62 117
49,1494,1 13 11,18,1718117,129.22 115.62 115
50,1490,1 13 10,18,1718117,129.22 115.62 115
51,1499,3 13 9,18,1718117,130.35 115.62 114
52,1496,2 12 11,18,1717193,129.79 115.05 115
53,1493,2 12 10,18,1717193,129.79 115.05 115
54,1498,0 10 6,18.5,1717162,130.43 115.49 114
55,1491,0 12 13,18,1716998,128.65 115.05 116
56,1487,0 12 12,18,1716998,128.65 115.05 116
57,1486,3 15 15,17.5,1716379,128.53 115.12 116
58,1496,5 15 14,17.5,1716379,129.65 115.12 115
59,1492,5 15 13,17.5,1716379,129.65 115.12 115
60,1499,3 11 11,18,1716196,130.35 114.48 115
61,1496,3 11 10,18,1716196,130.35 114.48 115
62,1498,7 15 11,17.5,1716122,130.77 115.12 114
63,1493,1 11 13,18,1716066,129.22 114.48 116
64,1490,1 11 12,18,1716066,129.22 114.48 116
65,1498,0 3 13,18.5,1715513,130.43 111.47 118
66,1489,4 14 15,17.5,1715474,129.09 114.56 116
