rank,cp,ivs,maxlevel,stat-product,stats
1,1148,15 15 15,51,1351305,97.21 97.21 143
2,1145,15 15 14,51,1341855,97.21 97.21 142
3,1142,15 15 13,51,1341855,97.21 97.21 142
4,1143,15 14 15,51,1339554,97.21 96.36 143
5,1138,14 15 15,51,1339554,96.36 97.21 143
6,1138,15 15 12,51,1332405,97.21 97.21 141
7,1140,15 14 14,51,1330187,97.21 96.36 142
8,1137,15 14 13,51,1330187,97.21 96.36 142
9,1135,14 15 14,51,1330187,96.36 97.21 142
10,1132,14 15 13,51,1330187,96.36 97.21 142
11,1133,14 14 15,51,1327906,96.36 96.36 143
12,1138,15 13 15,51,1327804,97.21 95.52 143
13,1128,13 15 15,51,1327804,95.52 97.21 143
14,1135,15 15 11,51,1322956,97.21 97.21 140
15,1133,15 14 12,51,1320819,97.21 96.36 141
16,1128,14 15 12,51,1320819,96.36 97.21 141
17,1130,14 14 14,51,1318620,96.36 96.36 142
18,1127,14 14 13,51,1318620,96.36 96.36 142
19,1135,15 13 14,51,1318518,97.21 95.52 142
20,1132,15 13 13,51,1318518,97.21 95.52 142
21,1125,13 15 14,51,1318518,95.52 97.21 142
22,1122,13 15 13,51,1318518,95.52 97.21 142
23,1128,14 13 15,51,1316258,96.36 95.52 143
24,1124,13 14 15,51,1316258,95.52 96.36 143
25,1133,15 12 15,51,1316053,97.21 94.67 143
26,1118,12 15 15,51,1316053,94.67 97.21 143
27,1131,15 15 10,51,1313506,97.21 97.21 139
28,1130,15 14 11,51,1311452,97.21 96.36 140
29,1125,14 15 11,51,1311452,96.36 97.21 140
30,1123,14 14 12,51,1309334,96.36 96.36 141
31,1128,15 13 12,51,1309233,97.21 95.52 141
32,1118,13 15 12,51,1309233,95.52 97.21 141
33,1125,14 13 14,51,1307053,96.36 95.52 142
34,1122,14 13 13,51,1307053,96.36 95.52 142
35,1120,13 14 14,51,1307053,95.52 96.36 142
36,1117,13 14 13,51,1307053,95.52 96.36 142
37,1130,15 12 14,51,1306850,97.21 94.67 142
38,1127,15 12 13,51,1306850,97.21 94.67 142
39,1115,12 15 14,51,1306850,94.67 97.21 142
40,1112,12 15 13,51,1306850,94.67 97.21 142
41,1119,13 13 15,51,1304712,95.52 95.52 143
42,1123,14 12 15,51,1304609,96.36 94.67 143
43,1114,12 14 15,51,1304609,94.67 96.36 143
44,1128,15 11 15,51,1304303,97.21 93.83 143
45,1108,11 15 15,51,1304303,93.83 97.21 143
46,1128,15 15 9,51,1304056,97.21 97.21 138
47,1126,15 14 10,51,1302084,97.21 96.36 139
48,1122,14 15 10,51,1302084,96.36 97.21 139
49,1120,14 14 11,51,1300048,96.36 96.36 140
50,1125,15 13 11,51,1299948,97.21 95.52 140
51,1115,13 15 11,51,1299948,95.52 97.21 140
52,1118,14 13 12,51,1297848,96.36 95.52 141
53,1114,13 14 12,51,1297848,95.52 96.36 141
54,1123,15 12 12,51,1297647,97.21 94.67 141
55,1109,12 15 12,51,1297647,94.67 97.21 141
56,1115,13 13 14,51,1295588,95.52 95.52 142
57,1112,13 13 13,51,1295588,95.52 95.52 142
58,1120,14 12 14,51,1295486,96.36 94.67 142
59,1117,14 12 13,51,1295486,96.36 94.67 142
60,1110,12 14 14,51,1295486,94.67 96.36 142
61,1107,12 14 13,51,1295486,94.67 96.36 142
62,1125,15 11 14,51,1295182,97.21 93.83 142
63,1122,15 11 13,51,1295182,97.21 93.83 142
64,1105,11 15 14,51,1295182,93.83 97.21 142
65,1102,11 15 13,51,1295182,93.83 97.21 142
66,1125,15 15 8,51,1294607,97.21 97.21 137
67,1114,13 12 15,51,1293165,95.52 94.67 143
68,1109,12 13 15,51,1293165,94.67 95.52 143
69,1118,14 11 15,51,1292961,96.36 93.83 143
70,1104,11 14 15,51,1292961,93.83 96.36 143
71,1123,15 14 9,51,1292717,97.21 96.36 138
72,1118,14 15 9,51,1292717,96.36 97.21 138
73,1123,15 10 15,51,1292552,97.21 92.98 143
74,1098,10 15 15,51,1292552,92.98 97.21 143
75,1117,14 14 10,51,1290762,96.36 96.36 139
76,1122,15 13 10,51,1290662,97.21 95.52 139
77,1112,13 15 10,51,1290662,95.52 97.21 139
78,1115,14 13 11,51,1288644,96.36 95.52 140
79,1110,13 14 11,51,1288644,95.52 96.36 140
80,1120,15 12 11,51,1288444,97.21 94.67 140
81,1105,12 15 11,51,1288444,94.67 97.21 140
82,1109,13 13 12,51,1286464,95.52 95.52 141
83,1114,14 12 12,51,1286363,96.36 94.67 141
84,1104,12 14 12,51,1286363,94.67 96.36 141
85,1118,15 11 12,51,1286061,97.21 93.83 141
86,1099,11 15 12,51,1286061,93.83 97.21 141
87,1121,15 15 7,51,1285157,97.21 97.21 136
88,1118,15 15 6,51,1285157,97.21 97.21 136
89,1110,13 12 14,51,1284122,95.52 94.67 142
90,1107,13 12 13,51,1284122,95.52 94.67 142
91,1105,12 13 14,51,1284122,94.67 95.52 142
92,1102,12 13 13,51,1284122,94.67 95.52 142
93,1115,14 11 14,51,1283919,96.36 93.83 142
94,1112,14 11 13,51,1283919,96.36 93.83 142
95,1100,11 14 14,51,1283919,93.83 96.36 142
96,1097,11 14 13,51,1283919,93.83 96.36 142
97,1120,15 10 14,51,1283513,97.21 92.98 142
98,1117,15 10 13,51,1283513,97.21 92.98 142
99,1095,10 15 14,51,1283513,92.98 97.21 142
100,1092,10 15 13,51,1283513,92.98 97.21 142
101,1120,15 14 8,51,1283349,97.21 96.36 137
102,1115,14 15 8,51,1283349,96.36 97.21 137
103,1104,12 12 15,51,1281721,94.67 94.67 143
104,1109,13 11 15,51,1281619,95.52 93.83 143
105,1099,11 13 15,51,1281619,93.83 95.52 143
106,1113,14 14 9,51,1281476,96.36 96.36 138
107,1118,15 13 9,51,1281377,97.21 95.52 138
108,1108,13 15 9,51,1281377,95.52 97.21 138
109,1113,14 10 15,51,1281313,96.36 92.98 143
110,1094,10 14 15,51,1281313,92.98 96.36 143
111,1118,15 9 15,51,1280802,97.21 92.14 143
112,1088,9 15 15,51,1280802,92.14 97.21 143
113,1112,14 13 10,51,1279439,96.36 95.52 139
114,1107,13 14 10,51,1279439,95.52 96.36 139
115,1117,15 12 10,51,1279241,97.21 94.67 139
116,1102,12 15 10,51,1279241,94.67 97.21 139
117,1105,13 13 11,51,1277340,95.52 95.52 140
118,1110,14 12 11,51,1277240,96.36 94.67 140
119,1100,12 14 11,51,1277240,94.67 96.36 140
120,1115,15 11 11,51,1276940,97.21 93.83 140
121,1095,11 15 11,51,1276940,93.83 97.21 140
122,1114,15 15 5,51,1275707,97.21 97.21 135
123,1104,13 12 12,51,1275079,95.52 94.67 141
124,1099,12 13 12,51,1275079,94.67 95.52 141
125,1109,14 11 12,51,1274878,96.36 93.83 141
126,1094,11 14 12,51,1274878,93.83 96.36 141
127,1113,15 10 12,51,1274475,97.21 92.98 141
128,1089,10 15 12,51,1274475,92.98 97.21 141
129,1116,15 14 7,51,1273982,97.21 96.36 136
130,1113,15 14 6,51,1273982,97.21 96.36 136
131,1111,14 15 7,51,1273982,96.36 97.21 136
132,1108,14 15 6,51,1273982,96.36 97.21 136
133,1101,12 12 14,51,1272758,94.67 94.67 142
134,1097,12 12 13,51,1272758,94.67 94.67 142
135,1105,13 11 14,51,1272657,95.52 93.83 142
136,1102,13 11 13,51,1272657,95.52 93.83 142
137,1096,11 13 14,51,1272657,93.83 95.52 142
138,1092,11 13 13,51,1272657,93.83 95.52 142
139,1110,14 10 14,51,1272353,96.36 92.98 142
140,1107,14 10 13,51,1272353,96.36 92.98 142
141,1090,10 14 14,51,1272353,92.98 96.36 142
142,1087,10 14 13,51,1272353,92.98 96.36 142
143,1110,14 14 8,51,1272190,96.36 96.36 137
144,1115,15 13 8,51,1272092,97.21 95.52 137
145,1105,13 15 8,51,1272092,95.52 97.21 137
146,1115,15 9 14,51,1271845,97.21 92.14 142
147,1111,15 9 13,51,1271845,97.21 92.14 142
148,1085,9 15 14,51,1271845,92.14 97.21 142
149,1082,9 15 13,51,1271845,92.14 97.21 142
150,1099,12 11 15,51,1270278,94.67 93.83 143
151,1094,11 12 15,51,1270278,93.83 94.67 143
152,1108,14 13 9,51,1270235,96.36 95.52 138
153,1104,13 14 9,51,1270235,95.52 96.36 138
154,1104,13 10 15,51,1270073,95.52 92.98 143
155,1089,10 13 15,51,1270073,92.98 95.52 143
156,1113,15 12 9,51,1270037,97.21 94.67 138
157,1099,12 15 9,51,1270037,94.67 97.21 138
158,1108,14 9 15,51,1269664,96.36 92.14 143
159,1084,9 14 15,51,1269664,92.14 96.36 143
160,1113,15 8 15,51,1269051,97.21 91.29 143
161,1078,8 15 15,51,1269051,91.29 97.21 143
162,1102,13 13 10,51,1268216,95.52 95.52 139
163,1107,14 12 10,51,1268117,96.36 94.67 139
164,1097,12 14 10,51,1268117,94.67 96.36 139
165,1112,15 11 10,51,1267819,97.21 93.83 139
166,1092,11 15 10,51,1267819,93.83 97.21 139
167,1111,15 15 4,51,1266258,97.21 97.21 134
168,1100,13 12 11,51,1266036,95.52 94.67 140
169,1096,12 13 11,51,1266036,94.67 95.52 140
170,1105,14 11 11,51,1265836,96.36 93.83 140
171,1091,11 14 11,51,1265836,93.83 96.36 140
172,1110,15 10 11,51,1265436,97.21 92.98 140
173,1085,10 15 11,51,1265436,92.98 97.21 140
174,1109,15 14 5,51,1264614,97.21 96.36 135
175,1104,14 15 5,51,1264614,96.36 97.21 135
176,1094,12 12 12,51,1263795,94.67 94.67 141
177,1099,13 11 12,51,1263695,95.52 93.83 141
178,1089,11 13 12,51,1263695,93.83 95.52 141
179,1104,14 10 12,51,1263392,96.36 92.98 141
180,1084,10 14 12,51,1263392,92.98 96.36 141
181,1106,14 14 7,51,1262904,96.36 96.36 136
182,1103,14 14 6,51,1262904,96.36 96.36 136
183,1108,15 9 12,51,1262889,97.21 92.14 141
184,1079,9 15 12,51,1262889,92.14 97.21 141
185,1111,15 13 7,51,1262806,97.21 95.52 136
186,1108,15 13 6,51,1262806,97.21 95.52 136
187,1102,13 15 7,51,1262806,95.52 97.21 136
188,1098,13 15 6,51,1262806,95.52 97.21 136
189,1096,12 11 14,51,1261394,94.67 93.83 142
190,1092,12 11 13,51,1261394,94.67 93.83 142
191,1091,11 12 14,51,1261394,93.83 94.67 142
192,1087,11 12 13,51,1261394,93.83 94.67 142
193,1100,13 10 14,51,1261192,95.52 92.98 142
194,1097,13 10 13,51,1261192,95.52 92.98 142
195,1086,10 13 14,51,1261192,92.98 95.52 142
196,1082,10 13 13,51,1261192,92.98 95.52 142
197,1105,14 13 8,51,1261030,96.36 95.52 137
198,1100,13 14 8,51,1261030,95.52 96.36 137
199,1110,15 12 8,51,1260834,97.21 94.67 137
200,1095,12 15 8,51,1260834,94.67 97.21 137
201,1105,14 9 14,51,1260786,96.36 92.14 142
202,1102,14 9 13,51,1260786,96.36 92.14 142
203,1081,9 14 14,51,1260786,92.14 96.36 142
204,1077,9 14 13,51,1260786,92.14 96.36 142
205,1110,15 8 14,51,1260177,97.21 91.29 142
206,1106,15 8 13,51,1260177,97.21 91.29 142
207,1075,8 15 14,51,1260177,91.29 97.21 142
208,1072,8 15 13,51,1260177,91.29 97.21 142
209,1099,13 13 9,51,1259092,95.52 95.52 138
210,1103,14 12 9,51,1258994,96.36 94.67 138
211,1094,12 14 9,51,1258994,94.67 96.36 138
