rank,cp,ivs,maxlevel,stat-product,stats
1,808,15 15 15,51,844771,76.92 94.67 116
2,805,15 15 14,51,837488,76.92 94.67 115
3,804,15 14 15,51,837228,76.92 93.83 116
4,799,14 15 15,51,835488,76.08 94.67 116
5,802,15 15 13,51,830206,76.92 94.67 114
6,799,15 15 12,51,830206,76.92 94.67 114
7,801,15 14 14,51,830011,76.92 93.83 115
8,801,15 13 15,51,829686,76.92 92.98 116
9,796,14 15 14,51,828285,76.08 94.67 115
10,795,14 14 15,51,828028,76.08 93.83 116
11,790,13 15 15,51,826204,75.23 94.67 116
12,796,15 15 11,51,822923,76.92 94.67 113
13,798,15 14 13,51,822793,76.92 93.83 114
14,795,15 14 12,51,822793,76.92 93.83 114
15,798,15 13 14,51,822533,76.92 92.98 115
16,797,15 12 15,51,822143,76.92 92.14 116
17,793,14 15 13,51,821083,76.08 94.67 114
18,790,14 15 12,51,821083,76.08 94.67 114
19,793,14 14 14,51,820890,76.08 93.83 115
20,792,14 13 15,51,820568,76.08 92.98 116
21,787,13 15 14,51,819082,75.23 94.67 115
22,787,13 14 15,51,818828,75.23 93.83 116
23,781,12 15 15,51,816921,74.39 94.67 116
24,793,15 15 10,51,815641,76.92 94.67 112
25,793,15 14 11,51,815576,76.92 93.83 113
26,795,15 13 13,51,815381,76.92 92.98 114
27,792,15 13 12,51,815381,76.92 92.98 114
28,794,15 12 14,51,815056,76.92 92.14 115
29,793,15 11 15,51,814600,76.92 91.29 116
30,787,14 15 11,51,813880,76.08 94.67 113
31,790,14 14 13,51,813752,76.08 93.83 114
32,787,14 14 12,51,813752,76.08 93.83 114
33,789,14 13 14,51,813494,76.08 92.98 115
34,788,14 12 15,51,813108,76.08 92.14 116
35,784,13 15 13,51,811959,75.23 94.67 114
36,781,13 15 12,51,811959,75.23 94.67 114
37,784,13 14 14,51,811769,75.23 93.83 115
38,783,13 13 15,51,811451,75.23 92.98 116
39,778,12 15 14,51,809879,74.39 94.67 115
40,778,12 14 15,51,809627,74.39 93.83 116
41,790,15 14 10,51,808358,76.92 93.83 112
42,790,15 15 9,51,808358,76.92 94.67 111
43,789,15 13 11,51,808228,76.92 92.98 113
44,791,15 12 13,51,807968,76.92 92.14 114
45,788,15 12 12,51,807968,76.92 92.14 114
46,772,11 15 15,51,807638,73.54 94.67 116
47,790,15 11 14,51,807578,76.92 91.29 115
48,790,15 10 15,51,807058,76.92 90.45 116
49,784,14 15 10,51,806678,76.08 94.67 112
50,784,14 14 11,51,806613,76.08 93.83 113
51,786,14 13 13,51,806420,76.08 92.98 114
52,783,14 13 12,51,806420,76.08 92.98 114
53,785,14 12 14,51,806099,76.08 92.14 115
54,785,14 11 15,51,805649,76.08 91.29 116
55,779,13 15 11,51,804837,75.23 94.67 113
56,781,13 14 13,51,804710,75.23 93.83 114
57,778,13 14 12,51,804710,75.23 93.83 114
58,780,13 13 14,51,804455,75.23 92.98 115
59,779,13 12 15,51,804074,75.23 92.14 116
60,776,12 15 13,51,802836,74.39 94.67 114
61,773,12 15 12,51,802836,74.39 94.67 114
62,775,12 14 14,51,802648,74.39 93.83 115
63,774,12 13 15,51,802333,74.39 92.98 116
64,787,15 14 9,51,801141,76.92 93.83 111
65,786,15 13 10,51,801076,76.92 92.98 112
66,787,15 15 8,51,801076,76.92 94.67 110
67,785,15 12 11,51,800881,76.92 92.14 113
68,770,11 15 14,51,800676,73.54 94.67 115
69,788,15 11 13,51,800556,76.92 91.29 114
70,785,15 11 12,51,800556,76.92 91.29 114
71,769,11 14 15,51,800427,73.54 93.83 116
72,787,15 10 14,51,800100,76.92 90.45 115
73,786,15 9 15,51,799515,76.92 89.6 116
74,781,14 14 10,51,799475,76.08 93.83 112
75,781,14 15 9,51,799475,76.08 94.67 111
76,780,14 13 11,51,799347,76.08 92.98 113
77,782,14 12 13,51,799089,76.08 92.14 114
78,780,14 12 12,51,799089,76.08 92.14 114
79,782,14 11 14,51,798703,76.08 91.29 115
80,763,10 15 15,51,798355,72.7 94.67 116
81,781,14 10 15,51,798189,76.08 90.45 116
82,776,13 15 10,51,797715,75.23 94.67 112
83,775,13 14 11,51,797651,75.23 93.83 113
84,777,13 13 13,51,797460,75.23 92.98 114
85,774,13 13 12,51,797460,75.23 92.98 114
86,777,13 12 14,51,797142,75.23 92.14 115
87,776,13 11 15,51,796697,75.23 91.29 116
88,770,12 15 11,51,795794,74.39 94.67 113
89,772,12 14 13,51,795668,74.39 93.83 114
90,769,12 14 12,51,795668,74.39 93.83 114
91,771,12 13 14,51,795417,74.39 92.98 115
92,771,12 12 15,51,795039,74.39 92.14 116
93,783,15 13 9,51,793923,76.92 92.98 111
94,784,15 14 8,51,793923,76.92 93.83 110
95,782,15 12 10,51,793793,76.92 92.14 112
96,784,15 15 7,51,793793,76.92 94.67 109
97,781,15 15 6,51,793793,76.92 94.67 109
98,767,11 15 13,51,793713,73.54 94.67 114
99,764,11 15 12,51,793713,73.54 94.67 114
100,782,15 11 11,51,793533,76.92 91.29 113
101,766,11 14 14,51,793527,73.54 93.83 115
102,765,11 13 15,51,793216,73.54 92.98 116
103,784,15 10 13,51,793143,76.92 90.45 114
104,781,15 10 12,51,793143,76.92 90.45 114
105,783,15 9 14,51,792623,76.92 89.6 115
106,778,14 14 9,51,792337,76.08 93.83 111
107,777,14 13 10,51,792273,76.08 92.98 112
108,778,14 15 8,51,792273,76.08 94.67 110
109,777,14 12 11,51,792080,76.08 92.14 113
110,782,15 8 15,51,791973,76.92 88.76 116
111,779,14 11 13,51,791758,76.08 91.29 114
112,776,14 11 12,51,791758,76.08 91.29 114
113,761,10 15 14,51,791472,72.7 94.67 115
114,778,14 10 14,51,791308,76.08 90.45 115
115,760,10 14 15,51,791227,72.7 93.83 116
116,777,14 9 15,51,790729,76.08 89.6 116
117,772,13 14 10,51,790592,75.23 93.83 112
118,773,13 15 9,51,790592,75.23 94.67 111
119,772,13 13 11,51,790465,75.23 92.98 113
120,774,13 12 13,51,790211,75.23 92.14 114
121,771,13 12 12,51,790211,75.23 92.14 114
122,773,13 11 14,51,789829,75.23 91.29 115
123,772,13 10 15,51,789320,75.23 90.45 116
124,755,9 15 15,51,789072,71.85 94.67 116
125,767,12 15 10,51,788751,74.39 94.67 112
