rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 14,14,1880622
2,1498,1 13 14,14,1873594
3,1498,1 15 12,14,1873415
4,1498,0 14 15,14,1873188
5,1495,0 14 14,14,1873188
6,1499,2 11 14,14,1866442
7,1499,2 13 12,14,1866382
8,1498,1 12 15,14,1866130
9,1495,1 12 14,14,1866130
10,1499,2 15 10,14,1866082
11,1498,1 14 13,14,1866010
12,1495,1 14 12,14,1866010
13,1495,0 13 15,14,1865755
14,1492,0 13 14,14,1865755
15,1495,0 15 13,14,1865577
16,1492,0 15 12,14,1865577
17,1499,3 11 12,14,1859225
18,1499,3 9 14,14,1859165
19,1499,3 13 10,14,1859045
20,1499,2 10 15,14,1858946
21,1496,2 10 14,14,1858946
22,1499,2 12 13,14,1858946
23,1496,2 12 12,14,1858946
24,1499,2 14 11,14,1858707
25,1496,2 14 10,14,1858707
26,1495,1 11 15,14,1858665
27,1492,1 11 14,14,1858665
28,1499,3 15 8,14,1858623
29,1495,1 13 13,14,1858606
30,1492,1 13 12,14,1858606
31,1492,0 12 15,14,1858322
32,1489,0 12 14,14,1858322
33,1495,1 15 11,14,1858307
34,1492,1 15 10,14,1858307
35,1492,0 14 13,14,1858203
36,1489,0 14 12,14,1858203
37,1499,0 7 5,14.5,1855985
38,1499,0 9 3,14.5,1855924
39,1499,0 5 7,14.5,1855801
40,1499,0 11 1,14.5,1855616
41,1499,0 3 9,14.5,1855369
42,1499,0 1 11,14.5,1854692
43,1499,9 15 14,13.5,1851955
44,1499,4 9 12,14,1851944
45,1499,4 11 10,14,1851884
46,1499,4 7 14,14,1851763
47,1499,3 10 13,14,1851759
48,1496,3 10 12,14,1851759
49,1499,3 8 15,14,1851638
50,1496,3 8 14,14,1851638
51,1499,3 12 11,14,1851638
52,1496,3 12 10,14,1851638
53,1499,4 13 8,14,1851582
54,1496,2 11 13,14,1851511
55,1493,2 11 12,14,1851511
56,1496,2 9 15,14,1851451
57,1493,2 9 14,14,1851451
58,1496,2 13 11,14,1851331
59,1493,2 13 10,14,1851331
60,1499,3 14 9,14,1851277
61,1496,3 14 8,14,1851277
62,1492,1 10 15,14,1851201
63,1489,1 10 14,14,1851201
64,1492,1 12 13,14,1851201
65,1489,1 12 12,14,1851201
66,1499,4 15 6,14,1851037
67,1492,1 14 11,14,1850962
68,1489,1 14 10,14,1850962
69,1496,2 15 9,14,1850911
70,1492,2 15 8,14,1850911
71,1489,0 11 15,14,1850889
72,1486,0 11 14,14,1850889
73,1489,0 13 13,14,1850829
74,1486,0 13 12,14,1850829
75,1489,0 15 11,14,1850532
76,1486,0 15 10,14,1850532
77,1499,1 7 3,14.5,1848631
78,1499,1 5 5,14.5,1848569
79,1499,1 9 1,14.5,1848445
80,1499,0 6 6,14.5,1848410
81,1496,0 6 5,14.5,1848410
82,1499,0 8 4,14.5,1848410
83,1496,0 8 3,14.5,1848410
84,1499,1 3 7,14.5,1848260
85,1499,0 4 8,14.5,1848163
86,1496,0 4 7,14.5,1848163
87,1499,0 10 2,14.5,1848163
88,1496,0 10 1,14.5,1848163
89,1499,1 1 9,14.5,1847703
90,1499,0 2 10,14.5,1847671
91,1496,0 2 9,14.5,1847671
92,1499,0 12 0,14.5,1847671
93,1499,0 0 12,14.5,1846932
94,1496,0 0 11,14.5,1846932
95,1499,10 13 14,13.5,1844753
96,1499,9 14 15,13.5,1844635
97,1496,9 14 14,13.5,1844635
98,1499,5 9 10,14,1844600
99,1499,5 7 12,14,1844540
100,1496,8 15 15,13.5,1844457
101,1493,8 15 14,13.5,1844457
102,1499,4 8 13,14,1844447
103,1496,4 8 12,14,1844447
104,1499,4 10 11,14,1844447
105,1496,4 10 10,14,1844447
106,1499,5 11 8,14,1844418
107,1499,10 15 12,13.5,1844335
108,1496,3 9 13,14,1844292
109,1493,3 9 12,14,1844292
110,1499,5 5 14,14,1844236
111,1496,3 11 11,14,1844232
112,1493,3 11 10,14,1844232
113,1499,4 6 15,14,1844205
114,1496,4 6 14,14,1844205
115,1499,4 12 9,14,1844205
116,1496,4 12 8,14,1844205
117,1496,3 7 15,14,1844111
118,1493,3 7 14,14,1844111
119,1493,2 10 13,14,1844075
120,1490,2 10 12,14,1844075
121,1499,5 13 6,14,1843993
122,1493,2 8 15,14,1843955
123,1490,2 8 14,14,1843955
124,1493,2 12 11,14,1843955
125,1490,2 12 10,14,1843955
126,1496,3 13 9,14,1843930
127,1493,3 13 8,14,1843930
128,1489,1 11 13,14,1843796
129,1486,1 11 12,14,1843796
130,1489,1 9 15,14,1843736
131,1486,1 9 14,14,1843736
132,1499,4 14 7,14,1843721
133,1496,4 14 6,14,1843721
134,1489,1 13 11,14,1843617
135,1486,1 13 10,14,1843617
136,1493,2 14 9,14,1843595
137,1490,2 14 8,14,1843595
138,1486,0 10 15,14,1843455
139,1483,0 10 14,14,1843455
140,1486,0 12 13,14,1843455
141,1483,0 12 12,14,1843455
142,1496,3 15 7,14,1843389
143,1493,3 15 6,14,1843389
144,1499,5 15 4,14,1843325
145,1486,0 14 11,14,1843217
146,1483,0 14 10,14,1843217
147,1489,1 15 9,14,1843199
148,1486,1 15 8,14,1843199
149,1499,2 5 3,14.5,1841212
150,1499,2 7 1,14.5,1841150
151,1499,1 6 4,14.5,1841085
152,1496,1 6 3,14.5,1841085
153,1499,2 3 5,14.5,1841025
154,1499,1 4 6,14.5,1840962
155,1496,1 4 5,14.5,1840962
156,1499,1 8 2,14.5,1840962
157,1496,1 8 1,14.5,1840962
158,1496,0 7 4,14.5,1840896
159,1493,0 7 3,14.5,1840896
160,1496,0 5 6,14.5,1840834
161,1493,0 5 5,14.5,1840834
162,1496,0 9 2,14.5,1840711
163,1493,0 9 1,14.5,1840711
164,1499,2 1 7,14.5,1840591
165,1499,1 2 8,14.5,1840591
166,1496,1 2 7,14.5,1840591
167,1499,1 10 0,14.5,1840591
168,1496,0 3 8,14.5,1840526
169,1493,0 3 7,14.5,1840526
170,1496,0 11 0,14.5,1840280
171,1499,1 0 10,14.5,1839972
172,1496,1 0 9,14.5,1839972
173,1496,0 1 10,14.5,1839972
174,1493,0 1 9,14.5,1839972
175,1499,11 11 14,13.5,1837433
176,1499,10 12 15,13.5,1837403
177,1496,10 12 14,13.5,1837403
178,1496,9 13 15,13.5,1837315
179,1493,9 13 14,13.5,1837315
180,1499,6 7 10,14,1837194
181,1493,8 14 15,13.5,1837166
182,1490,8 14 14,13.5,1837166
183,1499,11 13 12,13.5,1837133
184,1499,6 9 8,14,1837133
185,1499,5 8 11,14,1837132
186,1496,5 8 10,14,1837132
187,1499,10 14 13,13.5,1837045
188,1496,10 14 12,13.5,1837045
189,1499,6 5 12,14,1837011
190,1499,5 6 13,14,1837011
191,1496,5 6 12,14,1837011
192,1499,5 10 9,14,1837011
193,1496,5 10 8,14,1837011
194,1496,4 9 11,14,1837009
195,1493,4 9 10,14,1837009
196,1490,7 15 15,13.5,1836959
197,1487,7 15 14,13.5,1836959
198,1496,4 7 13,14,1836949
199,1493,4 7 12,14,1836949
200,1496,9 15 13,13.5,1836898
201,1493,9 15 12,13.5,1836898
202,1496,4 11 9,14,1836828
203,1493,4 11 8,14,1836828
204,1499,6 11 6,14,1836828
205,1493,3 8 13,14,1836825
206,1490,3 8 12,14,1836825
207,1493,3 10 11,14,1836825
208,1490,3 10 10,14,1836825
209,1499,5 4 15,14,1836647
