rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 15 13,19.5,1706819,131.55 110.9 117
2,1500,0 13 15,19.5,1703094,131.55 109.72 118
3,1500,1 15 11,19.5,1699819,132.13 110.9 116
4,1500,0 14 14,19.5,1697740,131.55 110.31 117
5,1496,0 14 13,19.5,1697740,131.55 110.31 117
6,1499,1 13 13,19.5,1696234,132.13 109.72 117
7,1496,0 12 15,19.5,1693938,131.55 109.13 118
8,1496,4 15 15,19,1692901,132.18 109.47 117
9,1499,2 15 9,19.5,1692689,132.72 110.9 115
10,1498,1 11 15,19.5,1692336,132.13 108.54 118
11,1497,0 15 12,19.5,1692231,131.55 110.9 116
12,1493,0 15 11,19.5,1692231,131.55 110.9 116
13,1498,5 14 15,19,1691314,132.76 108.89 117
14,1499,1 14 12,19.5,1690778,132.13 110.31 116
15,1496,1 14 11,19.5,1690778,132.13 110.31 116
16,1498,2 13 11,19.5,1689244,132.72 109.72 116
17,1496,0 13 14,19.5,1688661,131.55 109.72 117
18,1492,0 13 13,19.5,1688661,131.55 109.72 117
19,1500,0 13 5,20,1687536,133.22 111.12 114
20,1499,1 12 14,19.5,1687114,132.13 109.13 117
21,1495,1 12 13,19.5,1687114,132.13 109.13 117
22,1498,5 15 14,19,1685826,132.76 109.47 116
23,1498,2 11 13,19.5,1685486,132.72 108.54 117
24,1489,3 15 15,19,1685443,131.6 109.47 117
25,1499,0 8 10,20,1685387,133.22 108.13 117
26,1496,1 15 10,19.5,1685166,132.13 110.9 115
27,1492,1 15 9,19.5,1685166,132.13 110.9 115
28,1492,0 11 15,19.5,1684781,131.55 108.54 118
29,1499,0 11 7,20,1684034,133.22 109.92 115
30,1492,4 14 15,19,1683896,132.18 108.89 117
31,1500,3 10 13,19.5,1683776,133.31 107.95 117
32,1498,2 14 10,19.5,1683685,132.72 110.31 115
33,1495,2 14 9,19.5,1683685,132.72 110.31 115
34,1493,0 14 12,19.5,1683229,131.55 110.31 116
35,1489,0 14 11,19.5,1683229,131.55 110.31 116
36,1494,1 10 15,19.5,1683139,132.13 107.95 118
37,1494,5 13 15,19,1682270,132.76 108.3 117
38,1497,3 13 9,19.5,1682124,133.31 109.72 115
39,1495,1 13 12,19.5,1681736,132.13 109.72 116
40,1492,1 13 11,19.5,1681736,132.13 109.72 116
41,1500,0 14 4,20,1681726,133.22 111.71 113
42,1497,2 9 15,19.5,1681414,132.72 107.36 118
43,1498,0 6 12,20,1681010,133.22 106.93 118
44,1496,0 3 15,20,1680850,133.22 105.14 120
45,1497,6 12 15,19,1680564,133.34 107.72 117
46,1500,4 12 9,19.5,1680484,133.9 109.13 115
47,1499,0 9 9,20,1680214,133.22 108.73 116
48,1498,2 12 12,19.5,1680162,132.72 109.13 116
49,1494,2 12 11,19.5,1680162,132.72 109.13 116
50,1499,3 8 15,19.5,1679608,133.31 106.77 118
51,1492,0 12 14,19.5,1679582,131.55 109.13 117
52,1488,0 12 13,19.5,1679582,131.55 109.13 117
