rank,cp,ivs,maxlevel,stat-product,stats
1,1498,2 15 15,18,1549057,144.52 111.65 96
2,1500,0 9 14,18.5,1547427,145.37 109.74 97
3,1493,1 15 15,18,1542982,143.96 111.65 96
4,1495,2 14 15,18,1541194,144.52 111.08 96
5,1500,0 10 13,18.5,1539492,145.37 110.32 96
6,1497,3 13 15,18,1539344,145.09 110.52 96
7,1496,0 8 14,18.5,1539325,145.37 109.17 97
8,1498,0 12 11,18.5,1539325,145.37 111.47 95
9,1500,3 15 14,18,1538933,145.09 111.65 95
10,1495,3 15 13,18,1538933,145.09 111.65 95
11,1497,0 14 9,18.5,1538824,145.37 112.62 94
12,1500,1 11 11,18.5,1537443,145.94 110.89 95
13,1499,4 12 15,18,1537432,145.66 109.95 96
14,1498,1 7 14,18.5,1537275,145.94 108.59 97
15,1497,4 14 13,18,1537102,145.66 111.08 95
16,1499,1 13 9,18.5,1537024,145.94 112.04 94
17,1487,0 15 15,18,1536908,143.39 111.65 96
18,1497,1 15 7,18.5,1536269,145.94 113.19 93
19,1499,5 13 13,18,1535210,146.22 110.52 95
20,1500,2 6 14,18.5,1535162,146.52 108.02 97
21,1489,1 14 15,18,1535150,143.96 111.08 96
22,1498,5 15 11,18,1534630,146.22 111.65 94
23,1500,2 14 7,18.5,1534489,146.52 112.62 93
24,1491,2 13 15,18,1533331,144.52 110.52 96
25,1494,2 15 14,18,1532921,144.52 111.65 95
26,1490,2 15 13,18,1532921,144.52 111.65 95
27,1500,6 14 11,18,1532758,146.79 111.08 94
28,1496,0 9 13,18.5,1531474,145.37 109.74 96
29,1493,3 12 15,18,1531450,145.09 109.95 96
30,1499,0 11 12,18.5,1531390,145.37 110.89 95
31,1494,0 11 11,18.5,1531390,145.37 110.89 95
32,1497,9 15 15,17.5,1531268,146.41 110.09 95
33,1497,0 7 15,18.5,1531223,145.37 108.59 97
34,1492,0 7 14,18.5,1531223,145.37 108.59 97
35,1496,3 14 14,18,1531121,145.09 111.08 95
36,1492,3 14 13,18,1531121,145.09 111.08 95
37,1498,0 13 10,18.5,1530973,145.37 112.04 94
38,1493,0 13 9,18.5,1530973,145.37 112.04 94
39,1496,0 15 8,18.5,1530221,145.37 113.19 93
40,1492,0 15 7,18.5,1530221,145.37 113.19 93
41,1495,4 11 15,18,1529507,145.66 109.38 96
42,1498,1 8 13,18.5,1529477,145.94 109.17 96
43,1497,1 10 11,18.5,1529477,145.94 110.32 95
44,1499,10 14 15,17.5,1529310,146.97 109.53 95
45,1498,4 13 14,18,1529259,145.66 110.52 95
46,1494,4 13 13,18,1529259,145.66 110.52 95
47,1499,1 6 15,18.5,1529142,145.94 108.02 97
48,1494,1 6 14,18.5,1529142,145.94 108.02 97
49,1500,1 12 10,18.5,1529142,145.94 111.47 94
50,1495,1 12 9,18.5,1529142,145.94 111.47 94
51,1483,0 14 15,18,1529106,143.39 111.08 96
52,1497,4 15 12,18,1528682,145.66 111.65 94
53,1492,4 15 11,18,1528682,145.66 111.65 94
54,1498,1 14 8,18.5,1528471,145.94 112.62 93
55,1494,1 14 7,18.5,1528471,145.94 112.62 93
56,1497,5 10 15,18,1527503,146.22 108.82 96
57,1498,2 9 11,18.5,1527501,146.52 109.74 95
58,1500,2 7 13,18.5,1527417,146.52 108.59 96
59,1500,5 12 14,18,1527337,146.22 109.95 95
60,1496,5 12 13,18,1527337,146.22 109.95 95
61,1485,1 13 15,18,1527318,143.96 110.52 96
62,1497,2 11 9,18.5,1527249,146.52 110.89 94
63,1500,2 5 15,18.5,1526996,146.52 107.44 97
64,1496,2 5 14,18.5,1526996,146.52 107.44 97
65,1488,1 15 14,18,1526910,143.96 111.65 95
66,1484,1 15 13,18,1526910,143.96 111.65 95
67,1499,5 14 12,18,1526840,146.22 111.08 94
68,1494,5 14 11,18,1526840,146.22 111.08 94
69,1500,2 13 8,18.5,1526659,146.52 112.04 93
70,1496,2 13 7,18.5,1526659,146.52 112.04 93
71,1499,2 15 6,18.5,1525733,146.52 113.19 92
72,1487,2 12 15,18,1525467,144.52 109.95 96
73,1500,3 8 11,18.5,1525463,147.09 109.17 95
74,1499,6 9 15,18,1525437,146.79 108.25 96
75,1491,8 15 15,17.5,1525424,145.85 110.09 95
76,1498,6 11 13,18,1525353,146.79 109.38 95
77,1499,3 10 9,18.5,1525294,147.09 110.32 94
78,1490,2 14 14,18,1525140,144.52 111.08 95
79,1486,2 14 13,18,1525140,144.52 111.08 95
80,1496,6 13 11,18,1524937,146.79 110.52 94
81,1498,3 4 14,18.5,1524787,147.09 106.87 97
82,1498,3 12 7,18.5,1524787,147.09 111.47 93
83,1499,6 15 10,18,1524189,146.79 111.65 93
84,1500,0 7 7,19,1523955,147.32 110.05 94
85,1499,0 9 5,19,1523698,147.32 111.22 93
86,1489,3 11 15,18,1523556,145.09 109.38 96
87,1493,9 14 15,17.5,1523495,146.41 109.53 95
88,1492,0 8 13,18.5,1523456,145.37 109.17 96
89,1495,0 10 12,18.5,1523456,145.37 110.32 95
90,1491,0 10 11,18.5,1523456,145.37 110.32 95
91,1498,0 3 10,19,1523440,147.32 107.72 96
92,1500,7 8 15,18,1523309,147.36 107.68 96
93,1499,7 10 13,18,1523309,147.36 108.82 95
94,1492,3 13 14,18,1523309,145.09 110.52 95
