rank,cp,ivs,maxlevel,stat-product
1,1498,0 12 15,29.5,2226731
2,1499,0 13 14,29.5,2224609
3,1500,0 14 13,29.5,2222340
4,1500,0 15 12,29.5,2219925
5,1497,0 15 11,29.5,2219925
6,1494,0 11 15,29.5,2214949
7,1499,2 15 13,29,2213692
8,1495,0 12 14,29.5,2212900
9,1500,1 13 11,29.5,2212605
10,1495,1 15 15,29,2211903
11,1496,0 13 13,29.5,2210705
12,1499,0 11 9,30,2210527
13,1500,1 14 10,29.5,2210173
14,1496,0 14 12,29.5,2208363
15,1493,0 14 11,29.5,2208363
16,1500,0 12 8,30,2208220
17,1500,1 15 9,29.5,2207594
18,1497,1 9 15,29.5,2207151
19,1499,0 6 15,30,2206210
20,1493,0 15 10,29.5,2205875
21,1500,0 13 7,30,2205764
22,1498,1 10 14,29.5,2205235
23,1500,0 7 14,30,2204573
24,1498,2 13 15,29,2204497
25,1498,1 11 13,29.5,2203171
26,1490,0 10 15,29.5,2203168
27,1497,0 14 5,30,2203159
28,1497,0 8 12,30,2202787
29,1499,2 14 14,29,2202162
30,1495,2 14 13,29,2202162
31,1500,0 3 15,30.5,2201625
32,1491,0 11 14,29.5,2201192
33,1500,3 15 10,29,2201171
34,1499,1 12 12,29.5,2200960
35,1496,1 12 11,29.5,2200960
36,1498,0 9 11,30,2200852
37,1497,0 15 4,30,2200406
38,1491,1 14 15,29,2200383
39,1500,0 4 14,30.5,2200274
40,1496,2 15 12,29,2199681
41,1492,0 12 13,29.5,2199070
42,1500,2 7 15,29.5,2199014
43,1499,0 10 10,30,2198768
44,1495,0 10 9,30,2198768
45,1496,1 13 10,29.5,2198602
46,1498,0 12 4,30.5,2198248
47,1492,1 15 14,29,2197992
48,1489,1 15 13,29,2197992
49,1500,2 14 7,29.5,2197604
50,1500,2 8 14,29.5,2197233
51,1498,0 6 11,30.5,2197123
52,1492,0 13 12,29.5,2196801
53,1489,0 13 11,29.5,2196801
54,1496,0 11 8,30,2196536
55,1485,0 15 15,29,2196104
56,1497,1 14 9,29.5,2196096
57,1500,1 12 5,30,2195774
58,1498,0 13 3,30.5,2195622
59,1499,0 7 10,30.5,2195322
60,1493,1 8 15,29.5,2195285
61,1500,0 1 14,31,2195147
62,1497,4 14 15,28.5,2194883
