rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 15 10,24.5,1903301,118.36 100.51 160
2,1497,0 15 9,24.5,1891405,118.36 100.51 159
3,1499,0 14 11,24.5,1890779,118.36 99.84 160
4,1496,0 14 10,24.5,1890779,118.36 99.84 160
5,1499,1 15 7,24.5,1890010,119.02 100.51 158
6,1500,0 13 13,24.5,1889997,118.36 99.18 161
7,1497,0 13 12,24.5,1889997,118.36 99.18 161
8,1498,0 12 14,24.5,1889058,118.36 98.52 162
9,1499,1 13 10,24.5,1888751,119.02 99.18 160
10,1496,0 11 15,24.5,1887962,118.36 97.86 163
11,1500,1 12 12,24.5,1887885,119.02 98.52 161
12,1493,1 15 15,24,1886582,117.8 99.47 161
13,1499,1 10 15,24.5,1885681,119.02 97.2 163
14,1499,2 15 14,24,1885280,118.45 99.47 160
15,1495,2 15 13,24,1885280,118.45 99.47 160
16,1497,2 14 15,24,1884583,118.45 98.82 161
17,1498,3 15 11,24,1883848,119.11 99.47 159
18,1499,3 14 13,24,1883224,119.11 98.82 160
19,1500,3 13 15,24,1882445,119.11 98.17 161
20,1500,0 12 5,25,1880024,119.56 99.52 158
21,1494,0 15 8,24.5,1879510,118.36 100.51 158
22,1491,0 15 7,24.5,1879510,118.36 100.51 158
23,1492,0 14 9,24.5,1878962,118.36 99.84 159
24,1499,0 10 8,25,1878267,119.56 98.19 160
25,1494,0 13 11,24.5,1878258,118.36 99.18 160
26,1491,0 13 10,24.5,1878258,118.36 99.18 160
27,1496,1 15 6,24.5,1878048,119.02 100.51 157
28,1498,1 14 8,24.5,1877575,119.02 99.84 158
29,1495,1 14 7,24.5,1877575,119.02 99.84 158
30,1495,0 12 13,24.5,1877397,118.36 98.52 161
31,1492,0 12 12,24.5,1877397,118.36 98.52 161
32,1496,1 13 9,24.5,1876946,119.02 99.18 159
33,1498,2 15 4,24.5,1876453,119.68 100.51 156
34,1493,0 11 14,24.5,1876379,118.36 97.86 162
35,1497,1 12 11,24.5,1876159,119.02 98.52 160
36,1494,1 12 10,24.5,1876159,119.02 98.52 160
37,1485,0 15 15,24,1876101,117.14 99.47 161
38,1500,2 14 6,24.5,1876057,119.68 99.84 157
39,1499,0 8 11,25,1875871,119.56 96.85 162
40,1498,2 13 7,24.5,1875503,119.68 99.18 158
41,1498,1 11 13,24.5,1875215,119.02 97.86 161
42,1495,1 11 12,24.5,1875215,119.02 97.86 161
43,1491,0 10 15,24.5,1875205,118.36 97.2 163
44,1500,6 15 14,23.5,1874997,119.8 98.43 159
45,1490,1 15 14,24,1874864,117.8 99.47 160
46,1487,1 15 13,24,1874864,117.8 99.47 160
47,1499,2 12 9,24.5,1874791,119.68 98.52 159
48,1499,0 7 13,25,1874434,119.56 96.18 163
49,1488,1 14 15,24,1874170,117.8 98.82 161
50,1496,1 10 14,24.5,1874113,119.02 97.2 162
51,1500,2 11 11,24.5,1873920,119.68 97.86 160
52,1497,2 11 10,24.5,1873920,119.68 97.86 160
53,1492,2 15 12,24,1873497,118.45 99.47 159
54,1489,2 15 11,24,1873497,118.45 99.47 159
55,1498,2 10 12,24.5,1872892,119.68 97.2 161
56,1494,2 14 14,24,1872877,118.45 98.82 160
57,1491,2 14 13,24,1872877,118.45 98.82 160
58,1494,1 9 15,24.5,1872854,119.02 96.54 163
59,1500,0 6 15,25,1872837,119.56 95.51 164
60,1497,0 6 14,25,1872837,119.56 95.51 164
61,1492,2 13 15,24,1872102,118.45 98.17 161
62,1494,3 15 10,24,1872000,119.11 99.47 158
63,1499,2 9 14,24.5,1871705,119.68 96.54 162
64,1500,3 10 10,24.5,1871542,120.34 97.2 160
65,1496,3 14 12,24,1871454,119.11 98.82 159
66,1493,3 14 11,24,1871454,119.11 98.82 159
67,1497,3 13 14,24,1870753,119.11 98.17 160
68,1494,3 13 13,24,1870753,119.11 98.17 160
69,1500,4 15 9,24,1870372,119.76 99.47 157
70,1496,4 15 8,24,1870372,119.76 99.47 157
71,1497,2 8 15,24.5,1870359,119.68 95.88 163
72,1500,1 5 14,25,1870130,120.23 94.85 164
73,1498,4 14 10,24,1869902,119.76 98.82 158
74,1495,3 12 15,24,1869895,119.11 97.51 161
75,1499,0 15 0,25,1869323,119.56 101.53 154
76,1499,4 13 12,24,1869275,119.76 98.17 159
77,1496,4 13 11,24,1869275,119.76 98.17 159
78,1497,0 14 1,25,1869083,119.56 100.86 155
79,1499,0 13 3,25,1868684,119.56 100.19 156
80,1496,0 13 2,25,1868684,119.56 100.19 156
81,1500,4 12 14,24,1868491,119.76 97.51 160
82,1497,4 12 13,24,1868491,119.76 97.51 160
