rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 14,31,1769422
2,1498,1 15 15,30.5,1765129
3,1500,0 14 10,32,1759117
4,1498,0 12 15,31.5,1758623
5,1499,0 13 14,31.5,1758435
6,1497,0 14 12,31.5,1758057
7,1498,0 15 11,31.5,1757491
8,1497,0 14 15,31,1756784
9,1493,0 14 14,31,1756784
10,1494,0 15 13,31,1756316
11,1500,1 13 12,31.5,1755557
12,1490,0 15 15,30.5,1754926
13,1500,1 13 15,31,1754285
14,1496,1 13 14,31,1754285
15,1497,1 14 13,31,1753909
16,1498,1 15 12,31,1753344
17,1493,1 14 15,30.5,1752521
18,1494,1 15 14,30.5,1752054
19,1499,2 12 14,31,1751640
20,1500,2 13 13,31,1751356
21,1499,2 15 10,31,1750219
22,1496,2 13 15,30.5,1749970
23,1498,2 14 14,30.5,1749594
24,1499,2 15 13,30.5,1749030
25,1499,0 10 12,32.5,1748166
26,1500,0 11 11,32.5,1748070
27,1500,0 8 15,32.5,1747782
28,1495,2 15 15,30,1747624
29,1499,0 13 8,32.5,1747303
30,1499,3 12 15,30.5,1747273
31,1499,0 10 15,32,1747033
32,1495,0 10 14,32,1747033
33,1497,0 11 13,32,1747033
34,1498,0 12 12,32,1746842
35,1500,0 14 7,32.5,1746631
36,1499,0 13 11,32,1746462
37,1495,0 13 10,32,1746462
38,1496,0 14 9,32,1745891
39,1499,3 15 11,30.5,1745856
40,1493,0 11 15,31.5,1745787
41,1494,0 12 14,31.5,1745692
42,1495,0 13 13,31.5,1745409
43,1491,0 13 12,31.5,1745409
44,1497,0 15 8,32,1745129
45,1498,3 14 15,30,1745113
46,1492,0 14 11,31.5,1744937
47,1499,3 15 14,30,1744551
48,1495,3 15 13,30,1744551
49,1494,0 15 10,31.5,1744277
50,1500,1 10 13,32,1744269
51,1498,1 9 14,32,1744174
52,1491,0 13 15,31,1744145
53,1498,1 12 10,32,1743886
54,1489,0 14 13,31,1743770
55,1500,1 13 9,32,1743408
56,1490,0 15 12,31,1743209
57,1496,1 10 15,31.5,1743025
58,1497,1 11 14,31.5,1743025
59,1499,1 12 13,31.5,1742836
60,1494,1 12 12,31.5,1742836
61,1496,1 13 11,31.5,1742456
62,1498,4 14 13,30,1741988
63,1497,1 14 10,31.5,1741886
64,1498,1 15 6,32,1741877
65,1495,1 12 15,31,1741573
66,1490,1 12 14,31,1741573
67,1499,4 15 12,30,1741328
68,1492,1 13 13,31,1741291
69,1498,1 15 9,31.5,1741127
70,1494,1 15 8,31.5,1741127
71,1493,1 14 12,31,1740820
72,1500,2 10 14,31.5,1740210
73,1494,1 15 11,31,1740161
74,1490,1 15 10,31,1740161
75,1499,2 9 15,31.5,1740115
76,1498,2 11 12,31.5,1740115
77,1499,2 12 11,31.5,1739828
78,1489,1 14 14,30.5,1739539
79,1500,2 13 10,31.5,1739351
80,1490,1 15 13,30.5,1738979
81,1498,2 11 15,31,1738854
82,1494,2 11 14,31,1738854
83,1497,2 14 8,31.5,1738682
84,1495,2 12 13,31,1738665
85,1496,2 13 12,31,1738286
86,1498,2 15 7,31.5,1737823
87,1498,2 14 11,31,1737718
88,1493,2 14 10,31,1737718
89,1491,2 12 15,30.5,1737289
90,1492,2 13 14,30.5,1737007
91,1495,2 15 9,31,1736960
92,1500,0 9 8,33.5,1736849
93,1494,2 14 13,30.5,1736537
94,1500,0 6 12,33.5,1736265
95,1497,0 9 10,33,1736136
96,1500,3 13 8,31.5,1736095
97,1500,0 8 12,33,1736039
98,1498,0 10 9,33,1736039
99,1497,3 10 14,31,1735989
100,1498,3 11 13,31,1735893
101,1495,2 15 12,30.5,1735880
102,1491,2 15 11,30.5,1735880
103,1498,0 7 13,33,1735749
104,1500,0 11 8,33,1735749
105,1500,0 12 4,33.5,1735680
106,1499,3 12 12,31,1735608
107,1497,0 6 14,33,1735265
108,1497,0 12 6,33,1735265
109,1497,0 9 13,32.5,1735216
110,1493,0 9 12,32.5,1735216
111,1495,0 10 11,32.5,1735216
112,1489,2 14 15,30,1735141
113,1497,3 13 10,31,1735131
114,1495,5 15 15,29.5,1735075
115,1496,0 8 14,32.5,1735025
116,1496,0 11 10,32.5,1735025
117,1494,0 7 15,32.5,1734641
118,1497,0 12 9,32.5,1734641
119,1493,0 12 8,32.5,1734641
120,1498,0 13 5,33,1734589
121,1491,2 15 14,30,1734582
122,1494,3 11 15,30.5,1734519
123,1498,3 14 9,31,1734464
124,1495,3 12 14,30.5,1734330
125,1491,0 10 13,32,1734187
126,1494,0 9 15,32,1734092
127,1490,0 9 14,32,1734092
128,1492,0 11 12,32,1734092
129,1494,0 13 7,32.5,1734065
130,1497,3 13 13,30.5,1733953
131,1494,0 12 11,32,1733806
132,1490,0 12 10,32,1733806
133,1499,0 14 4,33,1733718
134,1499,3 15 8,31,1733607
135,1498,3 14 12,30.5,1733386
