rank,cp,ivs,maxlevel,stat-product,stats
1,1245,15 15 15,41,969515,159.86 65.21 93
2,1239,14 15 15,41,964692,159.06 65.21 93
3,1232,13 15 15,41,959868,158.26 65.21 93
4,1239,15 15 14,41,959090,159.86 65.21 92
5,1237,15 14 15,41,957692,159.86 64.42 93
6,1226,12 15 15,41,955045,157.47 65.21 93
7,1233,14 15 14,41,954319,159.06 65.21 92
8,1231,14 14 15,41,952927,159.06 64.42 93
9,1220,11 15 15,41,950221,156.67 65.21 93
10,1227,13 15 14,41,949547,158.26 65.21 92
11,1234,15 15 13,41,948665,159.86 65.21 91
12,1225,13 14 15,41,948163,158.26 64.42 93
13,1232,15 14 14,41,947394,159.86 64.42 92
14,1229,15 13 15,41,945868,159.86 63.62 93
15,1214,10 15 15,41,945398,155.88 65.21 93
16,1221,12 15 14,41,944775,157.47 65.21 92
17,1228,14 15 13,41,943946,159.06 65.21 91
18,1219,12 14 15,41,943398,157.47 64.42 93
19,1226,14 14 14,41,942681,159.06 64.42 92
20,1223,14 13 15,41,941163,159.06 63.62 93
21,1208,9 15 15,41,940574,155.08 65.21 93
22,1215,11 15 14,41,940004,156.67 65.21 92
23,1222,13 15 13,41,939226,158.26 65.21 91
24,1213,11 14 15,41,938633,156.67 64.42 93
25,1229,15 15 12,41,938240,159.86 65.21 90
26,1220,13 14 14,41,937967,158.26 64.42 92
27,1227,15 14 13,41,937096,159.86 64.42 91
28,1217,13 13 15,41,936457,158.26 63.62 93
29,1201,8 15 15,41,935751,154.29 65.21 93
30,1224,15 13 14,41,935698,159.86 63.62 92
31,1209,10 15 14,41,935232,155.88 65.21 92
32,1216,12 15 13,41,934506,157.47 65.21 91
33,1222,15 12 15,41,934045,159.86 62.83 93
34,1206,10 14 15,41,933869,155.88 64.42 93
35,1223,14 15 12,41,933573,159.06 65.21 90
36,1213,12 14 14,41,933254,157.47 64.42 92
37,1220,14 14 13,41,932434,159.06 64.42 91
38,1211,12 13 15,41,931751,157.47 63.62 93
39,1218,14 13 14,41,931043,159.06 63.62 92
40,1195,7 15 15,41,930927,153.49 65.21 93
41,1202,9 15 14,41,930461,155.08 65.21 92
42,1209,11 15 13,41,929786,156.67 65.21 91
43,1216,14 12 15,41,929398,159.06 62.83 93
44,1200,9 14 15,41,929104,155.08 64.42 93
45,1216,13 15 12,41,928905,158.26 65.21 90
46,1207,11 14 14,41,928540,156.67 64.42 92
47,1223,15 15 11,41,927816,159.86 65.21 89
48,1218,15 15 10,41,927816,159.86 65.21 89
49,1214,13 14 13,41,927772,158.26 64.42 91
50,1205,11 13 15,41,927045,156.67 63.62 93
51,1221,15 14 12,41,926798,159.86 64.42 90
52,1212,13 13 14,41,926387,158.26 63.62 92
53,1189,6 15 15,41,926104,152.7 65.21 93
54,1196,8 15 14,41,925689,154.29 65.21 92
55,1219,15 13 13,41,925527,159.86 63.62 91
56,1203,10 15 13,41,925067,155.88 65.21 91
57,1210,13 12 15,41,924751,158.26 62.83 93
58,1194,8 14 15,41,924339,154.29 64.42 93
59,1210,12 15 12,41,924237,157.47 65.21 90
60,1217,15 12 14,41,924002,159.86 62.83 92
61,1201,10 14 14,41,923827,155.88 64.42 92
62,1217,14 15 11,41,923200,159.06 65.21 89
63,1212,14 15 10,41,923200,159.06 65.21 89
64,1208,12 14 13,41,923110,157.47 64.42 91
65,1199,10 13 15,41,922339,155.88 63.62 93
66,1214,15 11 15,41,922222,159.86 62.03 93
67,1215,14 14 12,41,922188,159.06 64.42 90
68,1206,12 13 14,41,921732,157.47 63.62 92
69,1183,5 15 15,41,921281,151.9 65.21 93
70,1213,14 13 13,41,920923,159.06 63.62 91
71,1190,7 15 14,41,920917,153.49 65.21 92
72,1197,9 15 13,41,920347,155.08 65.21 91
73,1204,12 12 15,41,920104,157.47 62.83 93
74,1188,7 14 15,41,919575,153.49 64.42 93
75,1204,11 15 12,41,919569,156.67 65.21 90
76,1210,14 12 14,41,919405,159.06 62.83 92
77,1195,9 14 14,41,919114,155.08 64.42 92
78,1211,13 15 11,41,918584,158.26 65.21 89
79,1206,13 15 10,41,918584,158.26 65.21 89
80,1202,11 14 13,41,918448,156.67 64.42 91
81,1208,14 11 15,41,917634,159.06 62.03 93
82,1193,9 13 15,41,917634,155.08 63.62 93
83,1209,13 14 12,41,917577,158.26 64.42 90
84,1212,15 15 9,41,917391,159.86 65.21 88
85,1200,11 13 14,41,917077,156.67 63.62 92
86,1216,15 14 11,41,916501,159.86 64.42 89
87,1210,15 14 10,41,916501,159.86 64.42 89
88,1177,4 15 15,41,916457,151.11 65.21 93
89,1207,13 13 13,41,916318,158.26 63.62 91
90,1184,6 15 14,41,916146,152.7 65.21 92
91,1191,8 15 13,41,915627,154.29 65.21 91
92,1197,11 12 15,41,915457,156.67 62.83 93
93,1214,15 13 12,41,915357,159.86 63.62 90
94,1198,10 15 12,41,914901,155.88 65.21 90
95,1182,6 14 15,41,914810,152.7 64.42 93
