rank,cp,ivs,maxlevel,stat-product,stats
1,951,15 15 15,40,1012848,89.3 100.37 113
2,947,15 14 15,40,1004873,89.3 99.58 113
3,942,14 15 15,40,1003885,88.51 100.37 113
4,947,15 15 14,40,1003885,89.3 100.37 112
5,943,15 13 15,40,996898,89.3 98.79 113
6,938,14 14 15,40,995980,88.51 99.58 113
7,944,15 14 14,40,995980,89.3 99.58 112
8,939,14 15 14,40,995001,88.51 100.37 112
9,934,13 15 15,40,994922,87.72 100.37 113
10,944,15 15 13,40,994922,89.3 100.37 111
11,939,15 12 15,40,988923,89.3 98 113
12,935,14 13 15,40,988076,88.51 98.79 113
13,940,15 13 14,40,988076,89.3 98.79 112
14,935,14 14 14,40,987166,88.51 99.58 112
15,930,13 14 15,40,987088,87.72 99.58 113
16,940,15 14 13,40,987088,89.3 99.58 111
17,931,13 15 14,40,986117,87.72 100.37 112
18,936,14 15 13,40,986117,88.51 100.37 111
19,925,12 15 15,40,985958,86.93 100.37 113
20,941,15 15 12,40,985958,89.3 100.37 110
21,936,15 11 15,40,980947,89.3 97.21 113
22,931,14 12 15,40,980171,88.51 98 113
23,936,15 12 14,40,980171,89.3 98 112
24,931,14 13 14,40,979332,88.51 98.79 112
25,926,13 13 15,40,979254,87.72 98.79 113
26,936,15 13 13,40,979254,89.3 98.79 111
27,927,13 14 14,40,978352,87.72 99.58 112
28,932,14 14 13,40,978352,88.51 99.58 111
29,922,12 14 15,40,978195,86.93 99.58 113
30,937,15 14 12,40,978195,89.3 99.58 110
31,927,13 15 13,40,977312,87.72 100.37 111
32,922,12 15 14,40,977233,86.93 100.37 112
33,932,14 15 12,40,977233,88.51 100.37 110
34,917,11 15 15,40,976995,86.14 100.37 113
35,937,15 15 11,40,976995,89.3 100.37 109
36,934,15 15 10,40,976995,89.3 100.37 109
37,932,15 10 15,40,972972,89.3 96.42 113
38,927,14 11 15,40,972266,88.51 97.21 113
39,932,15 11 14,40,972266,89.3 97.21 112
40,928,14 12 14,40,971497,88.51 98 112
41,923,13 12 15,40,971420,87.72 98 113
42,933,15 12 13,40,971420,89.3 98 111
43,923,13 13 14,40,970588,87.72 98.79 112
44,928,14 13 13,40,970588,88.51 98.79 111
45,918,12 13 15,40,970431,86.93 98.79 113
46,933,15 13 12,40,970431,89.3 98.79 110
47,924,13 14 13,40,969617,87.72 99.58 111
48,918,12 14 14,40,969538,86.93 99.58 112
49,929,14 14 12,40,969538,88.51 99.58 110
50,913,11 14 15,40,969302,86.14 99.58 113
51,934,15 14 11,40,969302,89.3 99.58 109
52,930,15 14 10,40,969302,89.3 99.58 109
53,919,12 15 13,40,968508,86.93 100.37 111
54,924,13 15 12,40,968508,87.72 100.37 110
55,914,11 15 14,40,968349,86.14 100.37 112
56,929,14 15 11,40,968349,88.51 100.37 109
57,926,14 15 10,40,968349,88.51 100.37 109
58,909,10 15 15,40,968032,85.35 100.37 113
59,930,15 15 9,40,968032,89.3 100.37 108
60,928,15 9 15,40,964997,89.3 95.63 113
61,923,14 10 15,40,964362,88.51 96.42 113
62,928,15 10 14,40,964362,89.3 96.42 112
63,924,14 11 14,40,963662,88.51 97.21 112
64,919,13 11 15,40,963586,87.72 97.21 113
65,929,15 11 13,40,963586,89.3 97.21 111
66,919,13 12 14,40,962823,87.72 98 112
67,924,14 12 13,40,962823,88.51 98 111
68,914,12 12 15,40,962668,86.93 98 113
69,929,15 12 12,40,962668,89.3 98 110
70,920,13 13 13,40,961922,87.72 98.79 111
71,915,12 13 14,40,961844,86.93 98.79 112
72,925,14 13 12,40,961844,88.51 98.79 110
73,910,11 13 15,40,961609,86.14 98.79 113
74,930,15 13 11,40,961609,89.3 98.79 109
75,926,15 13 10,40,961609,89.3 98.79 109
76,915,12 14 13,40,960882,86.93 99.58 111
77,920,13 14 12,40,960882,87.72 99.58 110
78,910,11 14 14,40,960724,86.14 99.58 112
79,925,14 14 11,40,960724,88.51 99.58 109
80,922,14 14 10,40,960724,88.51 99.58 109
81,905,10 14 15,40,960410,85.35 99.58 113
82,927,15 14 9,40,960410,89.3 99.58 108
83,916,12 15 12,40,959783,86.93 100.37 110
84,911,11 15 13,40,959703,86.14 100.37 111
85,921,13 15 11,40,959703,87.72 100.37 109
86,917,13 15 10,40,959703,87.72 100.37 109
87,905,10 15 14,40,959465,85.35 100.37 112
88,922,14 15 9,40,959465,88.51 100.37 108
