rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 13 15,14.5,1843807,121.58 130.74 116
2,1499,0 15 13,14.5,1842137,121.58 131.75 115
3,1500,1 11 15,14.5,1837113,122.09 129.72 116
4,1497,0 12 15,14.5,1836632,121.58 130.23 116
5,1500,1 13 13,14.5,1835560,122.09 130.74 115
6,1500,0 14 14,14.5,1835024,121.58 131.25 115
7,1496,0 14 13,14.5,1835024,121.58 131.25 115
8,1499,1 15 11,14.5,1833759,122.09 131.75 114
9,1497,1 10 15,14.5,1829908,122.09 129.21 116
10,1494,0 11 15,14.5,1829458,121.58 129.72 116
11,1500,2 11 13,14.5,1828864,122.6 129.72 115
12,1500,1 12 14,14.5,1828418,122.09 130.23 115
13,1497,1 12 13,14.5,1828418,122.09 130.23 115
14,1497,0 13 14,14.5,1827912,121.58 130.74 115
15,1493,0 13 13,14.5,1827912,121.58 130.74 115
16,1499,2 13 11,14.5,1827180,122.6 130.74 114
17,1499,1 14 12,14.5,1826679,122.09 131.25 114
18,1496,1 14 11,14.5,1826679,122.09 131.25 114
19,1496,0 15 12,14.5,1826118,121.58 131.75 114
20,1493,0 15 11,14.5,1826118,121.58 131.75 114
21,1498,2 15 9,14.5,1825247,122.6 131.75 113
22,1498,2 8 15,14.5,1823064,122.6 128.19 116
23,1494,1 9 15,14.5,1822704,122.09 128.7 116
24,1491,0 10 15,14.5,1822284,121.58 129.21 116
25,1500,3 9 13,14.5,1822049,123.11 128.7 115
26,1500,2 10 14,14.5,1821692,122.6 129.21 115
27,1497,2 10 13,14.5,1821692,122.6 129.21 115
28,1497,1 11 14,14.5,1821275,122.09 129.72 115
29,1494,1 11 13,14.5,1821275,122.09 129.72 115
30,1494,0 12 14,14.5,1820799,121.58 130.23 115
31,1490,0 12 13,14.5,1820799,121.58 130.23 115
32,1500,3 11 11,14.5,1820484,123.11 129.72 114
33,1500,2 12 12,14.5,1820071,122.6 130.23 114
34,1496,2 12 11,14.5,1820071,122.6 130.23 114
35,1496,1 13 12,14.5,1819599,122.09 130.74 114
36,1493,1 13 11,14.5,1819599,122.09 130.74 114
37,1493,0 14 12,14.5,1819068,121.58 131.25 114
38,1490,0 14 11,14.5,1819068,121.58 131.25 114
39,1499,3 13 9,14.5,1818667,123.11 130.74 113
40,1499,2 14 10,14.5,1818200,122.6 131.25 113
41,1495,2 14 9,14.5,1818200,122.6 131.25 113
42,1500,0 12 1,15,1818040,123.66 132.45 111
43,1495,1 15 10,14.5,1817673,122.09 131.75 113
44,1492,1 15 9,14.5,1817673,122.09 131.75 113
45,1498,3 15 7,14.5,1816601,123.11 131.75 112
46,1500,0 5 7,15,1816121,123.66 128.83 114
47,1498,3 6 15,14.5,1816100,123.11 127.18 116
48,1495,2 7 15,14.5,1815830,122.6 127.68 116
49,1491,1 8 15,14.5,1815500,122.09 128.19 116
50,1500,8 14 15,14,1815162,123.47 128.96 114
51,1488,0 9 15,14.5,1815109,121.58 128.7 116
52,1497,3 8 13,14.5,1814847,123.11 128.19 115
53,1496,7 15 15,14,1814820,122.97 129.46 114
54,1500,0 7 5,15,1814649,123.66 129.87 113
55,1497,2 9 14,14.5,1814520,122.6 128.7 115
56,1494,2 9 13,14.5,1814520,122.6 128.7 115
57,1494,1 10 14,14.5,1814133,122.09 129.21 115
58,1491,1 10 13,14.5,1814133,122.09 129.21 115
59,1491,0 11 14,14.5,1813687,121.58 129.72 115
60,1488,0 11 13,14.5,1813687,121.58 129.72 115
61,1500,4 9 11,14.5,1813669,123.61 128.7 114
62,1500,3 10 12,14.5,1813344,123.11 129.21 114
63,1497,3 10 11,14.5,1813344,123.11 129.21 114
64,1497,2 11 12,14.5,1812961,122.6 129.72 114
65,1493,2 11 11,14.5,1812961,122.6 129.72 114
66,1499,0 9 3,15,1812922,123.66 130.9 112
67,1493,1 12 12,14.5,1812518,122.09 130.23 114
68,1490,1 12 11,14.5,1812518,122.09 130.23 114
69,1490,0 13 12,14.5,1812017,121.58 130.74 114
70,1487,0 13 11,14.5,1812017,121.58 130.74 114
71,1499,4 11 9,14.5,1811971,123.61 129.72 113
72,1499,3 12 10,14.5,1811591,123.11 130.23 113
73,1496,3 12 9,14.5,1811591,123.11 130.23 113
74,1496,2 13 10,14.5,1811152,122.6 130.74 113
75,1493,2 13 9,14.5,1811152,122.6 130.74 113
76,1498,0 11 1,15,1810938,123.66 131.94 111
77,1499,0 0 11,15,1810874,123.66 126.24 116
78,1493,1 14 10,14.5,1810655,122.09 131.25 113
79,1489,1 14 9,14.5,1810655,122.09 131.25 113
80,1489,0 15 10,14.5,1810100,121.58 131.75 113
81,1486,0 15 9,14.5,1810100,121.58 131.75 113
82,1498,4 13 7,14.5,1810022,123.61 130.74 112
83,1498,0 2 9,15,1809979,123.66 127.28 115
84,1498,3 14 8,14.5,1809587,123.11 131.25 112
85,1495,3 14 7,14.5,1809587,123.11 131.25 112
86,1495,2 15 8,14.5,1809094,122.6 131.75 112
87,1492,2 15 7,14.5,1809094,122.6 131.75 112
88,1498,4 4 15,14.5,1809016,123.61 126.16 116
89,1495,3 5 15,14.5,1808835,123.11 126.67 116
90,1497,0 4 7,15,1808827,123.66 128.31 114
91,1500,0 13 0,15,1808699,123.66 132.97 110
92,1492,2 6 15,14.5,1808595,122.6 127.18 116
93,1500,9 12 15,14,1808383,123.96 127.96 114
94,1488,1 7 15,14.5,1808295,122.09 127.68 116
95,1500,5 14 5,14.5,1808252,124.12 131.25 111
96,1497,8 13 15,14,1808127,123.47 128.46 114
97,1485,0 8 15,14.5,1807935,121.58 128.19 116
98,1498,4 6 13,14.5,1807884,123.61 127.18 115
99,1497,4 15 5,14.5,1807821,123.61 131.75 111
100,1494,7 14 15,14,1807813,122.97 128.96 114
101,1500,1 5 5,15,1807722,124.17 128.83 113
102,1498,3 7 14,14.5,1807646,123.11 127.68 115
103,1494,3 7 13,14.5,1807646,123.11 127.68 115
104,1490,6 15 15,14,1807443,122.47 129.46 114
105,1500,0 6 6,15,1807419,123.66 129.35 113
106,1497,0 6 5,15,1807419,123.66 129.35 113
107,1494,2 8 14,14.5,1807348,122.6 128.19 115
108,1491,2 8 13,14.5,1807348,122.6 128.19 115
109,1491,1 9 14,14.5,1806991,122.09 128.7 115
110,1488,1 9 13,14.5,1806991,122.09 128.7 115
111,1500,5 7 11,14.5,1806736,124.12 127.68 114
112,1488,0 10 14,14.5,1806574,121.58 129.21 115
113,1485,0 10 13,14.5,1806574,121.58 129.21 115
114,1499,9 14 13,14,1806524,123.96 128.96 113
115,1500,4 8 12,14.5,1806500,123.61 128.19 114
116,1497,4 8 11,14.5,1806500,123.61 128.19 114
117,1499,8 15 14,14,1806214,123.47 129.46 113
118,1496,8 15 13,14,1806214,123.47 129.46 113
119,1497,3 9 12,14.5,1806205,123.11 128.7 114
120,1494,3 9 11,14.5,1806205,123.11 128.7 114
121,1499,1 7 3,15,1806116,124.17 129.87 112
122,1494,2 10 12,14.5,1805851,122.6 129.21 114
123,1490,2 10 11,14.5,1805851,122.6 129.21 114
124,1499,0 8 4,15,1805756,123.66 130.38 112
125,1496,0 8 3,15,1805756,123.66 130.38 112
126,1490,1 11 12,14.5,1805438,122.09 129.72 114
127,1487,1 11 11,14.5,1805438,122.09 129.72 114
128,1499,5 9 9,14.5,1805158,124.12 128.7 113
129,1487,0 12 12,14.5,1804966,121.58 130.23 114
130,1484,0 12 11,14.5,1804966,121.58 130.23 114
131,1499,4 10 10,14.5,1804865,123.61 129.21 113
132,1496,4 10 9,14.5,1804865,123.61 129.21 113
133,1496,3 11 10,14.5,1804514,123.11 129.72 113
134,1493,3 11 9,14.5,1804514,123.11 129.72 113
135,1498,1 9 1,15,1804252,124.17 130.9 111
136,1493,2 12 10,14.5,1804105,122.6 130.23 113
137,1490,2 12 9,14.5,1804105,122.6 130.23 113
138,1498,0 10 2,15,1803836,123.66 131.42 111
139,1495,0 10 1,15,1803836,123.66 131.42 111
140,1490,1 13 10,14.5,1803637,122.09 130.74 113
141,1486,1 13 9,14.5,1803637,122.09 130.74 113
142,1498,5 11 7,14.5,1803327,124.12 129.72 112
143,1486,0 14 10,14.5,1803111,121.58 131.25 113
144,1483,0 14 9,14.5,1803111,121.58 131.25 113
145,1499,4 12 8,14.5,1802979,123.61 130.23 112
146,1495,4 12 7,14.5,1802979,123.61 130.23 112
147,1498,1 0 9,15,1802775,124.17 126.24 115
148,1498,0 1 10,15,1802621,123.66 126.76 115
149,1495,0 1 9,15,1802621,123.66 126.76 115
150,1495,3 13 8,14.5,1802573,123.11 130.74 112
151,1492,3 13 7,14.5,1802573,123.11 130.74 112
152,1500,1 11 0,15,1802132,124.17 131.94 110
153,1492,2 14 8,14.5,1802109,122.6 131.25 112
154,1489,2 14 7,14.5,1802109,122.6 131.25 112
155,1498,5 2 15,14.5,1801811,124.12 125.14 116
156,1498,1 2 7,15,1801747,124.17 127.28 114
157,1495,4 3 15,14.5,1801721,123.61 125.65 116
158,1497,0 12 0,15,1801661,123.66 132.45 110
159,1489,1 15 8,14.5,1801588,122.09 131.75 112
160,1485,1 15 7,14.5,1801588,122.09 131.75 112
161,1492,3 4 15,14.5,1801571,123.11 126.16 116
162,1498,0 3 8,15,1801533,123.66 127.8 114
163,1494,0 3 7,15,1801533,123.66 127.8 114
164,1500,10 10 15,14,1801490,124.46 126.96 114
165,1489,2 5 15,14.5,1801361,122.6 126.67 116
166,1497,9 11 15,14,1801319,123.96 127.46 114
167,1497,5 13 5,14.5,1801243,124.12 130.74 111
168,1486,1 6 15,14.5,1801091,122.09 127.18 116
169,1494,8 12 15,14,1801091,123.47 127.96 114
170,1498,4 14 6,14.5,1800841,123.61 131.25 111
171,1494,4 14 5,14.5,1800841,123.61 131.25 111
172,1491,7 13 15,14,1800806,122.97 128.46 114
173,1498,5 4 13,14.5,1800801,124.12 126.16 115
174,1482,0 7 15,14.5,1800761,121.58 127.68 116
175,1500,2 3 5,15,1800674,124.69 127.8 113
176,1498,4 5 14,14.5,1800652,123.61 126.67 115
177,1495,4 5 13,14.5,1800652,123.61 126.67 115
178,1487,6 14 15,14,1800465,122.47 128.96 114
179,1500,1 4 6,15,1800462,124.17 128.31 113
180,1497,1 4 5,15,1800462,124.17 128.31 113
181,1495,3 6 14,14.5,1800444,123.11 127.18 115
182,1491,3 6 13,14.5,1800444,123.11 127.18 115
183,1494,3 15 6,14.5,1800381,123.11 131.75 111
184,1491,3 15 5,14.5,1800381,123.11 131.75 111
185,1497,0 5 6,15,1800190,123.66 128.83 113
186,1494,0 5 5,15,1800190,123.66 128.83 113
187,1491,2 7 14,14.5,1800176,122.6 127.68 115
188,1488,2 7 13,14.5,1800176,122.6 127.68 115
189,1484,5 15 15,14,1800066,121.97 129.46 114
190,1488,1 8 14,14.5,1799849,122.09 128.19 115
191,1485,1 8 13,14.5,1799849,122.09 128.19 115
192,1499,10 12 13,14,1799748,124.46 127.96 113
193,1500,6 5 11,14.5,1799686,124.63 126.67 114
194,1500,5 6 12,14.5,1799538,124.12 127.18 114
195,1497,5 6 11,14.5,1799538,124.12 127.18 114
196,1499,9 13 14,14,1799522,123.96 128.46 113
197,1496,9 13 13,14,1799522,123.96 128.46 113
198,1485,0 9 14,14.5,1799462,121.58 128.7 115
199,1482,0 9 13,14.5,1799462,121.58 128.7 115
200,1497,4 7 12,14.5,1799332,123.61 127.68 114
201,1494,4 7 11,14.5,1799332,123.61 127.68 114
202,1500,6 14 3,14.5,1799305,124.63 131.25 110
203,1496,8 14 14,14,1799240,123.47 128.96 113
204,1493,8 14 13,14,1799240,123.47 128.96 113
205,1499,2 5 3,15,1799190,124.69 128.83 112
206,1494,3 8 12,14.5,1799066,123.11 128.19 114
207,1491,3 8 11,14.5,1799066,123.11 128.19 114
208,1499,1 6 4,15,1798920,124.17 129.35 112
209,1496,1 6 3,15,1798920,124.17 129.35 112
210,1500,5 15 4,14.5,1798907,124.12 131.75 110
211,1496,5 15 3,14.5,1798907,124.12 131.75 110
212,1493,7 15 14,14,1798901,122.97 129.46 113
213,1490,7 15 13,14,1798901,122.97 129.46 113
214,1491,2 9 12,14.5,1798742,122.6 128.7 114
215,1487,2 9 11,14.5,1798742,122.6 128.7 114
216,1496,0 7 4,15,1798590,123.66 129.87 112
217,1493,0 7 3,15,1798590,123.66 129.87 112
218,1488,1 10 12,14.5,1798358,122.09 129.21 114
219,1484,1 10 11,14.5,1798358,122.09 129.21 114
220,1499,6 7 9,14.5,1798227,124.63 127.68 113
221,1500,5 8 10,14.5,1798023,124.12 128.19 113
222,1496,5 8 9,14.5,1798023,124.12 128.19 113
223,1484,0 11 12,14.5,1797916,121.58 129.72 114
224,1481,0 11 11,14.5,1797916,121.58 129.72 114
225,1496,4 9 10,14.5,1797760,123.61 128.7 113
226,1493,4 9 9,14.5,1797760,123.61 128.7 113
227,1498,10 14 11,14,1797757,124.46 128.96 112
228,1499,9 15 12,14,1797477,123.96 129.46 112
229,1495,9 15 11,14,1797477,123.96 129.46 112
230,1498,2 7 1,15,1797448,124.69 129.87 111
231,1493,3 10 10,14.5,1797438,123.11 129.21 113
232,1490,3 10 9,14.5,1797438,123.11 129.21 113
233,1498,1 8 2,15,1797121,124.17 130.38 111
234,1495,1 8 1,15,1797121,124.17 130.38 111
235,1490,2 11 10,14.5,1797058,122.6 129.72 113
236,1487,2 11 9,14.5,1797058,122.6 129.72 113
237,1495,0 9 2,15,1796735,123.66 130.9 111
238,1492,0 9 1,15,1796735,123.66 130.9 111
239,1487,1 12 10,14.5,1796619,122.09 130.23 113
240,1483,1 12 9,14.5,1796619,122.09 130.23 113
241,1499,6 9 7,14.5,1796516,124.63 128.7 112
242,1499,5 10 8,14.5,1796255,124.12 129.21 112
243,1495,5 10 7,14.5,1796255,124.12 129.21 112
244,1483,0 13 10,14.5,1796122,121.58 130.74 113
245,1480,0 13 9,14.5,1796122,121.58 130.74 113
246,1496,4 11 8,14.5,1795936,123.61 129.72 112
247,1492,4 11 7,14.5,1795936,123.61 129.72 112
248,1492,3 12 8,14.5,1795559,123.11 130.23 112
249,1489,3 12 7,14.5,1795559,123.11 130.23 112
250,1495,0 0 10,15,1795263,123.66 126.24 115
251,1492,0 0 9,15,1795263,123.66 126.24 115
252,1489,2 13 8,14.5,1795124,122.6 130.74 112
253,1486,2 13 7,14.5,1795124,122.6 130.74 112
254,1497,1 10 0,15,1795065,124.17 131.42 110
255,1486,1 14 8,14.5,1794632,122.09 131.25 112
256,1483,1 14 7,14.5,1794632,122.09 131.25 112
257,1494,0 11 0,15,1794623,123.66 131.94 110
258,1498,6 11 5,14.5,1794550,124.63 129.72 111
259,1498,2 0 7,15,1794545,124.69 126.24 114
260,1498,6 0 15,14.5,1794487,124.63 124.12 116
261,1495,5 1 15,14.5,1794487,124.12 124.63 116
262,1500,11 8 15,14,1794483,124.96 125.96 114
263,1492,4 2 15,14.5,1794427,123.61 125.14 116
264,1498,1 1 8,15,1794423,124.17 126.76 114
265,1494,1 1 7,15,1794423,124.17 126.76 114
266,1497,10 9 15,14,1794398,124.46 126.46 114
267,1489,3 3 15,14.5,1794307,123.11 125.65 116
268,1494,9 10 15,14,1794255,123.96 126.96 114
269,1495,0 2 8,15,1794240,123.66 127.28 114
270,1491,0 2 7,15,1794240,123.66 127.28 114
271,1498,5 12 6,14.5,1794234,124.12 130.23 111
272,1495,5 12 5,14.5,1794234,124.12 130.23 111
273,1486,2 4 15,14.5,1794127,122.6 126.16 116
274,1483,0 15 8,14.5,1794081,121.58 131.75 112
275,1479,0 15 7,14.5,1794081,121.58 131.75 112
276,1491,8 11 15,14,1794056,123.47 127.46 114
277,1483,1 5 15,14.5,1793886,122.09 126.67 116
278,1495,4 13 6,14.5,1793861,123.61 130.74 111
279,1491,4 13 5,14.5,1793861,123.61 130.74 111
280,1488,7 12 15,14,1793799,122.97 127.96 114
281,1498,6 2 13,14.5,1793599,124.63 125.14 115
282,1479,0 6 15,14.5,1793586,121.58 127.18 116
283,1498,5 3 14,14.5,1793540,124.12 125.65 115
284,1495,5 3 13,14.5,1793540,124.12 125.65 115
285,1500,3 1 5,15,1793504,125.21 126.76 113
