rank,cp,ivs,maxlevel,stat-product
1,1498,2 15 14,14,1537500
2,1499,3 14 14,14,1534831
3,1496,1 15 15,14,1532217
4,1493,1 15 14,14,1532217
5,1498,2 14 15,14,1529575
6,1494,2 14 14,14,1529575
7,1500,3 15 13,14,1528630
8,1496,3 15 12,14,1528630
9,1491,0 15 15,14,1526933
10,1488,0 15 14,14,1526933
11,1499,3 13 15,14,1526879
12,1496,3 13 14,14,1526879
13,1500,0 10 8,14.5,1526545
14,1498,4 14 12,14,1525958
15,1500,5 15 10,14,1524849
16,1499,0 8 10,14.5,1524377
17,1493,1 14 15,14,1524319
18,1489,1 14 14,14,1524319
19,1500,4 12 15,14,1524128
20,1497,4 12 14,14,1524128
21,1498,0 15 2,14.5,1523404
22,1495,2 15 13,14,1523395
23,1491,2 15 12,14,1523395
24,1499,5 13 12,14,1523233
25,1498,0 13 4,14.5,1522058
26,1498,0 6 12,14.5,1521909
27,1494,2 13 15,14,1521650
28,1490,2 13 14,14,1521650
29,1500,1 7 10,14.5,1521471
30,1498,5 11 14,14,1521323
31,1499,1 14 2,14.5,1520796
32,1496,3 14 13,14,1520750
33,1493,3 14 12,14,1520750
34,1500,6 12 12,14,1520453
35,1500,0 11 7,14.5,1520413
36,1497,0 11 6,14.5,1520413
37,1498,4 15 11,14,1519662
38,1495,4 15 10,14,1519662
39,1499,1 12 4,14.5,1519370
40,1500,0 4 15,14.5,1519142
41,1497,0 4 14,14.5,1519142
42,1487,0 14 15,14,1519062
43,1484,0 14 14,14,1519062
44,1495,3 12 15,14,1518926
45,1492,3 12 14,14,1518926
46,1499,1 5 12,14.5,1518920
47,1500,0 9 9,14.5,1518469
48,1496,0 9 8,14.5,1518469
49,1499,6 10 14,14,1518463
50,1490,1 15 13,14,1518159
51,1486,1 15 12,14,1518159
52,1497,4 13 13,14,1518052
53,1494,4 13 12,14,1518052
54,1498,1 10 6,14.5,1517644
55,1499,5 14 11,14,1516989
56,1496,5 14 10,14,1516989
57,1500,2 11 4,14.5,1516627
58,1489,1 13 15,14,1516420
59,1485,1 13 14,14,1516420
60,1499,0 7 11,14.5,1516225
61,1495,0 7 10,14.5,1516225
62,1496,4 11 15,14,1516148
63,1493,4 11 14,14,1516148
64,1498,1 3 14,14.5,1516068
65,1500,2 4 12,14.5,1515874
66,1498,6 15 8,14,1515736
67,1497,1 8 8,14.5,1515618
68,1498,0 14 3,14.5,1515552
69,1494,0 14 2,14.5,1515552
70,1500,7 9 14,14,1515549
71,1491,2 14 13,14,1515542
72,1487,2 14 12,14,1515542
73,1498,5 12 13,14,1515299
74,1495,5 12 12,14,1515299
75,1499,2 9 6,14.5,1514820
76,1493,3 15 11,14,1514476
77,1490,3 15 10,14,1514476
78,1497,6 13 10,14,1514262
79,1497,0 12 5,14.5,1514131
80,1494,0 12 4,14.5,1514131
81,1500,1 15 1,14.5,1514117
82,1496,1 15 0,14.5,1514117
83,1490,2 12 15,14,1513724
84,1487,2 12 14,14,1513724
85,1497,0 5 13,14.5,1513682
86,1494,0 5 12,14.5,1513682
87,1497,5 10 15,14,1513316
88,1494,5 10 14,14,1513316
89,1500,1 6 11,14.5,1513291
90,1496,1 6 10,14.5,1513291
91,1499,7 14 8,14,1513034
92,1499,2 2 14,14.5,1512937
93,1484,0 15 13,14,1512924
94,1481,0 15 12,14,1512924
95,1499,1 13 3,14.5,1512916
96,1496,1 13 2,14.5,1512916
97,1492,3 13 13,14,1512870
98,1489,3 13 12,14,1512870
99,1498,2 7 8,14.5,1512711
100,1500,6 11 13,14,1512493
101,1496,6 11 12,14,1512493
102,1497,0 10 7,14.5,1512411
103,1493,0 10 6,14.5,1512411
104,1500,3 8 6,14.5,1511940
105,1494,4 14 11,14,1511829
106,1491,4 14 10,14,1511829
107,1497,2 14 0,14.5,1511506
108,1498,7 12 10,14,1511481
109,1499,1 11 5,14.5,1511415
110,1495,1 11 4,14.5,1511415
111,1484,0 13 15,14,1511191
112,1480,0 13 14,14,1511191
113,1491,3 11 15,14,1510974
114,1488,3 11 14,14,1510974
115,1496,0 3 15,14.5,1510840
116,1493,0 3 14,14.5,1510840
117,1498,1 4 13,14.5,1510665
118,1495,1 4 12,14.5,1510665
119,1496,5 15 9,14,1510598
120,1493,5 15 8,14,1510598
121,1499,6 9 15,14,1510429
122,1495,6 9 14,14,1510429
123,1499,13 15 14,13.5,1510428
124,1496,13 15 13,13.5,1510428
125,1496,0 8 9,14.5,1510392
126,1492,0 8 8,14.5,1510392
127,1486,1 14 13,14,1510334
128,1482,1 14 12,14,1510334
129,1497,2 5 10,14.5,1510302
130,1500,8 13 8,14,1510280
131,1500,2 12 3,14.5,1510226
132,1497,2 12 2,14.5,1510226
133,1493,4 12 13,14,1510145
134,1490,4 12 12,14,1510145
135,1500,3 1 14,14.5,1509749
136,1499,3 6 8,14.5,1509749
137,1497,7 10 12,14,1509632
138,1498,1 9 7,14.5,1509614
139,1494,1 9 6,14.5,1509614
140,1488,2 15 11,14,1509289
141,1484,2 15 10,14,1509289
142,1495,5 13 11,14,1509129
143,1492,5 13 10,14,1509129
144,1495,0 15 1,14.5,1508896
145,1491,0 15 0,14.5,1508896
146,1499,3 13 0,14.5,1508842
147,1499,8 11 10,14,1508647
148,1500,2 10 5,14.5,1508645
149,1496,2 10 4,14.5,1508645
150,1485,1 12 15,14,1508522
151,1481,1 12 14,14,1508522
152,1492,4 10 15,14,1508168
153,1489,4 10 14,14,1508168
154,1494,0 6 11,14.5,1508073
155,1491,0 6 10,14.5,1508073
156,1497,6 14 9,14,1507923
157,1494,6 14 8,14,1507923
158,1497,1 2 15,14.5,1507738
159,1494,1 2 14,14.5,1507738
160,1494,0 13 3,14.5,1507699
161,1490,0 13 2,14.5,1507699
162,1487,2 13 13,14,1507689
163,1484,2 13 12,14,1507689
164,1500,14 14 14,13.5,1507618
165,1497,14 14 13,13.5,1507618
166,1499,2 3 13,14.5,1507591
167,1496,2 3 12,14.5,1507591
168,1497,1 7 9,14.5,1507513
169,1493,1 7 8,14.5,1507513
170,1500,7 8 15,14,1507488
171,1496,7 8 14,14,1507488
172,1498,3 11 2,14.5,1507482
173,1495,5 11 13,14,1507366
174,1491,5 11 12,14,1507366
175,1498,3 4 10,14.5,1507255
176,1499,2 8 7,14.5,1506762
177,1495,2 8 6,14.5,1506762
178,1498,8 9 12,14,1506718
179,1489,3 14 11,14,1506669
180,1486,3 14 10,14,1506669
181,1499,7 15 7,14,1506526
182,1496,7 15 6,14,1506526
183,1497,6 12 11,14,1506375
184,1493,6 12 10,14,1506375
185,1496,1 14 1,14.5,1506312
186,1492,1 14 0,14.5,1506312
187,1499,15 15 11,13.5,1506222
188,1493,0 11 5,14.5,1506204
189,1490,0 11 4,14.5,1506204
190,1500,4 12 0,14.5,1506124
191,1497,3 9 4,14.5,1505819
192,1486,2 11 15,14,1505799
193,1483,2 11 14,14,1505799
194,1500,9 10 10,14,1505760
195,1491,4 15 9,14,1505460
196,1488,4 15 8,14,1505460
197,1493,0 4 13,14.5,1505456
198,1490,0 4 12,14.5,1505456
199,1498,12 15 15,13.5,1505427
200,1494,12 15 14,13.5,1505427
201,1491,12 15 13,13.5,1505427
202,1493,5 9 15,14,1505309
203,1490,5 9 14,14,1505309
204,1499,7 13 9,14,1505195
205,1495,7 13 8,14,1505195
206,1481,0 14 13,14,1505126
207,1477,0 14 12,14,1505126
208,1496,1 5 11,14.5,1505111
209,1492,1 5 10,14.5,1505111
210,1495,1 12 3,14.5,1505036
211,1492,1 12 2,14.5,1505036
212,1488,3 12 13,14,1504991
213,1485,3 12 12,14,1504991
214,1498,15 13 13,13.5,1504757
215,1499,4 10 2,14.5,1504683
216,1498,2 1 15,14.5,1504578
217,1495,2 1 14,14.5,1504578
218,1498,2 6 9,14.5,1504578
219,1494,2 6 8,14.5,1504578
