rank,cp,ivs,maxlevel,stat-product,stats
1,1486,15 15 15,40,1601882,137.51 86.93 134
2,1477,14 15 15,40,1592676,136.72 86.93 134
3,1481,15 15 14,40,1589928,137.51 86.93 133
4,1479,15 14 15,40,1587320,137.51 86.14 134
5,1469,13 15 15,40,1583470,135.93 86.93 134
6,1473,14 15 14,40,1580790,136.72 86.93 133
7,1470,14 14 15,40,1578197,136.72 86.14 134
8,1477,15 15 13,40,1577973,137.51 86.93 132
9,1474,15 14 14,40,1575474,137.51 86.14 133
10,1460,12 15 15,40,1574263,135.14 86.93 134
11,1472,15 13 15,40,1572757,137.51 85.35 134
12,1464,13 15 14,40,1571653,135.93 86.93 133
13,1462,13 14 15,40,1569075,135.93 86.14 134
14,1468,14 15 13,40,1568905,136.72 86.93 132
15,1466,14 14 14,40,1566419,136.72 86.14 133
16,1472,15 15 12,40,1566019,137.51 86.93 131
17,1468,15 15 11,40,1566019,137.51 86.93 131
18,1451,11 15 15,40,1565057,134.35 86.93 134
19,1464,14 13 15,40,1563718,136.72 85.35 134
20,1470,15 14 13,40,1563628,137.51 86.14 132
21,1456,12 15 14,40,1562515,135.14 86.93 133
22,1468,15 13 14,40,1561020,137.51 85.35 133
23,1453,12 14 15,40,1559952,135.14 86.14 134
24,1460,13 15 13,40,1559836,135.93 86.93 132
25,1465,15 12 15,40,1558194,137.51 84.56 134
26,1458,13 14 14,40,1557365,135.93 86.14 133
27,1464,14 15 12,40,1557019,136.72 86.93 131
28,1460,14 15 11,40,1557019,136.72 86.93 131
29,1443,10 15 15,40,1555851,133.56 86.93 134
30,1455,13 13 15,40,1554679,135.93 85.35 134
31,1462,14 14 13,40,1554642,136.72 86.14 132
32,1464,15 15 10,40,1554065,137.51 86.93 130
33,1447,11 15 14,40,1553378,134.35 86.93 133
34,1459,14 13 14,40,1552049,136.72 85.35 133
35,1466,15 14 12,40,1551783,137.51 86.14 131
36,1461,15 14 11,40,1551783,137.51 86.14 131
37,1445,11 14 15,40,1550829,134.35 86.14 134
38,1451,12 15 13,40,1550767,135.14 86.93 132
39,1463,15 13 13,40,1549283,137.51 85.35 132
40,1457,14 12 15,40,1549239,136.72 84.56 134
41,1449,12 14 14,40,1548311,135.14 86.14 133
42,1456,13 15 12,40,1548019,135.93 86.93 131
43,1451,13 15 11,40,1548019,135.93 86.93 131
44,1434,9 15 15,40,1546645,132.77 86.93 134
45,1461,15 12 14,40,1546566,137.51 84.56 133
46,1453,13 14 13,40,1545655,135.93 86.14 132
