rank,cp,ivs,maxlevel,stat-product
1,1498,0 13 15,27.5,2484209
2,1498,0 14 14,27.5,2481740
3,1499,0 15 13,27.5,2479144
4,1495,0 12 15,27.5,2472813
5,1500,2 15 15,27,2471796
6,1495,0 13 14,27.5,2470407
7,1499,1 10 15,27.5,2469015
8,1496,0 14 13,27.5,2467875
9,1500,0 10 10,28,2466861
10,1500,1 11 14,27.5,2466718
11,1496,0 15 12,27.5,2465216
12,1493,0 15 11,27.5,2465216
13,1500,0 11 9,28,2464411
14,1500,1 12 13,27.5,2464294
15,1498,0 12 7,28,2461833
16,1498,1 13 11,27.5,2461742
17,1491,0 11 15,27.5,2461418
18,1497,2 14 15,27,2460560
19,1498,0 7 13,28,2459770
20,1498,0 13 6,28,2459126
21,1492,0 12 14,27.5,2459075
22,1498,1 14 10,27.5,2459062
23,1497,2 15 14,27,2457909
24,1495,2 15 13,27,2457909
25,1499,0 8 12,28,2457643
26,1496,1 9 15,27.5,2457531
27,1492,0 13 13,27.5,2456606
28,1499,0 14 5,28,2456289
29,1499,1 15 9,27.5,2456255
30,1496,1 15 8,27.5,2456255
31,1499,0 9 11,28,2455387
32,1496,0 9 10,28,2455387
33,1496,1 10 14,27.5,2455298
34,1499,3 13 13,27,2454157
35,1493,0 14 12,27.5,2454011
36,1490,0 14 11,27.5,2454011
37,1499,0 15 4,28,2453324
38,1496,0 15 3,28,2453324
39,1500,2 7 15,27.5,2453291
40,1497,0 10 9,28,2453002
41,1497,1 11 13,27.5,2452937
42,1489,1 15 15,27,2452927
43,1500,2 13 8,27.5,2452648
44,1500,3 14 12,27,2451486
45,1490,0 15 10,27.5,2451288
46,1497,0 11 8,28,2450488
47,1494,0 11 7,28,2450488
48,1497,1 12 12,27.5,2450449
49,1494,1 12 11,27.5,2450449
50,1497,0 5 15,28,2450101
51,1488,0 10 15,27.5,2450022
52,1494,2 13 15,27,2449325
53,1500,3 15 11,27,2448687
54,1498,0 6 14,28,2448168
55,1495,0 6 13,28,2448168
56,1495,0 12 6,28,2447845
57,1495,1 13 10,27.5,2447833
58,1488,0 11 14,27.5,2447743
59,1498,2 15 5,27.5,2446862
60,1494,2 14 14,27,2446737
61,1491,2 14 13,27,2446737
62,1499,1 9 7,28,2446618
63,1499,2 10 11,27.5,2446540
64,1500,0 1 12,28.5,2446361
65,1495,0 7 12,28,2446105
66,1492,1 8 15,27.5,2446047
67,1498,3 11 15,27,2445380
68,1489,0 12 13,27.5,2445337
69,1495,1 14 9,27.5,2445090
70,1492,1 14 8,27.5,2445090
71,1495,0 13 5,28,2445073
72,1499,1 10 6,28,2444085
73,1499,2 11 10,27.5,2444033
74,1492,2 15 12,27,2444023
75,1496,0 8 11,28,2443913
76,1493,0 8 10,28,2443913
77,1493,1 9 14,27.5,2443878
78,1499,1 4 13,28,2443760
79,1498,1 15 0,28,2443760
80,1499,0 9 2,28.5,2443080
81,1499,3 12 14,27,2442899
82,1496,3 12 13,27,2442899
83,1499,0 3 9,28.5,2442818
84,1489,0 13 12,27.5,2442805
85,1486,0 13 11,27.5,2442805
86,1500,5 14 14,26.5,2442533
87,1493,1 15 7,27.5,2442219
88,1496,0 14 4,28,2442173
89,1493,0 14 3,28,2442173
90,1500,1 5 12,28,2441812
91,1486,1 14 15,27,2441778
92,1497,2 6 15,27.5,2441719
93,1493,0 9 9,28,2441593
94,1493,1 10 13,27.5,2441581
95,1500,1 11 5,28,2441422
96,1500,2 12 9,27.5,2441397
97,1497,2 12 8,27.5,2441397
98,1499,0 4 8,28.5,2440849
99,1499,0 10 1,28.5,2440390
100,1496,3 13 12,27,2440292
101,1487,0 14 10,27.5,2440146
102,1500,5 15 13,26.5,2439745
103,1500,1 6 11,28,2439733
104,1497,1 6 10,28,2439733
105,1497,2 7 14,27.5,2439661
106,1494,1 11 12,27.5,2439157
107,1491,1 11 11,27.5,2439157
108,1486,1 15 14,27,2439147
109,1483,1 15 13,27,2439147
110,1494,0 10 8,28,2439143
111,1491,0 10 7,28,2439143
112,1493,0 15 2,28,2439143
113,1500,0 5 7,28.5,2438750
114,1500,4 10 13,27,2438720
115,1497,2 13 7,27.5,2438633
116,1500,1 12 4,28,2438629
117,1497,1 12 3,28,2438629
118,1484,0 9 15,27.5,2438627
119,1493,0 4 15,28,2438434
120,1490,2 12 15,27,2438090
121,1500,0 11 0,28.5,2437569
122,1497,3 14 11,27,2437557
123,1498,1 7 9,28,2437524
124,1498,2 8 13,27.5,2437475
125,1487,0 15 9,27.5,2437361
126,1484,0 15 8,27.5,2437361
127,1491,1 12 10,27.5,2436605
128,1494,0 5 14,28,2436565
129,1491,0 5 13,28,2436565
130,1491,0 11 6,28,2436565
131,1500,0 6 6,28.5,2436519
132,1497,0 6 5,28.5,2436519
133,1485,0 10 14,27.5,2436411
134,1498,2 14 6,27.5,2435740
135,1495,2 14 5,27.5,2435740
136,1498,1 13 2,28,2435705
137,1491,2 13 14,27,2435565
138,1488,2 13 13,27,2435565
139,1495,4 15 15,26.5,2435375
140,1492,4 15 14,26.5,2435375
141,1498,1 8 8,28,2435186
142,1495,1 8 7,28,2435186
