rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 15 14,38.5,1956840,114.92 129 132
2,1500,0 14 15,38.5,1944981,114.92 128.21 132
3,1495,0 14 14,38.5,1944981,114.92 128.21 132
4,1497,0 14 12,39,1944330,115.34 128.68 131
5,1499,1 14 15,38,1943924,115.28 127.74 132
6,1493,0 15 15,38,1942563,114.5 128.52 132
7,1495,0 15 13,38.5,1942016,114.92 129 131
8,1497,0 15 11,39,1941253,115.34 129.47 130
9,1499,1 15 14,38,1940961,115.28 128.52 131
10,1499,0 15 9,39.5,1940273,115.76 129.93 129
11,1498,0 10 14,39.5,1939817,115.76 126 133
12,1498,2 15 14,37.5,1939713,115.63 128.05 131
13,1500,2 15 12,38,1939159,116.06 128.52 130
14,1497,0 11 15,39,1937904,115.34 126.33 133
15,1499,0 11 13,39.5,1937265,115.76 126.78 132
16,1500,0 11 11,40,1936415,116.17 127.24 131
17,1497,0 12 14,39,1935280,115.34 127.11 132
18,1499,0 12 12,39.5,1934530,115.76 127.57 131
19,1496,1 12 14,38.5,1934331,115.7 126.65 132
20,1498,1 12 12,39,1933684,116.13 127.11 131
21,1500,2 12 15,38,1933192,116.06 126.19 132
22,1495,0 13 15,38.5,1933121,114.92 127.43 132
23,1491,0 13 14,38.5,1933121,114.92 127.43 132
24,1497,0 13 13,39,1932474,115.34 127.9 131
25,1493,0 13 12,39,1932474,115.34 127.9 131
26,1494,1 13 15,38,1932071,115.28 126.97 132
27,1499,0 13 11,39.5,1931613,115.76 128.36 130
28,1499,0 7 15,40,1931549,116.17 124.08 134
29,1496,1 13 13,38.5,1931527,115.7 127.43 131
30,1498,1 13 11,39,1930768,116.13 127.9 130
31,1500,2 13 14,38,1930390,116.06 126.97 131
32,1491,0 14 13,38.5,1930246,114.92 128.21 131
33,1500,1 13 9,39.5,1929794,116.55 128.36 129
34,1493,0 14 11,39,1929488,115.34 128.68 130
35,1500,0 8 14,40,1929345,116.17 124.87 133
36,1494,1 14 14,38,1929197,115.28 127.74 131
37,1499,3 13 14,37.5,1929062,116.41 126.5 131
