rank,cp,ivs,maxlevel,stat-product
1,1500,0 9 15,20.5,1796907
2,1497,0 14 10,20.5,1790849
3,1499,0 12 12,20.5,1790319
4,1500,0 10 14,20.5,1789486
5,1498,3 14 14,20,1788591
6,1500,1 7 15,20.5,1788391
7,1499,2 15 15,20,1788353
8,1495,2 15 14,20,1788353
9,1497,0 8 15,20.5,1788350
10,1500,1 14 9,20.5,1783141
11,1497,0 15 9,20.5,1782822
12,1498,1 12 10,20.5,1782761
13,1498,0 13 11,20.5,1782519
14,1494,0 13 10,20.5,1782519
15,1499,1 10 12,20.5,1782076
16,1499,0 11 13,20.5,1781913
17,1495,0 11 12,20.5,1781913
18,1500,1 8 14,20.5,1781087
19,1496,0 9 14,20.5,1781005
20,1498,3 15 13,20,1780722
21,1498,4 12 14,20,1780391
22,1499,3 13 15,20,1780272
23,1495,3 13 14,20,1780272
24,1495,2 14 15,20,1780074
25,1491,2 14 14,20,1780074
26,1491,1 15 15,20,1779797
27,1487,1 15 14,20,1779797
28,1497,1 6 15,20.5,1779793
29,1493,0 7 15,20.5,1779793
30,1500,2 5 15,20.5,1779711
31,1499,2 14 7,20.5,1775276
32,1500,1 15 8,20.5,1775000
33,1496,1 15 7,20.5,1775000
34,1497,1 13 9,20.5,1774847
35,1500,0 7 8,21,1774812
36,1493,0 14 9,20.5,1774568
37,1498,2 10 10,20.5,1774512
38,1498,1 11 11,20.5,1774391
39,1494,1 11 10,20.5,1774391
40,1495,0 12 11,20.5,1774190
41,1490,0 12 10,20.5,1774190
42,1499,2 8 12,20.5,1773671
43,1499,1 9 13,20.5,1773630
44,1495,1 9 12,20.5,1773630
45,1496,0 10 13,20.5,1773508
46,1492,0 10 12,20.5,1773508
47,1500,5 14 11,20,1773091
48,1497,4 15 11,20,1772936
49,1498,4 13 13,20,1772635
50,1496,1 7 14,20.5,1772565
51,1500,2 6 14,20.5,1772524
52,1492,0 8 14,20.5,1772524
53,1494,3 14 13,20,1772478
54,1498,0 3 11,21,1772330
55,1491,2 15 13,20,1772242
56,1498,5 10 14,20,1772032
57,1499,4 11 15,20,1772032
58,1495,4 11 14,20,1772032
59,1495,3 12 15,20,1771953
60,1491,3 12 14,20,1771953
61,1492,2 13 15,20,1771795
62,1488,2 13 14,20,1771795
63,1488,1 14 15,20,1771557
64,1484,1 14 14,20,1771557
65,1484,0 15 15,20,1771240
66,1480,0 15 14,20,1771240
67,1489,0 6 15,20.5,1771237
68,1493,1 5 15,20.5,1771195
69,1496,2 4 15,20.5,1771071
70,1500,3 3 15,20.5,1770865
71,1499,0 1 13,21,1770623
72,1500,8 14 15,19.5,1769328
73,1496,7 15 15,19.5,1769290
74,1497,0 12 3,21,1767908
75,1500,0 14 2,21,1767830
76,1499,0 10 5,21,1767675
77,1498,3 14 5,20.5,1767254
78,1500,3 12 7,20.5,1767177
79,1500,0 8 7,21,1767132
80,1500,2 13 8,20.5,1767019
81,1496,2 13 7,20.5,1767019
82,1499,2 15 6,20.5,1767019
83,1494,2 15 5,20.5,1767019
84,1496,1 14 8,20.5,1766782
85,1492,1 14 7,20.5,1766782
86,1497,2 11 9,20.5,1766713
87,1493,1 12 9,20.5,1766554
88,1493,0 15 8,20.5,1766466
89,1488,0 15 7,20.5,1766466
90,1490,0 13 9,20.5,1766315
91,1497,0 6 8,21,1766279
92,1500,1 5 8,21,1766238
93,1498,3 8 10,20.5,1766102
94,1498,2 9 11,20.5,1766102
95,1494,2 9 10,20.5,1766102
96,1495,1 10 11,20.5,1766021
97,1491,1 10 10,20.5,1766021
98,1491,0 11 11,20.5,1765860
99,1487,0 11 10,20.5,1765860
100,1499,2 7 13,20.5,1765184
101,1495,2 7 12,20.5,1765184
102,1496,1 8 13,20.5,1765184
103,1492,1 8 12,20.5,1765184
104,1498,0 4 10,21,1765115
105,1499,6 14 9,20,1765111
106,1499,3 6 12,20.5,1765103
107,1492,0 9 13,20.5,1765103
108,1488,0 9 12,20.5,1765103
109,1500,5 15 10,20,1764996
110,1496,5 15 9,20,1764996
111,1500,6 12 11,20,1764883
112,1497,5 13 11,20,1764844
113,1497,4 14 12,20,1764728
114,1493,4 14 11,20,1764728
115,1494,3 15 12,20,1764533
116,1490,3 15 11,20,1764533
117,1498,5 11 13,20,1764391
118,1494,4 12 13,20,1764351
119,1491,3 13 13,20,1764234
120,1493,1 6 14,20.5,1764043
121,1489,0 7 14,20.5,1764043
122,1487,2 14 13,20,1764037
123,1496,2 5 14,20.5,1763961
124,1500,3 4 14,20.5,1763797
125,1483,1 15 13,20,1763762
126,1495,4 10 15,20,1763674
127,1491,4 10 14,20,1763674
128,1499,0 2 12,21,1763642
129,1495,0 2 11,21,1763642
130,1499,5 9 15,20,1763634
131,1495,5 9 14,20,1763634
132,1492,3 11 15,20,1763634
133,1488,3 11 14,20,1763634
134,1498,6 8 14,20,1763515
135,1488,2 12 15,20,1763515
136,1484,2 12 14,20,1763515
137,1498,1 1 11,21,1763432
138,1484,1 13 15,20,1763317
139,1481,1 13 14,20,1763317
140,1481,0 14 15,20,1763040
141,1477,0 14 14,20,1763040
142,1486,0 5 15,20.5,1762680
143,1489,1 4 15,20.5,1762597
144,1493,2 3 15,20.5,1762432
145,1496,3 2 15,20.5,1762184
146,1499,0 0 14,21,1761858
147,1495,0 0 13,21,1761858
148,1500,4 1 15,20.5,1761853
149,1498,9 14 13,19.5,1761398
150,1499,8 15 14,19.5,1761398
151,1495,8 15 13,19.5,1761398
152,1493,7 14 15,19.5,1761099
153,1496,8 13 15,19.5,1761099
154,1500,9 12 15,19.5,1761022
155,1489,6 15 15,19.5,1761022
156,1500,1 12 2,21,1759846
157,1497,1 10 3,21,1759768
158,1498,1 14 0,21,1759612
159,1498,0 11 4,21,1759608
160,1494,0 11 3,21,1759608
161,1496,0 13 2,21,1759608
162,1499,1 8 5,21,1759379
163,1499,0 9 6,21,1759298
164,1495,0 9 5,21,1759298
165,1499,0 15 1,21,1759298
166,1495,0 15 0,21,1759298
167,1498,4 12 5,20.5,1759152
168,1499,3 13 6,20.5,1759034
169,1495,3 13 5,20.5,1759034
170,1500,4 10 7,20.5,1758920
171,1500,3 11 8,20.5,1758881
172,1496,3 11 7,20.5,1758881
173,1497,3 15 4,20.5,1758881
174,1495,2 14 6,20.5,1758838
175,1491,2 14 5,20.5,1758838
176,1497,2 12 8,20.5,1758762
177,1492,2 12 7,20.5,1758762
178,1500,1 6 7,21,1758677
179,1496,0 7 7,21,1758677
180,1493,1 13 8,20.5,1758564
181,1489,1 13 7,20.5,1758564
182,1491,1 15 6,20.5,1758564
183,1487,1 15 5,20.5,1758564
184,1497,3 9 9,20.5,1758420
185,1494,2 10 9,20.5,1758380
186,1489,0 14 8,20.5,1758288
187,1485,0 14 7,20.5,1758288
188,1490,1 11 9,20.5,1758260
189,1486,0 12 9,20.5,1758061
190,1497,0 5 9,21,1757746
191,1493,0 5 8,21,1757746
192,1495,2 8 11,20.5,1757692
193,1491,2 8 10,20.5,1757692
194,1497,1 4 8,21,1757664
195,1498,3 7 11,20.5,1757651
196,1494,3 7 10,20.5,1757651
197,1491,1 9 11,20.5,1757651
198,1487,1 9 10,20.5,1757651
199,1498,4 6 10,20.5,1757531
200,1487,0 10 11,20.5,1757531
201,1483,0 10 10,20.5,1757531
202,1500,2 3 8,21,1757499
203,1499,7 12 9,20,1756902
204,1500,6 13 10,20,1756902
205,1496,6 13 9,20,1756902
206,1498,6 15 8,20,1756902
207,1496,5 14 10,20,1756825
208,1492,5 14 9,20,1756825
209,1492,1 7 13,20.5,1756738
210,1488,1 7 12,20.5,1756738
211,1496,2 6 13,20.5,1756698
212,1492,2 6 12,20.5,1756698
213,1488,0 8 13,20.5,1756698
214,1484,0 8 12,20.5,1756698
215,1493,4 15 10,20,1756670
216,1488,4 15 9,20,1756670
217,1497,6 11 11,20,1756598
218,1497,5 12 12,20,1756598
219,1493,5 12 11,20,1756598
220,1499,3 5 13,20.5,1756576
221,1495,3 5 12,20.5,1756576
222,1500,7 10 11,20,1756520
223,1494,4 13 12,20,1756520
224,1490,4 13 11,20,1756520
225,1494,0 3 10,21,1756505
226,1499,4 4 12,20.5,1756373
227,1490,3 14 12,20,1756364
228,1486,3 14 11,20,1756364
229,1498,1 2 10,21,1756339
230,1487,2 15 12,20,1756131
231,1482,2 15 11,20,1756131
232,1494,5 10 13,20,1756068
233,1491,4 11 13,20,1756068
234,1498,6 9 13,20,1755989
235,1487,3 12 13,20,1755989
236,1484,2 13 13,20,1755832
237,1480,1 14 13,20,1755597
238,1485,0 6 14,20.5,1755562
239,1489,1 5 14,20.5,1755521
240,1492,2 4 14,20.5,1755398
241,1492,4 9 15,20,1755315
242,1488,4 9 14,20,1755315
243,1488,3 10 15,20,1755315
244,1484,3 10 14,20,1755315
245,1476,0 15 13,20,1755283
246,1495,5 8 15,20,1755236
247,1491,5 8 14,20,1755236
248,1485,2 11 15,20,1755236
249,1481,2 11 14,20,1755236
250,1496,3 3 14,20.5,1755193
251,1499,6 7 15,20,1755077
252,1495,6 7 14,20,1755077
253,1481,1 12 15,20,1755077
254,1477,1 12 14,20,1755077
255,1495,0 1 12,21,1754954
256,1491,0 1 11,21,1754954
257,1499,4 2 14,20.5,1754906
258,1498,7 6 14,20,1754840
259,1477,0 13 15,20,1754840
260,1473,0 13 14,20,1754840
261,1498,1 0 12,21,1754702
262,1494,1 0 11,21,1754702
263,1482,0 4 15,20.5,1754123
264,1486,1 3 15,20.5,1753999
265,1489,2 2 15,20.5,1753792
266,1493,3 1 15,20.5,1753503
267,1498,9 15 12,19.5,1753356
268,1496,8 14 14,19.5,1753244
269,1492,8 14 13,19.5,1753244
270,1499,9 13 14,19.5,1753206
271,1495,9 13 13,19.5,1753206
272,1492,7 15 14,19.5,1753206
273,1488,7 15 13,19.5,1753206
274,1496,4 0 15,20.5,1753131
275,1498,10 12 13,19.5,1753092
276,1489,7 13 15,19.5,1752908
277,1493,8 12 15,19.5,1752870
278,1486,6 14 15,19.5,1752870
279,1482,5 15 15,19.5,1752755
280,1496,9 11 15,19.5,1752755
281,1499,10 10 15,19.5,1752563
282,1500,2 10 2,21,1751703
283,1499,2 12 0,21,1751625
284,1497,1 11 2,21,1751584
285,1497,2 8 3,21,1751468
286,1498,1 9 4,21,1751428
287,1494,1 9 3,21,1751428
288,1499,1 13 1,21,1751428
289,1495,1 13 0,21,1751428
290,1493,0 12 2,21,1751386
291,1494,0 10 4,21,1751308
292,1490,0 10 3,21,1751308
293,1496,0 14 1,21,1751153
294,1491,0 14 0,21,1751153
295,1499,1 7 6,21,1750961
296,1495,1 7 5,21,1750961
297,1499,2 6 5,21,1750920
298,1496,0 8 6,21,1750920
299,1491,0 8 5,21,1750920
300,1498,5 10 5,20.5,1750893
301,1499,4 11 6,20.5,1750893
302,1495,4 11 5,20.5,1750893
303,1497,4 13 4,20.5,1750893
304,1495,3 12 6,20.5,1750814
305,1491,3 12 5,20.5,1750814
306,1494,3 14 4,20.5,1750738
307,1499,5 14 2,20.5,1750738
308,1492,2 13 6,20.5,1750658
309,1487,2 13 5,20.5,1750658
310,1500,4 9 8,20.5,1750584
311,1496,4 9 7,20.5,1750584
312,1497,3 10 8,20.5,1750584
313,1492,3 10 7,20.5,1750584
314,1500,4 15 3,20.5,1750584
315,1496,4 15 2,20.5,1750584
316,1499,0 5 1,21.5,1750529
317,1500,5 8 7,20.5,1750505
318,1493,2 11 8,20.5,1750505
319,1489,2 11 7,20.5,1750505
320,1490,2 15 4,20.5,1750505
321,1488,1 14 6,20.5,1750423
322,1484,1 14 5,20.5,1750423
323,1489,1 12 8,20.5,1750347
324,1485,1 12 7,20.5,1750347
325,1493,0 6 7,21,1750222
326,1496,1 5 7,21,1750181
327,1486,0 13 8,20.5,1750110
328,1482,0 13 7,20.5,1750110
329,1484,0 15 6,20.5,1750110
330,1480,0 15 5,20.5,1750110
331,1500,2 4 7,21,1750059
332,1494,3 8 9,20.5,1750046
333,1490,2 9 9,20.5,1750046
334,1497,4 7 9,20.5,1749966
335,1486,1 10 9,20.5,1749966
336,1483,0 11 9,20.5,1749807
337,1500,0 3 3,21.5,1749735
338,1491,2 7 11,20.5,1749282
339,1487,2 7 10,20.5,1749282
340,1488,1 8 11,20.5,1749282
341,1483,1 8 10,20.5,1749282
342,1494,0 4 9,21,1749214
343,1490,0 4 8,21,1749214
344,1495,3 6 11,20.5,1749201
345,1491,3 6 10,20.5,1749201
346,1484,0 9 11,20.5,1749201
347,1480,0 9 10,20.5,1749201
348,1497,1 3 9,21,1749090
349,1493,1 3 8,21,1749090
350,1498,4 5 11,20.5,1749040
351,1494,4 5 10,20.5,1749040
352,1497,2 2 8,21,1748884
353,1498,7 13 8,20,1748806
354,1497,5 4 10,20.5,1748799
355,1495,6 14 8,20,1748768
356,1496,6 12 10,20,1748692
357,1492,6 12 9,20,1748692
358,1500,7 11 10,20,1748653
359,1496,7 11 9,20,1748653
360,1493,5 13 10,20,1748653
361,1489,5 13 9,20,1748653
362,1491,5 15 8,20,1748653
363,1497,7 15 6,20,1748653
364,1497,0 1 4,21.5,1748623
365,1500,3 1 8,21,1748595
366,1499,8 10 9,20,1748538
367,1489,4 14 10,20,1748538
368,1485,4 14 9,20,1748538
369,1500,1 0 4,21.5,1748372
370,1494,5 11 12,20,1748351
371,1490,5 11 11,20,1748351
372,1485,3 15 10,20,1748345
373,1481,3 15 9,20,1748345
374,1497,6 10 12,20,1748312
375,1493,6 10 11,20,1748312
376,1490,4 12 12,20,1748312
377,1486,4 12 11,20,1748312
378,1488,1 6 13,20.5,1748292
379,1484,1 6 12,20.5,1748292
380,1485,0 7 13,20.5,1748292
381,1481,0 7 12,20.5,1748292
382,1492,2 5 13,20.5,1748211
383,1488,2 5 12,20.5,1748211
384,1497,7 9 11,20,1748195
385,1487,3 13 12,20,1748195
386,1483,3 13 11,20,1748195
387,1496,3 4 13,20.5,1748049
388,1491,3 4 12,20.5,1748049
389,1500,8 8 11,20,1748001
390,1483,2 14 12,20,1748001
391,1479,2 14 11,20,1748001
392,1491,0 2 10,21,1747895
393,1499,4 3 13,20.5,1747805
394,1495,4 3 12,20.5,1747805
395,1487,4 10 13,20,1747785
396,1491,5 9 13,20,1747745
397,1484,3 11 13,20,1747745
398,1479,1 15 12,20,1747728
399,1475,1 15 11,20,1747728
400,1494,1 1 10,21,1747687
401,1494,6 8 13,20,1747628
402,1480,2 12 13,20,1747628
