rank,cp,ivs,maxlevel,stat-product,stats
1,1030,15 15 15,41,980631,108.16 90.66 100
2,1023,14 15 15,41,973420,107.37 90.66 100
3,1026,15 14 15,41,972029,108.16 89.87 100
4,1026,15 15 14,41,970824,108.16 90.66 99
5,1015,13 15 15,41,966210,106.57 90.66 100
6,1018,14 14 15,41,964881,107.37 89.87 100
7,1019,14 15 14,41,963686,107.37 90.66 99
8,1021,15 13 15,41,963427,108.16 89.07 100
9,1022,15 14 14,41,962308,108.16 89.87 99
10,1022,15 15 13,41,961018,108.16 90.66 98
11,1008,12 15 15,41,958999,105.77 90.66 100
12,1011,13 14 15,41,957734,106.57 89.87 100
13,1011,13 15 14,41,956548,106.57 90.66 99
14,1014,14 13 15,41,956343,107.37 89.07 100
15,1014,14 14 14,41,955233,107.37 89.87 99
16,1017,15 12 15,41,954825,108.16 88.28 100
17,1015,14 15 13,41,953952,107.37 90.66 98
18,1017,15 13 14,41,953792,108.16 89.07 99
19,1018,15 14 13,41,952588,108.16 89.87 98
20,1000,11 15 15,41,951789,104.98 90.66 100
21,1018,15 15 12,41,951212,108.16 90.66 97
22,1014,15 15 11,41,951212,108.16 90.66 97
23,1003,12 14 15,41,950587,105.77 89.87 100
24,1004,12 15 14,41,949409,105.77 90.66 99
25,1006,13 13 15,41,949259,106.57 89.07 100
26,1007,13 14 14,41,948157,106.57 89.87 99
27,1009,14 12 15,41,947804,107.37 88.28 100
28,1007,13 15 13,41,946885,106.57 90.66 98
29,1010,14 13 14,41,946779,107.37 89.07 99
30,1012,15 11 15,41,946223,108.16 87.48 100
31,1010,14 14 13,41,945584,107.37 89.87 98
32,1013,15 12 14,41,945276,108.16 88.28 99
33,993,10 15 15,41,944578,104.18 90.66 100
34,1011,14 15 12,41,944218,107.37 90.66 97
35,1006,14 15 11,41,944218,107.37 90.66 97
36,1013,15 13 13,41,944158,108.16 89.07 98
37,996,11 14 15,41,943440,104.98 89.87 100
38,1014,15 14 12,41,942868,108.16 89.87 97
39,1009,15 14 11,41,942868,108.16 89.87 97
40,996,11 15 14,41,942271,104.98 90.66 99
41,999,12 13 15,41,942175,105.77 89.07 100
42,1010,15 15 10,41,941405,108.16 90.66 96
43,999,12 14 14,41,941081,105.77 89.87 99
44,1002,13 12 15,41,940783,106.57 88.28 100
45,1000,12 15 13,41,939819,105.77 90.66 98
46,1002,13 13 14,41,939766,106.57 89.07 99
47,1005,14 11 15,41,939265,107.37 87.48 100
48,1003,13 14 13,41,938579,106.57 89.87 98
49,1005,14 12 14,41,938326,107.37 88.28 99
50,1008,15 10 15,41,937621,108.16 86.69 100
51,985,9 15 15,41,937368,103.39 90.66 100
52,1003,13 15 12,41,937223,106.57 90.66 97
53,999,13 15 11,41,937223,106.57 90.66 97
54,1006,14 13 13,41,937216,107.37 89.07 98
55,1008,15 11 14,41,936760,108.16 87.48 99
56,988,10 14 15,41,936292,104.18 89.87 100
57,1006,14 14 12,41,935935,107.37 89.87 97
58,1002,14 14 11,41,935935,107.37 89.87 97
59,1009,15 12 13,41,935728,108.16 88.28 98
60,989,10 15 14,41,935132,104.18 90.66 99
61,991,11 13 15,41,935091,104.98 89.07 100
62,1009,15 13 12,41,934524,108.16 89.07 97
63,1005,15 13 11,41,934524,108.16 89.07 97
64,1002,14 15 10,41,934483,107.37 90.66 96
65,992,11 14 14,41,934005,104.98 89.87 99
66,994,12 12 15,41,933762,105.77 88.28 100
67,1005,15 14 10,41,933148,108.16 89.87 96
68,995,12 13 14,41,932753,105.77 89.07 99
69,992,11 15 13,41,932753,104.98 90.66 98
70,997,13 11 15,41,932308,106.57 87.48 100
71,1006,15 15 9,41,931599,108.16 90.66 95
72,995,12 14 13,41,931575,105.77 89.87 98
73,998,13 12 14,41,931375,106.57 88.28 99
74,1000,14 10 15,41,930726,107.37 86.69 100
75,998,13 13 13,41,930273,106.57 89.07 98
76,996,12 15 12,41,930229,105.77 90.66 97
77,992,12 15 11,41,930229,105.77 90.66 97
78,977,8 15 15,41,930157,102.59 90.66 100
79,1001,14 11 14,41,929872,107.37 87.48 99
80,981,9 14 15,41,929145,103.39 89.87 100
81,1003,15 9 15,41,929019,108.16 85.89 100
82,999,13 14 12,41,929002,106.57 89.87 97
83,995,13 14 11,41,929002,106.57 89.87 97
84,1001,14 12 13,41,928848,107.37 88.28 98
85,1004,15 10 14,41,928244,108.16 86.69 99
86,984,10 13 15,41,928007,104.18 89.07 100
87,981,9 15 14,41,927994,103.39 90.66 99
88,1002,14 13 12,41,927652,107.37 89.07 97
89,998,14 13 11,41,927652,107.37 89.07 97
90,995,13 15 10,41,927561,106.57 90.66 96
91,1004,15 11 13,41,927298,108.16 87.48 98
92,984,10 14 14,41,926929,104.18 89.87 99
93,987,11 12 15,41,926742,104.98 88.28 100
94,998,14 14 10,41,926286,107.37 89.87 96
95,1005,15 12 12,41,926180,108.16 88.28 97
96,1001,15 12 11,41,926180,108.16 88.28 97
97,987,11 13 14,41,925740,104.98 89.07 99
98,985,10 15 13,41,925687,104.18 90.66 98
99,990,12 11 15,41,925350,105.77 87.48 100
100,1001,15 13 10,41,924890,108.16 89.07 96
101,998,14 15 9,41,924749,107.37 90.66 95
102,988,11 14 13,41,924571,104.98 89.87 98
103,990,12 12 14,41,924425,105.77 88.28 99
104,993,13 10 15,41,923832,106.57 86.69 100
105,1001,15 14 9,41,923427,108.16 89.87 95
106,991,12 13 13,41,923331,105.77 89.07 98
107,988,11 15 12,41,923235,104.98 90.66 97
