rank,cp,ivs,maxlevel,stat-product,stats
1,1222,15 15 15,41,1534662,97.03 89.87 176
2,1219,15 15 14,41,1525942,97.03 89.87 175
3,1212,14 15 15,41,1522083,96.23 89.87 176
4,1216,15 14 15,41,1521081,97.03 89.07 176
5,1216,15 15 13,41,1517223,97.03 89.87 174
6,1213,15 15 12,41,1517223,97.03 89.87 174
7,1209,14 15 14,41,1513435,96.23 89.87 175
8,1214,15 14 14,41,1512438,97.03 89.07 175
9,1202,13 15 15,41,1509504,95.44 89.87 176
10,1206,14 14 15,41,1508613,96.23 89.07 176
11,1211,15 15 11,41,1508503,97.03 89.87 173
12,1211,15 13 15,41,1507500,97.03 88.28 176
13,1206,14 15 13,41,1504786,96.23 89.87 174
14,1203,14 15 12,41,1504786,96.23 89.87 174
15,1211,15 14 13,41,1503796,97.03 89.07 174
16,1208,15 14 12,41,1503796,97.03 89.07 174
17,1199,13 15 14,41,1500927,95.44 89.87 175
18,1204,14 14 14,41,1500041,96.23 89.07 175
19,1208,15 15 10,41,1499783,97.03 89.87 172
20,1208,15 13 14,41,1498935,97.03 88.28 175
21,1192,12 15 15,41,1496924,94.64 89.87 176
22,1196,13 14 15,41,1496145,95.44 89.07 176
23,1201,14 15 11,41,1496138,96.23 89.87 173
24,1205,15 14 11,41,1495153,97.03 89.07 173
25,1201,14 13 15,41,1495143,96.23 88.28 176
26,1205,15 12 15,41,1493919,97.03 87.48 176
27,1196,13 15 13,41,1492350,95.44 89.87 174
28,1194,13 15 12,41,1492350,95.44 89.87 174
29,1201,14 14 13,41,1491470,96.23 89.07 174
30,1198,14 14 12,41,1491470,96.23 89.07 174
31,1205,15 15 9,41,1491064,97.03 89.87 171
32,1205,15 13 13,41,1490369,97.03 88.28 174
33,1203,15 13 12,41,1490369,97.03 88.28 174
34,1189,12 15 14,41,1488419,94.64 89.87 175
35,1194,13 14 14,41,1487644,95.44 89.07 175
36,1198,14 15 10,41,1487490,96.23 89.87 172
37,1198,14 13 14,41,1486648,96.23 88.28 175
38,1202,15 14 10,41,1486511,97.03 89.07 172
39,1203,15 12 14,41,1485431,97.03 87.48 175
40,1182,11 15 15,41,1484345,93.85 89.87 176
41,1191,13 15 11,41,1483774,95.44 89.87 173
42,1186,12 14 15,41,1483677,94.64 89.07 176
43,1195,14 14 11,41,1482898,96.23 89.07 173
44,1191,13 13 15,41,1482787,95.44 88.28 176
45,1202,15 15 8,41,1482344,97.03 89.87 170
46,1199,15 15 7,41,1482344,97.03 89.87 170
47,1200,15 13 11,41,1481804,97.03 88.28 173
48,1195,14 12 15,41,1481674,96.23 87.48 176
49,1200,15 11 15,41,1480338,97.03 86.69 176
50,1186,12 15 13,41,1479914,94.64 89.87 174
51,1184,12 15 12,41,1479914,94.64 89.87 174
52,1191,13 14 13,41,1479144,95.44 89.07 174
53,1188,13 14 12,41,1479144,95.44 89.07 174
54,1195,14 15 9,41,1478842,96.23 89.87 171
55,1195,14 13 13,41,1478153,96.23 88.28 174
56,1193,14 13 12,41,1478153,96.23 88.28 174
57,1200,15 14 9,41,1477868,97.03 89.07 171
58,1200,15 12 13,41,1476942,97.03 87.48 174
59,1197,15 12 12,41,1476942,97.03 87.48 174
60,1179,11 15 14,41,1475912,93.85 89.87 175
61,1184,12 14 14,41,1475247,94.64 89.07 175
62,1188,13 15 10,41,1475197,95.44 89.87 172
63,1188,13 13 14,41,1474362,95.44 88.28 175
64,1193,14 14 10,41,1474326,96.23 89.07 172
65,1197,15 15 6,41,1473624,97.03 89.87 169
66,1193,14 12 14,41,1473255,96.23 87.48 175
67,1197,15 13 10,41,1473239,97.03 88.28 172
68,1197,15 11 14,41,1471927,97.03 86.69 175
69,1172,10 15 15,41,1471766,93.05 89.87 176
70,1181,12 15 11,41,1471409,94.64 89.87 173
71,1176,11 14 15,41,1471209,93.85 89.07 176
72,1185,13 14 11,41,1470643,95.44 89.07 173
73,1181,12 13 15,41,1470430,94.64 88.28 176
74,1192,14 15 8,41,1470194,96.23 89.87 170
75,1190,14 15 7,41,1470194,96.23 89.87 170
76,1190,14 13 11,41,1469658,96.23 88.28 173
77,1186,13 12 15,41,1469428,95.44 87.48 176
78,1197,15 14 8,41,1469226,97.03 89.07 170
79,1194,15 14 7,41,1469226,97.03 89.07 170
80,1194,15 12 11,41,1468454,97.03 87.48 173
81,1190,14 11 15,41,1468204,96.23 86.69 176
82,1176,11 15 13,41,1467478,93.85 89.87 174
83,1174,11 15 12,41,1467478,93.85 89.87 174
84,1181,12 14 13,41,1466817,94.64 89.07 174
85,1178,12 14 12,41,1466817,94.64 89.07 174
86,1194,15 10 15,41,1466757,97.03 85.89 176
87,1185,13 15 9,41,1466620,95.44 89.87 171
88,1186,13 13 13,41,1465937,95.44 88.28 174
89,1183,13 13 12,41,1465937,95.44 88.28 174
90,1190,14 14 9,41,1465755,96.23 89.07 171
91,1194,15 15 5,41,1464905,97.03 89.87 168
92,1190,14 12 13,41,1464836,96.23 87.48 174
93,1187,14 12 12,41,1464836,96.23 87.48 174
94,1194,15 13 9,41,1464673,97.03 88.28 171
95,1194,15 11 13,41,1463516,97.03 86.69 174
96,1192,15 11 12,41,1463516,97.03 86.69 174
97,1169,10 15 14,41,1463404,93.05 89.87 175
98,1178,12 15 10,41,1462903,94.64 89.87 172
99,1174,11 14 14,41,1462850,93.85 89.07 175
100,1183,13 14 10,41,1462142,95.44 89.07 172
101,1178,12 13 14,41,1462076,94.64 88.28 175
102,1187,14 15 6,41,1461545,96.23 89.87 169
103,1187,14 13 10,41,1461163,96.23 88.28 172
104,1183,13 12 14,41,1461079,95.44 87.48 175
105,1191,15 14 6,41,1460583,97.03 89.07 169
106,1192,15 12 10,41,1459966,97.03 87.48 172
107,1187,14 11 14,41,1459862,96.23 86.69 175
108,1162,9 15 15,41,1459187,92.25 89.87 176
109,1171,11 15 11,41,1459044,93.85 89.87 173
110,1166,10 14 15,41,1458742,93.05 89.07 176
111,1192,15 10 14,41,1458423,97.03 85.89 175
112,1176,12 14 11,41,1458387,94.64 89.07 173
113,1171,11 13 15,41,1458074,93.85 88.28 176
114,1183,13 15 8,41,1458043,95.44 89.87 170
115,1180,13 15 7,41,1458043,95.44 89.87 170
116,1180,13 13 11,41,1457512,95.44 88.28 173
117,1176,12 12 15,41,1457183,94.64 87.48 176
118,1187,14 14 8,41,1457183,96.23 89.07 170
119,1184,14 14 7,41,1457183,96.23 89.07 170
120,1185,14 12 11,41,1456418,96.23 87.48 173
121,1191,15 15 4,41,1456185,97.03 89.87 167
122,1188,15 15 3,41,1456185,97.03 89.87 167
123,1192,15 13 8,41,1456108,97.03 88.28 170
124,1189,15 13 7,41,1456108,97.03 88.28 170
125,1180,13 11 15,41,1456070,95.44 86.69 176
126,1189,15 11 11,41,1455105,97.03 86.69 173
127,1166,10 15 13,41,1455041,93.05 89.87 174
128,1164,10 15 12,41,1455041,93.05 89.87 174
129,1185,14 10 15,41,1454734,96.23 85.89 176
130,1171,11 14 13,41,1454491,93.85 89.07 174
131,1168,11 14 12,41,1454491,93.85 89.07 174
132,1175,12 15 9,41,1454398,94.64 89.87 171
133,1176,12 13 13,41,1453721,94.64 88.28 174
134,1173,12 13 12,41,1453721,94.64 88.28 174
135,1180,13 14 9,41,1453641,95.44 89.07 171
136,1189,15 9 15,41,1453176,97.03 85.1 176
137,1184,14 15 5,41,1452897,96.23 89.87 168
138,1180,13 12 13,41,1452730,95.44 87.48 174
139,1178,13 12 12,41,1452730,95.44 87.48 174
140,1185,14 13 9,41,1452668,96.23 88.28 171
141,1189,15 14 5,41,1451941,97.03 89.07 168
142,1185,14 11 13,41,1451520,96.23 86.69 174
143,1182,14 11 12,41,1451520,96.23 86.69 174
144,1189,15 12 9,41,1451478,97.03 87.48 171
145,1159,9 15 14,41,1450896,92.25 89.87 175
146,1168,11 15 10,41,1450610,93.85 89.87 172
147,1164,10 14 14,41,1450453,93.05 89.07 175
148,1189,15 10 13,41,1450089,97.03 85.89 174
149,1186,15 10 12,41,1450089,97.03 85.89 174
150,1173,12 14 10,41,1449957,94.64 89.07 172
151,1168,11 13 14,41,1449789,93.85 88.28 175
152,1177,13 15 6,41,1449467,95.44 89.87 169
153,1177,13 13 10,41,1449087,95.44 88.28 172
154,1173,12 12 14,41,1448904,94.64 87.48 175
155,1182,14 14 6,41,1448611,96.23 89.07 169
156,1182,14 12 10,41,1447999,96.23 87.48 172
157,1178,13 11 14,41,1447797,95.44 86.69 175
158,1186,15 13 6,41,1447543,97.03 88.28 169
159,1185,15 15 2,41,1447465,97.03 89.87 166
160,1186,15 11 10,41,1446694,97.03 86.69 172
161,1161,10 15 11,41,1446679,93.05 89.87 173
162,1152,8 15 15,41,1446608,91.46 89.87 176
163,1182,14 10 14,41,1446469,96.23 85.89 175
164,1156,9 14 15,41,1446274,92.25 89.07 176
165,1166,11 14 11,41,1446132,93.85 89.07 173
166,1173,12 15 8,41,1445893,94.64 89.87 170
167,1170,12 15 7,41,1445893,94.64 89.87 170
168,1161,10 13 15,41,1445717,93.05 88.28 176
169,1170,12 13 11,41,1445366,94.64 88.28 173
170,1177,13 14 8,41,1445140,95.44 89.07 170
171,1175,13 14 7,41,1445140,95.44 89.07 170
172,1166,11 12 15,41,1444938,93.85 87.48 176
173,1186,15 9 14,41,1444919,97.03 85.1 175
174,1175,13 12 11,41,1444381,95.44 87.48 173
175,1181,14 15 4,41,1444249,96.23 89.87 167
176,1178,14 15 3,41,1444249,96.23 89.87 167
177,1182,14 13 8,41,1444173,96.23 88.28 170
178,1179,14 13 7,41,1444173,96.23 88.28 170
179,1170,12 11 15,41,1443936,94.64 86.69 176
180,1186,15 14 4,41,1443298,97.03 89.07 167
181,1183,15 14 3,41,1443298,97.03 89.07 167
182,1179,14 11 11,41,1443178,96.23 86.69 173
183,1186,15 12 8,41,1442990,97.03 87.48 170
184,1183,15 12 7,41,1442990,97.03 87.48 170
185,1175,13 10 15,41,1442711,95.44 85.89 176
186,1156,9 15 13,41,1442605,92.25 89.87 174
187,1154,9 15 12,41,1442605,92.25 89.87 174
188,1166,11 15 9,41,1442176,93.85 89.87 171
189,1161,10 14 13,41,1442165,93.05 89.07 174
190,1158,10 14 12,41,1442165,93.05 89.07 174
191,1184,15 10 11,41,1441755,97.03 85.89 173
192,1170,12 14 9,41,1441527,94.64 89.07 171
193,1166,11 13 13,41,1441505,93.85 88.28 174
194,1163,11 13 12,41,1441505,93.85 88.28 174
195,1179,14 9 15,41,1441264,96.23 85.1 176
196,1174,13 15 5,41,1440890,95.44 89.87 168
197,1175,13 13 9,41,1440662,95.44 88.28 171
198,1170,12 12 13,41,1440624,94.64 87.48 174
199,1168,12 12 12,41,1440624,94.64 87.48 174
200,1179,14 14 5,41,1440040,96.23 89.07 168
201,1183,15 8 15,41,1439594,97.03 84.3 176
202,1179,14 12 9,41,1439581,96.23 87.48 171
203,1175,13 11 13,41,1439524,95.44 86.69 174
204,1172,13 11 12,41,1439524,95.44 86.69 174
205,1183,15 13 5,41,1438977,97.03 88.28 168
206,1183,15 15 1,41,1438746,97.03 89.87 165
207,1149,8 15 14,41,1438388,91.46 89.87 175
208,1158,10 15 10,41,1438317,93.05 89.87 172
209,1184,15 11 9,41,1438283,97.03 86.69 171
210,1179,14 10 13,41,1438203,96.23 85.89 174
211,1177,14 10 12,41,1438203,96.23 85.89 174
212,1154,9 14 14,41,1438056,92.25 89.07 175
213,1163,11 14 10,41,1437773,93.85 89.07 172
214,1159,10 13 14,41,1437503,93.05 88.28 175
215,1167,12 15 6,41,1437388,94.64 89.87 169
216,1168,12 13 10,41,1437011,94.64 88.28 172
217,1163,11 12 14,41,1436728,93.85 87.48 175
218,1183,15 9 13,41,1436662,97.03 85.1 174
219,1181,15 9 12,41,1436662,97.03 85.1 174
220,1172,13 14 6,41,1436639,95.44 89.07 169
221,1172,13 12 10,41,1436032,95.44 87.48 172
222,1168,12 11 14,41,1435732,94.64 86.69 175
223,1176,14 13 6,41,1435677,96.23 88.28 169
224,1176,14 15 2,41,1435601,96.23 89.87 166
225,1177,14 11 10,41,1434836,96.23 86.69 172
226,1180,15 14 2,41,1434656,97.03 89.07 166
227,1172,13 10 14,41,1434514,95.44 85.89 175
228,1181,15 12 6,41,1434502,97.03 87.48 169
229,1151,9 15 11,41,1434314,92.25 89.87 173
230,1142,7 15 15,41,1434028,90.66 89.87 176
231,1156,10 14 11,41,1433877,93.05 89.07 173
232,1146,8 14 15,41,1433806,91.46 89.07 176
233,1163,11 15 8,41,1433743,93.85 89.87 170
234,1160,11 15 7,41,1433743,93.85 89.87 170
235,1181,15 10 10,41,1433421,97.03 85.89 172
236,1151,9 13 15,41,1433361,92.25 88.28 176
237,1161,11 13 11,41,1433220,93.85 88.28 173
238,1167,12 14 8,41,1433097,94.64 89.07 170
239,1165,12 14 7,41,1433097,94.64 89.07 170
240,1176,14 9 14,41,1433075,96.23 85.1 175
241,1156,10 12 15,41,1432693,93.05 87.48 176
242,1165,12 12 11,41,1432345,94.64 87.48 173
243,1171,13 15 4,41,1432313,95.44 89.87 167
244,1169,13 15 3,41,1432313,95.44 89.87 167
245,1172,13 13 8,41,1432237,95.44 88.28 170
246,1169,13 13 7,41,1432237,95.44 88.28 170
247,1161,11 11 15,41,1431802,93.85 86.69 176
248,1176,14 14 4,41,1431468,96.23 89.07 167
249,1173,14 14 3,41,1431468,96.23 89.07 167
250,1181,15 8 14,41,1431415,97.03 84.3 175
251,1169,13 11 11,41,1431251,95.44 86.69 173
252,1176,14 12 8,41,1431162,96.23 87.48 170
253,1174,14 12 7,41,1431162,96.23 87.48 170
254,1165,12 10 15,41,1430689,94.64 85.89 176
255,1180,15 13 4,41,1430412,97.03 88.28 167
256,1178,15 13 3,41,1430412,97.03 88.28 167
257,1146,8 15 13,41,1430169,91.46 89.87 174
258,1144,8 15 12,41,1430169,91.46 89.87 174
259,1180,15 15 0,41,1430026,97.03 89.87 164
260,1156,10 15 9,41,1429955,93.05 89.87 171
261,1174,14 10 11,41,1429937,96.23 85.89 173
262,1181,15 11 8,41,1429872,97.03 86.69 170
263,1178,15 11 7,41,1429872,97.03 86.69 170
264,1151,9 14 13,41,1429839,92.25 89.07 174
265,1149,9 14 12,41,1429839,92.25 89.07 174
266,1160,11 14 9,41,1429414,93.85 89.07 171
