rank,cp,ivs,maxlevel,stat-product,stats
1,479,15 15 15,41,312597,73.17 54.08 79
2,474,14 15 15,41,309199,72.37 54.08 79
3,477,15 15 14,41,308640,73.17 54.08 78
4,476,15 14 15,41,308000,73.17 53.29 79
5,469,13 15 15,41,305802,71.58 54.08 79
6,472,14 15 14,41,305285,72.37 54.08 78
7,475,15 15 13,41,304683,73.17 54.08 77
8,472,15 15 12,41,304683,73.17 54.08 77
9,471,14 14 15,41,304652,72.37 53.29 79
10,473,15 14 14,41,304101,73.17 53.29 78
11,472,15 13 15,41,303403,73.17 52.49 79
12,464,12 15 15,41,302404,70.78 54.08 79
13,467,13 15 14,41,301931,71.58 54.08 78
14,469,14 15 13,41,301372,72.37 54.08 77
15,467,14 15 12,41,301372,72.37 54.08 77
16,465,13 14 15,41,301305,71.58 53.29 79
17,468,14 14 14,41,300796,72.37 53.29 78
18,470,15 15 11,41,300726,73.17 54.08 76
19,471,15 14 13,41,300203,73.17 53.29 77
20,469,15 14 12,41,300203,73.17 53.29 77
21,467,14 13 15,41,300105,72.37 52.49 79
22,470,15 13 14,41,299563,73.17 52.49 78
23,458,11 15 15,41,299006,69.99 54.08 79
24,469,15 12 15,41,298806,73.17 51.69 79
25,461,12 15 14,41,298576,70.78 54.08 78
26,464,13 15 13,41,298060,71.58 54.08 77
27,462,13 15 12,41,298060,71.58 54.08 77
28,460,12 14 15,41,297957,70.78 53.29 79
29,463,13 14 14,41,297491,71.58 53.29 78
30,465,14 15 11,41,297458,72.37 54.08 76
31,466,14 14 13,41,296940,72.37 53.29 77
32,464,14 14 12,41,296940,72.37 53.29 77
33,462,13 13 15,41,296807,71.58 52.49 79
34,467,15 15 10,41,296769,73.17 54.08 75
35,465,14 13 14,41,296306,72.37 52.49 78
36,466,15 14 11,41,296304,73.17 53.29 76
37,467,15 13 13,41,295722,73.17 52.49 77
38,465,15 13 12,41,295722,73.17 52.49 77
39,453,10 15 15,41,295608,69.19 54.08 79
40,464,14 12 15,41,295558,72.37 51.69 79
41,456,11 15 14,41,295221,69.99 54.08 78
42,466,15 12 14,41,295024,73.17 51.69 78
43,459,12 15 13,41,294748,70.78 54.08 77
44,457,12 15 12,41,294748,70.78 54.08 77
45,455,11 14 15,41,294609,69.99 53.29 79
46,465,15 11 15,41,294209,73.17 50.9 79
47,459,13 15 11,41,294189,71.58 54.08 76
48,458,12 14 14,41,294185,70.78 53.29 78
49,461,13 14 13,41,293677,71.58 53.29 77
50,458,13 14 12,41,293677,71.58 53.29 77
51,462,14 15 10,41,293544,72.37 54.08 75
52,457,12 13 15,41,293510,70.78 52.49 79
53,461,14 14 11,41,293083,72.37 53.29 76
54,460,13 13 14,41,293050,71.58 52.49 78
55,465,15 15 9,41,292813,73.17 54.08 74
56,462,14 13 13,41,292508,72.37 52.49 77
57,460,14 13 12,41,292508,72.37 52.49 77
58,464,15 14 10,41,292405,73.17 53.29 75
59,458,13 12 15,41,292310,71.58 51.69 79
60,448,9 15 15,41,292210,68.4 54.08 79
61,463,15 13 11,41,291882,73.17 52.49 76
62,451,10 15 14,41,291866,69.19 54.08 78
63,461,14 12 14,41,291817,72.37 51.69 78
64,454,11 15 13,41,291436,69.99 54.08 77
65,452,11 15 12,41,291436,69.99 54.08 77
66,450,10 14 15,41,291261,69.19 53.29 79
67,464,15 12 13,41,291241,73.17 51.69 77
68,462,15 12 12,41,291241,73.17 51.69 77
69,460,14 11 15,41,291011,72.37 50.9 79
70,454,12 15 11,41,290920,70.78 54.08 76
71,453,11 14 14,41,290880,69.99 53.29 78
72,463,15 11 14,41,290485,73.17 50.9 78
73,456,12 14 13,41,290413,70.78 53.29 77
74,453,12 14 12,41,290413,70.78 53.29 77
75,457,13 15 10,41,290318,71.58 54.08 75
76,452,11 13 15,41,290212,69.99 52.49 79
77,456,13 14 11,41,289863,71.58 53.29 76
78,455,12 13 14,41,289794,70.78 52.49 78
79,460,14 15 9,41,289630,72.37 54.08 74
80,461,15 10 15,41,289612,73.17 50.1 79
81,457,13 13 13,41,289293,71.58 52.49 77
82,455,13 13 12,41,289293,71.58 52.49 77
83,459,14 14 10,41,289227,72.37 53.29 75
84,453,12 12 15,41,289062,70.78 51.69 79
85,462,15 15 8,41,288856,73.17 54.08 73
86,460,15 15 7,41,288856,73.17 54.08 73
87,443,8 15 15,41,288813,67.6 54.08 79
88,458,14 13 11,41,288709,72.37 52.49 76
89,456,13 12 14,41,288610,71.58 51.69 78
90,446,9 15 14,41,288512,68.4 54.08 78
91,461,15 14 9,41,288506,73.17 53.29 74
92,449,10 15 13,41,288124,69.19 54.08 77
93,446,10 15 12,41,288124,69.19 54.08 77
94,459,14 12 13,41,288076,72.37 51.69 77
95,457,14 12 12,41,288076,72.37 51.69 77
96,460,15 13 10,41,288041,73.17 52.49 75
97,445,9 14 15,41,287913,68.4 53.29 79
98,455,13 11 15,41,287813,71.58 50.9 79
99,449,11 15 11,41,287651,69.99 54.08 76
100,448,10 14 14,41,287574,69.19 53.29 78
101,459,15 12 11,41,287459,73.17 51.69 76
102,458,14 11 14,41,287327,72.37 50.9 78
103,451,11 14 13,41,287150,69.99 53.29 77
104,448,11 14 12,41,287150,69.99 53.29 77
105,452,12 15 10,41,287092,70.78 54.08 75
106,447,10 13 15,41,286914,69.19 52.49 79
107,460,15 11 13,41,286761,73.17 50.9 77
108,458,15 11 12,41,286761,73.17 50.9 77
109,451,12 14 11,41,286642,70.78 53.29 76
110,449,11 13 14,41,286538,69.99 52.49 78
111,456,14 10 15,41,286464,72.37 50.1 79
112,455,13 15 9,41,286447,71.58 54.08 74
113,452,12 13 13,41,286079,70.78 52.49 77
114,450,12 13 12,41,286079,70.78 52.49 77
115,454,13 14 10,41,286049,71.58 53.29 75
116,459,15 10 14,41,285946,73.17 50.1 78
117,448,11 12 15,41,285815,69.99 51.69 79
118,457,14 15 8,41,285716,72.37 54.08 73
119,455,14 15 7,41,285716,72.37 54.08 73
120,453,13 13 11,41,285536,71.58 52.49 76
121,438,7 15 15,41,285415,66.81 54.08 79
122,451,12 12 14,41,285403,70.78 51.69 78
123,456,14 14 9,41,285371,72.37 53.29 74
124,441,8 15 14,41,285157,67.6 54.08 78
125,458,15 9 15,41,285015,73.17 49.31 79
126,454,13 12 13,41,284910,71.58 51.69 77
127,452,13 12 12,41,284910,71.58 51.69 77
128,455,14 13 10,41,284910,72.37 52.49 75
129,457,15 15 6,41,284899,73.17 54.08 72
130,444,9 15 13,41,284813,68.4 54.08 77
131,441,9 15 12,41,284813,68.4 54.08 77
132,450,12 11 15,41,284615,70.78 50.9 79
133,459,15 14 8,41,284608,73.17 53.29 73
134,456,15 14 7,41,284608,73.17 53.29 73
135,440,8 14 15,41,284565,67.6 53.29 79
136,444,10 15 11,41,284383,69.19 54.08 76
137,454,14 12 11,41,284334,72.37 51.69 76
138,443,9 14 14,41,284269,68.4 53.29 78
139,458,15 13 9,41,284200,73.17 52.49 74
140,453,13 11 14,41,284170,71.58 50.9 78
141,445,10 14 13,41,283887,69.19 53.29 77
142,443,10 14 12,41,283887,69.19 53.29 77
143,447,11 15 10,41,283866,69.99 54.08 75
144,457,15 12 10,41,283677,73.17 51.69 75
145,455,14 11 13,41,283644,72.37 50.9 77
146,453,14 11 12,41,283644,72.37 50.9 77
147,441,9 13 15,41,283616,68.4 52.49 79
148,446,11 14 11,41,283421,69.99 53.29 76
149,451,13 10 15,41,283316,71.58 50.1 79
150,444,10 13 14,41,283282,69.19 52.49 78
151,450,12 15 9,41,283264,70.78 54.08 74
152,456,15 11 11,41,283037,73.17 50.9 76
153,449,12 14 10,41,282870,70.78 53.29 75
154,447,11 13 13,41,282865,69.99 52.49 77
155,445,11 13 12,41,282865,69.99 52.49 77
156,454,14 10 14,41,282838,72.37 50.1 78
157,452,13 15 8,41,282576,71.58 54.08 73
158,450,13 15 7,41,282576,71.58 54.08 73
159,443,10 12 15,41,282567,69.19 51.69 79
160,448,12 13 11,41,282364,70.78 52.49 76
161,457,15 10 13,41,282280,73.17 50.1 77
162,454,15 10 12,41,282280,73.17 50.1 77
163,451,13 14 9,41,282235,71.58 53.29 74
164,446,11 12 14,41,282197,69.99 51.69 78
165,432,6 15 15,41,282017,66.01 54.08 79
166,453,14 9 15,41,281917,72.37 49.31 79
167,435,7 15 14,41,281802,66.81 54.08 78
168,452,14 15 6,41,281802,72.37 54.08 72
169,450,13 13 10,41,281779,71.58 52.49 75
170,449,12 12 13,41,281744,70.78 51.69 77
171,446,12 12 12,41,281744,70.78 51.69 77
172,454,14 14 8,41,281514,72.37 53.29 73
173,451,14 14 7,41,281514,72.37 53.29 73
174,438,8 15 13,41,281501,67.6 54.08 77
175,436,8 15 12,41,281501,67.6 54.08 77
176,445,11 11 15,41,281417,69.99 50.9 79
177,455,15 9 14,41,281407,73.17 49.31 78
178,434,7 14 15,41,281218,66.81 53.29 79
179,449,13 12 11,41,281210,71.58 51.69 76
180,439,9 15 11,41,281114,68.4 54.08 76
181,453,14 13 9,41,281111,72.37 52.49 74
182,448,12 11 14,41,281013,70.78 50.9 78
183,437,8 14 14,41,280963,67.6 53.29 78
184,455,15 15 5,41,280942,73.17 54.08 71
185,454,15 14 6,41,280709,73.17 53.29 72
186,442,10 15 10,41,280641,69.19 54.08 75
187,440,9 14 13,41,280624,68.4 53.29 77
188,438,9 14 12,41,280624,68.4 53.29 77
189,452,14 12 10,41,280593,72.37 51.69 75
190,450,13 11 13,41,280527,71.58 50.9 77
191,448,13 11 12,41,280527,71.58 50.9 77
192,454,15 8 15,41,280418,73.17 48.51 79
193,455,15 13 8,41,280360,73.17 52.49 73
194,453,15 13 7,41,280360,73.17 52.49 73
195,436,8 13 15,41,280318,67.6 52.49 79
196,441,10 14 11,41,280200,69.19 53.29 76
197,446,12 10 15,41,280168,70.78 50.1 79
198,445,11 15 9,41,280082,69.99 54.08 74
199,439,9 13 14,41,280026,68.4 52.49 78
200,451,14 11 11,41,279960,72.37 50.9 76
201,454,15 12 9,41,279894,73.17 51.69 74
202,449,13 10 14,41,279730,71.58 50.1 78
203,444,11 14 10,41,279692,69.99 53.29 75
204,442,10 13 13,41,279650,69.19 52.49 77
205,440,10 13 12,41,279650,69.19 52.49 77
206,447,12 15 8,41,279436,70.78 54.08 73
207,445,12 15 7,41,279436,70.78 54.08 73
208,438,9 12 15,41,279319,68.4 51.69 79
209,453,15 11 10,41,279312,73.17 50.9 75
210,452,14 10 13,41,279212,72.37 50.1 77
211,449,14 10 12,41,279212,72.37 50.1 77
212,443,11 13 11,41,279191,69.99 52.49 76
213,446,12 14 9,41,279099,70.78 53.29 74
214,441,10 12 14,41,278990,69.19 51.69 78
215,448,13 9 15,41,278819,71.58 49.31 79
216,447,13 15 6,41,278705,71.58 54.08 72
217,445,12 13 10,41,278648,70.78 52.49 75
218,427,5 15 15,41,278619,65.21 54.08 79
219,452,15 10 11,41,278614,73.17 50.1 76
220,444,11 12 13,41,278579,69.99 51.69 77
221,441,11 12 12,41,278579,69.99 51.69 77
222,430,6 15 14,41,278447,66.01 54.08 78
223,449,13 14 8,41,278421,71.58 53.29 73
224,446,13 14 7,41,278421,71.58 53.29 73
225,450,14 9 14,41,278348,72.37 49.31 78
226,440,10 11 15,41,278219,69.19 50.9 79
227,433,7 15 13,41,278189,66.81 54.08 77
228,431,7 15 12,41,278189,66.81 54.08 77
229,444,12 12 11,41,278085,70.78 51.69 76
230,448,13 13 9,41,278022,71.58 52.49 74
231,450,14 15 5,41,277888,72.37 54.08 71
232,429,6 14 15,41,277870,66.01 53.29 79
233,443,11 11 14,41,277855,69.99 50.9 78
234,434,8 15 11,41,277845,67.6 54.08 76
235,453,15 9 13,41,277799,73.17 49.31 77
236,451,15 9 12,41,277799,73.17 49.31 77
237,432,7 14 14,41,277658,66.81 53.29 78
238,449,14 14 6,41,277658,72.37 53.29 72
239,447,13 12 10,41,277510,71.58 51.69 75
240,437,9 15 10,41,277415,68.4 54.08 75
241,445,12 11 13,41,277410,70.78 50.9 77
242,443,12 11 12,41,277410,70.78 50.9 77
243,449,14 8 15,41,277370,72.37 48.51 79
