rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 8 12,13,1625857,138.24 105.01 112
2,1500,0 6 14,13,1625325,138.24 104.04 113
3,1496,4 15 15,12.5,1621439,137.45 106.28 111
4,1497,5 14 15,12.5,1619780,137.92 105.8 111
5,1498,0 11 8,13,1618799,138.24 106.45 110
6,1500,0 9 11,13,1618732,138.24 105.49 111
7,1497,0 9 10,13,1618732,138.24 105.49 111
8,1498,0 13 6,13,1618599,138.24 107.42 109
9,1500,0 7 13,13,1618399,138.24 104.53 112
10,1497,0 7 12,13,1618399,138.24 104.53 112
11,1498,0 15 4,13,1618133,138.24 108.38 108
12,1499,6 13 15,12.5,1618071,138.39 105.33 111
13,1499,6 15 13,12.5,1617875,138.39 106.28 110
14,1496,6 15 12,12.5,1617875,138.39 106.28 110
15,1499,0 5 15,13,1617800,138.24 103.56 113
16,1496,0 5 14,13,1617800,138.24 103.56 113
17,1499,1 10 8,13,1617089,138.73 105.97 110
18,1499,1 8 10,13,1616955,138.73 105.01 111
19,1500,1 12 6,13,1616955,138.73 106.93 109
20,1499,1 6 12,13,1616554,138.73 104.04 112
21,1500,1 14 4,13,1616554,138.73 107.9 108
22,1498,7 14 12,12.5,1616182,138.87 105.8 110
23,1498,1 4 14,13,1615886,138.73 103.08 113
24,1490,3 15 15,12.5,1615867,136.98 106.28 111
25,1500,2 5 12,13,1614657,139.21 103.56 112
26,1500,8 13 12,12.5,1614439,139.34 105.33 110
27,1492,4 14 15,12.5,1614233,137.45 105.8 111
28,1500,8 15 10,12.5,1614110,139.34 106.28 109
29,1500,2 3 14,13,1613920,139.21 102.6 113
30,1494,5 13 15,12.5,1612549,137.92 105.33 111
31,1497,5 15 14,12.5,1612353,137.92 106.28 110
32,1494,5 15 13,12.5,1612353,137.92 106.28 110
33,1491,5 15 12,12.5,1612353,137.92 106.28 110
34,1497,0 10 9,13,1611474,138.24 105.97 110
35,1494,0 10 8,13,1611474,138.24 105.97 110
36,1497,0 8 11,13,1611341,138.24 105.01 111
37,1494,0 8 10,13,1611341,138.24 105.01 111
38,1498,0 12 7,13,1611341,138.24 106.93 109
39,1494,0 12 6,13,1611341,138.24 106.93 109
40,1497,0 6 13,13,1610941,138.24 104.04 112
41,1493,0 6 12,13,1610941,138.24 104.04 112
42,1498,0 14 5,13,1610941,138.24 107.9 108
