rank,cp,ivs,maxlevel,stat-product,stats
1,1500,0 14 14,15,1803061,124.69 105.55 137
2,1500,0 15 13,15,1798674,124.69 106.07 136
3,1498,0 15 12,15,1798674,124.69 106.07 136
4,1500,1 14 12,15,1797327,125.21 105.55 136
5,1499,0 13 15,15,1794222,124.69 105.03 137
6,1496,0 13 14,15,1794222,124.69 105.03 137
7,1498,1 15 10,15,1792857,125.21 106.07 135
8,1498,1 12 14,15,1792792,125.21 104.51 137
9,1497,0 14 13,15,1789900,124.69 105.55 136
10,1494,0 14 12,15,1789900,124.69 105.55 136
11,1499,1 13 13,15,1788516,125.21 105.03 136
12,1496,1 13 12,15,1788516,125.21 105.03 136
13,1499,2 12 12,15,1787060,125.73 104.51 136
14,1498,2 15 8,15,1786930,125.73 106.07 134
15,1495,0 15 11,15,1785448,124.69 106.07 135
16,1492,0 15 10,15,1785448,124.69 106.07 135
17,1495,0 12 15,15,1785384,124.69 104.51 137
18,1492,0 12 14,15,1785384,124.69 104.51 137
19,1497,1 14 11,15,1784111,125.21 105.55 135
20,1494,1 14 10,15,1784111,125.21 105.55 135
21,1497,1 11 15,15,1783917,125.21 104 137
22,1495,1 11 14,15,1783917,125.21 104 137
23,1500,2 13 11,15,1782702,125.73 105.03 135
24,1497,2 13 10,15,1782702,125.73 105.03 135
25,1500,2 10 15,15,1782376,125.73 103.48 137
26,1497,2 10 14,15,1782376,125.73 103.48 137
27,1499,3 12 10,15,1781220,126.24 104.51 135
28,1493,0 13 13,15,1781126,124.69 105.03 136
29,1490,0 13 12,15,1781126,124.69 105.03 136
30,1499,3 9 14,15,1780763,126.24 102.96 137
31,1496,1 12 13,15,1779706,125.21 104.51 136
32,1493,1 12 12,15,1779706,125.21 104.51 136
33,1495,1 15 9,15,1779576,125.21 106.07 134
34,1492,1 15 8,15,1779576,125.21 106.07 134
35,1498,2 11 13,15,1778213,125.73 104 136
36,1495,2 11 12,15,1778213,125.73 104 136
37,1498,2 14 9,15,1778213,125.73 105.55 134
38,1495,2 14 8,15,1778213,125.73 105.55 134
39,1500,3 13 9,15,1776778,126.24 105.03 134
40,1497,3 13 8,15,1776778,126.24 105.03 134
41,1491,0 14 11,15,1776739,124.69 105.55 135
42,1488,0 14 10,15,1776739,124.69 105.55 135
43,1500,3 10 13,15,1776648,126.24 103.48 136
44,1498,3 10 12,15,1776648,126.24 103.48 136
45,1491,0 11 15,15,1776545,124.69 104 137
46,1488,0 11 14,15,1776545,124.69 104 137
47,1498,7 15 15,14.5,1776093,126.16 104.28 135
48,1494,1 13 11,15,1775365,125.21 105.03 135
49,1491,1 13 10,15,1775365,125.21 105.03 135
50,1500,4 12 8,15,1775272,126.76 104.51 134
51,1494,1 10 15,15,1775041,125.21 103.48 137
52,1491,1 10 14,15,1775041,125.21 103.48 137
53,1500,4 9 12,15,1775009,126.76 102.96 136
54,1496,2 12 11,15,1773920,125.73 104.51 135
55,1493,2 12 10,15,1773920,125.73 104.51 135
56,1496,2 15 7,15,1773595,125.73 106.07 133
57,1496,2 9 15,15,1773464,125.73 102.96 137
58,1493,2 9 14,15,1773464,125.73 102.96 137
59,1499,0 10 2,15.5,1773271,126.75 105.19 133
60,1500,0 7 6,15.5,1772938,126.75 103.61 135
61,1498,3 11 11,15,1772402,126.24 104 135
