rank,cp,ivs,maxlevel,stat-product,stats
1,1293,15 15 15,40,1510969,110.64 113.8 120
2,1289,15 14 15,40,1500476,110.64 113.01 120
3,1284,14 15 15,40,1500176,109.85 113.8 120
4,1289,15 15 14,40,1498378,110.64 113.8 119
5,1284,15 13 15,40,1489983,110.64 112.22 120
6,1279,14 14 15,40,1489759,109.85 113.01 120
7,1275,13 15 15,40,1489384,109.06 113.8 120
8,1284,15 14 14,40,1487972,110.64 113.01 119
9,1280,14 15 14,40,1487675,109.85 113.8 119
10,1285,15 15 13,40,1485786,110.64 113.8 118
11,1280,15 12 15,40,1479491,110.64 111.43 120
12,1275,14 13 15,40,1479341,109.85 112.22 120
13,1270,13 14 15,40,1479041,109.06 113.01 120
14,1265,12 15 15,40,1478591,108.27 113.8 120
15,1280,15 13 14,40,1477567,110.64 112.22 119
16,1275,14 14 14,40,1477344,109.85 113.01 119
17,1270,13 15 14,40,1476972,109.06 113.8 119
18,1280,15 14 13,40,1475468,110.64 113.01 118
19,1275,14 15 13,40,1475174,109.85 113.8 118
20,1280,15 15 12,40,1473195,110.64 113.8 117
21,1275,15 11 15,40,1468998,110.64 110.64 120
22,1270,14 12 15,40,1468923,109.85 111.43 120
23,1266,13 13 15,40,1468698,109.06 112.22 120
24,1261,12 14 15,40,1468323,108.27 113.01 120
25,1256,11 15 15,40,1467799,107.48 113.8 120
26,1275,15 12 14,40,1467162,110.64 111.43 119
27,1271,14 13 14,40,1467013,109.85 112.22 119
28,1266,13 14 14,40,1466716,109.06 113.01 119
29,1261,12 15 14,40,1466270,108.27 113.8 119
30,1276,15 13 13,40,1465150,110.64 112.22 118
31,1271,14 14 13,40,1464929,109.85 113.01 118
32,1266,13 15 13,40,1464561,109.06 113.8 118
33,1276,15 14 12,40,1462964,110.64 113.01 117
34,1271,14 15 12,40,1462672,109.85 113.8 117
35,1276,15 15 11,40,1460603,110.64 113.8 116
36,1272,15 15 10,40,1460603,110.64 113.8 116
37,1270,15 10 15,40,1458505,110.64 109.85 120
38,1266,14 11 15,40,1458505,109.85 110.64 120
39,1261,13 12 15,40,1458355,109.06 111.43 120
40,1257,12 13 15,40,1458055,108.27 112.22 120
41,1252,11 14 15,40,1457606,107.48 113.01 120
42,1247,10 15 15,40,1457006,106.69 113.8 120
43,1271,15 11 14,40,1456756,110.64 110.64 119
44,1266,14 12 14,40,1456682,109.85 111.43 119
45,1262,13 13 14,40,1456459,109.06 112.22 119
46,1257,12 14 14,40,1456087,108.27 113.01 119
47,1252,11 15 14,40,1455567,107.48 113.8 119
48,1271,15 12 13,40,1454832,110.64 111.43 118
49,1267,14 13 13,40,1454685,109.85 112.22 118
50,1262,13 14 13,40,1454390,109.06 113.01 118
51,1257,12 15 13,40,1453948,108.27 113.8 118
52,1271,15 13 12,40,1452734,110.64 112.22 117
53,1267,14 14 12,40,1452515,109.85 113.01 117
54,1262,13 15 12,40,1452149,109.06 113.8 117
55,1272,15 14 11,40,1450460,110.64 113.01 116
56,1267,15 14 10,40,1450460,110.64 113.01 116
57,1267,14 15 11,40,1450171,109.85 113.8 116
58,1263,14 15 10,40,1450171,109.85 113.8 116
59,1261,14 10 15,40,1448087,109.85 109.85 120
60,1266,15 9 15,40,1448012,110.64 109.06 120
61,1257,13 11 15,40,1448012,109.06 110.64 120
62,1267,15 15 9,40,1448012,110.64 113.8 115
63,1252,12 12 15,40,1447787,108.27 111.43 120
64,1247,11 13 15,40,1447412,107.48 112.22 120
65,1243,10 14 15,40,1446888,106.69 113.01 120
66,1266,15 10 14,40,1446351,110.64 109.85 119
67,1262,14 11 14,40,1446351,109.85 110.64 119
68,1238,9 15 15,40,1446213,105.9 113.8 120
69,1257,13 12 14,40,1446202,109.06 111.43 119
70,1252,12 13 14,40,1445905,108.27 112.22 119
71,1248,11 14 14,40,1445459,107.48 113.01 119
72,1243,10 15 14,40,1444864,106.69 113.8 119
73,1267,15 11 13,40,1444514,110.64 110.64 118
74,1262,14 12 13,40,1444441,109.85 111.43 118
75,1257,13 13 13,40,1444220,109.06 112.22 118
76,1253,12 14 13,40,1443851,108.27 113.01 118
77,1248,11 15 13,40,1443335,107.48 113.8 118
78,1267,15 12 12,40,1442503,110.64 111.43 117
79,1262,14 13 12,40,1442357,109.85 112.22 117
80,1258,13 14 12,40,1442065,109.06 113.01 117
81,1253,12 15 12,40,1441626,108.27 113.8 117
82,1267,15 13 11,40,1440317,110.64 112.22 116
83,1263,15 13 10,40,1440317,110.64 112.22 116
84,1262,14 14 11,40,1440100,109.85 113.01 116
85,1258,14 14 10,40,1440100,109.85 113.01 116
86,1258,13 15 11,40,1439738,109.06 113.8 116
87,1254,13 15 10,40,1439738,109.06 113.8 116
88,1263,15 14 9,40,1437956,110.64 113.01 115
89,1257,14 9 15,40,1437669,109.85 109.06 120
90,1252,13 10 15,40,1437669,109.06 109.85 120
91,1258,14 15 9,40,1437669,109.85 113.8 115
92,1261,15 8 15,40,1437519,110.64 108.27 120
93,1248,12 11 15,40,1437519,108.27 110.64 120
94,1243,11 12 15,40,1437219,107.48 111.43 120
95,1238,10 13 15,40,1436770,106.69 112.22 120
96,1233,9 14 15,40,1436170,105.9 113.01 120
97,1257,14 10 14,40,1436020,109.85 109.85 119
98,1262,15 9 14,40,1435945,110.64 109.06 119
99,1253,13 11 14,40,1435945,109.06 110.64 119
100,1248,12 12 14,40,1435722,108.27 111.43 119
101,1228,8 15 15,40,1435421,105.11 113.8 120
102,1263,15 15 8,40,1435421,110.64 113.8 114
103,1243,11 13 14,40,1435351,107.48 112.22 119
104,1239,10 14 14,40,1434830,106.69 113.01 119
105,1262,15 10 13,40,1434196,110.64 109.85 118
106,1258,14 11 13,40,1434196,109.85 110.64 118
107,1234,9 15 14,40,1434162,105.9 113.8 119
108,1253,13 12 13,40,1434049,109.06 111.43 118
109,1248,12 13 13,40,1433754,108.27 112.22 118
110,1244,11 14 13,40,1433312,107.48 113.01 118
111,1239,10 15 13,40,1432722,106.69 113.8 118
112,1262,15 11 12,40,1432273,110.64 110.64 117
113,1258,14 12 12,40,1432200,109.85 111.43 117
114,1253,13 13 12,40,1431981,109.06 112.22 117
115,1249,12 14 12,40,1431615,108.27 113.01 117
116,1244,11 15 12,40,1431104,107.48 113.8 117
117,1263,15 12 11,40,1430174,110.64 111.43 116
118,1258,15 12 10,40,1430174,110.64 111.43 116
119,1258,14 13 11,40,1430029,109.85 112.22 116
120,1254,14 13 10,40,1430029,109.85 112.22 116
121,1253,13 14 11,40,1429740,109.06 113.01 116
122,1249,13 14 10,40,1429740,109.06 113.01 116
123,1249,12 15 11,40,1429305,108.27 113.8 116
124,1244,12 15 10,40,1429305,108.27 113.8 116
125,1259,15 13 9,40,1427901,110.64 112.22 115
126,1254,14 14 9,40,1427685,109.85 113.01 115
127,1248,13 9 15,40,1427326,109.06 109.06 120
128,1249,13 15 9,40,1427326,109.06 113.8 115
129,1252,14 8 15,40,1427251,109.85 108.27 120
130,1243,12 10 15,40,1427251,108.27 109.85 120
