rank,cp,ivs,maxlevel,stat-product
1,1495,0 15 15,20,1620457
2,1497,1 14 15,20,1617784
3,1499,2 13 15,20,1615028
4,1498,1 15 14,20,1613562
5,1500,2 14 14,20,1610871
6,1491,0 14 15,20,1610811
7,1493,1 13 15,20,1608097
8,1499,0 11 11,20.5,1607575
9,1492,0 15 14,20,1606607
10,1497,2 15 12,20,1606547
11,1495,2 12 15,20,1605299
12,1497,0 15 6,20.5,1604195
13,1494,1 14 14,20,1603957
14,1499,3 14 12,20,1603838
15,1500,0 12 10,20.5,1603434
16,1497,3 11 15,20,1602418
17,1498,0 9 13,20.5,1601660
18,1499,1 14 6,20.5,1601549
19,1496,2 13 14,20,1601225
20,1487,0 13 15,20,1601166
21,1498,7 15 14,19.5,1600011
22,1494,1 15 13,20,1599652
23,1490,1 15 12,20,1599652
24,1499,4 10 15,20,1599454
25,1499,3 15 11,20,1599412
26,1495,3 15 10,20,1599412
27,1500,0 13 9,20.5,1599125
28,1496,0 13 8,20.5,1599125
29,1499,1 8 13,20.5,1598664
30,1488,1 12 15,20,1598410
31,1497,3 12 14,20,1598410
32,1498,0 10 12,20.5,1597773
33,1494,0 10 11,20.5,1597773
34,1500,8 14 14,19.5,1597170
35,1487,0 14 14,20,1597043
36,1496,2 14 13,20,1596984
37,1492,2 14 12,20,1596984
38,1500,1 15 5,20.5,1596882
39,1497,4 14 10,20,1596686
40,1500,5 9 15,20,1596405
41,1498,1 12 8,20.5,1596372
42,1490,2 11 15,20,1595570
43,1499,4 11 14,20,1595512
44,1496,0 7 15,20.5,1595407
45,1500,1 9 12,20.5,1594845
46,1496,1 9 11,20.5,1594845
47,1497,0 14 7,20.5,1594646
48,1493,0 14 6,20.5,1594646
49,1489,1 13 14,20,1594353
50,1498,3 13 13,20,1594234
51,1494,3 13 12,20,1594234
52,1499,5 13 10,20,1593879
53,1495,0 11 10,20.5,1593717
54,1500,2 11 8,20.5,1593537
55,1496,6 15 15,19.5,1593288
56,1492,6 15 14,19.5,1593288
57,1488,0 15 13,20,1592757
58,1484,0 15 12,20,1592757
59,1492,3 10 15,20,1592647
60,1493,2 15 11,20,1592577
61,1489,2 15 10,20,1592577
62,1498,1 6 15,20.5,1592299
63,1498,4 15 9,20,1592157
64,1499,1 13 7,20.5,1591959
65,1495,1 13 6,20.5,1591959
66,1498,2 8 11,20.5,1591832
67,1497,0 8 14,20.5,1591773
68,1493,0 8 13,20.5,1591773
69,1491,2 12 14,20,1591579
70,1482,0 12 15,20,1591520
71,1500,4 12 13,20,1591402
72,1496,4 12 12,20,1591402
73,1497,1 10 10,20.5,1590856
74,1498,7 14 15,19.5,1590487
75,1494,7 14 14,19.5,1590487
76,1490,1 14 13,20,1590130
