rank,cp,ivs,maxlevel,stat-product
1,1495,0 15 15,24,1853484
2,1500,1 15 14,24,1851910
3,1497,1 15 13,24,1851910
4,1498,1 14 15,24,1850880
5,1500,2 14 13,24,1849254
6,1498,0 15 6,24.5,1844806
7,1499,0 14 8,24.5,1844001
8,1500,0 13 10,24.5,1843036
9,1497,0 13 9,24.5,1843036
10,1498,0 12 11,24.5,1841910
11,1492,0 15 14,24,1841900
12,1489,0 15 13,24,1841900
13,1490,0 14 15,24,1840875
14,1499,0 11 13,24.5,1840622
15,1496,0 11 12,24.5,1840622
16,1500,1 12 9,24.5,1840273
17,1494,1 15 12,24,1840263
18,1495,1 14 14,24,1839312
19,1492,1 14 13,24,1839312
20,1500,0 10 15,24.5,1839174
21,1497,0 10 14,24.5,1839174
22,1499,2 15 11,24,1838500
23,1496,2 15 10,24,1838500
24,1493,1 13 15,24,1838203
25,1499,1 10 12,24.5,1837684
26,1497,2 14 12,24,1837624
27,1498,2 13 14,24,1836588
28,1495,2 13 13,24,1836588
29,1500,1 9 14,24.5,1836148
30,1499,3 14 10,24,1835811
31,1496,2 12 15,24,1835393
32,1500,3 13 12,24,1834850
33,1498,3 12 13,24,1833728
34,1495,0 15 5,24.5,1832980
35,1499,3 11 15,24,1832447
36,1496,0 14 7,24.5,1832256
37,1493,0 14 6,24.5,1832256
38,1494,0 13 8,24.5,1831371
39,1496,4 15 15,23.5,1831135
40,1493,4 15 14,23.5,1831135
41,1500,1 15 4,24.5,1831052
42,1496,1 15 3,24.5,1831052
43,1500,4 11 13,24,1830732
44,1498,1 14 5,24.5,1830405
45,1495,0 12 10,24.5,1830325
46,1492,0 12 9,24.5,1830325
47,1486,0 15 12,24,1830316
48,1499,1 13 7,24.5,1829596
49,1496,1 13 6,24.5,1829596
50,1487,0 14 14,24,1829370
51,1484,0 14 13,24,1829370
52,1497,5 15 13,23.5,1829224
53,1493,0 11 11,24.5,1829119
54,1500,0 9 7,25,1828778
55,1497,1 12 8,24.5,1828625
56,1491,1 15 11,24,1828616
57,1488,1 15 10,24,1828616
58,1499,2 14 3,24.5,1828426
59,1499,5 14 15,23.5,1828352
60,1495,5 14 14,23.5,1828352
61,1485,0 13 15,24,1828267
62,1494,0 10 13,24.5,1827751
63,1491,0 10 12,24.5,1827751
64,1489,1 14 12,24,1827744
65,1498,1 11 10,24.5,1827493
66,1495,1 11 9,24.5,1827493
67,1499,6 15 11,23.5,1827189
68,1499,2 12 6,24.5,1826800
69,1493,2 15 9,24,1826790
70,1490,1 13 14,24,1826714
71,1487,1 13 13,24,1826714
72,1500,6 14 13,23.5,1826393
73,1495,0 9 15,24.5,1826222
74,1492,0 9 14,24.5,1826222
75,1496,1 10 11,24.5,1826199
76,1494,2 14 11,24,1825993
77,1491,2 14 10,24,1825993
78,1500,2 11 8,24.5,1825742
79,1499,0 7 10,25,1825659
80,1488,1 12 15,24,1825526
81,1498,6 13 14,23.5,1825436
82,1492,2 13 12,24,1825037
83,1498,3 15 8,24,1824838
84,1494,3 15 7,24,1824838
85,1497,1 9 13,24.5,1824743
86,1494,1 9 12,24.5,1824743
87,1498,2 10 9,24.5,1824523
88,1496,3 14 9,24,1824118
89,1493,2 12 14,24,1823922
90,1490,2 12 13,24,1823922
91,1500,0 6 12,25,1823853
92,1497,3 13 11,24,1823237
93,1494,3 13 10,24,1823237
94,1499,2 9 11,24.5,1823140
95,1497,1 8 15,24.5,1823125
96,1494,1 8 14,24.5,1823125
97,1499,4 15 6,24,1822761
98,1491,2 11 15,24,1822648
99,1495,3 12 12,24,1822195
100,1500,4 14 8,24,1822117
101,1497,4 14 7,24,1822117
102,1500,0 5 14,25,1821883
103,1497,0 5 13,25,1821883
104,1499,2 8 13,24.5,1821595
105,1496,2 8 12,24.5,1821595
106,1500,3 9 9,24.5,1821414
107,1488,3 15 15,23.5,1821395
108,1485,3 15 14,23.5,1821395
109,1498,4 13 9,24,1821311
110,1492,0 15 4,24.5,1821154
111,1488,0 15 3,24.5,1821154
112,1499,0 13 0,25,1821144
113,1496,3 11 14,24,1820994
114,1492,3 11 13,24,1820994
115,1490,0 14 5,24.5,1820511
116,1500,0 12 2,25,1820405
117,1497,0 12 1,25,1820405
118,1499,4 12 11,24,1820345
119,1496,4 12 10,24,1820345
120,1500,2 7 15,24.5,1819887
121,1497,2 7 14,24.5,1819887
122,1498,0 4 15,25,1819748
123,1491,0 13 7,24.5,1819706
124,1488,0 13 6,24.5,1819706
125,1493,3 10 15,24,1819633
126,1490,4 15 13,23.5,1819545
127,1498,0 11 3,25,1819502
128,1500,5 13 7,24,1819262
129,1497,4 11 12,24,1819218
