rank,cp,ivs,maxlevel,stat-product,stats
1,1499,0 15 14,24.5,1908855,117.7 111.08 146
2,1498,0 14 15,24.5,1897493,117.7 110.42 146
3,1495,0 14 14,24.5,1897493,117.7 110.42 146
4,1498,1 13 14,24.5,1896727,118.36 109.76 146
5,1496,0 15 13,24.5,1895781,117.7 111.08 145
6,1500,1 14 13,24.5,1895084,118.36 110.42 145
7,1497,1 15 11,24.5,1893284,118.36 111.08 144
8,1500,0 10 12,25,1889850,118.89 108.87 146
9,1497,3 15 15,24,1888381,118.45 109.95 145
10,1500,4 14 15,24,1887512,119.11 109.29 145
11,1499,0 12 9,25,1886833,118.89 110.21 144
12,1493,0 13 15,24.5,1886131,117.7 109.76 146
13,1490,0 13 14,24.5,1886131,117.7 109.76 146
14,1497,1 12 15,24.5,1885301,118.36 109.1 146
15,1494,1 12 14,24.5,1885301,118.36 109.1 146
16,1500,0 13 8,25,1885086,118.89 110.88 143
17,1491,0 14 13,24.5,1884497,117.7 110.42 145
18,1498,2 11 14,24.5,1884344,119.02 108.44 146
19,1495,1 13 13,24.5,1883736,118.36 109.76 145
20,1497,0 14 6,25,1883180,118.89 111.54 142
21,1499,2 12 13,24.5,1882848,119.02 109.1 145
22,1492,0 15 12,24.5,1882707,117.7 111.08 144
23,1489,0 15 11,24.5,1882707,117.7 111.08 144
24,1496,1 14 12,24.5,1882014,118.36 110.42 144
25,1493,1 14 11,24.5,1882014,118.36 110.42 144
26,1500,2 13 12,24.5,1881196,119.02 109.76 144
27,1497,2 13 11,24.5,1881196,119.02 109.76 144
28,1498,0 15 5,25,1881115,118.89 112.21 141
29,1496,0 7 15,25,1880480,118.89 106.87 148
30,1500,3 12 11,24.5,1880251,119.68 109.1 144
31,1494,1 15 10,24.5,1880136,118.36 111.08 143
32,1497,0 8 14,25,1879448,118.89 107.54 147
33,1498,2 14 10,24.5,1879386,119.02 110.42 143
34,1500,1 6 15,25,1879225,119.56 106.2 148
35,1499,1 15 3,25,1878267,119.56 112.21 140
36,1499,0 9 13,25,1878256,118.89 108.21 146
37,1495,0 9 12,25,1878256,118.89 108.21 146
38,1488,2 15 15,24,1877948,117.8 109.95 145
39,1499,2 15 9,24.5,1877418,119.02 111.08 142
40,1495,2 15 8,24.5,1877418,119.02 111.08 142
41,1499,1 8 12,25,1877149,119.56 107.54 146
42,1492,3 14 15,24,1877141,118.45 109.29 145
43,1496,0 10 11,25,1876906,118.89 108.87 145
44,1499,3 14 8,24.5,1876611,119.68 110.42 142
45,1496,4 13 15,24,1876209,119.11 108.64 145
46,1500,1 9 11,25,1875871,119.56 108.21 145
47,1498,0 11 10,25,1875397,118.89 109.54 144
48,1494,0 11 9,25,1875397,118.89 109.54 144
49,1493,3 15 14,24,1875358,118.45 109.95 144
50,1500,5 12 15,24,1875153,119.76 107.98 145
51,1489,0 12 15,24.5,1874769,117.7 109.1 146
52,1486,0 12 14,24.5,1874769,117.7 109.1 146
53,1500,3 15 7,24.5,1874553,119.68 111.08 141
54,1497,4 14 14,24,1874494,119.11 109.29 144
55,1498,1 10 9,25,1874434,119.56 108.87 144
56,1493,1 11 15,24.5,1873875,118.36 108.44 146
57,1489,1 11 14,24.5,1873875,118.36 108.44 146
58,1495,0 12 8,25,1873730,118.89 110.21 143
59,1487,0 13 13,24.5,1873212,117.7 109.76 145
60,1497,2 10 15,24.5,1872854,119.02 107.78 146
61,1493,2 10 14,24.5,1872854,119.02 107.78 146
62,1499,1 11 8,25,1872837,119.56 109.54 143
63,1498,4 15 13,24,1872623,119.11 109.95 143
64,1495,4 15 12,24,1872623,119.11 109.95 143
65,1491,1 12 13,24.5,1872388,118.36 109.1 145
66,1496,0 13 7,25,1871903,118.89 110.88 142
67,1493,0 13 6,25,1871903,118.89 110.88 142
68,1500,3 9 15,24.5,1871705,119.68 107.12 146
69,1497,3 9 14,24.5,1871705,119.68 107.12 146
70,1498,5 14 12,24,1871705,119.76 109.29 143
71,1488,0 14 12,24.5,1871500,117.7 110.42 144
72,1484,0 14 11,24.5,1871500,117.7 110.42 144
73,1494,2 11 13,24.5,1871437,119.02 108.44 145
74,1500,0 12 1,25.5,1871118,120.08 111.31 140
75,1500,1 12 7,25,1871080,119.56 110.21 142
76,1497,1 12 6,25,1871080,119.56 110.21 142
77,1492,1 13 12,24.5,1870744,118.36 109.76 144
78,1488,1 13 11,24.5,1870744,118.36 109.76 144
79,1499,0 2 14,25.5,1870713,120.08 104.56 149
80,1500,4 8 14,24.5,1870428,120.34 106.46 146
81,1498,3 10 13,24.5,1870359,119.68 107.78 145
82,1500,0 3 13,25.5,1870146,120.08 105.23 148
83,1500,2 11 6,25,1870130,120.23 109.54 142
84,1494,0 14 5,25,1869918,118.89 111.54 141
85,1495,2 12 12,24.5,1869863,119.02 109.1 144
86,1492,2 12 11,24.5,1869863,119.02 109.1 144
87,1499,5 15 11,24,1869745,119.76 109.95 142
88,1496,5 15 10,24,1869745,119.76 109.95 142
89,1485,0 15 10,24.5,1869632,117.7 111.08 143
90,1498,0 4 11,25.5,1869417,120.08 105.91 147
91,1498,1 13 5,25,1869163,119.56 110.88 141
92,1489,1 14 10,24.5,1868944,118.36 110.42 143
93,1499,3 11 12,24.5,1868856,119.68 108.44 144
94,1496,3 11 11,24.5,1868856,119.68 108.44 144
95,1500,6 14 10,24,1868772,120.42 109.29 142
96,1491,0 6 15,25,1868727,118.89 106.2 148
97,1499,0 5 10,25.5,1868526,120.08 106.58 146
98,1493,2 13 10,24.5,1868132,119.02 109.76 143
99,1493,0 7 14,25,1867774,118.89 106.87 147
100,1495,0 15 4,25,1867774,118.89 112.21 140
101,1491,0 15 3,25,1867774,118.89 112.21 140
102,1499,4 10 11,24.5,1867722,120.34 107.78 144
103,1480,1 15 15,24,1867515,117.14 109.95 145
104,1497,0 6 8,25.5,1867473,120.08 107.26 145
105,1495,1 5 15,25,1867406,119.56 105.53 148
106,1497,3 12 10,24.5,1867194,119.68 109.1 143
107,1499,1 14 4,25,1867087,119.56 111.54 140
108,1495,1 14 3,25,1867087,119.56 111.54 140
109,1490,1 15 9,24.5,1866988,118.36 111.08 142
110,1487,1 15 8,24.5,1866988,118.36 111.08 142
111,1484,2 14 15,24,1866770,117.8 109.29 145
112,1494,0 8 13,25,1866662,118.89 107.54 146
113,1491,0 8 12,25,1866662,118.89 107.54 146
114,1496,1 6 14,25,1866528,119.56 106.2 147
115,1499,2 13 3,25,1866275,120.23 110.88 140
116,1498,0 7 7,25.5,1866258,120.08 107.93 144
117,1494,2 14 9,24.5,1866243,119.02 110.42 142
118,1491,2 14 8,24.5,1866243,119.02 110.42 142
119,1499,2 4 15,25,1865954,120.23 104.87 148
120,1488,3 13 15,24,1865900,118.45 108.64 145
121,1498,1 7 13,25,1865490,119.56 106.87 146
122,1494,1 7 12,25,1865490,119.56 106.87 146
123,1492,0 9 11,25,1865392,118.89 108.21 145
124,1498,3 13 9,24.5,1865374,119.68 109.76 142
125,1495,3 13 8,24.5,1865374,119.68 109.76 142
126,1500,2 5 14,25,1865151,120.23 105.53 147
127,1485,2 15 14,24,1864997,117.8 109.95 144
128,1491,4 12 15,24,1864907,119.11 107.98 145
129,1500,0 8 6,25.5,1864881,120.08 108.61 143
130,1496,0 8 5,25.5,1864881,120.08 108.61 143
131,1496,1 15 2,25,1864851,119.56 112.21 139
132,1498,4 12 8,24.5,1864380,120.34 109.1 142
133,1496,1 8 11,25,1864292,119.56 107.54 145
134,1492,2 15 7,24.5,1864197,119.02 111.08 141
135,1489,3 14 14,24,1864195,118.45 109.29 144
136,1498,2 6 12,25,1864187,120.23 106.2 146
137,1500,2 14 2,25,1864107,120.23 111.54 139
138,1493,0 10 10,25,1863962,118.89 108.87 144
139,1490,0 10 9,25,1863962,118.89 108.87 144
140,1498,7 15 15,23.5,1863825,119.8 108.79 143
141,1494,7 15 14,23.5,1863825,119.8 108.79 143
142,1495,5 11 15,24,1863789,119.76 107.33 145
143,1500,1 7 5,25.5,1863710,120.75 107.93 143
144,1484,0 11 15,24.5,1863406,117.7 108.44 146
145,1481,0 11 14,24.5,1863406,117.7 108.44 146
146,1496,3 14 7,24.5,1863395,119.68 110.42 141
147,1497,0 9 4,25.5,1863342,120.08 109.28 142
