rank,cp,ivs,maxlevel,stat-product,stats
1,1351,15 15 15,41,1637737,111.34 108.96 135
2,1341,14 15 15,41,1626039,110.55 108.96 135
3,1346,15 14 15,41,1625783,111.34 108.16 135
4,1347,15 15 14,41,1625606,111.34 108.96 134
5,1332,13 15 15,41,1614341,109.75 108.96 135
6,1336,14 14 15,41,1614170,110.55 108.16 135
7,1337,14 15 14,41,1613994,110.55 108.96 134
8,1341,15 13 15,41,1613829,111.34 107.37 135
9,1342,15 14 14,41,1613740,111.34 108.16 134
10,1343,15 15 13,41,1613474,111.34 108.96 133
11,1322,12 15 15,41,1602643,108.96 108.96 135
12,1327,13 14 15,41,1602557,109.75 108.16 135
13,1328,13 15 14,41,1602383,109.75 108.96 134
14,1331,14 13 15,41,1602301,110.55 107.37 135
15,1332,14 14 14,41,1602213,110.55 108.16 134
16,1333,14 15 13,41,1601950,110.55 108.96 133
17,1336,15 12 15,41,1601874,111.34 106.57 135
18,1337,15 13 14,41,1601874,111.34 107.37 134
19,1338,15 14 13,41,1601697,111.34 108.16 133
20,1339,15 15 12,41,1601343,111.34 108.96 132
21,1335,15 15 11,41,1601343,111.34 108.96 132
22,1317,12 14 15,41,1590945,108.96 108.16 135
23,1312,11 15 15,41,1590945,108.16 108.96 135
24,1322,13 13 15,41,1590774,109.75 107.37 135
25,1318,12 15 14,41,1590771,108.96 108.96 134
26,1323,13 14 14,41,1590687,109.75 108.16 134
27,1326,14 12 15,41,1590432,110.55 106.57 135
28,1327,14 13 14,41,1590432,110.55 107.37 134
29,1324,13 15 13,41,1590425,109.75 108.96 133
30,1328,14 14 13,41,1590256,110.55 108.16 133
31,1332,15 12 14,41,1590009,111.34 106.57 134
32,1331,15 11 15,41,1589920,111.34 105.77 135
33,1333,15 13 13,41,1589920,111.34 107.37 133
34,1329,14 15 12,41,1589905,110.55 108.96 132
35,1325,14 15 11,41,1589905,110.55 108.96 132
36,1334,15 14 12,41,1589654,111.34 108.16 132
37,1330,15 14 11,41,1589654,111.34 108.16 132
38,1331,15 15 10,41,1589212,111.34 108.96 131
39,1307,11 14 15,41,1579332,108.16 108.16 135
40,1312,12 13 15,41,1579247,108.96 107.37 135
41,1303,10 15 15,41,1579247,107.37 108.96 135
42,1313,12 14 14,41,1579160,108.96 108.16 134
43,1308,11 15 14,41,1579160,108.16 108.96 134
44,1317,13 12 15,41,1578990,109.75 106.57 135
45,1318,13 13 14,41,1578990,109.75 107.37 134
46,1314,12 15 13,41,1578900,108.96 108.96 133
47,1319,13 14 13,41,1578816,109.75 108.16 133
48,1323,14 12 14,41,1578651,110.55 106.57 134
49,1321,14 11 15,41,1578563,110.55 105.77 135
50,1324,14 13 13,41,1578563,110.55 107.37 133
51,1320,13 15 12,41,1578467,109.75 108.96 132
52,1316,13 15 11,41,1578467,109.75 108.96 132
53,1324,14 14 12,41,1578300,110.55 108.16 132
54,1320,14 14 11,41,1578300,110.55 108.16 132
55,1327,15 11 14,41,1578143,111.34 105.77 134
56,1328,15 12 13,41,1578143,111.34 106.57 133
57,1326,15 10 15,41,1577966,111.34 104.98 135
58,1329,15 13 12,41,1577966,111.34 107.37 132
59,1325,15 13 11,41,1577966,111.34 107.37 132
60,1321,14 15 10,41,1577860,110.55 108.96 131
61,1326,15 14 10,41,1577612,111.34 108.16 131
62,1327,15 15 9,41,1577080,111.34 108.96 130
63,1303,11 13 15,41,1567719,108.16 107.37 135
64,1298,10 14 15,41,1567719,107.37 108.16 135
65,1304,11 14 14,41,1567633,108.16 108.16 134
66,1307,12 12 15,41,1567548,108.96 106.57 135
67,1293,9 15 15,41,1567548,106.57 108.96 135
68,1308,12 13 14,41,1567548,108.96 107.37 134
69,1299,10 15 14,41,1567548,107.37 108.96 134
70,1309,12 14 13,41,1567375,108.96 108.16 133
71,1305,11 15 13,41,1567375,108.16 108.96 133
72,1313,13 12 14,41,1567294,109.75 106.57 134
73,1312,13 11 15,41,1567207,109.75 105.77 135
74,1314,13 13 13,41,1567207,109.75 107.37 133
75,1310,12 15 12,41,1567028,108.96 108.96 132
76,1306,12 15 11,41,1567028,108.96 108.96 132
77,1315,13 14 12,41,1566945,109.75 108.16 132
78,1311,13 14 11,41,1566945,109.75 108.16 132
79,1318,14 11 14,41,1566870,110.55 105.77 134
80,1319,14 12 13,41,1566870,110.55 106.57 133
81,1317,14 10 15,41,1566695,110.55 104.98 135
82,1320,14 13 12,41,1566695,110.55 107.37 132
83,1316,14 13 11,41,1566695,110.55 107.37 132
84,1312,13 15 10,41,1566509,109.75 108.96 131
85,1323,15 11 13,41,1566366,111.34 105.77 133
86,1317,14 14 10,41,1566343,110.55 108.16 131
87,1322,15 10 14,41,1566277,111.34 104.98 134
88,1324,15 12 12,41,1566277,111.34 106.57 132
89,1320,15 12 11,41,1566277,111.34 106.57 132
90,1321,15 9 15,41,1566011,111.34 104.18 135
91,1321,15 13 10,41,1566011,111.34 107.37 131
92,1317,14 15 9,41,1565815,110.55 108.96 130
93,1322,15 14 9,41,1565569,111.34 108.16 130
94,1323,15 15 8,41,1564949,111.34 108.96 129
95,1293,10 13 15,41,1556192,107.37 107.37 135
96,1298,11 12 15,41,1556106,108.16 106.57 135
97,1288,9 14 15,41,1556106,106.57 108.16 135
98,1299,11 13 14,41,1556106,108.16 107.37 134
99,1294,10 14 14,41,1556106,107.37 108.16 134
100,1304,12 12 14,41,1555937,108.96 106.57 134
101,1289,9 15 14,41,1555937,106.57 108.96 134
102,1300,11 14 13,41,1555934,108.16 108.16 133
103,1302,12 11 15,41,1555850,108.96 105.77 135
104,1283,8 15 15,41,1555850,105.77 108.96 135
105,1304,12 13 13,41,1555850,108.96 107.37 133
106,1295,10 15 13,41,1555850,107.37 108.96 133
107,1308,13 11 14,41,1555598,109.75 105.77 134
108,1309,13 12 13,41,1555598,109.75 106.57 133
