rank,cp,ivs,maxlevel,stat-product,stats
1,1499,0 13 15,17.5,1811559,124.06 108.97 134
2,1500,0 14 14,17.5,1807261,124.06 109.53 133
3,1497,0 14 13,17.5,1807261,124.06 109.53 133
4,1500,1 13 13,17.5,1806140,124.62 108.97 133
5,1498,0 15 12,17.5,1802824,124.06 110.09 132
6,1495,0 12 15,17.5,1802269,124.06 108.41 134
7,1500,1 14 12,17.5,1801752,124.62 109.53 132
8,1498,1 11 15,17.5,1801056,124.62 107.85 134
9,1496,0 13 14,17.5,1798040,124.06 108.97 133
10,1493,0 13 13,17.5,1798040,124.06 108.97 133
11,1498,1 15 10,17.5,1797226,124.62 110.09 131
12,1499,1 12 14,17.5,1796877,124.62 108.41 133
13,1496,1 12 13,17.5,1796877,124.62 108.41 133
14,1499,2 11 13,17.5,1795631,125.18 107.85 133
15,1494,0 14 12,17.5,1793673,124.06 109.53 132
16,1492,0 11 15,17.5,1792979,124.06 107.85 134
17,1497,1 13 12,17.5,1792560,124.62 108.97 132
18,1494,1 10 15,17.5,1791724,124.62 107.3 134
19,1498,2 15 8,17.5,1791504,125.18 110.09 130
20,1499,2 12 12,17.5,1791364,125.18 108.41 132
21,1497,5 15 15,17,1790780,125.03 108.51 132
22,1497,2 9 15,17.5,1790385,125.18 106.74 134
23,1500,6 14 15,17,1789539,125.58 107.96 132
24,1494,0 15 11,17.5,1789166,124.06 110.09 131
25,1491,0 15 10,17.5,1789166,124.06 110.09 131
26,1500,0 14 1,18,1788994,125.82 111.08 128
27,1500,3 8 15,17.5,1788962,125.74 106.18 134
28,1492,0 12 14,17.5,1788820,124.06 108.41 133
29,1489,0 12 13,17.5,1788820,124.06 108.41 133
30,1500,0 8 8,18,1788423,125.82 107.68 132
31,1497,1 14 11,17.5,1788103,124.62 109.53 131
32,1494,1 14 10,17.5,1788103,124.62 109.53 131
33,1495,1 11 14,17.5,1787615,124.62 107.85 133
34,1492,1 11 13,17.5,1787615,124.62 107.85 133
35,1500,2 13 11,17.5,1786957,125.18 108.97 131
36,1497,2 13 10,17.5,1786957,125.18 108.97 131
37,1498,2 10 14,17.5,1786328,125.18 107.3 133
38,1495,2 10 13,17.5,1786328,125.18 107.3 133
39,1500,3 12 10,17.5,1785730,125.74 108.41 131
40,1498,3 15 6,17.5,1785660,125.74 110.09 129
41,1500,6 15 14,17,1785043,125.58 108.51 131
42,1497,6 15 13,17,1785043,125.58 108.51 131
43,1498,3 9 13,17.5,1784957,125.74 106.74 133
44,1499,0 12 3,18,1784573,125.82 109.95 129
45,1490,0 13 12,17.5,1784521,124.06 108.97 132
46,1498,0 2 15,18,1784430,125.82 104.28 136
47,1500,7 14 13,17,1783771,126.13 107.96 131
48,1488,0 10 15,17.5,1783689,124.06 107.3 134
49,1495,1 15 9,17.5,1783506,124.62 110.09 130
50,1492,1 15 8,17.5,1783506,124.62 110.09 130
51,1500,4 8 13,17.5,1783503,126.3 106.18 133
52,1493,1 12 12,17.5,1783367,124.62 108.41 132
53,1498,0 6 10,18,1783004,125.82 106.55 133
54,1490,4 15 15,17,1782891,124.48 108.51 132
55,1498,2 14 9,17.5,1782410,125.18 109.53 130
56,1494,2 14 8,17.5,1782410,125.18 109.53 130
57,1491,1 9 15,17.5,1782392,124.62 106.74 134
58,1496,2 11 12,17.5,1782130,125.18 107.85 132
59,1493,5 14 15,17,1781690,125.03 107.96 132
60,1500,3 13 9,17.5,1781233,125.74 108.97 130
61,1497,3 13 8,17.5,1781233,125.74 108.97 130
62,1493,2 8 15,17.5,1781011,125.18 106.18 134
63,1499,0 3 14,18,1780936,125.82 104.85 135
64,1498,3 10 12,17.5,1780811,125.74 107.3 132
65,1496,6 13 15,17,1780408,125.58 107.4 132
66,1491,0 14 11,17.5,1780084,124.06 109.53 131
67,1487,0 14 10,17.5,1780084,124.06 109.53 131
68,1500,4 12 8,17.5,1779974,126.3 108.41 130
69,1498,0 10 5,18,1779866,125.82 108.82 130
70,1500,0 13 2,18,1779866,125.82 110.52 128
71,1496,0 13 1,18,1779866,125.82 110.52 128
72,1488,0 11 14,17.5,1779599,124.06 107.85 133
73,1485,0 11 13,17.5,1779599,124.06 107.85 133
74,1496,3 7 15,17.5,1779546,125.74 105.62 134
75,1499,7 12 15,17,1779047,126.13 106.85 132
76,1499,0 7 9,18,1779011,125.82 107.12 132
77,1496,0 7 8,18,1779011,125.82 107.12 132
78,1493,1 13 11,17.5,1778980,124.62 108.97 131
79,1490,1 13 10,17.5,1778980,124.62 108.97 131
80,1499,1 12 1,18,1778715,126.39 109.95 128
81,1491,1 10 14,17.5,1778353,124.62 107.3 133
82,1488,1 10 13,17.5,1778353,124.62 107.3 133
83,1499,4 6 15,17.5,1777998,126.3 105.06 134
84,1496,2 12 11,17.5,1777793,125.18 108.41 131
85,1493,2 12 10,17.5,1777793,125.18 108.41 131
86,1495,2 15 7,17.5,1777723,125.18 110.09 129
87,1492,2 15 6,17.5,1777723,125.18 110.09 129
88,1499,1 6 8,18,1777569,126.39 106.55 132
89,1500,0 4 13,18,1777299,125.82 105.42 134
90,1497,0 4 12,18,1777299,125.82 105.42 134
91,1494,5 15 14,17,1777214,125.03 108.51 131
92,1491,5 15 13,17,1777214,125.03 108.51 131
93,1494,2 9 14,17.5,1777024,125.18 106.74 133
94,1491,2 9 13,17.5,1777024,125.18 106.74 133
95,1498,3 14 7,17.5,1776595,125.74 109.53 129
96,1495,3 14 6,17.5,1776595,125.74 109.53 129
97,1499,3 11 11,17.5,1776525,125.74 107.85 131
98,1496,3 11 10,17.5,1776525,125.74 107.85 131
99,1497,6 14 14,17,1775982,125.58 107.96 131
100,1493,6 14 13,17,1775982,125.58 107.96 131
101,1499,1 3 12,18,1775707,126.39 104.85 134
102,1497,3 8 14,17.5,1775612,125.74 106.18 133
103,1494,3 8 13,17.5,1775612,125.74 106.18 133
104,1488,0 15 9,17.5,1775509,124.06 110.09 130
105,1485,0 15 8,17.5,1775509,124.06 110.09 130
106,1497,4 13 6,17.5,1775387,126.3 108.97 129
107,1499,0 11 4,18,1775374,125.82 109.38 129
108,1495,0 11 3,18,1775374,125.82 109.38 129
109,1486,0 12 12,17.5,1775370,124.06 108.41 132
110,1499,4 10 10,17.5,1775175,126.3 107.3 131
111,1497,0 14 0,18,1775017,125.82 111.08 127
112,1484,3 15 15,17,1775002,123.93 108.51 132
113,1497,0 8 7,18,1774875,125.82 107.68 131
114,1494,0 1 15,18,1774732,125.82 103.72 136
115,1499,7 13 14,17,1774670,126.13 107.4 131
116,1496,7 13 13,17,1774670,126.13 107.4 131
117,1491,1 14 9,17.5,1774453,124.62 109.53 130
118,1488,1 14 8,17.5,1774453,124.62 109.53 130
119,1484,0 9 15,17.5,1774399,124.06 106.74 134
120,1489,1 11 12,17.5,1774174,124.62 107.85 132
121,1498,1 10 3,18,1774131,126.39 108.82 129
122,1500,4 7 14,17.5,1774116,126.3 105.62 133
123,1496,4 7 13,17.5,1774116,126.3 105.62 133
124,1500,5 12 6,17.5,1774098,126.85 108.41 129
125,1500,1 13 0,18,1773916,126.39 110.52 127
126,1487,4 14 15,17,1773841,124.48 107.96 132
127,1498,0 5 11,18,1773520,125.82 105.98 133
128,1494,0 5 10,18,1773520,125.82 105.98 133
129,1499,1 7 7,18,1773486,126.39 107.12 131
130,1494,2 13 9,17.5,1773316,125.18 108.97 130
131,1491,2 13 8,17.5,1773316,125.18 108.97 130
132,1499,8 12 13,17,1773279,126.68 106.85 131
133,1487,1 8 15,17.5,1773060,124.62 106.18 134
134,1497,1 0 15,18,1772985,126.39 103.15 136
135,1492,2 10 12,17.5,1772897,125.18 107.3 132
136,1489,5 13 15,17,1772600,125.03 107.4 132
137,1499,5 6 13,17.5,1772538,126.85 105.06 133
138,1497,3 12 9,17.5,1772098,125.74 108.41 130
139,1493,3 12 8,17.5,1772098,125.74 108.41 130
140,1500,1 4 11,18,1771982,126.39 105.42 133
141,1497,1 4 10,18,1771982,126.39 105.42 133
142,1495,3 15 5,17.5,1771817,125.74 110.09 128
143,1489,2 7 15,17.5,1771637,125.18 105.62 134
144,1494,3 9 12,17.5,1771536,125.74 106.74 132
145,1494,6 15 12,17,1771416,125.58 108.51 130
146,1495,0 2 14,18,1771309,125.82 104.28 135
147,1492,6 12 15,17,1771278,125.58 106.85 132
148,1487,0 13 11,17.5,1771002,124.06 108.97 131
149,1484,0 13 10,17.5,1771002,124.06 108.97 131
150,1499,4 11 9,17.5,1770799,126.3 107.85 130
151,1496,4 11 8,17.5,1770799,126.3 107.85 130
152,1496,0 12 2,18,1770739,125.82 109.95 128
153,1493,0 12 1,18,1770739,125.82 109.95 128
154,1498,4 14 5,17.5,1770658,126.3 109.53 128
155,1497,0 9 6,18,1770596,125.82 108.25 130
156,1494,0 9 5,18,1770596,125.82 108.25 130
157,1485,0 10 14,17.5,1770378,124.06 107.3 133
158,1482,0 10 13,17.5,1770378,124.06 107.3 133
159,1500,2 3 10,18,1770358,126.95 104.85 133
160,1497,7 14 12,17,1770154,126.13 107.96 130
161,1492,3 6 15,17.5,1770131,125.74 105.06 134
162,1497,4 8 12,17.5,1770093,126.3 106.18 132
163,1495,7 11 15,17,1769876,126.13 106.3 132
164,1490,1 12 11,17.5,1769857,124.62 108.41 131
165,1486,1 12 10,17.5,1769857,124.62 108.41 131
166,1488,1 15 7,17.5,1769787,124.62 110.09 129
167,1485,1 15 6,17.5,1769787,124.62 110.09 129
168,1498,1 1 14,18,1769618,126.39 103.72 135
169,1495,0 6 9,18,1769598,125.82 106.55 132
170,1492,0 6 8,18,1769598,125.82 106.55 132
171,1499,1 11 2,18,1769546,126.39 109.38 128
172,1495,1 11 1,18,1769546,126.39 109.38 128
173,1499,5 10 8,17.5,1769419,126.85 107.3 130
174,1487,4 15 14,17,1769384,124.48 108.51 131
175,1484,4 15 13,17,1769384,124.48 108.51 131
176,1500,1 8 6,18,1769260,126.39 107.68 130
177,1497,1 8 5,18,1769260,126.39 107.68 130
178,1487,1 9 14,17.5,1769091,124.62 106.74 133
179,1484,1 9 13,17.5,1769091,124.62 106.74 133
180,1500,8 13 12,17,1768813,126.68 107.4 130
181,1491,2 14 7,17.5,1768699,125.18 109.53 129
182,1488,2 14 6,17.5,1768699,125.18 109.53 129
183,1492,2 11 11,17.5,1768629,125.18 107.85 131
184,1489,2 11 10,17.5,1768629,125.18 107.85 131
185,1500,5 7 12,17.5,1768568,126.85 105.62 132
186,1495,4 5 15,17.5,1768541,126.3 104.5 134
187,1497,8 10 15,17,1768395,126.68 105.75 132
188,1498,2 10 1,18,1768272,126.95 108.82 128
189,1490,5 14 14,17,1768192,125.03 107.96 131
190,1487,5 14 13,17,1768192,125.03 107.96 131
191,1498,1 5 9,18,1768114,126.39 105.98 132
192,1495,1 5 8,18,1768114,126.39 105.98 132
193,1500,2 0 14,18,1767840,126.95 103.15 135
194,1500,2 7 5,18,1767840,126.95 107.12 130
195,1496,0 3 13,18,1767744,125.82 104.85 134
196,1493,0 3 12,18,1767744,125.82 104.85 134
197,1490,2 8 14,17.5,1767720,125.18 106.18 133
198,1487,2 8 13,17.5,1767720,125.18 106.18 133
199,1494,3 13 7,17.5,1767531,125.74 108.97 129
200,1491,3 13 6,17.5,1767531,125.74 108.97 129
201,1495,3 10 11,17.5,1767320,125.74 107.3 131
202,1492,3 10 10,17.5,1767320,125.74 107.3 131
203,1477,2 15 15,17,1767113,123.38 108.51 132
204,1493,6 13 14,17,1766920,125.58 107.4 131
205,1490,6 13 13,17,1766920,125.58 107.4 131
206,1497,5 4 15,17.5,1766867,126.85 103.94 134
207,1500,9 9 15,17,1766833,127.23 105.2 132
208,1497,2 4 8,18,1766545,126.95 105.42 132
209,1484,0 14 9,17.5,1766496,124.06 109.53 130
210,1481,0 14 8,17.5,1766496,124.06 109.53 130
211,1497,4 12 7,17.5,1766282,126.3 108.41 129
212,1494,4 12 6,17.5,1766282,126.3 108.41 129
213,1493,3 7 14,17.5,1766266,125.74 105.62 133
214,1490,3 7 13,17.5,1766266,125.74 105.62 133
215,1482,0 11 12,17.5,1766218,124.06 107.85 132
216,1495,0 10 4,18,1766175,125.82 108.82 129
217,1491,0 10 3,18,1766175,125.82 108.82 129
218,1498,1 2 13,18,1766108,126.39 104.28 134
219,1495,1 2 12,18,1766108,126.39 104.28 134
220,1480,3 14 15,17,1765992,123.93 107.96 132
221,1493,0 13 0,18,1765961,125.82 110.52 127
222,1498,4 9 11,17.5,1765929,126.3 106.74 131
223,1495,4 9 10,17.5,1765929,126.3 106.74 131
224,1499,4 15 4,17.5,1765788,126.3 110.09 127
225,1495,4 15 3,17.5,1765788,126.3 110.09 127
226,1495,7 12 14,17,1765569,126.13 106.85 131
227,1492,7 12 13,17,1765569,126.13 106.85 131
228,1493,0 7 7,18,1765533,125.82 107.12 131
229,1497,7 15 11,17,1765500,126.13 108.51 129
230,1494,7 15 10,17,1765500,126.13 108.51 129
231,1487,1 13 9,17.5,1765400,124.62 108.97 130
232,1484,1 13 8,17.5,1765400,124.62 108.97 130
233,1500,6 3 15,17.5,1765109,127.41 103.38 134
234,1480,0 8 15,17.5,1765109,124.06 106.18 134
235,1490,0 0 15,18,1765034,125.82 103.15 136
236,1485,1 10 12,17.5,1764982,124.62 107.3 132
237,1500,5 11 7,17.5,1764953,126.85 107.85 129
238,1496,5 11 6,17.5,1764953,126.85 107.85 129
239,1500,3 3 8,18,1764891,127.52 104.85 132
240,1498,1 9 4,18,1764891,126.39 108.25 129
241,1494,1 9 3,18,1764891,126.39 108.25 129
242,1496,1 12 0,18,1764819,126.39 109.95 127
243,1483,4 13 15,17,1764791,124.48 107.4 132
244,1496,4 6 14,17.5,1764729,126.3 105.06 133
245,1492,4 6 13,17.5,1764729,126.3 105.06 133
246,1498,5 14 3,17.5,1764598,126.85 109.53 127
247,1498,12 15 15,16.5,1764583,126.98 106.9 130
248,1497,5 8 10,17.5,1764457,126.85 106.18 131
249,1498,2 1 12,18,1764387,126.95 103.72 134
250,1490,2 12 9,17.5,1764222,125.18 108.41 130
251,1487,2 12 8,17.5,1764222,125.18 108.41 130
252,1500,8 14 11,17,1764208,126.68 107.96 129
253,1497,8 14 10,17,1764208,126.68 107.96 129
254,1498,8 11 14,17,1764138,126.68 106.3 131
255,1495,8 11 13,17,1764138,126.68 106.3 131
256,1495,1 6 7,18,1764103,126.39 106.55 131
257,1494,0 4 11,18,1764036,125.82 105.42 133
258,1490,0 4 10,18,1764036,125.82 105.42 133
259,1489,2 15 5,17.5,1763943,125.18 110.09 128
260,1483,1 7 15,17.5,1763728,124.62 105.62 134
261,1488,2 9 12,17.5,1763663,125.18 106.74 132
262,1488,5 15 12,17,1763647,125.03 108.51 130
263,1499,2 11 0,18,1763595,126.95 109.38 127
264,1499,6 10 6,17.5,1763543,127.41 107.3 129
265,1500,2 8 4,18,1763523,126.95 107.68 129
266,1497,2 8 3,18,1763523,126.95 107.68 129
267,1485,5 12 15,17,1763509,125.03 106.85 132
268,1500,13 14 15,16.5,1763128,127.52 106.36 130
269,1498,5 5 14,17.5,1763110,126.85 104.5 133
270,1495,5 5 13,17.5,1763110,126.85 104.5 133
271,1493,3 11 9,17.5,1762964,125.74 107.85 130
272,1490,3 11 8,17.5,1762964,125.74 107.85 130
273,1500,6 7 10,17.5,1762902,127.41 105.62 131
274,1500,9 13 10,17,1762839,127.23 107.4 129
275,1491,3 14 5,17.5,1762823,125.74 109.53 128
276,1498,9 10 13,17,1762628,127.23 105.75 131
277,1498,2 5 7,18,1762588,126.95 105.98 131
278,1496,1 3 11,18,1762455,126.39 104.85 133
279,1493,1 3 10,18,1762455,126.39 104.85 133
280,1490,6 14 12,17,1762424,125.58 107.96 130
281,1485,2 6 15,17.5,1762264,125.18 105.06 134
282,1491,3 8 12,17.5,1762261,125.74 106.18 132
283,1488,6 11 15,17,1762148,125.58 106.3 132
284,1500,3 7 3,18,1762073,127.52 107.12 129
285,1483,0 12 11,17.5,1761920,124.06 108.41 131
286,1480,0 12 10,17.5,1761920,124.06 108.41 131
287,1482,0 15 7,17.5,1761851,124.06 110.09 129
288,1478,0 15 6,17.5,1761851,124.06 110.09 129
289,1491,0 1 14,18,1761683,125.82 103.72 135
290,1495,4 10 9,17.5,1761624,126.3 107.3 130
291,1492,4 10 8,17.5,1761624,126.3 107.3 130
292,1494,4 13 5,17.5,1761624,126.3 108.97 128
293,1492,0 11 2,18,1761611,125.82 109.38 128
294,1489,0 11 1,18,1761611,125.82 109.38 128
295,1481,3 15 14,17,1761555,123.93 108.51 131
296,1478,3 15 13,17,1761555,123.93 108.51 131
297,1498,6 4 13,17.5,1761407,127.41 103.94 133
298,1493,0 8 6,18,1761326,125.82 107.68 130
299,1490,0 8 5,18,1761326,125.82 107.68 130
300,1481,0 9 14,17.5,1761157,124.06 106.74 133
301,1478,0 9 13,17.5,1761157,124.06 106.74 133
302,1493,7 13 12,17,1761123,126.13 107.4 130
303,1500,10 9 13,17,1761039,127.78 105.2 131
304,1485,1 14 7,17.5,1760803,124.62 109.53 129
305,1481,1 14 6,17.5,1760803,124.62 109.53 129
306,1499,2 2 11,18,1760789,126.95 104.28 133
307,1496,2 2 10,18,1760789,126.95 104.28 133
308,1493,4 7 12,17.5,1760777,126.3 105.62 132
309,1486,1 11 11,17.5,1760734,124.62 107.85 131
310,1483,1 11 10,17.5,1760734,124.62 107.85 131
