rank,cp,ivs,maxlevel,stat-product
1,1498,0 15 13,20,1824880
2,1498,0 13 15,20,1820689
3,1498,0 14 14,20,1815617
4,1495,0 14 13,20,1815617
5,1498,1 13 13,20,1815122
6,1494,0 12 15,20,1811353
7,1497,1 11 15,20,1810763
8,1495,0 15 12,20,1810397
9,1498,1 14 12,20,1809951
10,1500,5 15 14,19.5,1807996
11,1494,0 13 14,20,1806353
12,1491,0 13 13,20,1806353
13,1498,1 12 14,20,1805814
14,1494,1 12 13,20,1805814
15,1498,2 11 13,20,1805184
16,1499,1 15 11,20,1804632
17,1495,1 15 10,20,1804632
18,1498,2 14 10,20,1804145
19,1500,0 5 14,20.5,1803750
20,1490,0 11 15,20,1802016
21,1499,0 14 4,20.5,1801941
22,1493,1 10 15,20,1801381
23,1491,0 14 12,20,1801207
24,1494,1 13 12,20,1800716
25,1497,2 9 15,20,1800656
26,1498,2 12 12,20,1800136
27,1500,3 8 15,20,1799840
28,1496,4 15 15,19.5,1799428
29,1493,4 15 14,19.5,1799428
30,1500,0 6 13,20.5,1799228
31,1497,0 6 12,20.5,1799228
32,1498,0 9 9,20.5,1799153
33,1500,5 14 15,19.5,1798819
34,1496,5 14 14,19.5,1798819
35,1499,2 15 9,20,1798726
36,1495,2 15 8,20,1798726
37,1500,1 5 12,20.5,1798345
38,1498,3 14 8,20,1798199
39,1499,0 12 6,20.5,1798173
40,1499,6 13 14,19.5,1798123
41,1490,0 12 14,20,1797090
42,1487,0 12 13,20,1797090
43,1494,1 11 14,20,1796505
44,1490,1 11 13,20,1796505
45,1499,0 15 3,20.5,1796289
46,1491,0 15 11,20,1795914
47,1488,0 15 10,20,1795914
48,1497,2 10 14,20,1795831
49,1494,2 10 13,20,1795831
50,1495,1 14 11,20,1795471
51,1491,1 14 10,20,1795471
52,1500,3 9 14,20,1795066
53,1497,3 9 13,20,1795066
54,1498,2 13 11,20,1794940
55,1495,2 13 10,20,1794940
56,1497,0 7 11,20.5,1794556
57,1498,3 12 10,20,1794320
58,1500,4 8 13,20,1794212
59,1499,0 4 15,20.5,1794104
60,1496,0 4 14,20.5,1794104
61,1498,0 10 8,20.5,1794104
62,1500,1 6 11,20.5,1793726
63,1496,5 15 13,19.5,1793532
64,1499,1 3 14,20.5,1793120
65,1500,6 14 13,19.5,1792885
66,1499,0 13 5,20.5,1792747
67,1495,0 13 4,20.5,1792747
68,1498,3 15 7,20,1792680
69,1486,0 10 15,20,1792679
70,1499,1 12 4,20.5,1792212
71,1487,0 13 12,20,1792017
72,1490,1 9 15,20,1791999
73,1491,1 12 12,20,1791482
74,1493,2 8 15,20,1791228
75,1489,3 15 15,19.5,1790859
76,1486,3 15 14,19.5,1790859
77,1494,2 11 12,20,1790857
78,1496,3 7 15,20,1790367
79,1493,4 14 15,19.5,1790294
80,1489,4 14 14,19.5,1790294
81,1497,3 10 12,20,1790143
82,1499,1 15 1,20.5,1790092
83,1491,1 15 9,20,1790078
84,1488,1 15 8,20,1790078
85,1498,0 8 10,20.5,1789733
86,1494,0 8 9,20.5,1789733
87,1496,0 5 13,20.5,1789658
88,1493,0 5 12,20.5,1789658
89,1496,5 13 15,19.5,1789641
90,1492,5 13 14,19.5,1789641
91,1495,2 14 9,20,1789595
92,1491,2 14 8,20,1789595
93,1499,4 6 15,20,1789415
94,1500,4 9 12,20,1789340
95,1498,3 13 9,20,1789025
96,1494,3 13 8,20,1789025
97,1500,10 15 15,19,1788972
98,1497,1 7 9,20.5,1788956
99,1498,0 11 7,20.5,1788904
100,1495,0 11 6,20.5,1788904
101,1499,6 12 15,19.5,1788902
102,1496,6 12 14,19.5,1788902
103,1500,1 4 13,20.5,1788729
104,1496,1 4 12,20.5,1788729
105,1498,4 12 8,20,1788366
106,1498,1 10 6,20.5,1788274
107,1499,7 11 14,19.5,1788075
108,1487,0 11 14,20,1787827
109,1483,0 11 13,20,1787827
110,1499,2 3 12,20.5,1787706
111,1500,6 15 12,19.5,1787500
112,1496,6 15 11,19.5,1787500
113,1490,1 10 14,20,1787197
114,1486,1 10 13,20,1787197
115,1495,0 14 3,20.5,1787171
116,1500,7 14 11,19.5,1786815
117,1487,0 14 11,20,1786797
118,1484,0 14 10,20,1786797
119,1499,1 13 3,20.5,1786684
120,1498,4 15 5,20,1786493
121,1493,2 9 14,20,1786478
122,1490,2 9 13,20,1786478
123,1491,1 13 11,20,1786311
124,1487,1 13 10,20,1786311
125,1494,2 12 11,20,1785735
126,1491,2 12 10,20,1785735
127,1496,3 8 14,20,1785668
