rank,cp,ivs,maxlevel,stat-product
1,1497,1 15 15,15,1464321
2,1498,2 14 15,15,1460920
3,1492,0 15 15,15,1459374
4,1499,3 13 15,15,1457462
5,1493,1 14 15,15,1456001
6,1499,2 15 14,15,1455275
7,1499,4 12 15,15,1453949
8,1494,2 13 15,15,1452572
9,1499,3 14 14,15,1451878
10,1488,0 14 15,15,1451082
11,1500,5 11 15,15,1450379
12,1494,1 15 14,15,1450375
13,1494,3 12 15,15,1449086
14,1500,4 13 14,15,1448426
15,1499,0 13 6,15.5,1448264
16,1500,0 8 12,15.5,1448020
17,1489,1 13 15,15,1447681
18,1494,2 14 14,15,1447006
19,1500,3 15 13,15,1446135
20,1496,3 15 12,15,1446135
21,1498,0 11 8,15.5,1445653
22,1495,4 11 15,15,1445545
23,1489,0 15 14,15,1445475
24,1500,1 12 6,15.5,1444822
25,1498,0 6 14,15.5,1444511
26,1500,1 7 12,15.5,1444331
27,1489,2 12 15,15,1444223
28,1495,3 13 14,15,1443582
29,1484,0 13 15,15,1442790
30,1497,4 14 12,15,1442743
31,1500,0 9 11,15.5,1442715
32,1497,0 9 10,15.5,1442715
33,1499,0 14 5,15.5,1442307
34,1489,1 14 14,15,1442134
35,1498,1 10 8,15.5,1442120
36,1496,5 10 15,15,1441947
37,1499,5 15 10,15,1441706
38,1500,2 11 6,15.5,1441324
39,1495,2 15 13,15,1441282
40,1491,2 15 12,15,1441282
41,1499,1 5 14,15.5,1440728
42,1490,3 11 15,15,1440710
43,1496,4 12 14,15,1440102
44,1498,0 12 7,15.5,1439941
45,1494,0 12 6,15.5,1439941
46,1499,0 7 13,15.5,1439451
47,1495,0 7 12,15.5,1439451
48,1484,1 12 15,15,1439361
49,1498,5 13 12,15,1439296
50,1497,1 8 10,15.5,1439091
51,1500,1 13 5,15.5,1438927
52,1490,2 13 14,15,1438738
53,1499,2 9 8,15.5,1438530
54,1496,6 9 15,15,1438293
55,1499,6 14 10,15,1438293
56,1496,3 14 13,15,1437918
57,1492,3 14 12,15,1437918
58,1484,0 14 14,15,1437262
59,1497,0 10 9,15.5,1437248
60,1493,0 10 8,15.5,1437248
61,1491,4 10 15,15,1437140
62,1497,4 15 11,15,1436900
63,1494,4 15 10,15,1436900
64,1499,2 4 14,15.5,1436887
65,1496,5 11 14,15,1436566
66,1499,1 11 7,15.5,1436471
67,1495,1 11 6,15.5,1436471
68,1490,1 15 13,15,1436429
69,1486,1 15 12,15,1436429
70,1500,0 15 4,15.5,1436187
71,1496,0 15 3,15.5,1436187
72,1485,2 11 15,15,1435875
73,1497,0 5 15,15.5,1435861
74,1494,0 5 14,15.5,1435861
75,1498,6 12 12,15,1435795
76,1500,1 6 13,15.5,1435734
77,1496,1 6 12,15.5,1435734
78,1496,11 15 15,14.5,1435482
79,1498,2 7 10,15.5,1435408
80,1491,3 12 14,15,1435285
81,1500,3 8 8,15.5,1434883
82,1500,7 13 10,15,1434825
83,1497,7 8 15,15,1434582
84,1496,4 13 13,15,1434499
85,1493,4 13 12,15,1434499
86,1479,0 12 15,15,1434498
87,1496,0 8 11,15.5,1434229
88,1492,0 8 10,15.5,1434229
89,1495,0 13 5,15.5,1434066
90,1485,1 13 14,15,1433893
91,1498,1 9 9,15.5,1433687
92,1494,1 9 8,15.5,1433687
93,1491,5 9 15,15,1433514
94,1498,5 14 11,15,1433514
95,1494,5 14 10,15,1433514
96,1491,2 14 13,15,1433093
97,1487,2 14 12,15,1433093
98,1500,3 3 14,15.5,1432987
99,1497,6 10 14,15,1432975
100,1500,2 10 7,15.5,1432944
101,1496,2 10 6,15.5,1432944
102,1500,1 14 4,15.5,1432868
103,1496,1 14 3,15.5,1432868
104,1486,3 10 15,15,1432334
105,1500,6 15 9,15,1432330
106,1496,6 15 8,15,1432330
107,1499,7 11 12,15,1432238
108,1492,3 15 11,15,1432094
109,1489,3 15 10,15,1432094
110,1498,1 4 15,15.5,1432049
111,1494,1 4 14,15.5,1432049
112,1497,12 14 15,14.5,1431990
113,1500,2 5 13,15.5,1431958
114,1496,2 5 12,15.5,1431958
115,1491,4 11 14,15,1431777
116,1498,3 6 10,15.5,1431669
117,1494,0 11 7,15.5,1431618
118,1490,0 11 6,15.5,1431618
