rank,cp,ivs,maxlevel,stat-product
1,1499,10 15 13,16.5,1880233
2,1498,10 13 15,16.5,1877965
3,1499,11 15 11,16.5,1874137
4,1499,11 13 13,16.5,1871990
5,1498,10 14 14,16.5,1871876
6,1495,10 14 13,16.5,1871876
7,1498,11 11 15,16.5,1869582
8,1495,10 12 15,16.5,1869544
9,1499,12 13 11,16.5,1865883
10,1499,11 14 12,16.5,1865808
11,1496,11 14 11,16.5,1865808
12,1495,10 15 12,16.5,1865657
13,1492,10 15 11,16.5,1865657
14,1499,12 11 13,16.5,1863595
15,1498,11 12 14,16.5,1863595
16,1495,11 12 13,16.5,1863595
17,1495,10 13 14,16.5,1863519
18,1492,10 13 13,16.5,1863519
19,1495,11 10 15,16.5,1861123
20,1491,10 11 15,16.5,1861123
21,1499,12 14 10,16.5,1859608
22,1496,11 15 10,16.5,1859496
23,1499,12 12 12,16.5,1857516
24,1496,12 12 11,16.5,1857516
25,1499,13 11 11,16.5,1857478
26,1496,11 13 12,16.5,1857478
27,1492,11 13 11,16.5,1857478
28,1492,10 14 12,16.5,1857365
29,1489,10 14 11,16.5,1857365
30,1495,11 11 14,16.5,1855201
31,1492,11 11 13,16.5,1855201
32,1498,12 10 14,16.5,1855163
33,1495,12 10 13,16.5,1855163
34,1492,10 12 14,16.5,1855163
35,1489,10 12 13,16.5,1855163
36,1488,10 10 15,16.5,1852701
37,1499,13 12 10,16.5,1851306
38,1496,12 13 10,16.5,1851306
39,1493,11 14 10,16.5,1851231
40,1489,10 15 10,16.5,1851082
41,1492,15 15 15,16,1850263
42,1496,12 11 12,16.5,1849149
43,1492,12 11 11,16.5,1849149
44,1492,11 12 12,16.5,1849149
45,1489,11 12 11,16.5,1849149
46,1499,13 10 12,16.5,1849074
47,1496,13 10 11,16.5,1849074
48,1489,10 13 12,16.5,1849074
49,1486,10 13 11,16.5,1849074
50,1492,11 10 14,16.5,1846806
51,1489,11 10 13,16.5,1846806
52,1488,10 11 14,16.5,1846806
53,1485,10 11 13,16.5,1846806
54,1493,12 12 10,16.5,1843004
55,1496,13 11 10,16.5,1842967
56,1489,11 13 10,16.5,1842967
57,1499,14 10 10,16.5,1842855
58,1486,10 14 10,16.5,1842855
59,1489,15 14 15,16,1842040
60,1486,14 15 15,16,1842040
61,1489,11 11 12,16.5,1840819
62,1486,11 11 11,16.5,1840819
63,1492,12 10 12,16.5,1840782
64,1489,12 10 11,16.5,1840782
65,1485,10 12 12,16.5,1840782
66,1482,10 12 11,16.5,1840782
67,1485,10 10 14,16.5,1838450
68,1482,10 10 13,16.5,1838450
69,1489,15 15 14,16,1835808
70,1486,15 15 13,16,1835808
71,1489,12 11 10,16.5,1834702
72,1486,11 12 10,16.5,1834702
73,1493,13 10 10,16.5,1834628
74,1482,10 13 10,16.5,1834628
75,1482,14 14 15,16,1833853
76,1486,15 13 15,16,1833816
77,1479,13 15 15,16,1833816
78,1485,11 10 12,16.5,1832490
79,1482,11 10 11,16.5,1832490
80,1482,10 11 12,16.5,1832490
81,1479,10 11 11,16.5,1832490
82,1486,15 14 14,16,1827649
83,1483,15 14 13,16,1827649
84,1483,14 15 14,16,1827649
85,1480,14 15 13,16,1827649
86,1482,11 11 10,16.5,1826438
87,1486,12 10 10,16.5,1826401
88,1479,10 12 10,16.5,1826401
89,1479,14 13 15,16,1825666
90,1476,13 14 15,16,1825666
91,1482,15 12 15,16,1825593
92,1473,12 15 15,16,1825593
93,1479,10 10 12,16.5,1824198
94,1476,10 10 11,16.5,1824198
95,1483,15 15 12,16,1821353
96,1480,15 15 11,16,1821353
97,1479,14 14 14,16,1819526
98,1476,14 14 13,16,1819526
99,1483,15 13 14,16,1819490
100,1480,15 13 13,16,1819490
101,1476,13 15 14,16,1819490
102,1473,13 15 13,16,1819490
103,1479,11 10 10,16.5,1818174
104,1476,10 11 10,16.5,1818174
105,1473,13 13 15,16,1817516
106,1476,14 12 15,16,1817479
107,1469,12 14 15,16,1817479
108,1479,15 11 15,16,1817370
109,1466,11 15 15,16,1817370
110,1480,15 14 12,16,1813258
111,1477,15 14 11,16,1813258
112,1476,14 15 12,16,1813258
113,1473,14 15 11,16,1813258
114,1476,14 13 14,16,1811403
115,1473,14 13 13,16,1811403
116,1473,13 14 14,16,1811403
117,1470,13 14 13,16,1811403
118,1479,15 12 14,16,1811331
119,1476,15 12 13,16,1811331
120,1469,12 15 14,16,1811331
121,1466,12 15 13,16,1811331
122,1472,10 10 10,16.5,1809947
123,1469,13 12 15,16,1809365
124,1466,12 13 15,16,1809365
125,1473,14 11 15,16,1809292
126,1463,11 14 15,16,1809292
127,1476,15 10 15,16,1809146
128,1459,10 15 15,16,1809146
129,1477,15 15 10,16,1806898
130,1473,14 14 12,16,1805199
131,1470,14 14 11,16,1805199
132,1476,15 13 12,16,1805163
133,1473,15 13 11,16,1805163
134,1470,13 15 12,16,1805163
135,1467,13 15 11,16,1805163
136,1469,13 13 14,16,1803316
137,1466,13 13 13,16,1803316
138,1473,14 12 14,16,1803280
139,1470,14 12 13,16,1803280
140,1466,12 14 14,16,1803280
141,1463,12 14 13,16,1803280
142,1476,15 11 14,16,1803171
143,1463,11 15 14,16,1803171
144,1473,15 11 13,16,1803171
145,1460,11 15 13,16,1803171
146,1463,12 12 15,16,1801252
147,1466,13 11 15,16,1801215
148,1459,11 13 15,16,1801215
149,1469,14 10 15,16,1801106
150,1456,10 14 15,16,1801106
151,1474,15 14 10,16,1798867
152,1470,14 15 10,16,1798867
153,1470,14 13 12,16,1797140
154,1467,14 13 11,16,1797140
155,1467,13 14 12,16,1797140
156,1464,13 14 11,16,1797140
157,1473,15 12 12,16,1797068
158,1470,15 12 11,16,1797068
159,1463,12 15 12,16,1797068
160,1460,12 15 11,16,1797068
161,1466,13 12 14,16,1795230
162,1463,13 12 13,16,1795230
163,1463,12 13 14,16,1795230
164,1460,12 13 13,16,1795230
165,1469,14 11 14,16,1795157
166,1466,14 11 13,16,1795157
167,1460,11 14 14,16,1795157
168,1457,11 14 13,16,1795157
169,1473,15 10 14,16,1795012
170,1470,15 10 13,16,1795012
171,1456,10 15 14,16,1795012
172,1456,11 12 15,16,1793138
173,1459,12 11 15,16,1793138
174,1463,13 10 15,16,1793065
175,1467,14 14 10,16,1790872
176,1470,15 13 10,16,1790836
177,1464,13 15 10,16,1790836
178,1463,13 13 12,16,1789117
179,1460,13 13 11,16,1789117
180,1467,14 12 12,16,1789081
181,1463,14 12 11,16,1789081
182,1460,12 14 12,16,1789081
183,1457,12 14 11,16,1789081
184,1470,15 11 12,16,1788973
185,1467,15 11 11,16,1788973
186,1457,11 15 12,16,1788973
187,1460,12 12 14,16,1787179
188,1457,12 12 13,16,1787179
189,1463,13 11 14,16,1787143
190,1460,13 11 13,16,1787143
191,1456,11 13 14,16,1787143
192,1466,14 10 14,16,1787034
193,1463,14 10 13,16,1787034
194,1456,12 10 15,16,1785024
195,1464,14 13 10,16,1782877
196,1460,13 14 10,16,1782877
197,1467,15 12 10,16,1782806
198,1457,12 15 10,16,1782806
199,1460,13 12 12,16,1781094
200,1457,13 12 11,16,1781094
201,1457,12 13 12,16,1781094
