rank,cp,ivs,maxlevel,stat-product
1,1493,0 15 14,22,1760831
2,1497,0 15 15,22,1760831
3,1497,1 14 14,22,1759825
4,1500,2 13 14,22,1758723
5,1499,0 12 10,22.5,1756659
6,1500,0 15 7,22.5,1756577
7,1497,1 15 13,22,1755043
8,1500,2 14 13,22,1753998
9,1499,0 13 9,22.5,1751873
10,1499,0 10 12,22.5,1751387
11,1489,0 14 14,22,1751156
12,1493,0 14 15,22,1751156
13,1493,1 13 14,22,1750102
14,1496,1 13 15,22,1750102
15,1497,0 7 15,22.5,1749927
16,1497,2 15 11,22,1749113
17,1500,2 15 12,22,1749113
18,1496,2 12 14,22,1748953
19,1500,2 12 15,22,1748953
20,1499,5 15 15,21.5,1748941
21,1500,1 6 15,22.5,1748483
22,1500,3 14 11,22,1748029
23,1499,3 11 14,22,1747707
24,1496,0 14 7,22.5,1746926
25,1500,0 14 8,22.5,1746926
26,1495,0 11 10,22.5,1746845
27,1499,0 11 11,22.5,1746845
28,1490,0 15 13,22,1746398
29,1499,1 13 7,22.5,1745875
30,1498,0 8 14,22.5,1745790
31,1498,1 10 10,22.5,1745630
32,1493,1 14 13,22,1745400
33,1496,2 13 13,22,1744308
34,1499,3 12 13,22,1743120
35,1496,3 15 9,22,1743040
36,1500,3 15 10,22,1743040
37,1499,6 15 13,21.5,1742866
38,1495,0 12 9,22.5,1742141
39,1499,4 14 9,22,1741918
40,1496,0 15 6,22.5,1741816
41,1494,0 9 12,22.5,1741492
42,1498,0 9 13,22.5,1741492
43,1485,0 13 14,22,1741481
44,1489,0 13 15,22,1741481
45,1498,1 11 9,22.5,1740984
46,1499,1 14 6,22.5,1740821
47,1489,1 15 11,22,1740539
48,1493,1 15 12,22,1740539
49,1492,4 15 15,21.5,1740492
50,1488,1 12 14,22,1740379
51,1492,1 12 15,22,1740379
52,1497,1 8 12,22.5,1740169
53,1493,0 6 15,22.5,1739870
54,1492,2 14 11,22,1739502
55,1496,2 14 12,22,1739502
56,1495,5 14 15,21.5,1739331
57,1492,2 11 14,22,1739182
58,1495,2 11 15,22,1739182
59,1496,1 5 15,22.5,1738376
60,1496,3 13 11,22,1738372
61,1500,3 13 12,22,1738372
62,1498,6 13 15,21.5,1738078
63,1495,3 10 14,22,1737889
64,1499,3 10 15,22,1737889
65,1491,0 13 7,22.5,1737274
66,1495,0 13 8,22.5,1737274
67,1499,4 12 11,22,1737147
68,1491,0 10 10,22.5,1737031
69,1495,0 10 11,22.5,1737031
70,1499,4 15 8,22,1736823
71,1486,0 14 13,22,1736802
72,1499,2 4 15,22.5,1736783
73,1498,4 9 14,22,1736500
74,1500,0 9 5,23,1736427
75,1500,0 12 2,23,1736344
76,1495,1 12 7,22.5,1736175
77,1499,1 12 8,22.5,1736175
78,1493,0 7 14,22.5,1735814
79,1494,1 9 10,22.5,1735768
80,1498,1 9 11,22.5,1735768
81,1489,1 13 13,22,1735757
82,1495,1 15 4,22.5,1735605
83,1499,1 15 5,22.5,1735605
84,1499,0 6 8,23,1735515
85,1498,2 11 7,22.5,1734981
86,1492,2 12 13,22,1734617
87,1498,2 14 4,22.5,1734571
88,1489,2 15 9,22,1734537
89,1493,2 15 10,22,1734537
90,1492,5 15 13,21.5,1734487
91,1496,5 15 14,21.5,1734487
92,1497,2 8 10,22.5,1734408
93,1497,1 6 14,22.5,1734382
94,1497,0 3 11,23,1733608
95,1492,3 14 9,22,1733462
96,1496,3 14 10,22,1733462
97,1495,3 11 13,22,1733382
98,1495,6 14 13,21.5,1733290
99,1499,6 14 14,21.5,1733290
100,1500,3 7 10,22.5,1732950
101,1500,2 5 14,22.5,1732851
