rank,cp,ivs,maxlevel,stat-product,stats
1,1486,15 15 15,41,1839098,120.09 66.01 232
2,1484,15 15 14,41,1831171,120.09 66.01 231
3,1477,14 15 15,41,1826919,119.3 66.01 232
4,1481,15 15 13,41,1823244,120.09 66.01 230
5,1474,14 15 14,41,1819044,119.3 66.01 231
6,1477,15 14 15,41,1816940,120.09 65.21 232
7,1479,15 15 12,41,1815317,120.09 66.01 229
8,1476,15 15 11,41,1815317,120.09 66.01 229
9,1467,13 15 15,41,1814739,118.5 66.01 232
10,1471,14 15 13,41,1811169,119.3 66.01 230
11,1475,15 14 14,41,1809109,120.09 65.21 231
12,1474,15 15 10,41,1807389,120.09 66.01 228
13,1464,13 15 14,41,1806917,118.5 66.01 231
14,1468,14 14 15,41,1804907,119.3 65.21 232
15,1469,14 15 12,41,1803295,119.3 66.01 229
16,1466,14 15 11,41,1803295,119.3 66.01 229
17,1457,12 15 15,41,1802560,117.7 66.01 232
18,1472,15 14 13,41,1801277,120.09 65.21 230
19,1471,15 15 9,41,1799462,120.09 66.01 227
20,1462,13 15 13,41,1799095,118.5 66.01 230
21,1465,14 14 14,41,1797128,119.3 65.21 231
22,1464,14 15 10,41,1795420,119.3 66.01 228
23,1454,12 15 14,41,1794790,117.7 66.01 231
24,1468,15 13 15,41,1794782,120.09 64.42 232
25,1470,15 14 12,41,1793445,120.09 65.21 229
26,1467,15 14 11,41,1793445,120.09 65.21 229
27,1458,13 14 15,41,1792875,118.5 65.21 232
28,1468,15 15 8,41,1791535,120.09 66.01 226
29,1459,13 15 12,41,1791273,118.5 66.01 229
30,1457,13 15 11,41,1791273,118.5 66.01 229
31,1447,11 15 15,41,1790380,116.91 66.01 232
32,1463,14 14 13,41,1789348,119.3 65.21 230
33,1461,14 15 9,41,1787545,119.3 66.01 227
34,1466,15 13 14,41,1787046,120.09 64.42 231
35,1452,12 15 13,41,1787020,117.7 66.01 230
36,1465,15 14 10,41,1785614,120.09 65.21 228
37,1455,13 14 14,41,1785147,118.5 65.21 231
38,1466,15 15 7,41,1783608,120.09 66.01 225
39,1463,15 15 6,41,1783608,120.09 66.01 225
40,1454,13 15 10,41,1783450,118.5 66.01 228
41,1459,14 13 15,41,1782896,119.3 64.42 232
42,1444,11 15 14,41,1782663,116.91 66.01 231
43,1460,14 14 12,41,1781568,119.3 65.21 229
44,1457,14 14 11,41,1781568,119.3 65.21 229
45,1448,12 14 15,41,1780842,117.7 65.21 232
46,1459,14 15 8,41,1779671,119.3 66.01 226
47,1463,15 13 13,41,1779310,120.09 64.42 230
48,1449,12 15 12,41,1779251,117.7 66.01 229
49,1447,12 15 11,41,1779251,117.7 66.01 229
50,1437,10 15 15,41,1778201,116.11 66.01 232
51,1462,15 14 9,41,1777782,120.09 65.21 227
52,1453,13 14 13,41,1777419,118.5 65.21 230
53,1461,15 15 5,41,1775681,120.09 66.01 224
54,1452,13 15 9,41,1775628,118.5 66.01 227
55,1456,14 13 14,41,1775211,119.3 64.42 231
56,1442,11 15 13,41,1774946,116.91 66.01 230
57,1455,14 14 10,41,1773788,119.3 65.21 228
58,1446,12 14 14,41,1773166,117.7 65.21 231
59,1459,15 12 15,41,1772625,120.09 63.62 232
60,1456,14 15 7,41,1771796,119.3 66.01 225
61,1454,14 15 6,41,1771796,119.3 66.01 225
62,1461,15 13 12,41,1771574,120.09 64.42 229
63,1458,15 13 11,41,1771574,120.09 64.42 229
64,1444,12 15 10,41,1771481,117.7 66.01 228
65,1449,13 13 15,41,1771010,118.5 64.42 232
66,1435,10 15 14,41,1770536,116.11 66.01 231
67,1460,15 14 8,41,1769950,120.09 65.21 226
68,1450,13 14 12,41,1769691,118.5 65.21 229
69,1448,13 14 11,41,1769691,118.5 65.21 229
70,1438,11 14 15,41,1768809,116.91 65.21 232
71,1449,13 15 8,41,1767806,118.5 66.01 226
72,1458,15 15 4,41,1767754,120.09 66.01 223
73,1454,14 13 13,41,1767527,119.3 64.42 230
74,1440,11 15 12,41,1767229,116.91 66.01 229
75,1437,11 15 11,41,1767229,116.91 66.01 229
76,1427,9 15 15,41,1766021,115.32 66.01 232
77,1452,14 14 9,41,1766009,119.3 65.21 227
78,1443,12 14 13,41,1765490,117.7 65.21 230
79,1457,15 12 14,41,1764984,120.09 63.62 231
80,1451,14 15 5,41,1763921,119.3 66.01 224
81,1456,15 13 10,41,1763838,120.09 64.42 228
82,1442,12 15 9,41,1763711,117.7 66.01 227
83,1446,13 13 14,41,1763377,118.5 64.42 231
84,1432,10 15 13,41,1762871,116.11 66.01 230
85,1457,15 14 7,41,1762119,120.09 65.21 225
86,1454,15 14 6,41,1762119,120.09 65.21 225
87,1445,13 14 10,41,1761963,118.5 65.21 228
88,1436,11 14 14,41,1761185,116.91 65.21 231
89,1450,14 12 15,41,1760885,119.3 63.62 232
90,1446,13 15 7,41,1759984,118.5 66.01 225
91,1444,13 15 6,41,1759984,118.5 66.01 225
92,1451,14 13 12,41,1759842,119.3 64.42 229
93,1449,14 13 11,41,1759842,119.3 64.42 229
94,1455,15 15 3,41,1759827,120.09 66.01 222
95,1435,11 15 10,41,1759512,116.91 66.01 228
96,1439,12 13 15,41,1759124,117.7 64.42 232
97,1425,9 15 14,41,1758409,115.32 66.01 231
98,1450,14 14 8,41,1758229,119.3 65.21 226
99,1441,12 14 12,41,1757814,117.7 65.21 229
100,1438,12 14 11,41,1757814,117.7 65.21 229
101,1454,15 12 13,41,1757343,120.09 63.62 230
102,1428,10 14 15,41,1756777,116.11 65.21 232
103,1453,15 13 9,41,1756102,120.09 64.42 227
104,1448,14 15 4,41,1756047,119.3 66.01 223
105,1439,12 15 8,41,1755942,117.7 66.01 226
106,1444,13 13 13,41,1755743,118.5 64.42 230
107,1430,10 15 12,41,1755207,116.11 66.01 229
108,1427,10 15 11,41,1755207,116.11 66.01 229
109,1452,15 14 5,41,1754287,120.09 65.21 224
110,1443,13 14 9,41,1754235,118.5 65.21 227
111,1417,8 15 15,41,1753842,114.52 66.01 232
112,1433,11 14 13,41,1753561,116.91 65.21 230
113,1447,14 12 14,41,1753295,119.3 63.62 231
114,1441,13 15 5,41,1752162,118.5 66.01 224
115,1446,14 13 10,41,1752157,119.3 64.42 228
116,1453,15 15 2,41,1751899,120.09 66.01 221
117,1450,15 15 1,41,1751899,120.09 66.01 221
118,1432,11 15 9,41,1751794,116.91 66.01 227
119,1437,12 13 14,41,1751542,117.7 64.42 231
120,1422,9 15 13,41,1750797,115.32 66.01 230
121,1450,15 11 15,41,1750467,120.09 62.83 232
122,1447,14 14 7,41,1750449,119.3 65.21 225
123,1445,14 14 6,41,1750449,119.3 65.21 225
124,1436,12 14 10,41,1750138,117.7 65.21 228
125,1452,15 12 12,41,1749703,120.09 63.62 229
126,1449,15 12 11,41,1749703,120.09 63.62 229
127,1426,10 14 14,41,1749204,116.11 65.21 231
128,1440,13 12 15,41,1749146,118.5 63.62 232
129,1451,15 13 8,41,1748366,120.09 64.42 226
130,1437,12 15 7,41,1748172,117.7 66.01 225
131,1434,12 15 6,41,1748172,117.7 66.01 225
132,1446,14 15 3,41,1748172,119.3 66.01 222
133,1441,13 13 12,41,1748109,118.5 64.42 229
134,1439,13 13 11,41,1748109,118.5 64.42 229
135,1425,10 15 10,41,1747542,116.11 66.01 228
136,1429,11 13 15,41,1747238,116.91 64.42 232
137,1440,13 14 8,41,1746507,118.5 65.21 226
138,1449,15 14 4,41,1746455,120.09 65.21 223
139,1415,8 15 14,41,1746282,114.52 66.01 231
140,1431,11 14 12,41,1745937,116.91 65.21 229
141,1428,11 14 11,41,1745937,116.91 65.21 229
142,1445,14 12 13,41,1745705,119.3 63.62 230
143,1419,9 14 15,41,1744744,115.32 65.21 232
144,1444,14 13 9,41,1744472,119.3 64.42 227
145,1439,13 15 4,41,1744340,118.5 66.01 223
146,1430,11 15 8,41,1744077,116.91 66.01 226
147,1448,15 15 0,41,1743972,120.09 66.01 220
148,1434,12 13 13,41,1743960,117.7 64.42 230
149,1420,9 15 12,41,1743185,115.32 66.01 229
150,1417,9 15 11,41,1743185,115.32 66.01 229
151,1448,15 11 14,41,1742922,120.09 62.83 231
152,1442,14 14 5,41,1742669,119.3 65.21 224
153,1433,12 14 9,41,1742462,117.7 65.21 227
154,1447,15 12 10,41,1742062,120.09 63.62 228
155,1408,7 15 15,41,1741662,113.73 66.01 232
156,1424,10 14 13,41,1741632,116.11 65.21 230
157,1437,13 12 14,41,1741607,118.5 63.62 231
158,1448,15 13 7,41,1740629,120.09 64.42 225
159,1446,15 13 6,41,1740629,120.09 64.42 225
160,1436,13 13 10,41,1740476,118.5 64.42 228
161,1432,12 15 5,41,1740402,117.7 66.01 224
162,1443,14 15 2,41,1740297,119.3 66.01 221
163,1441,14 15 1,41,1740297,119.3 66.01 221
164,1422,10 15 9,41,1739877,116.11 66.01 227
165,1427,11 13 14,41,1739707,116.91 64.42 231
166,1440,14 11 15,41,1738874,119.3 62.83 232
167,1438,13 14 7,41,1738779,118.5 65.21 225
168,1435,13 14 6,41,1738779,118.5 65.21 225
169,1413,8 15 13,41,1738722,114.52 66.01 230
170,1447,15 14 3,41,1738624,120.09 65.21 222
171,1426,11 14 10,41,1738313,116.91 65.21 228
172,1442,14 12 12,41,1738115,119.3 63.62 229
173,1440,14 12 11,41,1738115,119.3 63.62 229
174,1430,12 12 15,41,1737407,117.7 63.62 232
