rank,cp,ivs,maxlevel,stat-product,stats
1,1493,0 15 15,40.5,1632319,136.42 84.86 141
2,1497,1 15 14,40.5,1630165,137.21 84.86 140
3,1497,0 15 14,41,1629679,136.79 85.1 140
4,1499,2 15 15,40,1627964,137.51 84.56 140
5,1497,1 15 12,41,1627446,137.59 85.1 139
6,1494,1 14 15,40.5,1626465,137.21 84.07 141
7,1494,0 14 15,41,1625980,136.79 84.3 141
8,1497,3 15 15,39.5,1625630,137.81 84.26 140
9,1499,3 15 13,40,1625625,138.3 84.56 139
10,1499,2 14 14,40.5,1624265,138 84.07 140
11,1498,1 14 14,41,1623835,137.59 84.3 140
12,1498,2 14 12,41,1621555,138.38 84.3 139
13,1496,2 13 15,40.5,1620434,138 83.28 141
14,1495,1 13 15,41,1620005,137.59 83.51 141
15,1499,4 14 15,39.5,1619640,138.6 83.47 140
16,1491,1 15 15,40,1618608,136.72 84.56 140
17,1493,1 15 13,40.5,1618521,137.21 84.86 139
18,1500,3 13 14,40.5,1618188,138.8 83.28 140
19,1492,0 15 13,41,1618039,136.79 85.1 139
20,1488,0 15 12,41,1618039,136.79 85.1 139
21,1500,2 13 14,41,1617813,138.38 83.51 140
22,1495,2 15 14,40,1616336,137.51 84.56 139
23,1491,2 15 13,40,1616336,137.51 84.56 139
24,1497,2 15 12,40.5,1616165,138 84.86 138
25,1493,2 15 11,40.5,1616165,138 84.86 138
26,1493,1 15 11,41,1615737,137.59 85.1 138
27,1500,3 13 12,41,1615489,139.18 83.51 139
28,1490,0 14 14,41,1614448,136.79 84.3 140
29,1497,3 12 15,40.5,1614225,138.8 82.48 141
30,1493,3 15 14,39.5,1614018,137.81 84.26 139
31,1495,3 15 12,40,1613930,138.3 84.56 138
32,1497,2 12 15,41,1613851,138.38 82.71 141
33,1497,3 15 10,40.5,1613675,138.8 84.86 137
34,1500,5 13 15,39.5,1613476,139.38 82.68 140
35,1497,2 15 10,41,1613301,138.38 85.1 137
36,1492,2 14 15,40,1612750,137.51 83.77 140
37,1494,2 14 13,40.5,1612663,138 84.07 139
38,1494,1 14 13,41,1612236,137.59 84.3 139
39,1490,1 14 12,41,1612236,137.59 84.3 139
40,1495,4 15 15,39,1611568,138.1 83.96 139
41,1497,4 15 13,39.5,1611563,138.6 84.26 138
42,1499,4 15 11,40,1611391,139.09 84.56 137
43,1487,0 13 15,41,1610641,136.79 83.51 141
44,1490,3 14 15,39.5,1610437,137.81 83.47 140
45,1497,3 14 14,40,1610433,138.3 83.77 139
46,1492,3 14 13,40,1610433,138.3 83.77 139
47,1499,3 14 12,40.5,1610262,138.8 84.07 138
48,1494,3 14 11,40.5,1610262,138.8 84.07 138
49,1494,2 14 11,41,1609889,138.38 84.3 138
50,1499,5 15 14,39,1609065,138.88 83.96 138
51,1495,5 15 13,39,1609065,138.88 83.96 138
52,1492,5 15 15,38.5,1608985,138.38 83.65 139
53,1497,5 15 11,39.5,1608976,139.38 84.26 137
54,1491,1 13 14,41,1608516,137.59 83.51 140
55,1494,4 14 14,39.5,1608071,138.6 83.47 139
56,1497,4 14 12,40,1607983,139.09 83.77 138
57,1499,4 11 15,40.5,1607839,139.59 81.69 141
58,1499,4 14 10,40.5,1607729,139.59 84.07 137
59,1498,3 11 15,41,1607519,139.18 81.92 141
60,1498,3 14 10,41,1607409,139.18 84.3 137
61,1494,3 13 15,40,1606716,138.3 82.98 140
62,1496,3 13 13,40.5,1606630,138.8 83.28 139
63,1497,6 15 14,38.5,1606434,139.16 83.65 138
64,1499,6 15 12,39,1606430,139.67 83.96 137
65,1484,0 15 11,41,1606398,136.79 85.1 138
66,1496,2 13 13,41,1606258,138.38 83.51 139
67,1491,2 13 12,41,1606258,138.38 83.51 139
68,1496,5 14 15,39,1605578,138.88 83.17 139
69,1499,5 14 13,39.5,1605573,139.38 83.47 138
70,1488,1 12 15,41,1604576,137.59 82.71 141
71,1492,4 13 15,39.5,1604360,138.6 82.68 140
72,1498,4 13 14,40,1604355,139.09 82.98 139
73,1494,4 13 13,40,1604355,139.09 82.98 139
74,1500,4 13 12,40.5,1604186,139.59 83.28 138
75,1496,4 13 11,40.5,1604186,139.59 83.28 138
76,1488,1 15 10,41,1604029,137.59 85.1 137
77,1496,3 13 11,41,1603867,139.18 83.51 138
78,1498,7 15 15,38,1603673,139.43 83.35 138
79,1496,6 14 13,39,1603033,139.67 83.17 138
80,1494,6 14 15,38.5,1602953,139.16 82.87 139
81,1499,6 14 11,39.5,1602944,140.17 83.47 137
82,1485,0 14 13,41,1602917,136.79 84.3 139
83,1481,0 14 12,41,1602917,136.79 84.3 139
84,1493,3 12 14,40.5,1602777,138.8 82.48 140
85,1493,2 12 14,41,1602406,138.38 82.71 140
86,1491,3 15 11,40,1602235,138.3 84.56 137
87,1496,5 13 14,39.5,1601951,139.38 82.68 139
88,1493,3 15 9,40.5,1601896,138.8 84.86 136
89,1498,5 13 12,40,1601863,139.88 82.98 138
90,1500,5 13 10,40.5,1601610,140.38 83.28 137
91,1493,2 15 9,41,1601525,138.38 85.1 136
92,1500,4 13 10,41,1601343,139.97 83.51 137
93,1500,5 10 15,40.5,1601276,140.38 80.9 141
94,1499,4 10 15,41,1601009,139.97 81.12 141
95,1498,8 15 13,38,1600946,140.21 83.35 137
96,1496,8 15 15,37.5,1600779,139.69 83.04 138
97,1486,1 14 11,41,1600637,137.59 84.3 138
98,1495,4 12 15,40,1600508,139.09 82.19 140
99,1497,4 12 13,40.5,1600422,139.59 82.48 139
100,1498,7 14 14,38.5,1600362,139.94 82.87 138
101,1500,7 14 12,39,1600357,140.45 83.17 137
102,1497,3 12 13,41,1600103,139.18 82.71 139
103,1493,3 12 12,41,1600103,139.18 82.71 139
104,1491,4 15 14,39,1599974,138.1 83.96 138
105,1493,4 15 12,39.5,1599885,138.6 84.26 137
106,1495,4 15 10,40,1599629,139.09 84.56 136
107,1498,6 13 15,39,1599416,139.67 82.39 139
108,1500,6 13 13,39.5,1599412,140.17 82.68 138
109,1483,0 13 14,41,1599218,136.79 83.51 140
110,1497,4 15 8,40.5,1599204,139.59 84.86 135
111,1497,3 15 8,41,1598886,139.18 85.1 135
112,1492,3 15 7,41,1598886,139.18 85.1 135
113,1490,2 11 15,41,1598334,138.38 81.92 141
114,1490,2 14 10,41,1598223,138.38 84.3 137
115,1493,5 12 15,39.5,1598109,139.38 81.9 140
116,1499,5 12 14,40,1598105,139.88 82.19 139
117,1495,5 12 13,40,1598105,139.88 82.19 139
118,1500,9 15 14,37.5,1598008,140.47 83.04 137
119,1497,5 12 11,40.5,1597936,140.38 82.48 138
120,1497,4 12 11,41,1597669,139.97 82.71 138
121,1500,8 14 15,38,1597560,140.21 82.57 138
122,1491,5 15 12,39,1597405,138.88 83.96 137
123,1493,5 15 10,39.5,1597231,139.38 84.26 136
124,1487,1 13 13,41,1597026,137.59 83.51 139
125,1483,1 13 12,41,1597026,137.59 83.51 139
126,1499,5 15 9,40,1596889,139.88 84.56 135
127,1495,5 15 8,40,1596889,139.88 84.56 135
128,1498,7 13 13,39,1596831,140.45 82.39 138
129,1495,7 13 15,38.5,1596751,139.94 82.09 139
130,1500,7 13 11,39.5,1596742,140.96 82.68 137
131,1490,4 14 13,39.5,1596502,138.6 83.47 138
132,1494,4 11 14,40.5,1596436,139.59 81.69 140
133,1497,5 15 6,40.5,1596377,140.38 84.86 134
134,1492,4 14 11,40,1596331,139.09 83.77 137
135,1494,3 11 14,41,1596119,139.18 81.92 140
136,1496,4 15 6,41,1596111,139.97 85.1 134
137,1494,4 14 9,40.5,1595993,139.59 84.07 136
138,1494,3 14 9,41,1595676,139.18 84.3 136
139,1497,6 12 14,39.5,1595659,140.17 81.9 139
140,1499,6 12 12,40,1595571,140.67 82.19 138
141,1480,0 12 15,41,1595301,136.79 82.71 141
142,1499,9 14 13,38,1594795,140.99 82.57 137
143,1492,6 15 13,38.5,1594794,139.16 83.65 137
144,1480,0 15 10,41,1594757,136.79 85.1 137
145,1490,6 15 15,38,1594713,138.65 83.35 138
146,1495,6 15 11,39,1594704,139.67 83.96 136
147,1487,2 13 11,41,1594702,138.38 83.51 138
148,1497,9 14 15,37.5,1594629,140.47 82.26 138
149,1497,6 15 9,39.5,1594445,140.17 84.26 135
150,1496,5 11 15,40,1594125,139.88 81.4 140
151,1499,8 13 14,38.5,1594120,140.72 82.09 138
