rank,cp,ivs,maxlevel,stat-product,stats
1,2496,0 15 14,44,3118147,199.33 109.39 143
2,2499,0 15 12,44.5,3117371,200.01 109.76 142
3,2494,0 14 15,44,3116693,199.33 108.58 144
4,2497,0 14 13,44.5,3116070,200.01 108.95 143
5,2500,1 15 15,43.5,3113568,199.59 109.09 143
6,2493,1 15 14,43.5,3113568,199.59 109.09 143
7,2498,0 15 10,45,3112596,200.56 110.07 141
8,2499,1 15 13,44,3108928,200.14 109.39 142
9,2499,0 12 14,45,3108181,200.56 107.62 144
10,2497,1 14 14,44,3107631,200.14 108.58 143
11,2500,1 14 12,44.5,3106858,200.82 108.95 142
12,2496,0 11 15,45,3106056,200.56 106.8 145
13,2495,1 13 15,44,3106009,200.14 107.77 144
14,2498,1 13 13,44.5,3105389,200.82 108.14 143
15,2493,2 15 15,43,3104823,199.71 108.72 143
16,2496,2 15 13,43.5,3104312,200.4 109.09 142
17,2500,2 14 15,43.5,3103016,200.4 108.28 143
18,2493,2 14 14,43.5,3103016,200.4 108.28 143
19,2499,1 14 10,45,3102099,201.38 109.25 141
20,2490,0 15 15,43.5,3100962,198.78 109.09 143
21,2500,2 14 13,44,3098392,200.95 108.58 142
22,2500,1 11 14,45,3097174,201.38 106.8 144
23,2498,2 13 14,44,3096927,200.95 107.77 143
24,2489,0 15 13,44,3096341,199.33 109.39 142
25,2496,3 15 14,43,3095543,200.52 108.72 142
26,2492,0 15 11,44.5,3095418,200.01 109.76 141
27,2495,2 12 15,44,3095136,200.95 106.96 144
28,2487,0 14 14,44,3095049,199.33 108.58 143
29,2499,3 15 12,43.5,3094880,201.21 109.09 141
30,2497,1 10 15,45,3094875,201.38 105.99 145
31,2498,2 12 13,44.5,3094518,201.64 107.32 143
32,2490,0 14 12,44.5,3094280,200.01 108.95 142
33,2493,3 14 15,43,3094251,200.52 107.91 143
34,2496,3 14 13,43.5,3093741,201.21 108.28 142
35,2498,0 8 15,46,3093451,201.79 105 146
36,2485,0 13 15,44,3093434,199.33 107.77 144
37,2495,0 13 14,44.5,3092816,200.01 108.14 143
38,2487,0 13 13,44.5,3092816,200.01 108.14 143
39,2494,3 13 14,43.5,3092278,201.21 107.47 143
40,2500,2 13 10,45,3091415,202.19 108.43 141
41,2492,0 12 15,44.5,3091027,200.01 107.32 144
42,2499,4 15 15,42.5,3090872,200.77 108.42 142
43,2492,4 15 14,42.5,3090872,200.77 108.42 142
44,2491,0 15 9,45,3090521,200.56 110.07 140
45,2490,1 14 15,43.5,3090504,199.59 108.28 143
46,2498,3 15 10,44,3089959,201.76 109.39 140
47,2496,0 14 11,45,3089540,200.56 109.25 141
48,2489,0 14 10,45,3089540,200.56 109.25 141
49,2498,7 15 15,41.5,3089269,201.92 107.74 142
50,2493,0 15 7,45.5,3089032,201.24 110.43 139
51,2500,3 15 8,44.5,3088725,202.45 109.76 139
52,2494,0 13 12,45,3088232,200.56 108.43 142
53,2499,0 14 9,45.5,3088209,201.24 109.62 140
54,2497,0 13 10,45.5,3087056,201.24 108.8 141
55,2492,1 15 12,44,3087034,200.14 109.39 141
56,2492,0 12 13,45,3086597,200.56 107.62 143
57,2499,4 15 13,43,3086087,201.33 108.72 141
58,2498,3 12 14,44,3086036,201.76 106.96 143
59,2500,2 10 14,45,3085975,202.19 105.99 144
60,2495,1 15 10,44.5,3085958,200.82 109.76 140
61,2490,1 14 13,44,3085899,200.14 108.58 142
62,2494,0 12 11,45.5,3085575,201.24 107.98 142
63,2493,1 14 11,44.5,3084979,200.82 108.95 141
64,2496,4 14 14,43,3084952,201.33 107.91 142
65,2489,0 11 14,45,3084634,200.56 106.8 144
66,2488,1 13 14,44,3084439,200.14 107.77 143
67,2499,4 14 12,43.5,3084292,202.02 108.28 141
68,2496,3 11 15,44,3084074,201.76 106.15 144
69,2500,0 15 6,46,3083850,201.79 110.74 138
70,2499,0 11 13,45.5,3083764,201.24 107.16 143
71,2492,0 11 12,45.5,3083764,201.24 107.16 143
72,2490,1 13 12,44.5,3083673,200.82 108.14 142
73,2497,2 9 15,45,3083502,202.19 105.17 145
74,2494,4 13 15,43,3083493,201.33 107.1 143
75,2499,3 11 13,44.5,3083458,202.45 106.51 143
76,2498,0 14 7,46,3083188,201.79 109.92 139
77,2486,2 15 14,43,3083111,199.71 108.72 142
78,2497,4 13 13,43.5,3082986,202.02 107.47 142
79,2485,1 12 15,44,3082655,200.14 106.96 144
